"number","title","pageid","namespace","length","touched"
"1","片桐仁","1649","","47528","20220427045716"
"2","青野武","3223","","137057","20220503141352"
"3","池田秀一","3224","","116150","20220504102156"
"4","内海賢二","3225","","118263","20220503200917"
"5","大平透","3227","","64109","20220418121756"
"6","森功至","3670","","57148","20220419131808"
"7","稲垣吾郎","4521","","91540","20220415033624"
"8","鈴置洋孝","4656","","91147","20220503143216"
"9","山内雅人","6314","","24622","20220317051139"
"10","中原茂","6618","","43979","20220503065955"
"11","名古屋章","10357","","38921","20220424102828"
"12","相沢まさき","11313","","60895","20220504103138"
"13","青森伸","11316","","51174","20220423090204"
"14","青山穣","11317","","81631","20220502013942"
"15","秋元羊介","11338","","114901","20220502113732"
"16","藤岡弘、","11473","","93654","20220425164954"
"17","三木眞一郎","11865","","204654","20220428160559"
"18","京極夏彦","12990","","62089","20220422155859"
"19","西川貴教","14973","","82159","20220428083218"
"20","野島昭生","16428","","65714","20220418123953"
"21","保志総一朗","18251","","160992","20220503200113"
"22","神谷明","18272","","109544","20220501152156"
"23","つボイノリオ","18320","","51334","20220503145030"
"24","岸田森","19811","","68442","20220319124245"
"25","うえだゆうじ","20638","","94253","20220504160659"
"26","石田彰","21814","","242080","20220504063351"
"27","檜山修之","23764","","128262","20220504112534"
"28","水木一郎","23916","","77291","20220309151730"
"29","平田広明","24297","","122615","20220418125100"
"30","銀河万丈","25877","","126488","20220504113159"
"31","阪口大助","25882","","84608","20220419165218"
"32","小野坂昌也","28069","","88360","20220417141204"
"33","草尾毅","28122","","131506","20220504142836"
"34","子安武人","28123","","222982","20220503070409"
"35","塩沢兼人","29592","","92890","20220421022243"
"36","唐沢寿明","30936","","69347","20220428141435"
"37","石川英郎","30991","","68650","20220501154114"
"38","一条和矢","30992","","44696","20220503194741"
"39","井上和彦_(声優)","30993","","175648","20220504032407"
"40","玄田哲章","30997","","238808","20220504135059"
"41","鈴村健一","31007","","248882","20220503165757"
"42","諏訪部順一","31008","","265873","20220501175359"
"43","小松方正","33098","","48733","20220417135911"
"44","大橋巨泉","34534","","78636","20220429135003"
"45","西田敏行","37262","","113853","20220428083258"
"46","亀山助清","40696","","23082","20220502014159"
"47","田口トモロヲ","42466","","44083","20220503025803"
"48","速水けんたろう","42698","","41095","20220501161809"
"49","鈴木瑞穂","43123","","45714","20220501053138"
"50","塩屋翼","43346","","57952","20220428010522"
"51","久米明","43349","","38991","20220501053622"
"52","関俊彦","45173","","173114","20220429213134"
"53","関智一","45174","","248929","20220504102512"
"54","山口勝平","45276","","145748","20220420030624"
"55","平田昭彦","45772","","37491","20220501071156"
"56","萩本欽一","48103","","93698","20220504191433"
"57","高橋広樹","50078","","160632","20220421034447"
"58","高木均","53535","","25461","20220418144401"
"59","内藤剛志","54044","","53926","20220426154931"
"60","ぜんじろう","55082","","30258","20220120135812"
"61","津嘉山正種","57249","","74134","20220502063329"
"62","西村晃","59071","","39427","20220312094413"
"63","加藤雅也","59956","","27121","20220503141234"
"64","古谷徹","60257","","136751","20220504140738"
"65","堀川りょう","60446","","73975","20220413154826"
"66","フランキー堺","62165","","25245","20220427131127"
"67","古今亭志ん朝","62888","","50620","20220307052714"
"68","野沢那智","63195","","135075","20220504062321"
"69","若本規夫","63211","","147670","20220504143136"
"70","近藤孝行","63227","","59966","20220504105624"
"71","石坂浩二","63757","","67742","20220502132837"
"72","川久保潔","64734","","37776","20220405104210"
"73","栗田貫一","65265","","58578","20220503095343"
"74","羽佐間道夫","65786","","85782","20220418145859"
"75","永井一郎","65913","","126756","20220421025209"
"76","笑福亭鶴瓶","67340","","83331","20220503114510"
"77","桂文枝_(6代目)","67402","","67132","20220502150545"
"78","ラサール石井","68019","","34380","20220429053034"
"79","伊東四朗","68030","","70094","20220501054241"
"80","ウド鈴木","68033","","38537","20220501093024"
"81","ハナ肇","68733","","34588","20220503214732"
"82","竹野内豊","69947","","28139","20220423160234"
"83","大沢たかお","71339","","34086","20220421170231"
"84","ユースケ・サンタマリア","71483","","61007","20220423130026"
"85","田村淳","71865","","58487","20220501074442"
"86","役所広司","72073","","58036","20220504175016"
"87","香川照之","72076","","95842","20220426063247"
"88","柳葉敏郎","72514","","49583","20220418014226"
"89","小山力也","72836","","170631","20220504113245"
"90","渡哲也","73815","","90798","20220502182119"
"91","渡辺正行","74180","","36765","20220428105322"
"92","松方弘樹","74530","","84284","20220429194006"
"93","毒蝮三太夫","74573","","38275","20220430061730"
"94","段田安則","74636","","34913","20220419014512"
"95","納谷悟朗","74668","","111073","20220502092800"
"96","林家正蔵_(9代目)","74680","","36382","20220504090933"
"97","大杉漣","74984","","164009","20220501105812"
"98","西村まさ彦","74988","","57122","20220420101535"
"99","芦屋雁之助","75059","","28130","20220502114550"
"100","山寺宏一","75852","","297859","20220503125558"
"101","高岡健二","76044","","21423","20220426232031"
"102","納谷六朗","77015","","112961","20220421020338"
"103","天野ひろゆき","77208","","32402","20220503060941"
"104","山口智充","78060","","40814","20220504153447"
"105","萩原聖人","78085","","76048","20220503030254"
"106","堺駿二","78735","","8010","20211005105408"
"107","沖田浩之","79456","","29190","20220413110013"
"108","川端義明","79864","","11196","20220108164814"
"109","柳生博","79953","","30478","20220504010106"
"110","武田真治","79972","","50734","20220503013332"
"111","チョー_(俳優)","80302","","105867","20220423041231"
"112","中尾彬","81452","","42261","20220417094356"
"113","鹿賀丈史","81997","","41332","20220430223313"
"114","松尾貴史","82038","","42294","20220420042953"
"115","島田敏","82402","","116851","20220504142211"
"116","竹中直人","82419","","101057","20220428094647"
"117","八代駿","83561","","26962","20220328163750"
"118","肝付兼太","83564","","91527","20220414171604"
"119","たてかべ和也","83736","","60229","20220503022817"
"120","瑳川哲朗","83739","","25635","20220319045247"
"121","井上倫宏","84227","","29981","20220423101107"
"122","神山卓三","84588","","35537","20220406133547"
"123","オダギリジョー","84719","","61048","20220428183744"
"124","藤井隆","84756","","58448","20220504164000"
"125","山田孝之","84847","","76199","20220501110924"
"126","小宮孝泰","84849","","21063","20220429225529"
"127","小林昭二","84876","","64018","20220430111821"
"128","東野英心","85021","","19691","20220428125653"
"129","二又一成","85129","","76224","20220503154838"
"130","大塚周夫","85312","","135855","20220502014018"
"131","東野英治郎","85382","","41263","20220502183656"
"132","大竹宏","85896","","38929","20220421162357"
"133","大泉洋","86283","","160858","20220427002957"
"134","渡洋史","86910","","21198","20220115172108"
"135","三ツ矢雄二","87307","","81238","20220414183736"
"136","塚本信夫","88459","","17876","20220423072042"
"137","愛川欽也","88524","","54085","20220502113107"
"138","ワタナベシンイチ","88652","","16296","20211215150445"
"139","水鳥鐵夫","88750","","30732","20220402103456"
"140","掟ポルシェ","88883","","16331","20220124174930"
"141","優希比呂","89237","","40022","20220404151742"
"142","田中秀幸_(声優)","89627","","107736","20220503152045"
"143","藤村俊二","89843","","26549","20220415011948"
"144","堺雅人","90391","","51823","20220414040540"
"145","舘ひろし","90437","","62824","20220419063119"
"146","船越英一郎","90779","","42184","20220502121627"
"147","せいじろう","90934","","7066","20220306105536"
"148","渡瀬恒彦","91120","","159157","20220425151806"
"149","八名信夫","91276","","52943","20220422220302"
"150","伊武雅刀","91618","","76258","20220502134533"
"151","速水奨","92127","","157789","20220501122417"
"152","広川太一郎","92576","","55768","20220421010200"
"153","石橋蓮司","93424","","79819","20220502133236"
"154","増岡弘","93591","","84226","20220503150113"
"155","土師孝也","93626","","79817","20220422033744"
"156","森久保祥太郎","93718","","187737","20220501151419"
"157","近石真介","93998","","28392","20220313155551"
"158","森田成一","94158","","170118","20220503070528"
"159","兼本新吾","94200","","19308","20220418133542"
"160","別所哲也","94237","","30923","20220504130229"
"161","藤原啓治","94382","","191302","20220503153114"
"162","龍田直樹","94565","","79753","20220504102510"
"163","八奈見乗児","94668","","83215","20220504143423"
"164","柳家小さん_(5代目)","94854","","28088","20220311093811"
