"number","title","pageid","namespace","length","touched"
"1","池原しげと","551","","10887","20211003134216"
"2","うるし原智志","601","","16592","20220204101755"
"3","貞本義行","779","","25379","20220323160700"
"4","SUEZEN","1087","","6573","20220207071030"
"5","坂口尚","1252","","46468","20220427121419"
"6","平野仁","1858","","3786","20211117071241"
"7","安彦良和","2046","","52069","20220404145054"
"8","高坂希太郎","8794","","9861","20220418122731"
"9","庵野秀明","12357","","76684","20220502050050"
"10","金田伊功","12514","","29037","20211026133430"
"11","新海誠","13014","","49798","20220422234652"
"12","板野一郎","44943","","32512","20220320130301"
"13","福井英一","71355","","24104","20220128204728"
"14","天野喜孝","71701","","25095","20220418150535"
"15","梶島正樹","88841","","4946","20210801041209"
"16","今敏","94492","","80005","20220331025028"
"17","水城まさひと","99733","","5493","20210327033812"
"18","佃公彦","104532","","9452","20220201133803"
"19","うしおそうじ","115097","","42306","20210317223824"
"20","谷口守泰","115366","","117508","20220415163107"
"21","政岡憲三","122115","","11983","20210709023244"
"22","後藤圭二","125510","","23486","20220502053329"
"23","細田守","127112","","44023","20220323162409"
"24","塩山紀生","132724","","23609","20220209173611"
"25","西尾鉄也","135418","","29961","20220319233123"
"26","近藤喜文","138331","","20486","20220323160637"
"27","大塚康生","139928","","48462","20220326142346"
"28","黄瀬和哉","140159","","30297","20220503071033"
"29","高橋ナオヒト","140775","","7977","20220405153720"
"30","村瀬修功","140800","","10643","20211225103559"
"31","小田部羊一","143528","","20514","20220407134638"
"32","平井久司","153734","","6348","20211122235409"
"33","金沢比呂司","154773","","5538","20210801042745"
"34","うのまこと","155133","","5806","20220330041425"
"35","鈴木伸一","169904","","12444","20220413080908"
"36","大張正己","175814","","34233","20220412204318"
"37","新房昭之","176262","","23094","20220403074616"
"38","渡辺明夫","185001","","24079","20220420155456"
"39","ことぶきつかさ","187382","","10783","20220421002202"
"40","大貫健一","188617","","8300","20220410154738"
"41","平野俊貴","188736","","11205","20220416144017"
"42","逢坂浩司","199225","","13724","20210815093240"
"43","なかむらたかし","205003","","26214","20220427162440"
"44","村田朋泰","205510","","6308","20210801043706"
"45","梅津泰臣","212602","","29376","20220408140136"
"46","伊藤有壱","218842","","4654","20211219011837"
"47","かわらじま晃","219984","","12593","20220426090349"
"48","青池良輔","224773","","3590","20220413124400"
"49","中澤一登","225103","","13216","20220503071806"
"50","森まさあき","225615","","5595","20220207144759"
"51","山村浩二","225625","","15811","20220501021521"
"52","前田真宏_(アニメ監督)","232905","","14429","20220430233337"
"53","神田武幸","234761","","4382","20220412005334"
"54","芝山努","234863","","16905","20220417000642"
"55","石黒昇","251386","","20271","20220221162601"
"56","川元利浩","251526","","10391","20220302170727"
"57","合田浩章","252393","","9188","20220320151026"
"58","北爪宏幸","261280","","9010","20220412171208"
"59","わたなべひろし","266160","","14630","20211018142206"
"60","杉野昭夫","273792","","30232","20220212155051"
"61","タナカカツキ","275989","","14477","20220107060204"
"62","結城信輝","276246","","12905","20210726114726"
"63","菊池通隆","282714","","256","20210412030212"
"64","佐々門信芳","288007","","4962","20210801045029"
"65","内田順久","303312","","4664","20210801045335"
"66","渡辺歩","304643","","12255","20220502212723"
"67","富永貞義","304901","","10787","20220407062912"
"68","中村英一","305487","","4976","20210801045355"
"69","平山智_(アニメーター)","310143","","14324","20220312174433"
"70","佐野浩敏","310172","","6446","20210314234442"
"71","伊藤嘉之","310334","","7465","20220305192620"
"72","本橋秀之","310811","","16437","20220308075328"
"73","楠部大吉郎","318774","","11981","20220301195329"
"74","小西賢一","324685","","8752","20220206093749"
"75","岩崎良明","325559","","8636","20220408162012"
"76","大塚正実","327840","","9877","20220305171234"
"77","望月智充","327871","","15241","20220306150424"
"78","摩砂雪","328390","","9154","20220426065939"
"79","鶴巻和哉","328419","","13399","20220315120017"
"80","岡村天斎","328584","","10960","20210827154134"
"81","毛利和昭","329213","","14868","20211015140127"
"82","杉井ギサブロー","329223","","19528","20220212154948"
"83","なかじまちゅうじ","329361","","22777","20220302162214"
"84","須田正己","329420","","11774","20220405172805"
"85","本田雄","329872","","19228","20220402041404"
"86","長谷川眞也","329962","","7620","20210814231940"
"87","すしお","330462","","15839","20211124160213"
"88","高村和宏","331941","","8746","20210317225015"
"89","藤森雅也","331986","","10135","20220302221112"
"90","小島正幸","332030","","11600","20220220173342"
"91","沖浦啓之","332384","","23735","20220420091911"
"92","森山雄治","332594","","20416","20220216174737"
"93","川尻善昭","332714","","17560","20220223152001"
"94","山田みちしろ","333676","","6573","20220302223808"
"95","後藤隆幸","333704","","11947","20220409092123"
"96","こだま兼嗣","335918","","10918","20210727115114"
"97","小林治_(アニメ演出家)","336307","","9151","20220302222404"
"98","小林治_(イラストレーター)","336556","","5214","20210722235010"
"99","前田実","336953","","20911","20211118175752"
"100","渡部高志","339856","","12324","20220417114247"
"101","関修一","339859","","11135","20220219152322"
"102","堤規至","340065","","8599","20211108125044"
"103","浜名孝行","340071","","8146","20220429180944"
"104","鈴木俊二","340177","","7861","20211130070107"
"105","平山円","340594","","8342","20220111153953"
"106","森康二","341530","","10119","20220417150302"
"107","兼森義則","341636","","14086","20210801050450"
"108","荒川真嗣","343214","","17052","20220326170212"
"109","小川博司_(アニメーター)","343277","","5319","20220403233234"
"110","渡辺はじめ","343410","","7685","20220423022034"
"111","西村博之_(イラストレーター)","343953","","10436","20220324141856"
"112","平松禎史","344102","","22944","20220321183452"
"113","増尾昭一","344726","","11693","20220305151925"
"114","芦田豊雄","345297","","24527","20220125104059"
"115","青木悠三","345324","","16539","20220430170721"
"116","月岡貞夫","345978","","13959","20220324032929"
"117","林静一","348549","","16060","20220306032634"
"118","近藤勝也","349948","","14011","20210603131639"
"119","湖川友謙","350508","","18139","20220216165859"
"120","馬越嘉彦","353834","","16606","20220302085141"
"121","磯光雄","360697","","44802","20220503030247"
"122","木村貴宏","361594","","19606","20211010185948"
"123","湯浅政明","362750","","36828","20220415171034"
"124","羽原信義","362804","","16441","20220421025712"
"125","辻繁人","363741","","3719","20210317231706"
"126","本多敏行","364119","","11694","20220223040922"
"127","小松原一男","366628","","13203","20220109174639"
"128","大藤信郎","367464","","4908","20210102231043"
"129","荒木伸吾","368343","","17279","20220309182338"
"130","佐藤元","370965","","11404","20220330041958"
"131","古川タク","371265","","11506","20220501021109"
"132","船越英之","371320","","7600","20220303134316"
"133","今石洋之","371700","","14114","20220225105547"
"134","吉成曜","373471","","21225","20220414173535"
"135","末吉裕一郎","374079","","11365","20220423133544"
"136","今掛勇","383278","","12279","20220401130304"
"137","入好さとる","384048","","12380","20220105194339"
"138","石ノ森章太郎","384376","","74974","20220425075713"
"139","吉松孝博","384668","","18219","20220424041651"
"140","吉成鋼","385573","","9984","20220208211912"
"141","木船徳光","391788","","2170","20210801051711"
"142","坂本三郎","392091","","3108","20220430062356"
"143","長岡康史","392428","","5952","20210801051721"
"144","森本晃司_(アニメーター)","397664","","30951","20220323232511"
"145","松原秀典","403017","","14685","20211118173202"
"146","石田卓也_(クレイアニメ作家)","403507","","10297","20220501094131"
"147","吉川惣司","403667","","18048","20220125051544"
"148","やまざきかずお","405431","","6362","20220110185045"
"149","仙波隆綱","420043","","9715","20220318233337"
"150","Shuzilow.HA","420265","","8010","20220217192305"
"151","中井一輝","422388","","3201","20210801052537"
"152","高見明男","426366","","11774","20220330041523"
"153","北久保弘之","428015","","6992","20220503020114"
"154","金山明博","430829","","17116","20220420130115"
"155","村中博美","432261","","7961","20220316212436"
"156","森田宏幸","436523","","10925","20211028215244"
"157","高柳哲司","438932","","5444","20210725054010"
"158","原田浩","447155","","10858","20210325155608"
"159","うつのみや理","451267","","9300","20220421055954"
"160","大平晋也","451335","","10019","20211209182355"
"161","田中達之","451390","","15575","20220323160915"
"162","大久保政雄","454032","","9167","20210804110307"
"163","松本憲生","456778","","10384","20210801053430"
"164","和田高明","459122","","19119","20220316175036"
"165","竹内哲也","460431","","8885","20210825151712"
"166","久行宏和","475620","","5640","20220412155359"
"167","井上俊之","476431","","16094","20220220154802"
"168","安藤雅司","482474","","22880","20211210175643"
"169","木村圭市郎","483106","","5128","20220113164652"
"170","横田守","488359","","12216","20220416032517"
"171","新田靖成","493357","","8189","20220321112525"
"172","吉田健一_(アニメーター)","497057","","18976","20220308162124"
"173","桂憲一郎","503413","","7672","20220324123509"
"174","黒田和也","504268","","8954","20220211131446"
"175","中鶴勝祥","505630","","9942","20211216181947"
"176","近藤高光","512326","","6436","20220103064408"
"177","小池健","524747","","16812","20220312011755"
"178","橋本晋治","526175","","6057","20220323161236"
"179","影山楙倫","532998","","10108","20220330042354"
"180","入江泰浩","533843","","7082","20211031071257"
"181","菅野宏紀","540162","","4260","20210801055317"
"182","さとうけいいち","541957","","9920","20220110170338"
"183","青野厚司","555342","","15930","20220423100235"
"184","橋本敬史","561274","","22143","20220419090709"
"185","木下ゆうき","561601","","22011","20220415125645"
"186","石野聡","563329","","10942","20220404001648"
"187","志田ただし","572917","","8163","20210316094458"
"188","岸田隆宏","572930","","15224","20220225013516"
"189","牧野竜一","583640","","6334","20220227003219"
"190","加藤正人_(ゲームクリエイター)","586689","","7962","20220315160625"
"191","千明孝一","595024","","11721","20220405163725"
"192","とりいかずよし","595247","","11073","20220428020544"
"193","野間吐史","602502","","2187","20210801060843"
"194","倉嶋丈康","607191","","9907","20211019144553"
"195","佐藤利幸","611378","","8201","20220416021004"
"196","名和宗則","613093","","8372","20220503002523"
"197","下田正美","615407","","8724","20210801061146"
"198","藤代健","617695","","5524","20210325233432"
"199","石浜真史","620955","","9987","20220426233921"
"200","土器手司","622554","","9803","20210611155557"
"201","大西雅也","626087","","5356","20210501232242"
"202","濱田邦彦","627167","","5371","20210520092750"
"203","佐藤雄三","629039","","13896","20220312073800"
"204","藤井昌宏","633632","","8000","20220309192341"
"205","関根昌之","639061","","5546","20220302223854"
"206","伊藤達文","643102","","10158","20210328082900"
"207","田村英樹","644190","","6610","20211108135835"
"208","金崎貴臣","650665","","9521","20220210141107"
"209","辻初樹","652993","","15860","20220422184628"
"210","ところともかず","655581","","6324","20220216165101"
"211","都留稔幸","655591","","4468","20220504142059"
"212","迫井政行","655941","","5226","20220305134409"
"213","桜美かつし","655965","","12141","20210805164816"
"214","中山勝一","655969","","7154","20220406102123"
"215","宮尾岳","664341","","6105","20220402011631"
"216","古橋一浩","666802","","8264","20220410150842"
"217","中村謙一郎","675151","","3912","20210801063043"
"218","安藤正浩","677591","","9482","20220323182216"
"219","大橋誉志光","680566","","9051","20210801063148"
"220","中村豊_(アニメーター)","680596","","6306","20220109074014"
"221","加瀬政広","681839","","12683","20220503123245"
"222","むらかみてるあき","682423","","7383","20220114162724"
"223","西島克彦","683816","","14925","20220323232531"
"224","石山タカ明","700574","","17043","20220424105010"
"225","宮崎駿","706758","","149568","20220504103657"
"226","高本宣弘","709001","","8427","20210801063814"
"227","太田雅彦","709008","","10124","20220212162018"
"228","小泉昇","712293","","5242","20220325003245"
"229","紺野直幸","717407","","6327","20211106140117"
"230","山室直儀","724169","","10785","20211216181431"
"231","大沼心","735194","","12737","20220213044122"
"232","平田雄三","736112","","5121","20220321144101"
"233","西内としお","745917","","4297","20211219003906"
"234","南家こうじ","746138","","8516","20211219002809"
"235","吉良敬三","746148","","5988","20220131145303"
"236","村田耕一","759176","","4722","20220109174742"
"237","後藤潤二","760727","","9936","20220308072731"
"238","布山タルト","763440","","1896","20210325233106"
"239","岸義之","771798","","6930","20220219152529"
"240","長森佳容","771822","","12484","20220415060405"
"241","久保田誓","790365","","7494","20220308072458"
"242","熊膳貴志","790605","","8344","20210314231355"
"243","寺田嘉一郎","790714","","2192","20210801070039"
"244","柳沢テツヤ","790759","","12169","20220320173852"
"245","大貫信夫","810762","","2005","20210801070530"
"246","杉本五郎_(漫画家)","820948","","7215","20211206112031"
"247","吉田隆彦","822235","","6505","20210825155545"
"248","岩倉和憲","823340","","9675","20210328075600"
"249","和田崇","823341","","3471","20210328084821"
"250","Rato","823667","","3246","20220409223958"
"251","ラレコ","832034","","9684","20210916134603"
"252","神志那弘志","834954","","9418","20220425142827"
"253","井上栄作","847457","","5096","20210801071506"
"254","舘直樹","848494","","7103","20211216181551"
"255","板垣伸","851592","","19698","20220503064044"
"256","西田達三","852204","","4359","20210710093623"
"257","稲上晃","852361","","6622","20220211073410"
"258","佐藤好春","852792","","15893","20220226015318"
"259","ひこねのりお","854921","","7791","20220316132532"
"260","江口寿志","860220","","3510","20220116133532"
"261","嘉手苅睦","865847","","8685","20220210151743"
"262","大木良一","868740","","6116","20220415000134"
"263","大塚健_(アニメーター)","875161","","17185","20220416033646"
"264","高谷浩利","893998","","6506","20220411092321"
"265","竹内進二","895973","","7439","20220414121109"
"266","山下高明","902360","","11221","20210801072922"
"267","須藤昌朋","907545","","12411","20220416134033"
"268","森久司","907682","","9560","20220428192017"
"269","小屋勝義","909173","","3586","20210801073127"
"270","ロマのフ比嘉","914051","","5784","20210919033853"
