acid,acname,asid,n_ae,first_date,last_date,actid,actname,wiki_size,gender
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT00102,かないみか,116003.0,female
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT05700,保村真,45464.0,male
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT06001,吉野裕行,149454.0,male
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT01887,山口眞弓,19635.0,female
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT02359,新谷良子,73259.0,female
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT03209,沢城みゆき,354094.0,female
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT03569,田村ゆかり,224325.0,female
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT08390,藤原啓治,203368.0,male
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30,ACT08818,陶山章央,35185.0,male
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT00309,一城みゆ希,56617.0,female
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT05298,三木眞一郎,216561.0,male
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT00377,三浦智子,5704.0,female
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT01426,大本眞基子,85374.0,female
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT02597,本間ゆかり,10820.0,female
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT07620,池田秀一,128079.0,male
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT08067,神奈延年,99998.0,male
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT08176,筈見純,60472.0,male
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT04025,緒方恵美,125592.0,female
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT08582,速水奨,177325.0,male
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30,ACT04907,高山みなみ,110520.0,female
C10005,探偵少年カゲマン,C2485,6,2001-11-28,2002-01-16,ACT00041,TARAKO,52657.0,female
C10005,探偵少年カゲマン,C2485,6,2001-11-28,2002-01-16,ACT05217,パンチユーホー,5234.0,male
C10005,探偵少年カゲマン,C2485,6,2001-11-28,2002-01-16,ACT05287,三宅健太,155933.0,male
C10005,探偵少年カゲマン,C2485,6,2001-11-28,2002-01-16,ACT01016,勝生真沙子,98866.0,female
C10005,探偵少年カゲマン,C2485,6,2001-11-28,2002-01-16,ACT06052,園部啓一,47266.0,male
C10005,探偵少年カゲマン,C2485,6,2001-11-28,2002-01-16,ACT06079,坂口候一,37301.0,male
C10005,探偵少年カゲマン,C2485,6,2001-11-28,2002-01-16,ACT01299,城雅子,20996.0,female
