acid,acname,asid
C7158,ドルフィン王子,C1057
C7160,宇宙人ピピ,C1068
C7162,宇宙少年ソラン,C1079
C7163,鉄腕アトム,C979
C7165,仙人部落,C5869
C7167,鉄人28号,C3965
C7169,エイトマン,
C7171,狼少年ケン,
C7173,シスコン王子,
C7175,ピノキオの冒険［合作］,
C7177,宇宙エース,C1090
C7179,怪盗プライド,C1101
C7181,遊星少年パピイ,C1112
C7183,W3,C1123
C7186,銀河少年隊,
C7188,0戦はやと,
C7190,少年忍者風のフジ丸,
C7192,ビッグX,C990
C7194,未来からきた少年 スーパージェッター,C1023
C7196,宇宙パトロールホッパ,C1034
C7198,オバケのQ太郎,C1134
C7200,ジャングル大帝,C1145
C7203,ピンチとパンチ,C1922
C7205,タイガーマスク,C1934
C7207,サザエさん,C1945
C7209,元祖天才バカボン,C2390
C7211,草原の少女ローラ,C3456
C7213,おーいおはなしだよ,C3889
C7215,超電磁マシーン ボルテスⅤ,C3900
C7217,宇宙海賊 キャプテンハーロック,C4156
C7219,未来少年コナン,C4211
C7221,怪物くん（新）,C1634
C7223,とんでも戦士ムテキング,C5100
C7225,おじゃまんが山田くん,C5111
C7227,じゃりン子チエ,C5623
C7229,ダッシュ勝平,C5634
C7231,ハッスルパンチ,C1157
C7233,戦え!オスパー,C1168
C7235,鉄人28号（第2期）,C3965
C7237,おそ松くん,C1179
C7239,レインボー戦隊ロビン,C1190
C7241,佐武と市捕物控,C1689
C7243,バンパイヤ,C1700
C7245,妖怪人間ベム,C1712
C7247,ジョニーサイファー,C1723
C7249,すばらしい世界旅行 ニューヨークの旅 “コンピュートピア 西暦2000年の物語”,C1501
C7251,ワンダー君の初夢宇宙旅行,C1778
C7253,いじわるばあさん,C2212
C7255,いなかっぺ大将,C2223
C7258,マジンガーZ,C2678
C7261,UFO戦士ダイアポロン,C3556
C7264,一発貫太くん,C3945
C7266,闘将ダイモス,C4189
C7268,SF西遊記スタージンガー,C4200
C7271,怪盗ルパン813の謎,C4545
C7273,トンデモネズミ大活躍,C4556
C7274,超時空要塞マクロス,C6156
C7276,忍者マン一平,C6167
C7278,ひみつのアッコちゃん,C1789
C7280,さすらいの太陽,C2367
C7282,新オバケのQ太郎,C1134
C7285,荒野の少年イサム,C2778
C7287,ミクロイドS,C2789
C7288,ブロッカー軍団Ⅳ マシーンブラスター,C3601
C7290,まんが・ふるさと昔話,C3623
C7292,海賊王子,C1201
C7294,ハリスの旋風,C1212
C7296,遊星仮面,C1223
C7298,ロボタン,C1245
C7300,ジャングル大帝進めレオ!,C1145
C7302,がんばれ!マリンキッド,C1057
C7304,とびだせ!バッチリ,C1256
C7306,魔法使いサリー,C1268
C7308,ものしり大学明日のカレンダー,C1279
C7310,世界の王者キングコング大会,C1290
C7312,悟空の大冒険,C1323
C7314,黄金バット,C1345
C7316,かみなり坊やピッカリ・ビー,C1356
C7318,パーマン,C1367
C7320,マッハGoGoGo,C1379
C7322,リボンの騎士,C1390
C7324,冒険ガボテン島,C1401
C7326,キングコング,C1412
C7328,001/7親指トム,C1423
C7330,ピュンピュン丸,C1434
C7332,ドンキッコ,C1445
C7334,冒険少年 シャダー,C1456
C7336,ちびっこ怪獣 ヤダモン,C1467
C7338,スカイヤーズ5,C1478
C7340,おらあグズラだど,C1490
C7342,すばらしい世界旅行 アラスカの旅 “第五氷河期”,C1501
C7344,コメットさん,C1512
C7346,ゲゲゲの鬼太郎,C1556
C7348,わんぱく探偵団,C1567
C7350,巨人の星,C1578
C7352,アニマル1,C1601
C7354,サイボーグ009,C1234
C7356,あかねちゃん,C1612
C7358,ファイトだ!!ピュー太,C1623
