acid,actid
C7158,ACT06218
C7158,ACT01691
C7158,ACT02696
C7162,ACT00975
C7162,ACT06522
C7162,ACT06805
C7162,ACT02696
C7162,ACT07374
C7162,ACT08207
C7162,ACT04187
C7163,ACT05845
C7163,ACT06090
C7163,ACT03088
C7163,ACT03337
C7163,ACT07977
C7167,ACT05473
C7167,ACT05815
C7167,ACT07053
C7167,ACT07983
C7167,ACT08412
C7167,ACT04947
C7169,ACT07073
C7169,ACT03523
C7169,ACT08867
C7169,ACT08915
C7171,ACT05732
C7171,ACT05751
C7171,ACT06169
C7171,ACT06281
C7171,ACT06812
C7171,ACT03088
C7171,ACT03523
C7171,ACT08071
C7177,ACT01210
C7177,ACT06430
C7177,ACT06978
C7177,ACT03624
C7181,ACT01335
C7181,ACT07206
C7181,ACT07575
C7181,ACT08412
C7181,ACT04332
C7181,ACT08644
C7183,ACT06479
C7183,ACT07609
C7183,ACT03630
C7183,ACT08568
C7183,ACT08669
C7186,ACT03618
C7186,ACT08176
C7188,ACT06218
C7188,ACT06430
C7188,ACT07113
C7188,ACT07835
C7188,ACT08484
C7190,ACT05388
C7190,ACT05466
C7190,ACT00743
C7190,ACT05749
C7190,ACT00993
C7190,ACT06467
C7192,ACT01526
C7192,ACT01921
C7192,ACT06812
C7192,ACT07565
C7194,ACT05390
C7194,ACT06864
C7194,ACT02709
C7194,ACT07791
C7194,ACT07889
C7194,ACT08484
C7196,ACT05379
C7196,ACT05751
C7196,ACT06281
C7196,ACT01526
C7196,ACT06527
C7196,ACT06812
C7196,ACT02464
C7196,ACT02622
C7196,ACT03283
C7196,ACT08071
C7196,ACT08240
C7196,ACT08568
C7196,ACT04580
C7196,ACT08714
C7198,ACT01041
C7198,ACT02464
C7198,ACT07242
C7198,ACT07835
C7198,ACT03523
C7198,ACT04580
C7198,ACT08790
C7200,ACT05845
C7200,ACT05892
C7200,ACT01526
C7200,ACT06549
C7200,ACT01920
C7200,ACT06829
C7200,ACT07073
C7200,ACT02696
C7200,ACT07791
C7200,ACT07907
C7200,ACT08227
C7200,ACT08793
C7205,ACT05388
C7205,ACT05744
C7205,ACT06434
C7205,ACT01880
C7205,ACT07339
C7205,ACT07407
C7205,ACT04574
C7205,ACT04580
C7205,ACT08656
C7205,ACT08714
C7207,ACT00993
C7207,ACT06169
C7207,ACT01415
C7207,ACT01920
C7207,ACT07565
C7207,ACT04435
C7207,ACT08568
C7207,ACT04574
C7207,ACT04947
C7207,ACT05044
C7209,ACT01335
C7209,ACT01921
C7209,ACT04435
C7209,ACT08828
C7211,ACT05556
C7211,ACT05938
C7211,ACT01335
C7211,ACT06753
C7211,ACT02606
C7211,ACT02758
C7211,ACT04086
C7211,ACT04187
C7211,ACT08412
C7215,ACT05482
C7215,ACT06242
C7215,ACT06448
C7215,ACT01691
C7215,ACT06864
C7215,ACT07823
C7215,ACT04479
C7217,ACT00164
C7217,ACT05510
C7217,ACT05732
C7217,ACT01041
C7217,ACT06281
C7217,ACT01691
C7217,ACT02089
C7217,ACT07339
C7217,ACT08077
C7217,ACT08231
C7219,ACT01190
C7219,ACT06430
C7219,ACT01691
C7219,ACT06628
C7219,ACT07565
C7219,ACT07992
C7219,ACT08071
C7219,ACT04808
C7221,ACT00393
C7221,ACT01335
C7221,ACT07420
C7221,ACT08071
C7221,ACT08251
C7221,ACT04580
C7223,ACT06239
C7223,ACT01700
C7223,ACT02483
C7223,ACT07835
C7223,ACT08206
C7223,ACT08853
C7223,ACT04898
C7225,ACT05185
C7225,ACT00567
C7225,ACT05878
C7225,ACT01578
C7225,ACT04626
C7225,ACT08695
C7225,ACT08833
C7227,ACT00393
C7227,ACT00466
C7227,ACT01526
C7227,ACT01883
C7227,ACT07565
C7227,ACT08467
C7229,ACT05888
C7229,ACT06169
C7229,ACT06239
C7229,ACT01700
