acid,crtid
C7158,ACRT00664
C7158,ACRT00837
C7158,ACRT00937
C7160,ACRT00799
C7162,ACRT00778
C7162,ACRT01196
C7163,ACRT00894
C7165,ACRT00794
C7167,ACRT01026
C7169,ACRT00860
C7171,ACRT00745
C7173,ACRT01285
C7175,ACRT00330
C7177,ACRT00696
C7179,ACRT00837
C7181,ACRT00594
C7181,ACRT00684
C7183,ACRT00894
C7186,ACRT00894
C7188,ACRT01327
C7190,ACRT01153
C7192,ACRT00894
C7194,ACRT00657
C7196,ACRT01100
C7198,ACRT01285
C7200,ACRT00894
C7205,ACRT00995
C7205,ACRT01327
C7207,ACRT01357
C7209,ACRT01322
C7211,ACRT00537
C7215,ACRT00634
C7217,ACRT00387
C7217,ACRT00963
C7219,ACRT00285
C7221,ACRT01285
C7223,ACRT00414
C7225,ACRT00156
C7227,ACRT00235
C7229,ACRT00638
C7231,ACRT00997
C7233,ACRT00831
C7237,ACRT01322
C7239,ACRT00389
C7241,ACRT01182
C7243,ACRT00894
C7245,ACRT01221
C7251,ACRT00894
C7253,ACRT01357
C7255,ACRT00854
C7258,ACRT01059
C7261,ACRT00709
C7261,ACRT01363
C7264,ACRT00414
C7266,ACRT00634
C7268,ACRT00963
C7271,ACRT00509
C7273,ACRT00482
C7274,ACRT00291
C7274,ACRT00387
C7276,ACRT01080
C7278,ACRT01322
C7280,ACRT00195
C7280,ACRT01288
C7282,ACRT01285
C7285,ACRT00820
C7285,ACRT00854
C7287,ACRT00894
C7288,ACRT00635
C7288,ACRT01275
C7292,ACRT01182
C7294,ACRT00209
C7296,ACRT00599
C7296,ACRT01020
C7298,ACRT01008
C7300,ACRT00894
C7302,ACRT00664
C7302,ACRT00837
C7302,ACRT00937
C7304,ACRT00834
C7306,ACRT01026
C7312,ACRT00894
C7314,ACRT01061
C7316,ACRT00503
C7318,ACRT01285
C7320,ACRT00696
C7322,ACRT00894
C7324,ACRT00585
C7324,ACRT01315
C7330,ACRT00213
C7332,ACRT01182
C7334,ACRT00834
C7336,ACRT00163
C7338,ACRT00854
C7338,ACRT01164
C7340,ACRT01224
C7344,ACRT01026
C7346,ACRT01049
C7348,ACRT01067
C7350,ACRT00854
C7350,ACRT00995
C7352,ACRT00854
C7354,ACRT01182
C7356,ACRT00209
C7358,ACRT00504
C7360,ACRT01285
C7362,ACRT01153
C7364,ACRT00995
C7364,ACRT01268
C7366,ACRT00696
C7368,ACRT00664
C7368,ACRT00837
C7368,ACRT00937
C7372,ACRT01285
C7374,ACRT00696
C7376,ACRT01322
C7378,ACRT00894
C7380,ACRT01153
C7382,ACRT00624
C7384,ACRT00934
C7385,ACRT00696
C7387,ACRT00429
C7389,ACRT01094
C7397,ACRT01027
C7399,ACRT00209
C7399,ACRT01389
C7403,ACRT01327
C7407,ACRT00696
C7409,ACRT00707
C7409,ACRT00995
C7415,ACRT00616
C7415,ACRT01048
C7417,ACRT00565
C7417,ACRT00995
C7419,ACRT01146
C7421,ACRT01347
C7423,ACRT01092
C7427,ACRT00671
C7429,ACRT00049
C7431,ACRT01008
C7433,ACRT00633
C7435,ACRT01322
C7437,ACRT00894
C7439,ACRT01182
C7441,ACRT00991
C7441,ACRT01255
C7443,ACRT00209
