acid,acname,asid,n_ae,first_date,last_date
C10001,ギャラクシー エンジェル,C2483,24,2001-04-08,2001-09-30
C10003,PROJECT ARMS,C2484,26,2001-04-08,2001-09-30
C10005,探偵少年カゲマン,C2485,6,2001-11-28,2002-01-16
C10006,Mr.Digital TOKORO the comical cartoon ［第1期］,C2403,120,2000-10-03,2001-03-24
C10008,GEAR戦士[ギアファイター]  電童,C2404,38,2000-10-04,2001-06-27
C10010,グラビテーション,C2336,13,2000-10-04,2001-01-10
C10012,はじめの 一歩 THE FIGHTING!,C2406,75,2000-10-04,2002-03-27
C10014,アルジェント ソーマ,C2407,24,2000-10-06,2001-03-23
C10016,勝負師伝説 哲也,C2408,20,2000-10-07,2001-03-24
C10018,Sci-Fi HARRY,C2409,20,2000-10-07,2001-03-24
C10020,真・女神転生 デビチル,C4027,50,2000-10-07,2001-09-29
C10022,ベイビーフィリックス,C2410,65,2000-10-08,2001-06-29
C10024,無敵王 トライゼノン,C2411,22,2000-10-14,2001-03-24
C10026,犬夜叉,C2413,171,2000-10-16,2004-09-13
C10028,CYBERSIX,C2414,13,2000-10-16,2001-01-08
C10030,人造人間 キカイダー THE ANIMATION,C2415,13,2000-10-16,2001-01-08
C10032,学校の怪談,C2416,20,2000-10-22,2001-03-11
C10034,機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],C2417,26,2000-10-24,2001-05-01
C10038,ドッとKONIちゃん,C2420,26,2000-11-03,2001-05-29
C10042,ピポパポ パトルくん,C2422,65,2000-12-04,2001-03-07
C10051,激動! 歴史を変える男たち ～ アニメ 静岡県史～,C2314,13,2000-03-20,2000-03-28
C10053,ゾイド 新世紀/ZERO,C2286,26,2001-01-06,2001-06-30
C10054,破壊魔定光,C2459,10,2001-01-17,2001-03-21
C10056,も～っと! おジャ魔女どれみ,C2226,50,2001-02-04,2002-01-27
C10060,サラリーマン金太郎,C2460,20,2001-02-18,2001-03-18
C10062,Dr.リンにきいてみて!,C2461,51,2001-03-05,2002-02-25
C10066,ビップとバップ “The Adventures of Bip ＆ Bap”,C2463,3,2002-02-18,2005-04-18
C10068,ネコのさくせん,C2464,1,2001-04-16,2001-04-16
C10072,機動天使エンジェリックレイヤー,C2466,26,2001-04-01,2001-09-30
C10074,Cosmic Baton Girl コメットさん★,C1512,31,2001-04-01,2002-01-27
C10076,こみっくパーティー,C2468,13,2001-04-02,2001-06-25
C10078,超GALS! 寿蘭,C2469,52,2001-04-01,2002-03-31
C10080,デジモンテイマーズ,C2231,51,2001-04-01,2002-03-31
C10082,RUN=DIM,C2470,13,2001-04-01,2001-06-24
C10086,ジャングルはいつもハレのちグゥ,C2471,26,2001-04-03,2001-09-25
C10088,STAR OCEAN EX,C2472,26,2001-04-03,2001-09-25
C10090,魔法戦士 リウイ,C2473,24,2001-04-03,2001-09-18
C10092,THE SOUL TAKER,C2474,13,2001-04-04,2001-07-04
C10094,新白雪姫伝説プリーティア,C2475,13,2001-04-04,2001-06-27
C10096,GENE shaft,C2476,13,2001-04-05,2001-06-28
C10098,シスター・プリンセス,C2477,27,2001-03-29,2001-09-27
C10100,Di Gi Charat お花見すぺしゃる,C2313,4,2001-04-06,2001-04-06
C10102,電脳冒険記ウェブダイバー,C2479,38,2001-07-13,2002-03-29
C10104,NOIR,C2480,26,2001-04-06,2001-09-28
C10106,破邪巨星 G弾劾凰,C2481,13,2001-04-06,2001-07-06
C10109,パチスロ貴族 銀,C2486,23,2001-04-12,2001-09-20
C10111,鋼鉄天使 くるみ2式,C4477,12,2001-04-13,2001-06-29
C10113,花右京メイド隊,C2487,12,2001-04-13,2001-06-29
C10115,ゴーゴー五つ子ら・ん・ど,C2488,50,2001-04-14,2002-03-30
C10117,パラッパラッパー,C2491,30,2001-04-14,2002-01-11
C10119,だいすき! ぶぶ チャチャ,C2492,26,2001-05-10,2001-11-29
C10121,すしあざらし,C2493,30,2001-01-20,2001-09-29
C10123,学園戦記ムリョウ,C2494,28,2001-05-08,2001-12-04
C10125,オフサイド,C2495,39,2001-05-10,2002-01-31
C10127,チャンス トライアングルセッション,C2496,14,2001-05-14,2001-08-27
C10129,フィギュア17 つばさ＆ヒカル,C2497,15,2001-05-27,2002-05-26
C10131,まみむめ★もがちょ,C2499,13,2001-07-01,2001-09-23
C10133,あぃまぃみぃ! ストロベリー・エッグ,C2500,13,2001-07-04,2001-09-26
C10135,シャーマンキング,C2502,65,2001-07-04,2002-09-25
C10137,スクライド,C2503,26,2001-07-04,2001-12-26
C10139,フルーツバスケット,C2504,27,2001-05-03,2001-12-27
C10141,魔法少女猫 たると,C2505,12,2001-07-05,2001-09-27
C10143,コスモウォーリアー零,C2506,13,2001-07-07,2001-09-29
C10145,ののちゃん,C2507,61,2001-07-07,2002-09-28
C10147,星界の戦旗Ⅱ,C2219,11,2001-07-08,2001-09-26
C10149,グラップラー刃牙 ―最大トーナメント編―,C2455,23,2001-07-24,2001-12-25
C10151,SAMURAI GIRL リアルバウト ハイスクール,C2508,14,2001-07-21,2001-10-22
C10153,筋肉 番付 金剛くんの大冒険!,C2514,3,2001-07-30,2001-08-01
C10157,Di Gi Charat なつやすみスペシャル,C2313,4,2001-08-02,2001-08-03
C10161,砂漠の海賊! キャプテンクッパ,C2516,25,2001-08-13,2002-02-04
C10163,PROJECT ARMS The 2nd Chapter,C2484,26,2001-10-07,2002-03-31
C10165,くるくるアミー,C2519,65,2001-10-01,2001-12-28
C10167,旋風の用心棒 ～黒澤明監督作品「用心棒」より～,C2520,8,2001-10-02,2001-11-27
C10169,しあわせソウの オコジョさん,C2521,51,2001-10-02,2002-09-24
C10171,ちっちゃな雪使いシュガ～,C2522,24,2001-10-03,2002-03-27
C10173,おとぎストーリー 天使のしっぽ,C2524,12,2001-10-04,2001-12-20
C10175,VANDREAD the Second Stage,C2402,14,2001-10-05,2002-09-14
C10177,ナジカ電撃作戦,C2525,12,2001-10-05,2001-12-27
C10179,ストレイシープ ポーのちっちゃな大冒険,C1659,18,2001-10-06,2005-01-02
C10181,バビル2世［新］,C2712,13,2001-10-06,2001-12-29
C10183,星のカービィ,C2526,100,2001-10-06,2003-09-27
C10185,まほろまてぃっく Automatic Maiden,C2527,13,2001-10-06,2001-12-29
