actid,actname,wiki_size,gender
ACT00000,AIRI_(声優),2597,female
ACT00001,AKIKO_(声優),4359,female
ACT00002,AYA_(声優),4471,female
ACT00003,Ashir,2057,female
ACT00004,Ayami_(アニソン歌手),6910,female
ACT00005,Ayano_(タレント),1884,female
ACT00006,Ayasa,29243,female
ACT00007,Ayumi.,36491,female
ACT00008,Chiko,13702,female
ACT00009,GALDE'rLa,7086,female
ACT00010,Hazuki,9401,female
ACT00011,Jenya,32534,female
ACT00012,KAORI.,43911,female
ACT00013,KINAKO,3925,female
ACT00014,LOMI,6883,female
ACT00015,Liyuu,25963,female
ACT00016,Lynn,118158,female
ACT00017,MAI_(ナレーター),7604,female
ACT00018,MAKO,32044,female
ACT00019,MARIO_(声優),3071,female
ACT00020,MI-KO,5374,female
ACT00021,MIQ,8575,female
ACT00022,Machico,128523,female
ACT00023,Mahilo,5284,female
ACT00024,Mika_(ドラマー),5209,female
ACT00025,Mio_(ナレーター),3919,female
ACT00026,Misono,29548,female
ACT00027,MoeMi,22697,female
ACT00028,Myco,10592,female
ACT00029,M・A・O,84,female
ACT00030,NaTsu,2430,female
ACT00031,Nayuta,10203,female
ACT00032,Nazuna米,3063,female
ACT00033,Nobuko,4916,female
ACT00034,Nona_(ディスクジョッキー),8581,female
ACT00035,PON_(声優),2044,female
ACT00036,Pile,30438,female
ACT00037,REIKA,11078,female
ACT00038,RURU_(声優),2856,female
ACT00039,Raychell,12337,female
ACT00040,Shizuku,26879,female
ACT00041,TARAKO,52657,female
ACT00042,VieVie,2353,female
ACT00043,YUKI_(声優),3912,female
ACT00044,YURIA,19631,female
ACT00045,Yuki-Lin,7549,female
ACT00046,Yunocy,24449,female
ACT00047,〆野潤子,9659,female
ACT00048,あえか_(声優),2675,female
ACT00049,あおいひとみ,2937,female
ACT00050,あおきさやか,19531,female
ACT00051,あおきまお,7452,female
ACT00052,あかいとまと,3288,female
ACT00053,あかがわまき,4813,female
ACT00054,あきやまかおる,7920,female
ACT00055,あきやまるな,11720,female
ACT00056,あさみほとり,21895,female
ACT00057,あさむらまほり,1777,female
ACT00058,あさり☆,9313,female
ACT00059,あじ秋刀魚,33900,female
ACT00060,あづみれいか,4622,female
ACT00061,あべるみ,2345,female
ACT00062,あまの晴奈,2378,female
ACT00063,あらいしずか,12782,female
ACT00064,あらまり,4602,female
ACT00065,ありかわ真奈,12139,female
ACT00066,ありす_(声優),3120,female
ACT00067,あんどうさくら,8223,female
ACT00068,いけながあいみ,17683,female
