aeid,aename,date,aeno,acid,acname,asid
M817508,サラリーマン冒険者,2017-10-03,第1話,,,
M817557,美女と少年,2017-10-03,1,,,
M817593,第一話「さくやこのはな」,2017-10-05,1,,,
M817533,「猪も七代目には豚になる」,2017-10-06,1,,,
M817545,『人を殺すことができる国』,2017-10-06,1,,,
M817496,フォスフォフィライト,2017-10-07,1,,,
M817520,理由あって、アイドル！,2017-10-07,第1話,,,
M817581,ショコラウサギちゃんとみんなの夢,2017-10-07,1,,,
M817484,「私たちの大事な世界の全てだった」,2017-10-08,1,,,
M817509,禁じ手,2017-10-10,第2話,,,
M817558,裸で出会えば友達（ダチ）になる,2017-10-10,2,,,
M817569,私たち、Wake Up ／  Girls！でーす！,2017-10-10,1,,,
M817594,第二話「春の旅路」,2017-10-12,2,,,
M817534,「鶏鳴狗盗」,2017-10-13,2,,,
M817546,『コロシアム』,2017-10-13,2,,,
M817497,ダイヤモンド,2017-10-14,2,,,
M817521,それぞれの輝き,2017-10-14,第2話,,,
M817582,ひみつのツリーハウスツアー！,2017-10-14,2,,,
M817485,「鯨（ファレナ）の罪人たち」,2017-10-15,2,,,
M817510,名前を入力してください,2017-10-17,第3話,,,
M817559,不死人たちの城,2017-10-17,3,,,
M817570,ここが私たちのホーム,2017-10-17,2,,,
M817595,第三話「恋待ち焦がれ」,2017-10-19,3,,,
M817535,「牛刀をもって鶏を裂く」,2017-10-20,3,,,
M817547,『迷惑な国』,2017-10-20,3,,,
M817498,メタモルフォス,2017-10-21,3,,,
M817522,飛び立つ勇気,2017-10-21,第3話,,,
M817583,いつもにぎやかショコラウサギファミリー,2017-10-21,3,,,
M817486,「こんな世界は、もうどうでもいい」,2017-10-22,3,,,
M817511,ウルフの正体,2017-10-24,第4話,,,
M817560,刺客襲来,2017-10-24,4,,,
M817571,ポニーテールは本体です,2017-10-24,3,,,
M817596,第四話「夢の浮き橋」,2017-10-26,4,,,
M817536,「敵もさる者、ひっかく者」,2017-10-27,4,,,
M817548,『船の国』,2017-10-27,4,,,
M817499,魂・肉・骨,2017-10-28,4,,,
M817523,ハッピースマイル,2017-10-28,第4話,,,
M817584,ハロウィン大作戦！,2017-10-28,4,,,
M817487,「泥クジラと共に砂に召されるのだよ」,2017-10-29,4,,,
M817512,お局のイングリット,2017-10-31,第5話,,,
M817561,闇の魔法（マギア・エレベア）,2017-10-31,5,,,
M817572,美味しい時はうんめーにゃー！,2017-10-31,4,,,
M817597,第五話「梅雨送りし」,2017-11-02,5,,,
M817537,「羊の皮をかぶった狼」,2017-11-03,5,,,
M817549,『嘘つき達の国』,2017-11-03,5,,,
M817500,帰還,2017-11-04,5,,,
M817524,先生よ、大志を抱け！,2017-11-04,第5話,,,
M817585,お誕生日ケーキ・プレゼントレース,2017-11-04,5,,,
M817488,「逃げるのはイヤだ」,2017-11-05,5,,,
M817513,ソフィアの贈り物,2017-11-07,第6話,,,
M817562,九郎丸は苦労する,2017-11-07,6,,,
M817573,同じ夢を見てる,2017-11-07,5,,,
M817598,第六話「此花亭怪談」,2017-11-09,6,,,
M817538,「千里の馬も蹴躓く」,2017-11-10,6,,,
M817550,『雲の中で』,2017-11-10,6,,,
M817501,初陣,2017-11-11,6,,,
M817525,二人が選ぶVictory,2017-11-11,第6話,,,
M817586,大きな海でバケーション！,2017-11-11,6,,,
M817489,「明日、人を殺してしまうかもしれない」,2017-11-12,6,,,
M817514,中途採用のエナ,2017-11-14,第7話,,,
M817563,リセット＆リスタート,2017-11-14,7,,,
M817574,１人でもＷＵＧ！７人でもＷＵＧ！,2017-11-14,6,,,
M817599,第七話「夏祭りの夜」,2017-11-16,7,,,
M817539,「竜頭蛇尾（先攻）」,2017-11-17,7,,,
M817551,『歴史のある国』,2017-11-17,7,,,
M817502,冬眠,2017-11-18,7,,,
M817526,青春のリミット,2017-11-18,第7話,,,
M817587,すてきな街のショコラウサギのお姉さん,2017-11-18,7,,,
M817490,「お前たちの未来が見たい」,2017-11-19,7,,,
M817515,帝国の怪人,2017-11-21,第8話,,,
M817564,フェイト捕獲作戦,2017-11-21,8,,,
M817600,第八話「かりそめの訪客」,2017-11-23,8,,,
M817540,「竜頭蛇尾（後攻）」,2017-11-24,8,,,
M817552,『電波の国』,2017-11-24,8,,,
M817503,アンタークチサイト,2017-11-25,8,,,
M817527,海・合宿・315の夏！,2017-11-25,第8話,,,
M817588,お誕生日の素敵な魔法,2017-11-25,8,,,
M817491,「この世から消えてしまえ」,2017-11-26,8,,,
M817516,恋のゆくえ,2017-11-28,第9話,,,
M817565,恋とお風呂の反復運動,2017-11-28,9,,,
M817575,キツい時ほど笑ってナンボ,2017-11-28,8,,,
M817601,第九話「泡沫（うたかた）の…」,2017-11-30,9,,,
M817541,「二兎追う者は一兎も得ず」,2017-12-01,9,,,
M817553,『いろいろな国』,2017-12-01,9,,,
M817504,春,2017-12-02,9,,,
M817528,Over AGAIN...,2017-12-02,第9話,,,
M817589,お姉さんたちのドリーム・デート！,2017-12-02,9,,,
M817492,「君の選択の、その先が見たい」,2017-12-03,9,,,
M817517,ホームシック,2017-12-05,第10話,,,
M817566,麻帆良学園へようこそ,2017-12-05,10,,,
M817576,進んでるって信じて,2017-12-05,9,,,
M817602,第十話「姉上襲来」,2017-12-07,10,,,
M817542,「虎は死んで皮を残す」,2017-12-08,10,,,
M817554,『優しい国』,2017-12-08,10,,,
M817505,しろ,2017-12-09,10,,,
M817529,sunset of youth,2017-12-09,第10話,,,
M817590,たすけて！トイプードルちゃん,2017-12-09,10,,,
M817493,「新しい旅に出るわ」,2017-12-10,10,,,
M817518,理由,2017-12-12,第11話,,,
M817567,彼女の恋の物語,2017-12-12,11,,,
M817577,WUG！と言えば……？,2017-12-12,10,,,
M817603,第十一話「神様の休日」,2017-12-14,11,,,
M817543,「人の牛蒡で法事する」,2017-12-15,11,,,
M817555,『大人の国』,2017-12-15,11,,,
M817506,秘密,2017-12-16,11,,,
M817530,風薫る日の決意,2017-12-16,第11話,,,
M817591,どきどき演奏会,2017-12-16,11,,,
M817494,「夢の話だ」,2017-12-17,11,,,
M817519,聖戦（被）,2017-12-19,第12話,,,
M817568,来れ(アデアット)！　尽きせぬ想い,2017-12-19,12,,,
M817578,新芽を出せ！,2017-12-19,11,,,
M817604,第十二話「大晦日の奇跡」,2017-12-21,12,,,
M817544,最終回,2017-12-22,12,,,
M817556,『羊たちの草原』,2017-12-22,12,,,
M817507,新しい仕事,2017-12-23,12,,,
M817531,どんな理由も、どんな夢も、、、,2017-12-23,第12話,,,
M817592,お姉さんたちのドリーム・プレゼント！,2017-12-23,12,,,
M817495,「ここに生まれてよかった」,2017-12-24,12,,,
M817579,私たちにできること,2017-12-26,12,,,
M817532,ずっと、ずっと、その先へ,2017-12-30,第13話,,,
M817580,明るいほうへ,2018-01-08,13,,,
M53276,シャドーマン 誕生事件!!（4/10～4/11）,,1,C10005,探偵少年カゲマン,C2485
M53277,シャドーマン 誕生事件!!・続き（4/16～4/17）,,2,C10005,探偵少年カゲマン,C2485
M53278,今日から仲間だ! チュンチュン・ブイブイ事件（4/18～4/19）,,3,C10005,探偵少年カゲマン,C2485
M53279,デ・アールからの 挑戦状事件（4/23～4/24）,,4,C10005,探偵少年カゲマン,C2485
M53280,水晶玉盗難事件!!（4/25～4/26）,,5,C10005,探偵少年カゲマン,C2485
M53281,ライバル探偵 光 光太郎 登場事件（4/30～5/1）,,6,C10005,探偵少年カゲマン,C2485
M53282,おはよう娘。 盗難事件!!（5/2～5/3）,,7,C10005,探偵少年カゲマン,C2485
M53283,謎のお宝 盗難事件!!（5/14～5/15）,,8,C10005,探偵少年カゲマン,C2485
M53284,幻の切手 盗難事件!!（5/16～5/17）,,9,C10005,探偵少年カゲマン,C2485
M53285,野外訓練 サバイバル事件!!（5/21～5/22）,,10,C10005,探偵少年カゲマン,C2485
M53286,デ・アールの 遊園地大作戦事件!!（5/23～5/24）,,11,C10005,探偵少年カゲマン,C2485
M53287,電動カラクリ 屋敷の甘い罠!!（5/28～5/29）,,12,C10005,探偵少年カゲマン,C2485
M53288,お嬢様探偵 参上事件!!（5/30～5/31）,,13,C10005,探偵少年カゲマン,C2485
M53289,のろいの ミイラ事件!!（6/18～6/19）,,14,C10005,探偵少年カゲマン,C2485
M53290,さよならシャドーマン なのであ～る事件!!（6/20～6/21）,,15,C10005,探偵少年カゲマン,C2485
M53291,カラーで変身! 西部の大追跡事件!!（6/25～6/26）,,16,C10005,探偵少年カゲマン,C2485
M53292,怪盗デ・アール 七変化事件!!（6/27～6/28）,,17,C10005,探偵少年カゲマン,C2485
M53293,海賊船の 秘宝を守れ!!事件!!（7/2～7/3）,,18,C10005,探偵少年カゲマン,C2485
M53294,探偵小学校 競技会事件!!（9/17～9/18）,,19,C10005,探偵少年カゲマン,C2485
M53295,ミラノ家の秘密!? テン子の里帰り事件!!（9/19～9/20）,,20,C10005,探偵少年カゲマン,C2485
M53296,シャドーマシーン 猛レース事件!!（9/24～9/25）,,21,C10005,探偵少年カゲマン,C2485
M53297,チュンチュン 誘拐事件!!（9/26～9/27）,,22,C10005,探偵少年カゲマン,C2485
M53298,悪の帝王 登場事件!![前編]（10/8～10/9）,,23,C10005,探偵少年カゲマン,C2485
M53299,悪の帝王 登場事件!![後編]（10/10～10/11）,,24,C10005,探偵少年カゲマン,C2485
M53300,新型ゲーム機 盗難事件!!（10/15～10/16）,,25,C10005,探偵少年カゲマン,C2485
M53301,恐怖の 窃盗団事件!!（10/17～10/18）,,26,C10005,探偵少年カゲマン,C2485
M53302,兄弟怪盗 ノ・アール参上事件!!（10/22～10/23）,,27,C10005,探偵少年カゲマン,C2485
M53303,二人の カゲマン事件!!（10/24～10/25）,,28,C10005,探偵少年カゲマン,C2485
M53304,ファッションショー 潜入捜査事件!!（10/29～10/30）,,29,C10005,探偵少年カゲマン,C2485
M53305,スーパースター 危機一髪事件!!（10/31～11/1）,,30,C10005,探偵少年カゲマン,C2485
M53306,過去へ行った カゲマン達事件!![前編]（11/12～11/13）,,31,C10005,探偵少年カゲマン,C2485
M53307,過去へ行った カゲマン達事件!![後編]（11/14～11/15）,,32,C10005,探偵少年カゲマン,C2485
M53308,メカ探偵との 対決事件!!（11/26～11/27）,,33,C10005,探偵少年カゲマン,C2485
M52278,,,,C10036,ドキッ!両津だらけのアニメ大会!ポロリもあるよ こち亀SP-スポーツ祭典の後は両さんの祭典だぞ!,C6832
M52307,,,,C10040,Di Gi Charat クリスマススペシャル,C2313
M52375,,,,C10044,ラブひな クリスマス・スペシャル ～サイレント・イヴ～,C2385
M52377,,,,C10046,ポケットモンスター ミュウツー! 我ハココニ在リ,C1985
M52379,,,,C10048,2000年最後で最高のクリスマスプレゼント こち亀・学校の怪談がウチにやってきた! ▽こち亀（こちら葛飾区亀有公園前派出所）「両さん最大の危機!ライバルはチャキチャキ江戸っ娘」「二十一世紀だよ!祝い隊参上」▽学校の怪談「夜をさまよう死体シロタビ」,C6832
M52381,,,,C10050,GHIBLIES,C2425
M52603,,,,C10058,タッチ CROSS ROAD 風のゆくえ,C6810
M52678,,,,C10064,21世紀まんがはじめて物語,C4233
M52686,,,,C10070,ケロケロキング,C2465
M52880,,,,C10084,ラブひな 春スペシャル ～キミ サクラチルナカレ!!～,C2385
M53899,,,,C10155,夏祭りはもう行った?こち亀＆ワンピースで今夜はたっぷり2時間お祭り騒ぎ!両さんもルフィも君を待ってるぞスペシャル,C2515
M53906,,,,C10159,ルパン三世 アルカトラズ コネクション,C2445
M54918,,,,C10209,VANDREAD胎動篇,C2402
M54971,,,,C10213,栗御飯に栗がなくても元気を出して!両さん＆ルフィはいつも君の味方さ!2時間まるまるアニメだぞSP,C2515
M54990,,,,C10219,両さん＆ルフィが2時間大活躍しっぱなしクリスマス目前!これで大量プレゼント絶対ゲットSP!,C2515
M55033,,,,C10225,ポケットモンスター クリスタル ライコウ 雷の伝説,C1985
M55035,,,,C10227,冬休みも最後!3時間人気アニメ大集合スペシャル,C2570
M57766,,,,C10265,時代先取り!史上初秋休みアニメ特大スペシャルドドンと一挙2時間!!両さんルフィと一緒に思いっきり遊んじゃえ,C2515
M57793,,,,C10269,ポンユタウン,C2637
M55559,,,,C10310,こち亀＆ワンピース2時間アニメスペシャル,C2515
M55632,,,,C10316,逮捕しちゃうぞ YOU'RE UNDER ARREST Special Episode. NO MERCY!!,C1695
M55788,,,,C10328,祝!入学＆進級!!両さん＆ルフィも年をとる?新学年必勝虎の巻,C2515
M57541,,,,C10394,ルパン三世 EPISODE:0 ファーストコンタクト,C2445
M57543,,,,C10396,ウミガメと少年,C2625
M57628,お前、恭介か・・・?（9/8・9/11）,,1,C10404,ハングリーハート WILD STRIKER,C2630
M57629,ありがとう・・・コーチ!（9/8・9/18）,,2,C10404,ハングリーハート WILD STRIKER,C2630
M58914,,,,C10434,大掃除終わったかぁ両さん＆ルフィとまずはアニメにどっぷりSP,C2515
M59021,,,,C10442,お年玉を使わなくてもドキドキ夢いっぱい!衝撃と笑劇のお正月アニメSHOW!!,C2686
M60623,,,,C10466,スーパークマさん,C2736
M59317,,,,C10486,アニメHAPPY!春休みはすぐそこまで来ている人気者大集合スペシャル,C2697
M59591,,,,C10500,両さん＆ルフィ今日は仲良くダブル特別版で迫力も2倍!お花見気分で盛り上がるぞ!!春らんまんスペシャル,C2515
M59593,,,,C10502,時空冒険記ゼントリックス,C2703
M61780,,,,C10563,まる子サザエと両さんルフィからクリスマスプレゼント冬休み直前アニメスペシャル!!,C2785
M60557,,,,C10588,はじめの一歩THE FIGHTING!～ Champion Road ～,C2406
M60789,,,,C10604,まほろまてぃっく Automatic Maiden 夏のTVスペシャル えっちなのはいけないと思います!,C2527
M60799,,,,C10610,ルパン三世お宝返却大作戦!!,C2445
M60801,,,,C10612,onちゃん 夢パワー大冒険!,C2749
M60803,,,,C10614,終戦の日特別アニメ伝えたい戦争童話集『凧になったお母さん』,C2750
M60805,南から来た男（8/26）妥協無用のホステージ[未放映],,1,C10616,フルメタル・パニック?ふもっふ,C2574
M60818,,,,C10618,ちわわわーるど,C2752
M62534,,,,C10624,桜もビックリ!春だねアニメだねスペシャルまる子サザエさん両さんルフィで全員集合だ!,C2785
M60847,,,,C10626,サザエさんお誕生日両さんまる子も大興奮ドドーンとアニメSP,C2754
M60861,常姫物語（/）,,13,C10628,福島民話館 ねえ みんな…,C2755
M60862,歯形の栗（/）,,14,C10628,福島民話館 ねえ みんな…,C2755
M60863,河童の 詫び証文（/）,,15,C10628,福島民話館 ねえ みんな…,C2755
M60864,如蔵尼（/）,,16,C10628,福島民話館 ねえ みんな…,C2755
M60865,蟹と鰻 の争い（/）,,17,C10628,福島民話館 ねえ みんな…,C2755
M60866,安達ヶ原の 鬼婆（/）,,18,C10628,福島民話館 ねえ みんな…,C2755
M60867,虚空蔵さまと 赤ベコ（/）,,19,C10628,福島民話館 ねえ みんな…,C2755
M60868,日の出松 伝説（/）,,20,C10628,福島民話館 ねえ みんな…,C2755
M60869,きつねうち 物語（/）,,21,C10628,福島民話館 ねえ みんな…,C2755
M60870,羽衣伝説（/）,,22,C10628,福島民話館 ねえ みんな…,C2755
M60871,サルとカオスの 化かし合い（/）,,23,C10628,福島民話館 ねえ みんな…,C2755
M60872,下舞木の 子育て地蔵（/）,,24,C10628,福島民話館 ねえ みんな…,C2755
M60873,朝日長者と 小野観音（/）,,25,C10628,福島民話館 ねえ みんな…,C2755
M60874,小鶴明神（/）,,26,C10628,福島民話館 ねえ みんな…,C2755
M60875,桙衝神社の つなぎ駒（/）,,27,C10628,福島民話館 ねえ みんな…,C2755
M60876,玄翁和尚と 白狐（/）,,28,C10628,福島民話館 ねえ みんな…,C2755
M60877,姫君と名馬（/）,,29,C10628,福島民話館 ねえ みんな…,C2755
M60878,八幡太郎義家 の大蛇退治（/）,,30,C10628,福島民話館 ねえ みんな…,C2755
M60879,岩崎砦の 米の滝（/）,,31,C10628,福島民話館 ねえ みんな…,C2755
M60880,猫なき石（/）,,32,C10628,福島民話館 ねえ みんな…,C2755
M60881,たんがら山（/）,,33,C10628,福島民話館 ねえ みんな…,C2755
M60882,寺堀の 毘沙門天（/）,,34,C10628,福島民話館 ねえ みんな…,C2755
M60883,大悲山 大蛇物語（/）,,35,C10628,福島民話館 ねえ みんな…,C2755
M60884,大多鬼丸（/）,,36,C10628,福島民話館 ねえ みんな…,C2755
M60885,大沢の にしん地蔵様（/）,,37,C10628,福島民話館 ねえ みんな…,C2755
M60886,あめ買い ユーレイ（/）,,38,C10628,福島民話館 ねえ みんな…,C2755
M60887,観音様の ご利益（/）,,39,C10628,福島民話館 ねえ みんな…,C2755
M60888,長岡の 天王桶（/）,,40,C10628,福島民話館 ねえ みんな…,C2755
M60889,降居姫 伝説（/）,,41,C10628,福島民話館 ねえ みんな…,C2755
M60890,皆鶴姫 物語（/）,,42,C10628,福島民話館 ねえ みんな…,C2755
M60891,機織御前姫 と亀石（/）,,43,C10628,福島民話館 ねえ みんな…,C2755
M60892,川流れ 地蔵（/）,,44,C10628,福島民話館 ねえ みんな…,C2755
M60893,長法寺の 竜（/）,,45,C10628,福島民話館 ねえ みんな…,C2755
M60894,おかめ馬（/）,,46,C10628,福島民話館 ねえ みんな…,C2755
M60895,ぜに長者（/）,,47,C10628,福島民話館 ねえ みんな…,C2755
M60896,楢淵の 話（/）,,48,C10628,福島民話館 ねえ みんな…,C2755
M60897,狐の 恩返し（/）,,49,C10628,福島民話館 ねえ みんな…,C2755
M60898,香野姫 明神（/）,,50,C10628,福島民話館 ねえ みんな…,C2755
M60899,虎捕山の 白狼（/）,,51,C10628,福島民話館 ねえ みんな…,C2755
M60900,万里姫 物語（/）,,52,C10628,福島民話館 ねえ みんな…,C2755
M60901,陣場村の 千海和尚（/）,,53,C10628,福島民話館 ねえ みんな…,C2755
M60902,源翁和尚と 熱塩温泉（/）,,54,C10628,福島民話館 ねえ みんな…,C2755
M61069,,,,C10644,秋まっ盛り!両さんルフィで楽しさ2倍 超豪華アニメスペシャル,C2515
M62090,,,,C10687,おじゃる丸＆忍たま乱太郎スペシャル 名エピソードを凝縮!奇跡の90分,C2825
M62092,,,,C10689,無人惑星サヴァイヴ・スペシャル 宇宙で異世界に流れついた少年少女,C2779
M62122,,,,C10693,無人惑星サヴァイヴ・スペシャル2 1年間にわたるルナたちの漂流生活をふりかえる,C2779
M62124,,,,C10695,出撃!マシンロボレスキュースペシャル お正月だよ大隊出場!,C6870
M62126,,,,C10697,ヒカルの碁スペシャル 北斗杯への道,C2531
M62391,,,,C10722,虚像の神様 麻原法廷漫画 《判決編》,C2175
M69076,,,,C10743,ルパン三世 天使の策略 ～夢のカケラは 殺しの香り～,C2445
M69078,,,,C10745,あした・きらりん,C3047
M69083,,,,C10749,ほとり ～たださいわいを希う。～,C3048
M69113,,,,C10753,ぼくの防空壕,C3050
M70580,,,,C10759,ファイテンション ☆ デパート[番組枠],C3148
M70582,,,,C10761,おでんくんスペシャル,C3015
M62763,[未放映],,10,C10776,GANTZ ～the first stage～,C2844
M64114,チャージ!!!!（4/19～4/23）,,1,C10841,デュエル・マスターズ チャージ,C2650
M64115,バトルアリーナ開幕（4/26～4/30）,,2,C10841,デュエル・マスターズ チャージ,C2650
M64116,黒い包囲網（5/10～5/14）,,3,C10841,デュエル・マスターズ チャージ,C2650
M64117,立ち塞がる罠（5/24～5/28）,,4,C10841,デュエル・マスターズ チャージ,C2650
M64118,ラスト デュエル（6/7～6/11）,,5,C10841,デュエル・マスターズ チャージ,C2650
M64119,デュエル道場!!（6/21～6/25）,,6,C10841,デュエル・マスターズ チャージ,C2650
M64120,おむつデスマッチ!（7/5～7/9）,,7,C10841,デュエル・マスターズ チャージ,C2650
M64121,謎のドラゴンマスク!（7/19～7/23）,,8,C10841,デュエル・マスターズ チャージ,C2650
M64122,最弱のデュエリスト!?（9/6～9/10）,,9,C10841,デュエル・マスターズ チャージ,C2650
M64123,敵は自分!（9/13～9/17）,,10,C10841,デュエル・マスターズ チャージ,C2650
M64124,愛とデュエル!（9/20～9/24）,,11,C10841,デュエル・マスターズ チャージ,C2650
M64125,さわやか牛次郎!（9/27～10/1）,,12,C10841,デュエル・マスターズ チャージ,C2650
M64126,イエ～イ!バケツマン!（10/4～10/8）,,13,C10841,デュエル・マスターズ チャージ,C2650
M64127,天使 VS 死神（10/11～10/15）,,14,C10841,デュエル・マスターズ チャージ,C2650
M64128,オール虫虫大進撃だべ!（10/25～10/29）,,15,C10841,デュエル・マスターズ チャージ,C2650
