asid,年代,シリーズ合計話数,代表的なアニメ作品名
C1462,1990,696,忍たま 乱太郎［第1期］
C1462,2000,765,忍たま 乱太郎［第1期］
C1462,2010,623,忍たま 乱太郎［第1期］
C1327,1990,1166,クレヨンしんちゃん
C1327,2000,382,クレヨンしんちゃん
C1327,2010,378,クレヨンしんちゃん
C2158,1990,180,おじゃる丸
C2158,2000,890,おじゃる丸
C2158,2010,583,おじゃる丸
C1640,1990,8,親子クラブ
C1640,2000,996,親子クラブ
C1640,2010,359,親子クラブ
C4102,1990,9,いない いない ばあっ![第4期]
C4102,2000,991,いない いない ばあっ![第4期]
C4102,2010,245,いない いない ばあっ![第4期]
C1497,1990,330,しましまとらの しまじろう
C1497,2000,516,しましまとらの しまじろう
C1497,2010,361,しましまとらの しまじろう
C1945,1990,5,サザエさん
C1945,2000,503,サザエさん
C1945,2010,667,サザエさん
C1022,1990,3,ちびまる子ちゃん［新］
C1022,2000,503,ちびまる子ちゃん［新］
C1022,2010,488,ちびまる子ちゃん［新］
C7048,1990,3,それいけ！アンパンマン
C7048,2000,481,それいけ！アンパンマン
C7048,2010,474,それいけ！アンパンマン
C2116,1990,27,遊☆戯☆王
C2116,2000,497,遊☆戯☆王
C2116,2010,396,遊☆戯☆王
