asid,年代,シリーズ合計放送日数,代表的なアニメ作品名
C1462,1990,648,忍たま 乱太郎［第1期］
C1462,2000,759,忍たま 乱太郎［第1期］
C1462,2010,617,忍たま 乱太郎［第1期］
C2158,1990,180,おじゃる丸
C2158,2000,889,おじゃる丸
C2158,2010,580,おじゃる丸
C4102,1990,9,いない いない ばあっ![第4期]
C4102,2000,991,いない いない ばあっ![第4期]
C4102,2010,245,いない いない ばあっ![第4期]
C1640,1990,8,親子クラブ
C1640,2000,985,親子クラブ
C1640,2010,174,親子クラブ
C1497,1990,166,しましまとらの しまじろう
C1497,2000,509,しましまとらの しまじろう
C1497,2010,357,しましまとらの しまじろう
C1327,1990,365,クレヨンしんちゃん
C1327,2000,380,クレヨンしんちゃん
C1327,2010,249,クレヨンしんちゃん
C2116,1990,27,遊☆戯☆王
C2116,2000,489,遊☆戯☆王
C2116,2010,375,遊☆戯☆王
C1945,1990,4,サザエさん
C1945,2000,502,サザエさん
C1945,2010,349,サザエさん
C1022,1990,3,ちびまる子ちゃん［新］
C1022,2000,498,ちびまる子ちゃん［新］
C1022,2010,346,ちびまる子ちゃん［新］
C1985,1990,4,ポケットモンスター
C1985,2000,490,ポケットモンスター
C1985,2010,315,ポケットモンスター
