代表的なアニメ作品名,アニメシリーズID,放送年,初放送日,合計話数
クレヨンしんちゃん,C1327,1992,1992-04-13,106
クレヨンしんちゃん,C1327,1993,1992-04-13,159
クレヨンしんちゃん,C1327,1994,1992-04-13,158
クレヨンしんちゃん,C1327,1995,1992-04-13,156
クレヨンしんちゃん,C1327,1996,1992-04-13,142
クレヨンしんちゃん,C1327,1997,1992-04-13,159
クレヨンしんちゃん,C1327,1998,1992-04-13,153
クレヨンしんちゃん,C1327,1999,1992-04-13,133
クレヨンしんちゃん,C1327,2000,1992-04-13,41
クレヨンしんちゃん,C1327,2001,1992-04-13,44
クレヨンしんちゃん,C1327,2002,1992-04-13,39
クレヨンしんちゃん,C1327,2003,1992-04-13,36
クレヨンしんちゃん,C1327,2004,1992-04-13,32
クレヨンしんちゃん,C1327,2005,1992-04-13,39
クレヨンしんちゃん,C1327,2006,1992-04-13,41
クレヨンしんちゃん,C1327,2007,1992-04-13,33
クレヨンしんちゃん,C1327,2008,1992-04-13,40
クレヨンしんちゃん,C1327,2009,1992-04-13,37
クレヨンしんちゃん,C1327,2010,1992-04-13,36
クレヨンしんちゃん,C1327,2011,1992-04-13,38
クレヨンしんちゃん,C1327,2012,1992-04-13,36
クレヨンしんちゃん,C1327,2013,1992-04-13,32
クレヨンしんちゃん,C1327,2014,1992-04-13,63
クレヨンしんちゃん,C1327,2015,1992-04-13,70
クレヨンしんちゃん,C1327,2016,1992-04-13,103
クレヨンしんちゃん,C1327,2017,1992-04-13,0
忍たま 乱太郎［第1期］,C1462,1992,1993-04-10,0
忍たま 乱太郎［第1期］,C1462,1993,1993-04-10,77
忍たま 乱太郎［第1期］,C1462,1994,1993-04-10,83
忍たま 乱太郎［第1期］,C1462,1995,1993-04-10,120
忍たま 乱太郎［第1期］,C1462,1996,1993-04-10,175
忍たま 乱太郎［第1期］,C1462,1997,1993-04-10,62
忍たま 乱太郎［第1期］,C1462,1998,1993-04-10,98
忍たま 乱太郎［第1期］,C1462,1999,1993-04-10,81
忍たま 乱太郎［第1期］,C1462,2000,1993-04-10,84
忍たま 乱太郎［第1期］,C1462,2001,1993-04-10,83
忍たま 乱太郎［第1期］,C1462,2002,1993-04-10,82
忍たま 乱太郎［第1期］,C1462,2003,1993-04-10,82
忍たま 乱太郎［第1期］,C1462,2004,1993-04-10,83
忍たま 乱太郎［第1期］,C1462,2005,1993-04-10,58
忍たま 乱太郎［第1期］,C1462,2006,1993-04-10,50
忍たま 乱太郎［第1期］,C1462,2007,1993-04-10,53
忍たま 乱太郎［第1期］,C1462,2008,1993-04-10,100
忍たま 乱太郎［第1期］,C1462,2009,1993-04-10,90
忍たま 乱太郎［第1期］,C1462,2010,1993-04-10,90
忍たま 乱太郎［第1期］,C1462,2011,1993-04-10,90
忍たま 乱太郎［第1期］,C1462,2012,1993-04-10,90
忍たま 乱太郎［第1期］,C1462,2013,1993-04-10,76
忍たま 乱太郎［第1期］,C1462,2014,1993-04-10,70
忍たま 乱太郎［第1期］,C1462,2015,1993-04-10,70
忍たま 乱太郎［第1期］,C1462,2016,1993-04-10,77
忍たま 乱太郎［第1期］,C1462,2017,1993-04-10,60
しましまとらの しまじろう,C1497,1992,1993-12-13,0
しましまとらの しまじろう,C1497,1993,1993-12-13,4
しましまとらの しまじろう,C1497,1994,1993-12-13,100
しましまとらの しまじろう,C1497,1995,1993-12-13,100
しましまとらの しまじろう,C1497,1996,1993-12-13,100
しましまとらの しまじろう,C1497,1997,1993-12-13,22
しましまとらの しまじろう,C1497,1998,1993-12-13,0
しましまとらの しまじろう,C1497,1999,1993-12-13,4
しましまとらの しまじろう,C1497,2000,1993-12-13,51
しましまとらの しまじろう,C1497,2001,1993-12-13,51
しましまとらの しまじろう,C1497,2002,1993-12-13,50
しましまとらの しまじろう,C1497,2003,1993-12-13,51
しましまとらの しまじろう,C1497,2004,1993-12-13,53
しましまとらの しまじろう,C1497,2005,1993-12-13,51
しましまとらの しまじろう,C1497,2006,1993-12-13,51
しましまとらの しまじろう,C1497,2007,1993-12-13,50
しましまとらの しまじろう,C1497,2008,1993-12-13,51
しましまとらの しまじろう,C1497,2009,1993-12-13,57
しましまとらの しまじろう,C1497,2010,1993-12-13,55
しましまとらの しまじろう,C1497,2011,1993-12-13,51
しましまとらの しまじろう,C1497,2012,1993-12-13,51
しましまとらの しまじろう,C1497,2013,1993-12-13,50
しましまとらの しまじろう,C1497,2014,1993-12-13,51
しましまとらの しまじろう,C1497,2015,1993-12-13,52
しましまとらの しまじろう,C1497,2016,1993-12-13,51
しましまとらの しまじろう,C1497,2017,1993-12-13,0
遊☆戯☆王,C2116,1992,1998-04-04,0
遊☆戯☆王,C2116,1993,1998-04-04,0
遊☆戯☆王,C2116,1994,1998-04-04,0
遊☆戯☆王,C2116,1995,1998-04-04,0
遊☆戯☆王,C2116,1996,1998-04-04,0
遊☆戯☆王,C2116,1997,1998-04-04,0
遊☆戯☆王,C2116,1998,1998-04-04,27
遊☆戯☆王,C2116,1999,1998-04-04,0
遊☆戯☆王,C2116,2000,1998-04-04,37
遊☆戯☆王,C2116,2001,1998-04-04,53
遊☆戯☆王,C2116,2002,1998-04-04,51
遊☆戯☆王,C2116,2003,1998-04-04,47
遊☆戯☆王,C2116,2004,1998-04-04,52
遊☆戯☆王,C2116,2005,1998-04-04,52
遊☆戯☆王,C2116,2006,1998-04-04,51
遊☆戯☆王,C2116,2007,1998-04-04,51
遊☆戯☆王,C2116,2008,1998-04-04,52
遊☆戯☆王,C2116,2009,1998-04-04,51
遊☆戯☆王,C2116,2010,1998-04-04,51
遊☆戯☆王,C2116,2011,1998-04-04,53
遊☆戯☆王,C2116,2012,1998-04-04,50
遊☆戯☆王,C2116,2013,1998-04-04,52
遊☆戯☆王,C2116,2014,1998-04-04,49
遊☆戯☆王,C2116,2015,1998-04-04,50
遊☆戯☆王,C2116,2016,1998-04-04,49
遊☆戯☆王,C2116,2017,1998-04-04,42
おじゃる丸,C2158,1992,1998-10-05,0
