アニメ作品ID,アニメ作品名,アニメ作品の合計話数
C10001,ギャラクシー エンジェル,24
C10003,PROJECT ARMS,26
C10005,探偵少年カゲマン,6
C10006,Mr.Digital TOKORO the comical cartoon ［第1期］,120
C10008,GEAR戦士[ギアファイター]  電童,38
C10010,グラビテーション,13
C10012,はじめの 一歩 THE FIGHTING!,75
C10014,アルジェント ソーマ,24
C10016,勝負師伝説 哲也,20
C10018,Sci-Fi HARRY,20
C10020,真・女神転生 デビチル,50
C10022,ベイビーフィリックス,65
C10024,無敵王 トライゼノン,22
C10026,犬夜叉,171
C10028,CYBERSIX,13
C10030,人造人間 キカイダー THE ANIMATION,13
C10032,学校の怪談,20
C10034,機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26
C10038,ドッとKONIちゃん,26
C10042,ピポパポ パトルくん,65
C10051,激動! 歴史を変える男たち ～ アニメ 静岡県史～,13
C10053,ゾイド 新世紀/ZERO,26
C10054,破壊魔定光,10
C10056,も～っと! おジャ魔女どれみ,50
C10060,サラリーマン金太郎,20
C10062,Dr.リンにきいてみて!,51
C10066,ビップとバップ “The Adventures of Bip ＆ Bap”,3
C10068,ネコのさくせん,1
C10072,機動天使エンジェリックレイヤー,26
C10074,Cosmic Baton Girl コメットさん★,31
C10076,こみっくパーティー,13
C10078,超GALS! 寿蘭,52
C10080,デジモンテイマーズ,51
C10082,RUN=DIM,13
C10086,ジャングルはいつもハレのちグゥ,26
C10088,STAR OCEAN EX,26
C10090,魔法戦士 リウイ,24
C10092,THE SOUL TAKER,13
C10094,新白雪姫伝説プリーティア,13
C10096,GENE shaft,13
C10098,シスター・プリンセス,27
C10100,Di Gi Charat お花見すぺしゃる,4
C10102,電脳冒険記ウェブダイバー,38
C10104,NOIR,26
C10106,破邪巨星 G弾劾凰,13
C10109,パチスロ貴族 銀,23
C10111,鋼鉄天使 くるみ2式,12
C10113,花右京メイド隊,12
C10115,ゴーゴー五つ子ら・ん・ど,50
C10117,パラッパラッパー,30
C10119,だいすき! ぶぶ チャチャ,26
C10121,すしあざらし,30
C10123,学園戦記ムリョウ,28
C10125,オフサイド,39
C10127,チャンス トライアングルセッション,14
C10129,フィギュア17 つばさ＆ヒカル,15
C10131,まみむめ★もがちょ,13
C10133,あぃまぃみぃ! ストロベリー・エッグ,13
C10135,シャーマンキング,65
C10137,スクライド,26
C10139,フルーツバスケット,27
C10141,魔法少女猫 たると,12
C10143,コスモウォーリアー零,13
C10145,ののちゃん,61
C10147,星界の戦旗Ⅱ,11
C10149,グラップラー刃牙 ―最大トーナメント編―,23
C10151,SAMURAI GIRL リアルバウト ハイスクール,14
C10153,筋肉 番付 金剛くんの大冒険!,3
C10157,Di Gi Charat なつやすみスペシャル,4
C10161,砂漠の海賊! キャプテンクッパ,25
C10163,PROJECT ARMS The 2nd Chapter,26
C10165,くるくるアミー,65
C10167,旋風の用心棒 ～黒澤明監督作品「用心棒」より～,8
C10169,しあわせソウの オコジョさん,51
C10171,ちっちゃな雪使いシュガ～,24
C10173,おとぎストーリー 天使のしっぽ,12
C10175,VANDREAD the Second Stage,14
C10177,ナジカ電撃作戦,12
C10179,ストレイシープ ポーのちっちゃな大冒険,18
C10181,バビル2世［新］,13
C10183,星のカービィ,100
C10185,まほろまてぃっく Automatic Maiden,13
C10187,ガイスターズ FRACTIONS OF THE EARTH,26
C10189,キャプテン翼［新］,52
C10191,激闘! クラッシュギアT[TURBO],68
C10193,テニスの王子様,179
C10195,ヒカルの碁,76
C10197,Hellsing,13
C10199,ピロッポ,23
C10201,コ・コ・ロ・図・書・館,12
C10203,カスミン,26
C10205,バンパイヤン・キッズ,28
C10207,RAVE GROOVE ADVENTURE,51
C10211,サイボーグ009[第3作] THE CYBORG SOLDIER,50
C10215,i wish you were here あなたがここにいてほしい,5
C10217,こげぱん,10
C10221,格闘料理伝説ビストロレシピ,26
C10223,よばれてとびでて! アクビちゃん,13
C10229,きっかけは ラフくん,34
C10231,パタパタ飛行船 の 冒険,27
C10233,ぱにょ ぱにょ デ・ジ・キャラット,48
C10235,爆転シュート ベイブレード2002,51
C10237,炎の蜃気楼［ミラージュ］,14
C10239,フルメタル・パニック!,24
C10241,キン肉マンⅡ世,51
C10243,おねがい☆ティーチャー,12
C10245,七人のナナ,25
C10247,Rahxephon,26
C10248,超重神 グラヴィオン,13
C10250,ゴールド マッスル,4
C10252,週刊ポケモン放送局,16
C10254,アソボット戦記 五九,52
C10256,攻殻機動隊 STAND ALONE COMPLEX,26
C10258,スパイラル ―推理の絆―,25
C10260,花田少年史,25
C10262,ヒートガイジェイ,25
C10264,ボンバーマン ジェッターズ,52
C10267,PLATONIC CHAIN,24
C10272,機動戦士 ガンダムSEED,50
C10274,ゲットバッカーズ 奪還屋,49
C10276,カスミン［第2期］,26
C10278,真・女神転生 D[デビル]チルドレン ライト＆ダーク,52
C10280,ギャラクシーエンジェル[A] [第3期],26
C10282,Kiddy Grade,24
C10284,灰羽連盟,13
C10286,デュエル・マスターズ,32
C10288,巨人の星 【特別篇】 猛虎 花形満 ～『巨人の星』全182話より特別編集～,13
C10290,神世紀伝マーズ,13
C10292,piano,10
C10294,シスター・プリンセス ～リピュア～,13
C10296,NARUTO,221
C10298,Kanon,13
C10300,ヘイ!ヘイ! シュルーム,73
C10302,幻魔大戦 ―神話前夜の章―,13
C10304,おジャ魔女どれみドッカ～ン!,51
C10306,ギャラクシー エンジェル ［第2期］,18
C10308,キックオフ 2002,26
C10312,ロックマンエグゼ,56
C10314,GUN FRONTIER,13
C10318,りぜるまいん,12
C10320,.hack// SIGN,26
C10322,モカイヌ,13
C10324,ベイベー ばぁちゃん,53
C10326,十二国記,45
