アニメ作品ID,アニメ作品名,放送曜日,合計話数
C9650,パニポニ,月,1
C10978,がくえんゆーとぴあ まなびストレート!,月,12
C12055,プリンセスラバー!,月,12
C15417,怪 盗 ジョーカー MYSTERIOUS JOKER[第2期],月,13
C13356,忍たま乱太郎[第16期],月,20
C9066,学校のコワイうわさ 花子さんがきた!! [第1期],月,1
C15912,12歳。 ～ちっちゃなムネのトキメキ～[第1期],月,12
C16233,ユニコーンのキュピ,月,1
C16081,リトル ウィッチ アカデミア,月,25
C13354,おじゃる丸[第11期],月,18
C10997,BLEACH,月,1
C12039,うんこさん,月,13
C16193,超・少年探偵団 NEO,月,13
C14532,ガーゴイルズ,月,12
C12035,夏のあらし!,月,13
C12033,タユタマkissonmyDeity,月,12
C12031,シャングリ・ラ,月,24
C13350,ぴっくみー,月,25
C15399,神撃のバハムート GENESIS,月,13
C14622,よいこのアニメことなかれヒーローじんじゃーまん,月,12
C13348,しりとり王国,月,3
C15941,ハンドレッド,月,12
C9028,サッカーフィーバー,月,52
C15391,繰繰れ!コックリさん,月,12
C9728,やんちゃる モンちゃ,月,7
C13012,ちょぼっと☆ちょボット,月,1
C10972,School Rumble,月,1
C14625,笑いのSHOW学校,月,19
C13360,星新一ショートショート,月,26
C14853,すすめ! キッチン戦隊 クックルン,月,4
C15436,忍たま 乱太郎[第23期],月,13
C15435,にゅるにゅる!! KAKUSENくん 2期,月,13
C7171,狼少年ケン,月,86
C10928,カッパの飼い方,月,26
C10930,みどりのくにの こえだちゃん,月,51
C14627,いない いない ばあっ![第15期],月,22
C15897,うさぎのモフィ[第3期],月,15
C15898,12歳。 ～ちっちゃなムネのトキメキ～ [第2期],月,12
C12074,かなめも,月,13
C13358,いない いない ばあっ! [第13期],月,22
C15899,アイドル メモリーズ,月,12
C9410,アンドロイド・アナ MAICO 2010,月,24
C9418,のらねこダウンタウン,月,2
C15900,ステラのまほう,月,12
C15901,3ねんDくみ ガラスの仮面,月,13
C15902,怪 盗 ジョーカー MYSTERIOUS JOKER [第4期],月,13
C15903,あおおに ～じ・あにめぇしょん～,月,12
C10955,B-伝説［ビーレジェンド］! バトルビーダマン炎魂［ファイヤースピリッツ］!,月,51
C10957,まほらば Heartful days,月,26
C12996,太陽クラブ名作劇場恋の食べものがたり,月,1
C10963,増田こうすけ劇場 ギャグマンガ日和,月,12
