年代,アニメ作品ID,アニメ作品の合計話数
1990,C12701,99
1990,C12715,26
1990,C12729,14
1990,C15787,13
1990,C8319,49
1990,C8328,130
1990,C8330,47
1990,C8332,26
1990,C8334,50
1990,C8338,47
1990,C8522,170
1990,C8524,40
1990,C8526,41
1990,C8529,39
1990,C8533,18
1990,C8545,51
1990,C8547,26
1990,C8549,50
1990,C8577,13
1990,C8623,43
1990,C8631,78
1990,C8633,39
1990,C8635,47
1990,C8639,47
1990,C8649,45
1990,C8651,58
1990,C8657,87
1990,C8659,50
1990,C8661,50
1990,C8666,80
1990,C8672,24
1990,C8674,20
1990,C8676,53
1990,C8680,48
1990,C8682,22
1990,C8684,39
1990,C8686,26
1990,C8688,36
1990,C8690,11
1990,C8692,108
1990,C8694,41
1990,C8696,200
1990,C8698,48
1990,C8700,26
1990,C8702,50
1990,C8704,50
1990,C8706,51
1990,C8708,37
1990,C8710,51
1990,C8712,51
1990,C8718,111
1990,C8720,41
1990,C8722,39
1990,C8724,13
1990,C8726,30
1990,C8728,100
1990,C8734,37
1990,C8736,99
1990,C8738,39
1990,C8740,44
1990,C8746,45
1990,C8758,62
1990,C8760,51
1990,C8762,46
1990,C8764,26
1990,C8766,49
1990,C8768,48
1990,C8770,47
1990,C8776,46
1990,C8780,47
1990,C8782,29
1990,C8784,26
1990,C8790,51
1990,C8792,40
1990,C8794,50
1990,C8798,46
1990,C8804,50
1990,C8806,46
1990,C8808,14
1990,C8810,26
1990,C8815,98
1990,C8817,12
1990,C8821,58
1990,C8825,104
1990,C8835,51
1990,C8837,38
1990,C8847,136
1990,C8849,423
1990,C8853,52
1990,C8855,24
1990,C8857,23
1990,C8867,44
1990,C8869,26
1990,C8883,26
1990,C8885,64
1990,C8887,75
1990,C8889,112
1990,C8891,258
1990,C8893,42
1990,C8895,42
1990,C8897,24
1990,C8899,111
1990,C8901,52
1990,C8903,52
1990,C8909,123
1990,C8923,51
1990,C8925,40
1990,C8927,26
1990,C8929,47
1990,C8933,51
1990,C8935,43
1990,C8939,51
1990,C8941,60
1990,C8943,167
1990,C8945,52
1990,C8949,52
1990,C8951,95
1990,C8953,45
1990,C8992,45
1990,C8998,41
1990,C9000,30
1990,C9002,39
1990,C9004,51
1990,C9006,39
1990,C9008,52
1990,C9010,38
1990,C9012,39
1990,C9014,37
1990,C9016,39
1990,C9018,36
1990,C9020,38
1990,C9022,39
1990,C9024,37
1990,C9026,39
1990,C9028,38
1990,C9056,13
1990,C9062,19
1990,C9066,10
1990,C9072,17
1990,C9082,65
1990,C9084,13
1990,C9088,12
1990,C9090,10
1990,C9092,11
1990,C9094,9
1990,C9096,9
1990,C9102,13
1990,C9110,12
1995,C12419,39
1995,C12421,1
1995,C12538,80
1995,C12663,26
1995,C12681,4
1995,C12729,6
1995,C12757,39
1995,C12759,11
1995,C12769,39
1995,C12771,60
1995,C12783,52
1995,C12785,27
1995,C12797,23
1995,C12799,1
1995,C15091,9
1995,C15942,41
1995,C7207,5
1995,C8319,52
1995,C8321,104
1995,C8323,50
1995,C8325,50
1995,C8504,3
1995,C8668,29
1995,C8825,226
1995,C8835,23
1995,C8838,39
1995,C8840,30
1995,C8842,26
1995,C8844,26
1995,C8846,4
1995,C8847,21
1995,C8849,743
1995,C8899,1
1995,C8943,3
1995,C8955,100
1995,C8957,25
1995,C8959,31
1995,C8961,13
1995,C8967,23
1995,C8973,39
1995,C8975,34
1995,C8977,25
1995,C8979,24
1995,C8981,25
1995,C8992,3
1995,C8998,35
1995,C9000,8
1995,C9002,13
1995,C9008,4
1995,C9010,1
1995,C9012,13
1995,C9014,12
1995,C9016,13
1995,C9018,14
1995,C9020,1
1995,C9022,13
1995,C9026,13
1995,C9028,14
1995,C9062,7
1995,C9072,34
1995,C9080,8
1995,C9082,55
1995,C9084,13
1995,C9090,35
1995,C9092,38
1995,C9094,41
1995,C9096,38
1995,C9120,50
1995,C9122,3
1995,C9124,51
1995,C9126,55
1995,C9128,33
1995,C9140,48
1995,C9146,42
1995,C9152,39
1995,C9154,26
1995,C9156,39
1995,C9160,51
1995,C9162,39
1995,C9164,52
1995,C9172,39
1995,C9174,49
1995,C9176,26
1995,C9179,90
1995,C9181,20
1995,C9193,28
1995,C9201,48
1995,C9203,2
1995,C9205,30
1995,C9207,35
1995,C9213,80
1995,C9215,70
1995,C9217,26
1995,C9221,70
1995,C9223,48
1995,C9235,35
1995,C9243,120
1995,C9245,26
1995,C9247,74
1995,C9249,26
1995,C9251,25
1995,C9253,26
1995,C9255,26
1995,C9257,24
1995,C9259,43
1995,C9277,114
1995,C9279,52
1995,C9281,20
1995,C9283,3
1995,C9285,105
1995,C9287,26
1995,C9289,48
1995,C9291,66
1995,C9293,61
1995,C9295,34
1995,C9297,120
1995,C9299,26
1995,C9301,26
1995,C9303,117
1995,C9305,47
1995,C9307,39
1995,C9309,104
1995,C9311,26
1995,C9313,24
1995,C9315,25
1995,C9321,49
1995,C9323,92
1995,C9329,26
1995,C9331,46
1995,C9333,28
1995,C9341,3
1995,C9344,1
1995,C9346,23
1995,C9348,51
1995,C9350,26
1995,C9352,25
1995,C9354,38
1995,C9356,12
1995,C9358,26
1995,C9360,126
1995,C9362,51
1995,C9364,50
1995,C9366,26
1995,C9380,51
1995,C9382,34
1995,C9384,12
1995,C9386,49
1995,C9390,26
1995,C9392,45
1995,C9394,42
1995,C9398,48
1995,C9400,42
1995,C9402,48
1995,C9404,26
1995,C9410,24
1995,C9418,10
1995,C9428,39
1995,C9430,25
1995,C9434,12
1995,C9436,25
1995,C9438,26
1995,C9440,25
1995,C9442,116
1995,C9444,28
1995,C9446,28
1995,C9450,52
1995,C9464,26
1995,C9470,62
1995,C9472,12
1995,C9474,60
1995,C9476,60
1995,C9478,42
1995,C9483,12
1995,C9485,51
1995,C9487,12
1995,C9489,26
1995,C9491,23
1995,C9493,25
1995,C9495,24
1995,C9497,100
1995,C9499,26
1995,C9501,58
1995,C9503,12
1995,C9505,93
1995,C9511,13
1995,C9513,13
1995,C9521,12
1995,C9523,12
1995,C9525,50
1995,C9527,51
1995,C9528,32
1995,C9532,26
1995,C9534,14
1995,C9539,51
1995,C9543,20
1995,C9547,16
1995,C9549,13
1995,C9551,50
1995,C9560,12
1995,C9561,26
1995,C9563,36
1995,C9565,43
1995,C9572,52
1995,C9574,13
1995,C9576,12
1995,C9578,16
1995,C9580,35
1995,C9582,21
1995,C9584,46
1995,C9586,46
1995,C9588,40
1995,C9592,4
1995,C9594,42
1995,C9597,10
1995,C9599,11
1995,C9600,27
1995,C9602,26
1995,C9604,13
1995,C9606,13
1995,C9608,26
1995,C9610,26
1995,C9612,39
1995,C9614,154
1995,C9616,27
1995,C9618,44
1995,C9620,26
1995,C9622,60
1995,C9624,48
1995,C9626,54
1995,C9628,24
1995,C9630,35
1995,C9632,26
1995,C9634,26
1995,C9636,26
1995,C9638,25
1995,C9640,12
1995,C9642,26
1995,C9644,25
1995,C9646,26
1995,C9648,27
1995,C9650,20
1995,C9654,32
1995,C9656,12
1995,C9658,26
1995,C9659,25
1995,C9661,90
1995,C9663,24
1995,C9665,52
1995,C9667,25
1995,C9669,13
1995,C9671,24
1995,C9673,16
1995,C9675,26
1995,C9677,12
1995,C9679,12
1995,C9681,24
1995,C9683,43
1995,C9685,26
1995,C9687,22
1995,C9689,27
1995,C9693,20
1995,C9695,15
1995,C9699,22
1995,C9701,16
1995,C9717,48
1995,C9719,18
1995,C9720,20
1995,C9724,92
1995,C9728,4
1995,C9730,13
1995,C9732,23
1995,C9736,26
1995,C9738,13
1995,C9740,26
1995,C9742,26
1995,C9744,26
1995,C9746,39
1995,C9748,36
1995,C9750,26
1995,C9752,90
1995,C9754,26
1995,C9756,26
1995,C9758,26
1995,C9760,24
1995,C9762,25
1995,C9764,13
1995,C9766,26
1995,C9768,12
1995,C9770,13
1995,C9772,26
1995,C9774,37
1995,C9778,26
1995,C9780,26
1995,C9782,26
1995,C9784,27
1995,C9786,13
1995,C9788,13
1995,C9790,13
1995,C9792,12
1995,C9794,24
1995,C9796,12
1995,C9800,13
1995,C9802,17
1995,C9804,15
1995,C9806,13
1995,C9808,3
1995,C9810,14
1995,C9812,10
1995,C9814,44
1995,C9816,13
1995,C9818,16
1995,C9820,10
1995,C9822,10
1995,C9825,13
1995,C9827,13
1995,C9829,5
1995,C9831,13
1995,C9833,12
1995,C9835,12
1995,C9837,12
1995,C9841,10
1995,C9843,10
1995,C9845,24
1995,C9847,10
1995,C9849,10
1995,C9851,10
1995,C9853,21
1995,C9855,9
