アニメ作品ID,アニメ作品名,weekday,放送曜日,アニメ作品の合計話数
C9082,忍たま乱太郎 第2期,0,月,24
C13639,俺たちに翼はない --under the innocent sky.,0,月,12
C10978,がくえんゆーとぴあ まなびストレート!,0,月,12
C16032,ポンコツクエスト -魔王と派遣の魔物たち- [第3期],0,月,12
C9348,花より男子,0,月,1
C14927,弱虫ペダル,0,月,1
C9728,やんちゃる モンちゃ,0,月,7
C14923,闇 芝* 居,0,月,13
C14918,メガネブ!,0,月,8
C13641,花咲く いろは,0,月,1
C14916,ムシブギョー 蟲奉行,0,月,26
C9344,The Adventure of STRAY SHEEP ストレイシープの大冒険,0,月,1
C10997,BLEACH,0,月,1
C14912,機巧少女は 傷つかない Unbreakable Machine-Doll,0,月,13
C13645,額縁をくぐって物語の中へ　[シリーズ],0,月,20
C14911,マジンガーZIP!,0,月,32
C14908,魔界王子 devils and realist,0,月,12
C14897,ブラッドラッド,0,月,10
C11017,げんしけん,0,月,12
C11019,ブラックジャック,0,月,63
C13658,アスタロッテの おもちゃ!,0,月,4
C12201,はなかっぱ,0,月,15
C8696,おばけの…ホーリー,0,月,32
C12209,B型H系,0,月,12
C9341,こちら葛飾区亀有公園前派出所,0,月,2
C10972,School Rumble,0,月,1
C10969,流星戦隊ムスメット　／　流星戦隊オトメット　／　帰ってきた! 流星戦隊ムスメット,0,月,13
C14995,アカメが斬る!,0,月,21
C12273,学園黙示録 HIGH SCHOOL OF THE DEAD,0,月,12
C12271,みつ どもえ,0,月,13
C13585,おじゃる丸[第13期],0,月,21
C10928,カッパの飼い方,0,月,26
C10930,みどりのくにの こえだちゃん,0,月,51
C12261,裏切りは 僕の名前を知っている,0,月,24
C13592,百花 繚乱 サムライガールズ,0,月,12
C12251,荒川アンダー ザ ブリッジ,0,月,13
C8702,ゲッターロボ號,0,月,50
C14958,精霊使いの剣舞,0,月,12
C14954,咲 Saki 全国編,0,月,13
C13634,Teach,0,月,1
C12239,いちばんうしろの 大魔王,0,月,12
C16022,ななにんのあやかし ‐ ちみちみ魍魎 !! 現代物語 ‐,0,月,4
C14946,DRAMAtical Murder,0,月,12
C13635,テレビまんが 昭和物語,0,月,13
C14941,ワルキューレロマンツェ,0,月,12
C10955,B-伝説［ビーレジェンド］! バトルビーダマン炎魂［ファイヤースピリッツ］!,0,月,51
C10957,まほらば Heartful days,0,月,26
C14933,LOVELY❤ムービー いとしのムーコ Lovely Muuuuuuuco! The happy and daily life of Muco and Komatsu san!,0,月,20
C10963,増田こうすけ劇場 ギャグマンガ日和,0,月,12
C12225,Kiss × sis,0,月,12
C9724,スージーちゃんと マービー,0,月,26
C14997,ウィザード･バリスターズ 弁魔士セシル,0,月,12
C14889,びじゅチューン!,0,月,3
C11039,いない いない ばあっ!［第9期］,0,月,18
C14832,キングダム[第1期][総集編],0,月,4
C14831,ぎんぎつね,0,月,12
C13765,フジログ[第1期],0,月,13
C11087,NePoS NaPoS,0,月,18
C14828,きょうの料理　ビギナーズ　[第7期],0,月,8
C9705,ハムスターサム,0,月,1
C12112,ミラクル☆トレイン～大江戸線へようこそ～,0,月,13
C12110,夏のあらし! 春夏冬中[あきないちゅう],0,月,13
C12108,真 恋姫†無双,0,月,12
C14824,がんばれ! ルル ロロ TINY★TWIN★BEARS,0,月,5
C11083,だめっこどうぶつ,0,月,6
C14821,ガンダム ビルドファイターズ,0,月,25
C12104,夢色 パティシエール,0,月,1
C11108,おねがいマイメロディ,0,月,1
C16093,ガヴリールドロップアウト,0,月,12
C11112,うえきの法則,0,月,51
C12100,とある科学の 超電磁砲[レールガン],0,月,24
C13797,みつ どもえ 増量中!,0,月,8
C13799,みつ どもえ 特別編,0,月,1
C16094,鬼平 ONIHEI,0,月,1
C14804,AMNESIA,0,月,12
C8651,ロビンフッドの大冒険,0,月,3
C12106,あにゃまる探偵 キルミン ずぅ,0,月,50
C11081,アルティメットガール,0,月,12
C12132,FAIRY TAIL,0,月,72
C16081,リトル ウィッチ アカデミア,0,月,25
C13675,おはよう忍者隊 ガッチャマン,0,月,94
C14885,はなかっぱ[第4期],0,月,6
C16057,パズドラ クロス PUZZLE＆DRAGONS,0,月,26
C11041,パンツぱんくろう,0,月,17
C13684,クッキンアイドル アイ!マイ! まいん![第3期],0,月,21
C12179,祝福のカンパネラ,0,月,12
C11043,おじゃる丸［第7期］,0,月,18
C9380,爆走兄弟レッツ＆ゴー!! WGP,0,月,51
C8684,ピグマリオ,0,月,39
C11045,忍たま乱太郎［第12期］,0,月,17
C12176,フラカッパー,0,月,7
C13700,たまゆら ～hitotose～,0,月,12
C13709,忍たま 乱太郎[第19期],0,月,18
C13716,ちび★デビ!,0,月,75
C11047,えいごでいっしょ! WAKU★WAKU ペンギー★ DOKI▼DOKI アドベンチャー,0,月,13
C13729,スイッチ OH! くん,0,月,20
C8672,PEACH COMMAND 新桃太郎伝説,0,月,24
C13734,人類は衰退しました,0,月,12
C14853,すすめ! キッチン戦隊 クックルン,0,月,4
C9719,爆球連発!! スーパービーダマン,0,月,18
C12146,ちゅーぶら!!,0,月,12
C9392,春庭家の3人目,0,月,9
C8668,STREET FIGHTER Ⅱ V,0,月,28
C13673,おじゃる丸[第14期],0,月,18
C10910,カレーの国のコバ～ル,0,月,13
C15001,おじゃる丸［第17期］,0,月,14
C9752,おじゃる丸[第2期],0,月,18
C9800,人形[からくり]草紙 あやつり 左近,0,月,1
C15083,彼女がフラグを おられたら,0,月,13
C15081,忍たま 乱太郎［第22期］,0,月,15
C9798,チックン タック,0,月,13
C8794,花の魔法使い マリーベル,0,月,50
C15994,美少女戦士 セーラームーン Crystal Season III,0,月,13
C15995,忍たま 乱太郎 [第24期],0,月,14
C13445,アニメ漫才猫ラーメン,0,月,4
C12385,GEKIFU 妖逆門,0,月,51
C15069,月刊 少女 野崎くん,0,月,12
C15091,いない いない ばあっ![第4期],0,月,7
C15996,わしも[第4期],0,月,22
C15062,一週間 フレンズ｡,0,月,12
C13449,Peeping Life,0,月,7
C15997,はなかっぱ[第7期],0,月,18
C12383,ぜんまいざむらい,0,月,36
C12381,涼宮ハルヒの憂鬱,0,月,14
C10782,ROBONIMAL パンダーゼット THE ROBONIMATION,0,月,31
C10784,じゃがいぬくん,0,月,2
C12379,School Rumble 二学期,0,月,26
C15998,ゴー!ゴー! キッチン戦隊 クックルン[第2期],0,月,13
C12377,ARIA The NATURAL,0,月,30
C9281,バケツでごはん,0,月,20
C9279,爆走兄弟レッツ＆ゴー!!,0,月,52
C15092,いない いない ばあっ![第5期],0,月,13
C13418,DiSNEY ファイアボール チャーミング,0,月,12
C13358,いない いない ばあっ! [第13期],0,月,22
C9243,忍たま乱太郎[第3期],0,月,24
C15280,おはよう ハクション 大魔王,0,月,37
C13360,星新一ショートショート,0,月,26
C13366,パコと魔法の絵本いつもワガママガマ王子,0,月,17
C15274,愛天地無用!,0,月,12
C13370,Domo,0,月,1
C8844,手塚治虫の 旧約聖書物語 In The Beginning,0,月,4
C13372,やさいのようせいN.Y. SALAD[第2期],0,月,6
C13374,モリゾー・キッコロと フルービー 守れ!みんなの水の惑星,0,月,3
C13384,ニコニコ♪コニーちゃん,0,月,1
C13386,なぜ? どうして? がおがおぶーっ!,0,月,6
C15270,はりきり体育ノ介　[第1期],0,月,1
C10699,B-伝説［ビーレジェンド］! バトルビーダマン,0,月,52
C15248,おにく だいすき! ゼウシくん,0,月,12
C12427,おじゃる丸［第3期］,0,月,18
C9247,モジャ公,0,月,24
C13396,スッキリ!!・クロラ,0,月,4
C12421,だんご3兄弟 あっという間劇場,0,月,23
C15094,バットマン THE ANIMATED SERIES,0,月,6
C8817,ドンラゴン,0,月,1
C10730,まっすぐにいこう。［第2期］,0,月,1
C9257,バーチャファイター[第1期],0,月,24
C13467,リタと ナントカ,0,月,5
C12375,アクビ Girl,0,月,1
C8770,横山光輝 三国志,0,月,1
C8768,炎の闘球児 ドッジ弾平,0,月,48
C15026,となりの関くん,0,月,13
C10841,デュエル・マスターズ チャージ,0,月,7
C15025,とある 飛空士への 恋歌,0,月,13
C10847,ちぃちゃんとヒゲおじさん,0,月,6
C12321,よみがえる空 ──RESCUE WINGS,0,月,13
C12319,爆球HIT! クラッシュビーダマン,0,月,50
C8728,ハローESCARGOT島,0,月,19
C15017,そに○アニ SUPER SONICO THE ANIMATION,0,月,12
C9762,南海奇皇[第2期],0,月,1
C15015,スペース★ダンディ［第2期］,0,月,12
C8726,おてんきボーイズ,0,月,2
C15014,スペース★ダンディ［第1期］,0,月,13
C16012,はがね オーケストラ,0,月,12
C16013,どちゃもん じゅにあ [第2期],0,月,9
C13566,異国迷路の クロワーゼ The Animation,0,月,12
C13573,パッコロリン,0,月,26
C9756,イソップ ワールド,0,月,8
C9754,ArcTheLad,0,月,26
C10882,エルフェン リート,0,月,1
C13577,遊★戯★王 ZEXAL,0,月,74
C15002,オレカバトル,0,月,51
C10890,蒼穹のファフナー Dead Aggressor,0,月,26
C13581,うっかりペネロペ[第2期],0,月,8
C15029,ドラゴン コレクション,0,月,51
C14803,アニメ　おしりかじり虫[第2期],0,月,25
C13524,薄桜鬼 新選組 奇譚 碧血録,0,月,11
C12335,お茶犬 ～「ほっ」とものがたり～,0,月,13
C13475,Robin with his 100 friends,0,月,13
C10795,今日から 〔○マ〕王![第1期],0,月,1
C8766,燃えろ! トップストライカー,0,月,1
C10797,ケロロ軍曹,0,月,50
C15049,プリ❤パラ,0,月,24
C13496,食パン ミミー,0,月,12
C15999,ZIP! presents 朝だよ! 貝社員,0,月,39
C14585,いない いない ばあっ![第14期],0,月,23
C15044,ひめゴト SECRET PRINCESS HIMEGOTO,0,月,13
C15043,ヒーローバンク,0,月,51
C10811,じゃがいぬくん［シリーズ］,0,月,2
C9297,忍たま乱太郎[第4期],0,月,24
C13500,宮西達也劇場 おまえ うまそうだな,0,月,4
C15038,バディ☆ コンプレックス,0,月,13
C10815,Get Ride! アムドライバー,0,月,51
C15036,ノラガミ,0,月,1
C10818,ななみちゃん,0,月,6
C13504,"ヨスガノソラ In solitude, where we are least alone.",0,月,12
C15034,ノブナガ･ザ･フール,0,月,24
C13508,荒川アンダー ザ ブリッジ*2,0,月,13
C10826,せんせいの お時間 DOKI DOKI SCHOOL HOURS,0,月,13
C10828,花右京メイド隊 La Verite,0,月,12
C8762,キン肉マン キン肉星王位争奪編,0,月,1
C8734,機甲警察メタルジャック,0,月,37
C12474,新星輝デュエル・マスターズ フラッシュ,0,月,24
C13803,もしドラ　もし高校野球の女子マネージャーが　ドラッカーの『マネジメント』を読んだら,0,月,2
C12074,かなめも,0,月,13
C11476,PRISM ARK,0,月,12
C11480,サンリオぽこあぽこ,0,月,8
C14649,[ストロー びゅるる],0,月,3
C11798,Neo Angelique Abyss Second Age,0,月,13
C14648,10秒チョットのアニメ,0,月,6
C14541,森のレシオ,0,月,8
C16211,僧侶と交わる 色欲の夜に…,0,月,12
C14547,体育　倉庫　ジムくんと　ゆかいな　仲間たち[*第2期],0,月,15
C16170,わしも[第5シリーズ],0,月,17
C11780,いじいじくん,0,月,4
C9622,忍たま乱太郎[第6期],0,月,12
C11778,無限の住人BLADEOF THE IMMORTAL,0,月,13
C14549,太宰 治　短編小説集　[第3期],0,月,1
C14637,クッキンアイドル アイ!マイ! まいん![第2期],0,月,21
