性別,年,声優数,合計声優数,声優数のシェア
female,2000,127,252,0.503968253968254
female,2001,145,287,0.5052264808362369
female,2002,147,288,0.5104166666666666
female,2003,173,342,0.5058479532163743
female,2004,202,407,0.4963144963144963
female,2005,201,398,0.5050251256281407
female,2006,265,515,0.5145631067961165
female,2007,237,491,0.48268839103869654
female,2008,228,470,0.4851063829787234
female,2009,198,400,0.495
female,2010,190,372,0.510752688172043
female,2011,193,381,0.5065616797900262
female,2012,225,433,0.5196304849884527
female,2013,262,503,0.5208747514910537
female,2014,224,430,0.5209302325581395
female,2015,245,469,0.5223880597014925
female,2016,240,463,0.5183585313174947
female,2017,147,283,0.519434628975265
male,2000,125,252,0.49603174603174605
male,2001,142,287,0.49477351916376305
male,2002,141,288,0.4895833333333333
male,2003,169,342,0.49415204678362573
male,2004,205,407,0.5036855036855037
male,2005,197,398,0.4949748743718593
male,2006,250,515,0.4854368932038835
male,2007,254,491,0.5173116089613035
male,2008,242,470,0.5148936170212766
male,2009,202,400,0.505
male,2010,182,372,0.489247311827957
male,2011,188,381,0.49343832020997375
male,2012,208,433,0.48036951501154734
male,2013,241,503,0.47912524850894633
male,2014,206,430,0.4790697674418605
male,2015,224,469,0.47761194029850745
male,2016,223,463,0.4816414686825054
male,2017,136,283,0.48056537102473496
