性別,年,声優数,合計声優数,声優数のシェア
female,2000,127,252,0.503968253968254
female,2001,145,287,0.5052264808362369
female,2002,147,288,0.5104166666666666
female,2003,173,342,0.5058479532163743
female,2004,202,407,0.4963144963144963
female,2005,201,398,0.5050251256281407
female,2006,265,515,0.5145631067961165
female,2007,237,491,0.48268839103869654
female,2008,228,470,0.4851063829787234
female,2009,198,400,0.495
female,2010,190,372,0.510752688172043
female,2011,193,381,0.5065616797900262
female,2012,225,433,0.5196304849884527
female,2013,262,503,0.5208747514910537
female,2014,224,430,0.5209302325581395
female,2015,245,469,0.5223880597014925
female,2016,240,463,0.5183585313174947
female,2017,147,283,0.519434628975265
