性別,年,声優数,合計声優数,声優数のシェア
male,2000,125,252,0.49603174603174605
male,2001,142,287,0.49477351916376305
male,2002,141,288,0.4895833333333333
male,2003,169,342,0.49415204678362573
male,2004,205,407,0.5036855036855037
male,2005,197,398,0.4949748743718593
male,2006,250,515,0.4854368932038835
male,2007,254,491,0.5173116089613035
male,2008,242,470,0.5148936170212766
male,2009,202,400,0.505
male,2010,182,372,0.489247311827957
male,2011,188,381,0.49343832020997375
male,2012,208,433,0.48036951501154734
male,2013,241,503,0.47912524850894633
male,2014,206,430,0.4790697674418605
male,2015,224,469,0.47761194029850745
male,2016,223,463,0.4816414686825054
male,2017,136,283,0.48056537102473496
