アニメ作品名ID,初出年代,初出曜日,クール数,初出曜日ID,初出年代ID
C9867,1990,月,1クール以下,0,0
C9418,1990,月,1クール以下,0,0
C9869,1990,月,1クール以下,0,0
C9110,1990,月,1クール以下,0,0
C9066,1990,月,1クール以下,0,0
C9534,1990,月,1クール以下,0,0
C9622,1990,月,1クール以下,0,0
C9476,1990,月,1クール以下,0,0
C9551,1990,月,1クール以下,0,0
C15091,1990,月,2クール以上,0,0
C9221,1990,月,2クール以上,0,0
C9213,1990,月,2クール以上,0,0
C12538,1990,月,2クール以上,0,0
C9661,1990,月,2クール以上,0,0
C9497,1990,月,2クール以上,0,0
C12797,1990,月,2クール以上,0,0
C9851,1990,月,2クール以上,0,0
C9297,1990,月,2クール以上,0,0
C9257,1990,月,2クール以上,0,0
C9281,1990,月,2クール以上,0,0
C9243,1990,月,2クール以上,0,0
C9082,1990,月,2クール以上,0,0
C8672,1990,月,2クール以上,0,0
C8927,1990,月,2クール以上,0,0
C9410,1990,月,2クール以上,0,0
C9628,1990,月,2クール以上,0,0
C9663,1990,月,2クール以上,0,0
C8726,1990,月,2クール以上,0,0
C12715,1990,月,2クール以上,0,0
C9762,1990,月,2クール以上,0,0
C9754,1990,月,2クール以上,0,0
C9800,1990,月,2クール以上,0,0
C8668,1990,月,2クール以上,0,0
C9752,1990,月,2クール以上,0,0
C9205,1990,月,2クール以上,0,0
C8734,1990,月,2クール以上,0,0
C9006,1990,月,2クール以上,0,0
C9719,1990,月,2クール以上,0,0
C8728,1990,月,2クール以上,0,0
C9756,1990,月,2クール以上,0,0
C9699,1990,月,2クール以上,0,0
C9008,1990,月,2クール以上,0,0
C8941,1990,月,2クール以上,0,0
C9626,1990,月,2クール以上,0,0
C9724,1990,月,2クール以上,0,0
C8623,1990,月,2クール以上,0,0
C8684,1990,月,2クール以上,0,0
C8524,1990,月,2クール以上,0,0
C12729,1990,月,2クール以上,0,0
C8768,1990,月,2クール以上,0,0
C8522,1990,月,2クール以上,0,0
C8702,1990,月,2クール以上,0,0
C8794,1990,月,2クール以上,0,0
C9124,1990,月,2クール以上,0,0
C9380,1990,月,2クール以上,0,0
C9527,1990,月,2クール以上,0,0
C9028,1990,月,2クール以上,0,0
C9279,1990,月,2クール以上,0,0
C9572,1990,月,2クール以上,0,0
C9624,1990,月,2クール以上,0,0
C12701,1990,月,2クール以上,0,0
C9501,1990,月,2クール以上,0,0
C9094,1990,月,2クール以上,0,0
C9863,1990,月,2クール以上,0,0
C8909,1990,月,2クール以上,0,0
C8891,1990,月,2クール以上,0,0
C8943,1990,月,2クール以上,0,0
C8696,1990,月,2クール以上,0,0
C12421,1990,月,2クール以上,0,0
C9442,1990,月,2クール以上,0,0
C8825,1990,月,2クール以上,0,0
C9283,1990,月,2クール以上,0,0
C8849,1990,月,2クール以上,0,0
C9592,1990,火,1クール以下,1,0
C9578,1990,火,1クール以下,1,0
C9701,1990,火,1クール以下,1,0
C9784,1990,火,1クール以下,1,0
C9804,1990,火,1クール以下,1,0
C9818,1990,火,1クール以下,1,0
C9857,1990,火,1クール以下,1,0
C9865,1990,火,1クール以下,1,0
C9543,1990,火,1クール以下,1,0
C8844,1990,火,1クール以下,1,0
C9563,1990,火,1クール以下,1,0
C12771,1990,火,1クール以下,1,0
C15787,1990,火,1クール以下,1,0
C8961,1990,火,1クール以下,1,0
C9574,1990,火,1クール以下,1,0
C9730,1990,火,1クール以下,1,0
C9790,1990,火,1クール以下,1,0
C9669,1990,火,1クール以下,1,0
C9525,1990,火,1クール以下,1,0
C8808,1990,火,2クール以上,1,0
C9181,1990,火,2クール以上,1,0
C8817,1990,火,2クール以上,1,0
C9853,1990,火,2クール以上,1,0
C8842,1990,火,2クール以上,1,0
C8957,1990,火,2クール以上,1,0
C9245,1990,火,2クール以上,1,0
C9299,1990,火,2クール以上,1,0
C9350,1990,火,2クール以上,1,0
C9352,1990,火,2クール以上,1,0
C9632,1990,火,2クール以上,1,0
C9667,1990,火,2クール以上,1,0
C9671,1990,火,2クール以上,1,0
C9758,1990,火,2クール以上,1,0
C9760,1990,火,2クール以上,1,0
C9825,1990,火,2クール以上,1,0
C9827,1990,火,2クール以上,1,0
C9720,1990,火,2クール以上,1,0
C9217,1990,火,2クール以上,1,0
C9820,1990,火,2クール以上,1,0
C9822,1990,火,2クール以上,1,0
C9717,1990,火,2クール以上,1,0
C9539,1990,火,2クール以上,1,0
C8674,1990,火,2クール以上,1,0
C12419,1990,火,2クール以上,1,0
C9630,1990,火,2クール以上,1,0
C9156,1990,火,2クール以上,1,0
C9010,1990,火,2クール以上,1,0
C9333,1990,火,2クール以上,1,0
C8328,1990,火,2クール以上,1,0
C12757,1990,火,2クール以上,1,0
C9528,1990,火,2クール以上,1,0
C12769,1990,火,2クール以上,1,0
C8804,1990,火,2クール以上,1,0
C9732,1990,火,2クール以上,1,0
C8526,1990,火,2クール以上,1,0
C8704,1990,火,2クール以上,1,0
C8945,1990,火,2クール以上,1,0
C9012,1990,火,2クール以上,1,0
C9014,1990,火,2クール以上,1,0
C9665,1990,火,2クール以上,1,0
C8815,1990,火,2クール以上,1,0
C8736,1990,火,2クール以上,1,0
C8853,1990,火,2クール以上,1,0
C8706,1990,火,2クール以上,1,0
C15942,1990,火,2クール以上,1,0
C9247,1990,火,2クール以上,1,0
C9806,1990,水,1クール以下,2,0
C9695,1990,水,1クール以下,2,0
C9673,1990,水,1クール以下,2,0
C8967,1990,水,1クール以下,2,0
C9648,1990,水,1クール以下,2,0
C9654,1990,水,1クール以下,2,0
C9560,1990,水,1クール以下,2,0
C9677,1990,水,1クール以下,2,0
C9764,1990,水,1クール以下,2,0
C9786,1990,水,2クール以上,2,0
C9513,1990,水,2クール以上,2,0
C9841,1990,水,2クール以上,2,0
C9829,1990,水,2クール以上,2,0
C9861,1990,水,2クール以上,2,0
C8332,1990,水,2クール以上,2,0
C9084,1990,水,2クール以上,2,0
C9249,1990,水,2クール以上,2,0
C9301,1990,水,2クール以上,2,0
C9430,1990,水,2クール以上,2,0
C9493,1990,水,2クール以上,2,0
C9675,1990,水,2クール以上,2,0
C9766,1990,水,2クール以上,2,0
C9831,1990,水,2クール以上,2,0
C12785,1990,水,2クール以上,2,0
C8883,1990,水,2クール以上,2,0
C9600,1990,水,2クール以上,2,0
C9634,1990,水,2クール以上,2,0
C9636,1990,水,2クール以上,2,0
C9580,1990,水,2クール以上,2,0
C9354,1990,水,2クール以上,2,0
C9428,1990,水,2クール以上,2,0
C9193,1990,水,2クール以上,2,0
C9444,1990,水,2クール以上,2,0
C9689,1990,水,2クール以上,2,0
C9162,1990,水,2クール以上,2,0
C9303,1990,水,2クール以上,2,0
C9565,1990,水,2クール以上,2,0
C8330,1990,水,2クール以上,2,0
C8639,1990,水,2クール以上,2,0
C8810,1990,水,2クール以上,2,0
C9179,1990,水,2クール以上,2,0
