アニメ作品名,アニメ各話数,声優名,性別,初登場年
ギャラクシー エンジェル,24,かないみか,female,2001
ギャラクシー エンジェル,24,保村真,male,2001
ギャラクシー エンジェル,24,吉野裕行,male,2001
ギャラクシー エンジェル,24,山口眞弓,female,2001
ギャラクシー エンジェル,24,新谷良子,female,2001
ギャラクシー エンジェル,24,沢城みゆき,female,2001
ギャラクシー エンジェル,24,田村ゆかり,female,2001
ギャラクシー エンジェル,24,藤原啓治,male,2001
ギャラクシー エンジェル,24,陶山章央,male,2001
PROJECT ARMS,26,一城みゆ希,female,2001
PROJECT ARMS,26,三木眞一郎,male,2001
PROJECT ARMS,26,三浦智子,female,2001
PROJECT ARMS,26,大本眞基子,female,2001
PROJECT ARMS,26,本間ゆかり,female,2001
PROJECT ARMS,26,池田秀一,male,2001
PROJECT ARMS,26,神奈延年,male,2001
PROJECT ARMS,26,筈見純,male,2001
PROJECT ARMS,26,緒方恵美,female,2001
PROJECT ARMS,26,速水奨,male,2001
PROJECT ARMS,26,高山みなみ,female,2001
探偵少年カゲマン,6,TARAKO,female,2001
探偵少年カゲマン,6,パンチユーホー,male,2001
探偵少年カゲマン,6,三宅健太,male,2001
探偵少年カゲマン,6,勝生真沙子,female,2001
探偵少年カゲマン,6,園部啓一,male,2001
探偵少年カゲマン,6,坂口候一,male,2001
探偵少年カゲマン,6,城雅子,female,2001
探偵少年カゲマン,6,小林清志,male,2001
探偵少年カゲマン,6,東さおり,female,2001
探偵少年カゲマン,6,笹本優子,female,2001
探偵少年カゲマン,6,菊地祥子,female,2001
探偵少年カゲマン,6,豊口めぐみ,female,2001
GEAR戦士[ギアファイター]  電童,38,一条和矢,male,2000
GEAR戦士[ギアファイター]  電童,38,三石琴乃,female,2000
GEAR戦士[ギアファイター]  電童,38,中田和宏,male,2000
GEAR戦士[ギアファイター]  電童,38,岸野一彦,male,2000
GEAR戦士[ギアファイター]  電童,38,根谷美智子,female,2000
GEAR戦士[ギアファイター]  電童,38,河合義雄,male,2000
GEAR戦士[ギアファイター]  電童,38,芳野美樹,female,2000
GEAR戦士[ギアファイター]  電童,38,西村知道,male,2000
GEAR戦士[ギアファイター]  電童,38,進藤尚美,female,2000
GEAR戦士[ギアファイター]  電童,38,高戸靖広,male,2000
グラビテーション,13,子安武人,male,2000
グラビテーション,13,山口勝平,male,2000
グラビテーション,13,折笠愛,female,2000
グラビテーション,13,松本保典,male,2000
グラビテーション,13,池澤春菜,female,2000
グラビテーション,13,瀧本富士子,female,2000
グラビテーション,13,置鮎龍太郎,male,2000
グラビテーション,13,関智一,male,2000
グラビテーション,13,鶴ひろみ,female,2000
はじめの 一歩 THE FIGHTING!,75,中嶋聡彦,male,2000
はじめの 一歩 THE FIGHTING!,75,内海賢二,male,2000
はじめの 一歩 THE FIGHTING!,75,喜安浩平,male,2000
はじめの 一歩 THE FIGHTING!,75,寺内よりえ,female,2000
はじめの 一歩 THE FIGHTING!,75,小山力也,male,2000
はじめの 一歩 THE FIGHTING!,75,小林優子,female,2000
はじめの 一歩 THE FIGHTING!,75,小林正寛,male,2000
はじめの 一歩 THE FIGHTING!,75,小林沙苗,female,2000
はじめの 一歩 THE FIGHTING!,75,小野坂昌也,male,2000
はじめの 一歩 THE FIGHTING!,75,森川智之,male,2000
はじめの 一歩 THE FIGHTING!,75,田中正彦,male,2000
はじめの 一歩 THE FIGHTING!,75,真殿光昭,male,2000
はじめの 一歩 THE FIGHTING!,75,石塚運昇,male,2000
はじめの 一歩 THE FIGHTING!,75,藤原啓治,male,2001
はじめの 一歩 THE FIGHTING!,75,関智一,male,2000
はじめの 一歩 THE FIGHTING!,75,高木渉,male,2000
アルジェント ソーマ,24,中田和宏,male,2000
アルジェント ソーマ,24,中田譲治,male,2000
アルジェント ソーマ,24,井上喜久子,female,2000
アルジェント ソーマ,24,保志総一朗,male,2000
アルジェント ソーマ,24,堀江由衣,female,2000
アルジェント ソーマ,24,子安武人,male,2000
アルジェント ソーマ,24,川澄綾子,female,2000
アルジェント ソーマ,24,有島モユ,female,2000
アルジェント ソーマ,24,桑島法子,female,2000
アルジェント ソーマ,24,榎本温子,female,2000
アルジェント ソーマ,24,竹村拓,male,2000
アルジェント ソーマ,24,紗ゆり,female,2000
勝負師伝説 哲也,20,上村典子,female,2000
勝負師伝説 哲也,20,大塚周夫,male,2000
勝負師伝説 哲也,20,岸野幸正,male,2000
勝負師伝説 哲也,20,平田広明,male,2000
勝負師伝説 哲也,20,戸谷公次,male,2000
勝負師伝説 哲也,20,松野太紀,male,2000
勝負師伝説 哲也,20,永島由子,female,2000
勝負師伝説 哲也,20,置鮎龍太郎,male,2000
勝負師伝説 哲也,20,肝付兼太,male,2000
勝負師伝説 哲也,20,青野武,male,2000
勝負師伝説 哲也,20,高木渉,male,2000
Sci-Fi HARRY,20,ゆかな,female,2000
Sci-Fi HARRY,20,伊藤龍,male,2000
Sci-Fi HARRY,20,千葉紗子,female,2000
Sci-Fi HARRY,20,千葉進歩,male,2000
Sci-Fi HARRY,20,堀江由衣,female,2000
Sci-Fi HARRY,20,山本泰輔,male,2000
Sci-Fi HARRY,20,永野広一,male,2000
Sci-Fi HARRY,20,沢海陽子,female,2000
Sci-Fi HARRY,20,田中信夫,male,2000
Sci-Fi HARRY,20,田中正彦,male,2000
Sci-Fi HARRY,20,細井治,male,2000
Sci-Fi HARRY,20,若本規夫,male,2000
Sci-Fi HARRY,20,金月真美,female,2000
真・女神転生 デビチル,50,ゆかな,female,2000
真・女神転生 デビチル,50,亀山助清,male,2000
真・女神転生 デビチル,50,井上喜久子,female,2000
真・女神転生 デビチル,50,坂東尚樹,male,2000
真・女神転生 デビチル,50,大沢千秋,female,2000
真・女神転生 デビチル,50,大畑伸太郎,male,2000
真・女神転生 デビチル,50,小林由美子,female,2000
真・女神転生 デビチル,50,岩崎征実,male,2000
真・女神転生 デビチル,50,岩田光央,male,2000
真・女神転生 デビチル,50,森久保祥太郎,male,2000
真・女神転生 デビチル,50,氷上恭子,female,2000
真・女神転生 デビチル,50,石田彰,male,2000
真・女神転生 デビチル,50,釘宮理恵,female,2000
真・女神転生 デビチル,50,高塚正也,male,2000
ベイビーフィリックス,65,くまいもとこ,female,2000
ベイビーフィリックス,65,中尾隆聖,male,2000
ベイビーフィリックス,65,佐久間レイ,female,2000
ベイビーフィリックス,65,冬馬由美,female,2000
ベイビーフィリックス,65,坂口候一,male,2001
ベイビーフィリックス,65,山口勝平,male,2000
ベイビーフィリックス,65,望月久代,female,2000
ベイビーフィリックス,65,森久保祥太郎,male,2000
ベイビーフィリックス,65,森川智之,male,2000
ベイビーフィリックス,65,榎本温子,female,2000
ベイビーフィリックス,65,水谷優子,female,2000
ベイビーフィリックス,65,永野広一,male,2000
ベイビーフィリックス,65,玄田哲章,male,2000
ベイビーフィリックス,65,関俊彦,male,2000
