アニメ作品名,アニメ各話数,声優名,性別,初登場年
ギャラクシー エンジェル,24,吉野裕行,male,2001
ギャラクシー エンジェル,24,沢城みゆき,female,2001
ギャラクシー エンジェル,24,田村ゆかり,female,2001
ギャラクシー エンジェル,24,藤原啓治,male,2001
ギャラクシー エンジェル,24,陶山章央,male,2001
PROJECT ARMS,26,三木眞一郎,male,2001
PROJECT ARMS,26,大本眞基子,female,2001
PROJECT ARMS,26,高山みなみ,female,2001
探偵少年カゲマン,6,三宅健太,male,2001
探偵少年カゲマン,6,豊口めぐみ,female,2001
GEAR戦士[ギアファイター]  電童,38,一条和矢,male,2000
GEAR戦士[ギアファイター]  電童,38,三石琴乃,female,2000
グラビテーション,13,子安武人,male,2000
グラビテーション,13,山口勝平,male,2000
グラビテーション,13,池澤春菜,female,2000
グラビテーション,13,置鮎龍太郎,male,2000
グラビテーション,13,関智一,male,2000
はじめの 一歩 THE FIGHTING!,75,小山力也,male,2000
はじめの 一歩 THE FIGHTING!,75,小林優子,female,2000
はじめの 一歩 THE FIGHTING!,75,小林沙苗,female,2000
はじめの 一歩 THE FIGHTING!,75,森川智之,male,2000
はじめの 一歩 THE FIGHTING!,75,石塚運昇,male,2000
はじめの 一歩 THE FIGHTING!,75,藤原啓治,male,2001
はじめの 一歩 THE FIGHTING!,75,関智一,male,2000
はじめの 一歩 THE FIGHTING!,75,高木渉,male,2000
アルジェント ソーマ,24,井上喜久子,female,2000
アルジェント ソーマ,24,保志総一朗,male,2000
アルジェント ソーマ,24,堀江由衣,female,2000
アルジェント ソーマ,24,子安武人,male,2000
アルジェント ソーマ,24,川澄綾子,female,2000
アルジェント ソーマ,24,桑島法子,female,2000
勝負師伝説 哲也,20,平田広明,male,2000
勝負師伝説 哲也,20,置鮎龍太郎,male,2000
勝負師伝説 哲也,20,高木渉,male,2000
Sci-Fi HARRY,20,千葉進歩,male,2000
Sci-Fi HARRY,20,堀江由衣,female,2000
真・女神転生 デビチル,50,井上喜久子,female,2000
真・女神転生 デビチル,50,石田彰,male,2000
真・女神転生 デビチル,50,釘宮理恵,female,2000
ベイビーフィリックス,65,くまいもとこ,female,2000
ベイビーフィリックス,65,中尾隆聖,male,2000
ベイビーフィリックス,65,佐久間レイ,female,2000
ベイビーフィリックス,65,山口勝平,male,2000
ベイビーフィリックス,65,森川智之,male,2000
ベイビーフィリックス,65,関俊彦,male,2000
無敵王 トライゼノン,22,林原めぐみ,female,2000
無敵王 トライゼノン,22,田村ゆかり,female,2001
無敵王 トライゼノン,22,福山潤,male,2000
犬夜叉,171,山口勝平,male,2000
犬夜叉,171,桑島法子,female,2000
犬夜叉,171,森川智之,male,2000
犬夜叉,171,渡辺久美子,female,2000
犬夜叉,171,矢島晶子,female,2000
犬夜叉,171,緒方賢一,male,2000
犬夜叉,171,能登麻美子,female,2000
人造人間 キカイダー THE ANIMATION,13,堀江由衣,female,2000
人造人間 キカイダー THE ANIMATION,13,関智一,male,2000
人造人間 キカイダー THE ANIMATION,13,高山みなみ,female,2001
学校の怪談,20,三石琴乃,female,2000
学校の怪談,20,中尾隆聖,male,2000
学校の怪談,20,間宮くるみ,female,2000
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,三木眞一郎,male,2001
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,南央美,female,2000
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,山口勝平,male,2000
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,愛河里花子,female,2000
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,桑島法子,female,2000
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,池澤春菜,female,2000
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,矢島晶子,female,2000
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,関智一,male,2000
機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,飛田展男,male,2000
ドッとKONIちゃん,26,三石琴乃,female,2000
ドッとKONIちゃん,26,南央美,female,2000
ドッとKONIちゃん,26,大谷育江,female,2000
ドッとKONIちゃん,26,櫻井孝宏,male,2000
ドッとKONIちゃん,26,田村ゆかり,female,2001
ピポパポ パトルくん,65,坂本千夏,female,2000
ピポパポ パトルくん,65,山崎たくみ,male,2000
