acid,アニメ作品名,アニメ各話数,放送日数,声優数,weekday,放送曜日
C12321,よみがえる空 ──RESCUE WINGS,13,12,9.0,0,月
C10955,B-伝説［ビーレジェンド］! バトルビーダマン炎魂［ファイヤースピリッツ］!,51,51,15.0,0,月
C13037,闘牌伝説 アカギ 闇に舞い降りた天才 特別編,4,1,9.0,0,月
C13042,かくざ父さん,11,11,1.0,0,月
C13044,アームズラリー,11,11,5.0,0,月
C13046,電脳戦士 土管くん,11,11,1.0,0,月
C16188,戦隊ヒーロー スキヤキフォース -ぐんまの平和を願うシーズン-,24,24,1.0,0,月
C13048,30秒ケッ作げきじょうその時、彼らは思った。,11,11,1.0,0,月
C13058,人形アニメーションリカちゃん,12,12,11.0,0,月
C16193,超・少年探偵団 NEO,13,13,10.0,0,月
C13060,日本裏社会の首領＊喝老人 *[ドン],82,82,1.0,0,月
C13064,コロコロアニマル,60,60,1.0,0,月
C13066,忍たま 乱太郎[第15期],53,51,20.0,0,月
C13068,おじゃる丸[第10期],91,91,13.0,0,月
C13070,[おかあさんと あそぼっ!] きょうの おはなし,15,15,3.0,0,月
C10928,カッパの飼い方,26,26,2.0,0,月
C13071,ななみちゃんのわくわくどうぶつえん,13,13,9.0,0,月
C16195,きょうの料理 ビギナーズ [第10期],82,82,1.0,0,月
C16196,コトリ サンバ,10,10,6.0,0,月
C15753,ミニ はま MINIMUM-HAMATORA,10,10,6.0,0,月
C13095,よみきかせ日本昔ばなし,24,13,8.0,0,月
C10910,カレーの国のコバ～ル,13,13,8.0,0,月
C13097,クレイアニメ 太鼓の達人[第2期],13,12,4.0,0,月
C13105,忍たま 乱太郎[第14期],50,50,14.0,0,月
C13107,おじゃる丸[第9期],90,90,11.0,0,月
C13111,パンツ コインちゃん,15,15,4.0,0,月
C13122,モンチッチとあいちゃんのベビチッチえいご,24,24,2.0,0,月
C10890,蒼穹のファフナー Dead Aggressor,26,24,18.0,0,月
C10957,まほらば Heartful days,26,24,8.0,0,月
C13024,絶体絶命でんぢゃらすじーさん～おはスタ夏の特別編～,5,5,6.0,0,月
C13018,なぞなぞう,5,5,2.0,0,月
C15774,ガンバレー部 NEXT!,6,6,5.0,0,月
C11047,えいごでいっしょ! WAKU★WAKU ペンギー★ DOKI▼DOKI アドベンチャー,13,13,1.0,0,月
C11045,忍たま乱太郎［第12期］,83,83,18.0,0,月
C11043,おじゃる丸［第7期］,90,90,13.0,0,月
C15846,オトナの 一休さん[第1期],3,3,1.0,0,月
C11039,いない いない ばあっ!［第9期］,89,89,5.0,0,月
C12630,おじゃる丸［第8期］,90,90,13.0,0,月
C12635,クレイアニメ 太鼓の達人,13,13,4.0,0,月
C16180,銀魂.,12,12,4.0,0,月
C12637,ミカンせいじんの30秒学習,45,45,1.0,0,月
C11019,ブラックジャック,63,60,8.0,0,月
C11017,げんしけん,12,12,15.0,0,月
C12799,忍たま 乱太郎 [第8期],83,82,18.0,0,月
C12801,いない いないばあっ!［第5期］,31,31,4.0,0,月
C13154,太陽の黙示録,4,2,14.0,0,月
C12805,タイニー トゥーンズ,14,14,6.0,0,月
C12831,いない いない ばあっ!［第10期］,91,91,9.0,0,月
C12874,いない いない ばあっ!［第7期］,100,100,9.0,0,月
C15835,Re:ゼロ から始める異世界生活,26,26,17.0,0,月
C12910,DigiGirlデジガールPOP!STRAWBERRY ＆ POP MIX FLAVOR,26,26,9.0,0,月
C15834,闇 芝* 居[第3期],13,13,2.0,0,月
C12919,いない いない ばあっ!［第8期］,85,85,5.0,0,月
C12921,てれび絵本,453,453,6.0,0,月
C12929,ケロケロキングデラックス プラス,30,30,3.0,0,月
C12937,R.O.D THE TV,26,13,8.0,0,月
C12945,トムトム★ブー,26,26,2.0,0,月
C10978,がくえんゆーとぴあ まなびストレート!,12,12,9.0,0,月
C12983,ゴキブリ ちゃん,20,6,8.0,0,月
C10969,流星戦隊ムスメット　／　流星戦隊オトメット　／　帰ってきた! 流星戦隊ムスメット,13,13,12.0,0,月
C12813,おじゃる丸[第4期],90,90,13.0,0,月
C12620,うっかりペネロペ,26,26,7.0,0,月
C13166,機動戦士 ガンダム S［シード］ DESTINY ［総集編］運命［さだめ］の業火,1,1,10.0,0,月
C13275,やっこはん姉妹きぬやっこ もめんやっこ,5,5,1.0,0,月
C15613,ドアマイガーD,13,13,5.0,0,月
C13566,異国迷路の クロワーゼ The Animation,12,12,9.0,0,月
C13573,パッコロリン,130,130,3.0,0,月
C10730,まっすぐにいこう。［第2期］,5,5,10.0,0,月
C13577,遊★戯★王 ZEXAL,77,76,17.0,0,月
C13581,うっかりペネロペ[第2期],25,25,13.0,0,月
C13585,おじゃる丸[第13期],90,90,13.0,0,月
C9080,親子クラブ,1363,1167,3.0,0,月
C13592,百花 繚乱 サムライガールズ,12,12,11.0,0,月
C15599,うわばき クック,13,13,13.0,0,月
C15593,わし*も[第1期],10,10,9.0,0,月
C13635,テレビまんが 昭和物語,13,13,8.0,0,月
C10699,B-伝説［ビーレジェンド］! バトルビーダマン,52,52,11.0,0,月
C13639,俺たちに翼はない --under the innocent sky.,12,12,17.0,0,月
C9279,爆走兄弟レッツ＆ゴー!!,52,52,18.0,0,月
C9281,バケツでごはん,20,20,3.0,0,月
C13645,額縁をくぐって物語の中へ　[シリーズ],100,100,1.0,0,月
C15588,みならい ディーバ （※生アニメ）,10,10,4.0,0,月
C15581,ナンダカ ベロニカ,10,10,8.0,0,月
C13673,おじゃる丸[第14期],88,88,13.0,0,月
C9380,爆走兄弟レッツ＆ゴー!! WGP,51,51,13.0,0,月
C9442,金田一少年の 事件簿,148,148,9.0,0,月
C9527,爆走兄弟レッツ＆ゴー!! MAX,51,51,13.0,0,月
C9555,スーパーマン,25,21,2.0,0,月
C13684,クッキンアイドル アイ!マイ! まいん![第3期],82,81,17.0,0,月
C13700,たまゆら ～hitotose～,12,12,16.0,0,月
C13709,忍たま 乱太郎[第19期],90,89,16.0,0,月
C8825,しましまとらの しまじろう,751,586,11.0,0,月
C15621,はなかっぱ[第6期],58,29,18.0,0,月
C13524,薄桜鬼 新選組 奇譚 碧血録,11,10,17.0,0,月
C15626,干物妹[ひもうと]! うまるちゃん,12,12,9.0,0,月
C15700,うさぎのモフィ [第2期],12,12,5.0,0,月
C10841,デュエル・マスターズ チャージ,7,7,11.0,0,月
C15697,猫嫌いの家に 生まれた猫好きが 猫と暮らす絵日記,13,13,1.0,0,月
C13316,みんなのうた♪絵本シアター,3,2,1.0,0,月
C13323,ともだち8にん,109,109,5.0,0,月
C15686,怪 盗 ジョーカー MYSTERIOUS JOKER[第3期],13,13,14.0,0,月
C10828,花右京メイド隊 La Verite,12,12,9.0,0,月
C10826,せんせいの お時間 DOKI DOKI SCHOOL HOURS,13,12,15.0,0,月
C15675,ノラガミARAGOTO,26,13,19.0,0,月
C13354,おじゃる丸[第11期],90,90,2.0,0,月
C10818,ななみちゃん,12,12,4.0,0,月
C13356,忍たま乱太郎[第16期],100,100,17.0,0,月
C10815,Get Ride! アムドライバー,51,51,14.0,0,月
C13182,いない いない ばあっ! [第12期],110,110,10.0,0,月
C13358,いない いない ばあっ! [第13期],110,110,10.0,0,月
C13366,パコと魔法の絵本いつもワガママガマ王子,19,18,3.0,0,月
C13372,やさいのようせいN.Y. SALAD[第2期],26,26,6.0,0,月
C16228,忍たま乱太郎[第25期],60,57,12.0,0,月
C16093,ガヴリールドロップアウト,12,12,4.0,0,月
C13386,なぜ? どうして? がおがおぶーっ!,26,26,1.0,0,月
C13396,スッキリ!!・クロラ,20,20,3.0,0,月
C7171,狼少年ケン,86,86,8.0,0,月
C15658,アニメおしりかじり虫[第4期],20,10,11.0,0,月
C13475,Robin with his 100 friends,13,13,6.0,0,月
C13496,食パン ミミー,12,12,5.0,0,月
C13504,"ヨスガノソラ In solitude, where we are least alone.",12,12,8.0,0,月
C13508,荒川アンダー ザ ブリッジ*2,13,13,14.0,0,月
C8577,シティーハンター3,13,13,3.0,0,月
C13360,星新一ショートショート,26,26,5.0,0,月
C12573,Marginal Prince ─月桂樹の王子達─,13,13,9.0,0,月
C12571,金色のコルダ ～primo passo～,25,25,8.0,0,月
C12569,GALAXY ANGEL Ⅱ ギャラクシー エンジェる～ん,13,13,13.0,0,月
C16032,ポンコツクエスト -魔王と派遣の魔物たち- [第3期],12,12,2.0,0,月
C16022,ななにんのあやかし ‐ ちみちみ魍魎 !! 現代物語 ‐,4,4,7.0,0,月
C11873,はなまる 幼稚園,12,12,15.0,0,月
C11912,スレイヤーズEVOLUTION-R,13,13,13.0,0,月
