acid,acname,初回放送日,アニメ各話数,作品名の文字数
C10001,ギャラクシー エンジェル,2001-04-08,24,12
C10003,PROJECT ARMS,2001-04-08,26,12
C10005,探偵少年カゲマン,2001-11-28,6,8
C10006,Mr.Digital TOKORO the comical cartoon ［第1期］,2000-10-03,120,43
C10008,GEAR戦士[ギアファイター]  電童,2000-10-04,38,19
C10010,グラビテーション,2000-10-04,13,8
C10012,はじめの 一歩 THE FIGHTING!,2000-10-04,75,21
C10014,アルジェント ソーマ,2000-10-06,24,10
C10016,勝負師伝説 哲也,2000-10-07,20,8
C10018,Sci-Fi HARRY,2000-10-07,20,12
C10020,真・女神転生 デビチル,2000-10-07,50,11
C10022,ベイビーフィリックス,2000-10-08,65,10
C10024,無敵王 トライゼノン,2000-10-14,22,10
C10026,犬夜叉,2000-10-16,171,3
C10028,CYBERSIX,2000-10-16,13,8
C10030,人造人間 キカイダー THE ANIMATION,2000-10-16,13,24
C10032,学校の怪談,2000-10-22,20,5
C10034,機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],2000-10-24,26,24
C10038,ドッとKONIちゃん,2000-11-03,26,10
C10042,ピポパポ パトルくん,2000-12-04,65,10
C10051,激動! 歴史を変える男たち ～ アニメ 静岡県史～,2000-03-20,13,25
C10053,ゾイド 新世紀/ZERO,2001-01-06,26,12
C10054,破壊魔定光,2001-01-17,10,5
C10056,も～っと! おジャ魔女どれみ,2001-02-04,50,14
C10060,サラリーマン金太郎,2001-02-18,20,9
C10062,Dr.リンにきいてみて!,2001-03-05,51,12
C10066,ビップとバップ “The Adventures of Bip ＆ Bap”,2002-02-18,3,37
C10068,ネコのさくせん,2001-04-16,1,7
C10072,機動天使エンジェリックレイヤー,2001-04-01,26,15
C10074,Cosmic Baton Girl コメットさん★,2001-04-01,31,25
C10076,こみっくパーティー,2001-04-02,13,9
C10078,超GALS! 寿蘭,2001-04-01,52,9
C10080,デジモンテイマーズ,2001-04-01,51,9
C10082,RUN=DIM,2001-04-01,13,7
C10086,ジャングルはいつもハレのちグゥ,2001-04-03,26,15
C10088,STAR OCEAN EX,2001-04-03,26,13
C10090,魔法戦士 リウイ,2001-04-03,24,8
C10092,THE SOUL TAKER,2001-04-04,13,14
C10094,新白雪姫伝説プリーティア,2001-04-04,13,12
C10096,GENE shaft,2001-04-05,13,10
C10098,シスター・プリンセス,2001-03-29,27,10
C10100,Di Gi Charat お花見すぺしゃる,2001-04-06,4,21
C10102,電脳冒険記ウェブダイバー,2001-07-13,38,12
C10104,NOIR,2001-04-06,26,4
C10106,破邪巨星 G弾劾凰,2001-04-06,13,9
C10109,パチスロ貴族 銀,2001-04-12,23,8
C10111,鋼鉄天使 くるみ2式,2001-04-13,12,10
C10113,花右京メイド隊,2001-04-13,12,7
C10115,ゴーゴー五つ子ら・ん・ど,2001-04-14,50,12
C10117,パラッパラッパー,2001-04-14,30,8
C10119,だいすき! ぶぶ チャチャ,2001-05-10,26,13
C10121,すしあざらし,2001-01-20,30,6
C10123,学園戦記ムリョウ,2001-05-08,28,8
C10125,オフサイド,2001-05-10,39,5
C10127,チャンス トライアングルセッション,2001-05-14,14,17
C10129,フィギュア17 つばさ＆ヒカル,2001-05-27,15,15
C10131,まみむめ★もがちょ,2001-07-01,13,9
C10133,あぃまぃみぃ! ストロベリー・エッグ,2001-07-04,13,18
C10135,シャーマンキング,2001-07-04,65,8
C10137,スクライド,2001-07-04,26,5
C10139,フルーツバスケット,2001-05-03,27,9
C10141,魔法少女猫 たると,2001-07-05,12,9
C10143,コスモウォーリアー零,2001-07-07,13,10
C10145,ののちゃん,2001-07-07,61,5
C10147,星界の戦旗Ⅱ,2001-07-08,11,6
C10149,グラップラー刃牙 ―最大トーナメント編―,2001-07-24,23,20
C10151,SAMURAI GIRL リアルバウト ハイスクール,2001-07-21,14,26
C10153,筋肉 番付 金剛くんの大冒険!,2001-07-30,3,15
C10157,Di Gi Charat なつやすみスペシャル,2001-08-02,4,23
C10161,砂漠の海賊! キャプテンクッパ,2001-08-13,25,15
C10163,PROJECT ARMS The 2nd Chapter,2001-10-07,26,28
C10165,くるくるアミー,2001-10-01,65,7
C10167,旋風の用心棒 ～黒澤明監督作品「用心棒」より～,2001-10-02,8,23
C10169,しあわせソウの オコジョさん,2001-10-02,51,14
C10171,ちっちゃな雪使いシュガ～,2001-10-03,24,12
C10173,おとぎストーリー 天使のしっぽ,2001-10-04,12,15
C10175,VANDREAD the Second Stage,2001-10-05,14,25
C10177,ナジカ電撃作戦,2001-10-05,12,7
C10179,ストレイシープ ポーのちっちゃな大冒険,2001-10-06,18,19
C10181,バビル2世［新］,2001-10-06,13,8
C10183,星のカービィ,2001-10-06,100,6
C10185,まほろまてぃっく Automatic Maiden,2001-10-06,13,25
C10187,ガイスターズ FRACTIONS OF THE EARTH,2001-10-06,26,29
C10189,キャプテン翼［新］,2001-10-07,52,9
C10191,激闘! クラッシュギアT[TURBO],2001-10-07,68,19
C10193,テニスの王子様,2001-10-10,179,7
C10195,ヒカルの碁,2001-10-10,76,5
C10197,Hellsing,2001-10-11,13,8
C10199,ピロッポ,2001-10-11,23,4
C10201,コ・コ・ロ・図・書・館,2001-10-12,12,11
C10203,カスミン,2001-10-13,26,4
C10205,バンパイヤン・キッズ,2001-10-13,28,10
C10207,RAVE GROOVE ADVENTURE,2001-10-13,51,21
C10211,サイボーグ009[第3作] THE CYBORG SOLDIER,2001-10-14,50,32
C10215,i wish you were here あなたがここにいてほしい,2001-10-05,5,33
C10217,こげぱん,2001-11-05,10,4
C10221,格闘料理伝説ビストロレシピ,2001-12-11,26,13
C10223,よばれてとびでて! アクビちゃん,2001-12-11,13,16
C10229,きっかけは ラフくん,2002-01-05,34,10
C10231,パタパタ飛行船 の 冒険,2001-12-02,27,12
C10233,ぱにょ ぱにょ デ・ジ・キャラット,2002-01-06,48,17
C10235,爆転シュート ベイブレード2002,2002-01-07,51,17
C10237,炎の蜃気楼［ミラージュ］,2002-01-07,14,12
C10239,フルメタル・パニック!,2002-01-08,24,11
C10241,キン肉マンⅡ世,2002-01-09,51,7
C10243,おねがい☆ティーチャー,2002-01-10,12,11
C10245,七人のナナ,2002-01-10,25,5
C10247,Rahxephon,2002-01-21,26,9
C10248,超重神 グラヴィオン,2002-10-08,13,10
C10250,ゴールド マッスル,2002-10-12,4,9
C10252,週刊ポケモン放送局,2002-12-03,16,9
C10254,アソボット戦記 五九,2002-10-01,52,10
C10256,攻殻機動隊 STAND ALONE COMPLEX,2002-10-01,26,25
C10258,スパイラル ―推理の絆―,2002-10-01,25,12
C10260,花田少年史,2002-10-02,25,5
C10262,ヒートガイジェイ,2002-10-02,25,8
C10264,ボンバーマン ジェッターズ,2002-10-02,52,13
C10267,PLATONIC CHAIN,2002-10-05,24,14
C10272,機動戦士 ガンダムSEED,2002-10-05,50,13
C10274,ゲットバッカーズ 奪還屋,2002-10-05,49,12
C10276,カスミン［第2期］,2002-10-05,26,9
C10278,真・女神転生 D[デビル]チルドレン ライト＆ダーク,2002-10-05,52,26
C10280,ギャラクシーエンジェル[A] [第3期],2002-10-06,26,20
C10282,Kiddy Grade,2002-10-09,24,11
C10284,灰羽連盟,2002-10-10,13,4
C10286,デュエル・マスターズ,2002-10-21,32,10
C10288,巨人の星 【特別篇】 猛虎 花形満 ～『巨人の星』全182話より特別編集～,2002-10-23,13,37
C10290,神世紀伝マーズ,2002-10-31,13,7
C10292,piano,2002-10-05,10,5
C10294,シスター・プリンセス ～リピュア～,2002-10-03,13,17
C10296,NARUTO,2002-10-03,221,6
C10298,Kanon,2002-01-31,13,5
C10300,ヘイ!ヘイ! シュルーム,2002-02-03,73,12
C10302,幻魔大戦 ―神話前夜の章―,2002-02-02,13,13
