year,quarter,アニメ作品数,クール
1963,1,1,1963-01-01
1963,2,1,1963-04-01
1963,3,1,1963-07-01
1963,4,2,1963-10-01
1964,1,2,1964-01-01
1964,2,2,1964-04-01
1964,3,2,1964-07-01
1964,4,2,1964-10-01
1965,1,2,1965-01-01
1965,2,2,1965-04-01
1965,3,2,1965-07-01
1965,4,1,1965-10-01
1966,1,1,1966-01-01
1966,2,1,1966-04-01
1966,3,1,1966-07-01
1966,4,1,1966-10-01
1967,1,0,1967-01-01
1967,2,0,1967-04-01
1967,3,0,1967-07-01
1967,4,0,1967-10-01
1968,1,0,1968-01-01
1968,2,0,1968-04-01
1968,3,0,1968-07-01
1968,4,0,1968-10-01
1969,1,0,1969-01-01
1969,2,0,1969-04-01
1969,3,0,1969-07-01
1969,4,0,1969-10-01
1970,1,0,1970-01-01
1970,2,0,1970-04-01
1970,3,0,1970-07-01
1970,4,0,1970-10-01
1971,1,0,1971-01-01
1971,2,0,1971-04-01
1971,3,0,1971-07-01
1971,4,1,1971-10-01
1972,1,1,1972-01-01
1972,2,0,1972-04-01
1972,3,0,1972-07-01
1972,4,0,1972-10-01
1973,1,0,1973-01-01
1973,2,0,1973-04-01
1973,3,0,1973-07-01
1973,4,0,1973-10-01
1974,1,1,1974-01-01
1974,2,1,1974-04-01
1974,3,1,1974-07-01
1974,4,2,1974-10-01
1975,1,1,1975-01-01
1975,2,0,1975-04-01
1975,3,0,1975-07-01
1975,4,0,1975-10-01
1976,1,0,1976-01-01
1976,2,0,1976-04-01
1976,3,0,1976-07-01
1976,4,0,1976-10-01
1977,1,0,1977-01-01
1977,2,0,1977-04-01
1977,3,0,1977-07-01
1977,4,0,1977-10-01
1978,1,0,1978-01-01
1978,2,0,1978-04-01
1978,3,0,1978-07-01
1978,4,0,1978-10-01
1979,1,0,1979-01-01
1979,2,1,1979-04-01
1979,3,1,1979-07-01
1979,4,1,1979-10-01
1980,1,1,1980-01-01
1980,2,0,1980-04-01
1980,3,0,1980-07-01
1980,4,0,1980-10-01
1981,1,0,1981-01-01
1981,2,0,1981-04-01
1981,3,0,1981-07-01
1981,4,0,1981-10-01
1982,1,0,1982-01-01
1982,2,0,1982-04-01
1982,3,0,1982-07-01
1982,4,0,1982-10-01
1983,1,0,1983-01-01
1983,2,0,1983-04-01
1983,3,0,1983-07-01
1983,4,0,1983-10-01
1984,1,0,1984-01-01
