acid,アニメ作品名,アニメ各話数,放送日数,声優数
C10001,ギャラクシー エンジェル,24,23,9.0
C10003,PROJECT ARMS,26,26,11.0
C10005,探偵少年カゲマン,6,5,12.0
C10006,Mr.Digital TOKORO the comical cartoon ［第1期］,120,120,
C10008,GEAR戦士[ギアファイター]  電童,38,38,10.0
C10010,グラビテーション,13,13,9.0
C10012,はじめの 一歩 THE FIGHTING!,75,75,16.0
C10014,アルジェント ソーマ,24,24,12.0
C10016,勝負師伝説 哲也,20,20,11.0
C10018,Sci-Fi HARRY,20,20,13.0
C10020,真・女神転生 デビチル,50,50,14.0
C10022,ベイビーフィリックス,65,65,14.0
C10024,無敵王 トライゼノン,22,22,14.0
C10026,犬夜叉,171,166,15.0
C10028,CYBERSIX,13,13,2.0
C10030,人造人間 キカイダー THE ANIMATION,13,13,12.0
C10032,学校の怪談,20,20,10.0
C10034,機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],26,26,15.0
C10038,ドッとKONIちゃん,26,26,10.0
C10042,ピポパポ パトルくん,65,65,12.0
C10051,激動! 歴史を変える男たち ～ アニメ 静岡県史～,13,7,16.0
C10053,ゾイド 新世紀/ZERO,26,26,12.0
C10054,破壊魔定光,10,10,11.0
C10056,も～っと! おジャ魔女どれみ,50,50,14.0
C10060,サラリーマン金太郎,20,5,17.0
C10062,Dr.リンにきいてみて!,51,51,15.0
C10066,ビップとバップ “The Adventures of Bip ＆ Bap”,3,3,
C10068,ネコのさくせん,1,1,
C10072,機動天使エンジェリックレイヤー,26,26,18.0
C10074,Cosmic Baton Girl コメットさん★,31,31,14.0
C10076,こみっくパーティー,13,13,13.0
C10078,超GALS! 寿蘭,52,52,14.0
C10080,デジモンテイマーズ,51,51,16.0
C10082,RUN=DIM,13,13,15.0
C10086,ジャングルはいつもハレのちグゥ,26,26,15.0
C10088,STAR OCEAN EX,26,26,8.0
C10090,魔法戦士 リウイ,24,24,17.0
C10092,THE SOUL TAKER,13,13,7.0
C10094,新白雪姫伝説プリーティア,13,13,13.0
C10096,GENE shaft,13,13,14.0
C10098,シスター・プリンセス,27,27,15.0
C10100,Di Gi Charat お花見すぺしゃる,4,1,12.0
C10102,電脳冒険記ウェブダイバー,38,38,15.0
