ccid,crtid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname,crtname
C87429,CCRT01604,交通安全'76,1,0,0,1976-09-06,1976-09-06,C119459,週刊少年ジャンプ,山止たつひこ
C87430,CCRT02117,好敵手 室伏広治物語,1,0,0,2000-10-02,2000-10-02,C119459,週刊少年ジャンプ,柳田東一郎
C87430,CCRT03152,好敵手 室伏広治物語,1,0,0,2000-10-02,2000-10-02,C119459,週刊少年ジャンプ,門脇正法
C87431,CCRT01415,鋼鉄の殺人者,1,0,0,1979-12-10,1979-12-10,C119459,週刊少年ジャンプ,富沢順
C87432,CCRT01979,硬派山崎銀次郎,1,0,1,1974-04-29,1974-04-29,C119459,週刊少年ジャンプ,本宮ひろ志
C87433,CCRT01575,コウモリくん,1,0,0,1975-06-09,1975-06-09,C119459,週刊少年ジャンプ,山本いさむ
C87435,CCRT01574,荒野の少年イサム,112,0,4,1971-09-13,1974-01-07,C119459,週刊少年ジャンプ,山川惣治
C87435,CCRT01718,荒野の少年イサム,112,0,4,1971-09-13,1974-01-07,C119459,週刊少年ジャンプ,川崎のぼるとカワサキプロ
C87436,CCRT01902,荒野の脱出,1,0,0,1975-09-29,1975-09-29,C119459,週刊少年ジャンプ,星野之宣
C87437,CCRT01227,豪腕江川投手,2,0,0,1974-12-02,1974-12-09,C119459,週刊少年ジャンプ,夏木信夫
C87437,CCRT01832,豪腕江川投手,2,0,0,1974-12-02,1974-12-09,C119459,週刊少年ジャンプ,手無功
C87438,CCRT02582,豪腕サイボーグツトム,1,0,0,2008-11-17,2008-11-17,C119459,週刊少年ジャンプ,相原成年
C87439,CCRT00468,ゴーイングマイウェイ進,1,0,0,2004-09-27,2004-09-27,C119459,週刊少年ジャンプ,ゴーギャン
C87440,CCRT00127,どきゅめんたりぃ足！！,1,0,0,1970-08-31,1970-08-31,C119459,週刊少年ジャンプ,おだ辰夫
C87446,CCRT02270,特別交通機動隊 SUPER PATROL,16,2,1,1987-06-01,1987-10-26,C119459,週刊少年ジャンプ,次原隆二
C87447,CCRT01769,どくろ大旋風,1,0,0,1972-09-11,1972-09-11,C119459,週刊少年ジャンプ,庄司もりたか
C87448,CCRT01105,ど根性ガエル,296,30,24,1970-07-27,1976-06-14,C119459,週刊少年ジャンプ,吉沢やすみ
