ccid,crtid
C87429,CCRT01604
C87430,CCRT02117
C87430,CCRT03152
C87431,CCRT01415
C87432,CCRT01979
C87433,CCRT01575
C87435,CCRT01574
C87435,CCRT01718
C87436,CCRT01902
C87437,CCRT01227
C87437,CCRT01832
C87438,CCRT02582
C87439,CCRT00468
C87440,CCRT00127
C87446,CCRT02270
C87447,CCRT01769
C87448,CCRT01105
C87449,CCRT03272
C87450,CCRT02119
C87451,CCRT01105
C87452,CCRT03364
C87453,CCRT01846
C87454,CCRT01298
C87455,CCRT01938
C87456,CCRT01843
C87457,CCRT00069
C87458,CCRT00442
C87459,CCRT01604
C87460,CCRT01392
C87461,CCRT03363
C87462,CCRT00088
C87463,CCRT00489
C87464,CCRT02255
C87465,CCRT00300
C87466,CCRT02743
C87467,CCRT01459
C87468,CCRT02346
C87469,CCRT00248
C87470,CCRT02653
C87472,CCRT01276
C87473,CCRT01396
C87475,CCRT00593
C87475,CCRT02730
C87476,CCRT03330
C87479,CCRT02007
C87480,CCRT00442
C87481,CCRT01026
C87482,CCRT00083
C87483,CCRT00694
C87484,CCRT02904
C87485,CCRT01694
C87487,CCRT01200
C87490,CCRT01326
C87491,CCRT00477
C87492,CCRT01105
C87494,CCRT02714
C87494,CCRT03224
C87495,CCRT01353
C87496,CCRT00854
C87497,CCRT00137
C87498,CCRT03324
C87499,CCRT02270
C87500,CCRT01229
C87501,CCRT00594
C87502,CCRT00844
C87504,CCRT00395
C87505,CCRT01227
C87505,CCRT02006
C87507,CCRT00120
C87508,CCRT03272
C87510,CCRT02718
C87511,CCRT01832
C87512,CCRT02969
C87513,CCRT00312
C87515,CCRT03271
C87516,CCRT00764
C87517,CCRT00083
C87518,CCRT02020
C87520,CCRT03103
C87521,CCRT02569
C87522,CCRT03253
C87523,CCRT00957
C87526,CCRT02396
C87526,CCRT02914
C87527,CCRT00705
C87528,CCRT00610
C87528,CCRT02913
C87531,CCRT02229
C87532,CCRT01036
C87532,CCRT02910
C87533,CCRT02105
C87534,CCRT02270
C87535,CCRT03295
C87537,CCRT02724
C87538,CCRT00460
C87539,CCRT00193
C87539,CCRT01041
C87544,CCRT00195
C87549,CCRT01773
C87549,CCRT02910
C87551,CCRT00602
C87552,CCRT00187
C87554,CCRT01753
C87555,CCRT02778
C87556,CCRT01872
C87557,CCRT03162
C87559,CCRT02752
C87562,CCRT00526
C87563,CCRT03163
C87568,CCRT02523
C87576,CCRT02333
C87578,CCRT01008
C87578,CCRT02286
C87586,CCRT01329
C87587,CCRT03324
C87589,CCRT00755
C87589,CCRT01016
C87590,CCRT01917
C87591,CCRT03043
C87592,CCRT01067
C87593,CCRT00276
C87594,CCRT00413
C87595,CCRT03214
C87596,CCRT00788
C87597,CCRT02196
C87598,CCRT00729
C87599,CCRT01377
C87600,CCRT00271
C87601,CCRT02889
C87602,CCRT03295
C87603,CCRT01098
C87604,CCRT03335
C87605,CCRT01401
C87606,CCRT03074
C87607,CCRT00531
C87608,CCRT03120
C87609,CCRT01979
C87610,CCRT01427
C87611,CCRT02615
C87612,CCRT00730
C87613,CCRT00730
C87614,CCRT01512
C87614,CCRT03344
C87615,CCRT02023
C87616,CCRT00271
C87617,CCRT02166
C87618,CCRT02237
C87619,CCRT02537
C87620,CCRT01228
C87621,CCRT00292
C87625,CCRT01062
C87628,CCRT03295
C87629,CCRT00057
C87630,CCRT03324
C87631,CCRT02276
C87632,CCRT01599
C87633,CCRT01016
C87634,CCRT00934
C87635,CCRT02466
C87636,CCRT01670
C87637,CCRT01670
C87638,CCRT01670
C87638,CCRT02012
C87639,CCRT01905
C87640,CCRT02979
C87641,CCRT02342
C87642,CCRT00442
C87643,CCRT03324
C87644,CCRT02081
C87645,CCRT01478
C87645,CCRT02727
C87646,CCRT01329
C87647,CCRT01534
C87647,CCRT03324
C87648,CCRT00005
C87648,CCRT00597
C87648,CCRT01050
C87649,CCRT01180
C87650,CCRT03118
C87651,CCRT00071
C87652,CCRT02216
C87653,CCRT01252
C87653,CCRT01512
C87654,CCRT01252
C87654,CCRT01512
C87654,CCRT02462
C87655,CCRT01905
C87656,CCRT01285
C87657,CCRT02136
C87658,CCRT02689
C87659,CCRT02020
C87660,CCRT00600
C87661,CCRT01918
C87662,CCRT01753
C87666,CCRT00618
C87666,CCRT02730
C87667,CCRT03324
C87668,CCRT02458
C87669,CCRT01570
C87670,CCRT03283
C87671,CCRT03324
C87672,CCRT02136
C87673,CCRT02948
C87674,CCRT01087
C87675,CCRT02827
C87676,CCRT01584
C87677,CCRT03276
C87681,CCRT02255
C87682,CCRT00982
C87683,CCRT02255
C87684,CCRT00946
C87685,CCRT01244
C87685,CCRT02911
C87686,CCRT02347
C87687,CCRT02964
C87687,CCRT03133
C87687,CCRT03317
C87691,CCRT02907
C87692,CCRT01512
C87693,CCRT01599
C87694,CCRT00551
C87695,CCRT01754
C87696,CCRT00002
C87697,CCRT02333
C87699,CCRT02452
C87701,CCRT00239
C87702,CCRT00348
C87703,CCRT03006
C87703,CCRT03317
C87704,CCRT01997
C87705,CCRT01145
C87708,CCRT02970
C87709,CCRT01857
C87710,CCRT02948
C87711,CCRT02085
C87712,CCRT00542
C87712,CCRT00788
C87713,CCRT02166
C87714,CCRT01109
C87715,CCRT02298
C87716,CCRT01793
C87717,CCRT01295
C87718,CCRT02549
C87719,CCRT00957
C87720,CCRT02166
C87721,CCRT00123
C87721,CCRT00744
C87722,CCRT00381
C87723,CCRT02348
C87724,CCRT02269
C87725,CCRT01396
C87726,CCRT02136
C87727,CCRT01599
C87748,CCRT03090
C87749,CCRT00134
C87755,CCRT02422
C87757,CCRT02136
C87758,CCRT01090
C87759,CCRT01778
C87759,CCRT02728
C87760,CCRT00385
C87761,CCRT01518
C87762,CCRT01670
C87763,CCRT02948
C87764,CCRT01195
C87765,CCRT03324
C87766,CCRT02020
C87767,CCRT01174
C87768,CCRT02582
C87769,CCRT01848
C87769,CCRT03335
C87770,CCRT03353
C87771,CCRT02270
C87772,CCRT02689
C87773,CCRT03276
C87774,CCRT03335
C87775,CCRT02166
C87776,CCRT01329
C87777,CCRT01011
C87778,CCRT01182
C87779,CCRT02288
C87779,CCRT03342
C87780,CCRT00029
C87782,CCRT03324
C87783,CCRT01668
C87785,CCRT01825
C87785,CCRT01961
C87786,CCRT01591
C87787,CCRT01390
C87787,CCRT03335
C87788,CCRT01086
C87788,CCRT01235
C87789,CCRT00134
C87790,CCRT01438
C87791,CCRT02979
C87792,CCRT02979
C87793,CCRT00708
C87794,CCRT01086
C87796,CCRT03112
C87797,CCRT01872
C87798,CCRT01020
C87798,CCRT02506
C87799,CCRT02912
C87800,CCRT02117
C87800,CCRT02357
C87801,CCRT02166
C87802,CCRT01680
C87804,CCRT02139
C87805,CCRT02139
C87806,CCRT02840
C87807,CCRT01365
C87808,CCRT00985
C87810,CCRT00445
C87811,CCRT03276
C87812,CCRT00382
C87813,CCRT01518
C87815,CCRT00127
C87816,CCRT03008
C87817,CCRT02290
C87818,CCRT01534
C87819,CCRT01329
C87820,CCRT02334
C87821,CCRT01415
