ccid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname
C102235,さばげぶっ！,1,0,0,2014-08-06,2014-08-06,C119033,週刊少年マガジン
C109295,マウンドの稲妻,10,1,1,1980-08-18,1980-10-20,C119459,週刊少年ジャンプ
C109296,SCRAP三太夫,19,2,3,1988-10-03,1989-09-18,C119459,週刊少年ジャンプ
C109297,IN THE TRAIN,1,0,0,1997-02-03,1997-02-03,C119459,週刊少年ジャンプ
C110879,[編集後記],1,0,0,2001-11-19,2001-11-19,C119459,週刊少年ジャンプ
C110880,[掲載に関するお知らせ],1,0,0,2013-02-25,2013-02-25,C119459,週刊少年ジャンプ
C110884,[懸賞],2,0,0,2010-04-05,2011-05-02,C119459,週刊少年ジャンプ
C110886,血界戦線,1,0,1,2015-04-27,2015-04-27,C119459,週刊少年ジャンプ
C110887,To LOVEる -とらぶる- ダークネス,2,0,1,2015-07-20,2016-01-15,C119459,週刊少年ジャンプ
C110888,テラフォーマーズ[TERRA FORMARS],1,0,1,2014-10-13,2014-10-13,C119459,週刊少年ジャンプ
C110889,終わりのセラフ,3,0,2,2013-06-10,2016-01-15,C119459,週刊少年ジャンプ
C110892,ヨアケモノ,16,0,2,2014-08-04,2014-11-24,C119459,週刊少年ジャンプ
C110893,龍生九子,1,0,1,2014-08-13,2014-08-13,C119033,週刊少年マガジン
C110894,ネジヤマさん。,1,0,1,2014-08-11,2014-08-11,C119459,週刊少年ジャンプ
C110896,DEVILYMAN,1,0,1,2014-08-18,2014-08-18,C119459,週刊少年ジャンプ
C110897,鉄の王,24,0,1,2014-08-27,2015-02-11,C119033,週刊少年マガジン
C110898,徒然チルドレン,110,0,3,2014-08-27,2017-07-26,C119033,週刊少年マガジン
C110899,the Killing Pawn,1,0,1,2014-08-27,2014-08-27,C119033,週刊少年マガジン
C110900,ベイマックス,1,0,1,2014-08-27,2014-08-27,C119033,週刊少年マガジン
C110901,戦争劇場,55,0,1,2014-08-06,2015-10-07,C117607,週刊少年サンデー
C110902,洋菓子店ギャラクシー,1,0,1,2014-08-06,2014-08-06,C117607,週刊少年サンデー
C110903,闘え！春巻 外伝!浦安鉄筋家族,1,0,0,2014-07-31,2014-07-31,C120282,週刊少年チャンピオン
C110904,マリリーン大魔法研究所,3,0,0,2014-08-07,2014-08-28,C120282,週刊少年チャンピオン
C110905,ある朝起きたら,1,0,0,2014-09-01,2014-09-01,C119459,週刊少年ジャンプ
C110906,返信願望!,1,0,0,2014-09-01,2014-09-01,C119459,週刊少年ジャンプ
C110907,噂の噂倶楽部,1,0,0,2014-08-21,2014-08-21,C120282,週刊少年チャンピオン
C110908,肋骨さん,1,0,1,2014-09-08,2014-09-08,C119459,週刊少年ジャンプ
C110909,笠原さんと雨の日に,1,0,0,2014-09-08,2014-09-08,C119459,週刊少年ジャンプ
C110910,ラブひな,1,0,0,2014-09-10,2014-09-10,C119033,週刊少年マガジン
C110911,喧嘩村,8,0,0,2014-08-28,2014-10-16,C120282,週刊少年チャンピオン
C110912,BRAIN BREAKER -ブレイン・ブレイカー-,1,0,1,2014-09-15,2014-09-15,C119459,週刊少年ジャンプ
C110913,デジコン,26,0,4,2014-09-03,2015-03-11,C117607,週刊少年サンデー
C110914,育てち魔おう!,3,0,0,2014-09-17,2016-12-14,C119033,週刊少年マガジン
C110915,HOBBY SEARCHERS ARE GO!,4,0,0,2015-04-09,2016-04-14,C120282,週刊少年チャンピオン
C110916,SF BATTLE ACTION UNI,4,0,0,2014-09-04,2014-09-25,C120282,週刊少年チャンピオン
C110917,少年ナンデヤネン,1,0,0,2014-09-22,2014-09-22,C119459,週刊少年ジャンプ
C110918,魔法少女・オブ・ジ・エンド,1,0,1,2014-09-11,2014-09-11,C120282,週刊少年チャンピオン
C110919,吸血鬼よく死ぬ,1,0,0,2014-09-11,2014-09-11,C120282,週刊少年チャンピオン
C110920,ハイファイクラスタ,18,0,2,2014-09-29,2015-02-09,C119459,週刊少年ジャンプ
C110921,拝啓 運命の人,1,0,0,2014-09-29,2014-09-29,C119459,週刊少年ジャンプ
C110922,星咬の皐月,1,0,1,2014-10-01,2014-10-01,C119033,週刊少年マガジン
C110923,チカカラチカ,18,0,1,2014-09-18,2015-01-29,C120282,週刊少年チャンピオン
C110924,ぽかぽかおふろちゃん,1,0,0,2014-09-18,2014-09-18,C120282,週刊少年チャンピオン
C110925,おいしい神しゃま,39,0,39,2014-09-24,2015-10-28,C117607,週刊少年サンデー
C110926,Sporting Salt,18,0,2,2014-10-06,2015-02-16,C119459,週刊少年ジャンプ
C110927,うちはサスケの写輪眼伝,9,0,0,2014-10-06,2017-07-17,C119459,週刊少年ジャンプ
C110928,れっつ!ハイキュー!?,2,0,1,2014-10-06,2015-06-15,C119459,週刊少年ジャンプ
C110929,本当にはなかったし別に怖くもない話,1,0,0,2014-10-06,2014-10-06,C119459,週刊少年ジャンプ
C110930,せっかち伯爵をせっかちにおさらい,1,0,0,2014-10-08,2014-10-08,C119033,週刊少年マガジン
C110931,実食!ウサキチくん,3,1,0,2014-10-20,2017-07-17,C119459,週刊少年ジャンプ
C110932,なんて古っ代!ファラオくん,4,1,0,2014-10-20,2017-07-17,C119459,週刊少年ジャンプ
C110933,モロモノの事情,3,0,1,2014-10-27,2014-11-10,C119459,週刊少年ジャンプ
C110934,ネイジィ・レター,1,0,0,2014-09-25,2014-09-25,C120282,週刊少年チャンピオン
