crtid,crtname
CCRT00000,
CCRT00001,AKU
CCRT00002,AOKO
CCRT00003,AR-V
CCRT00004,Applibot
CCRT00005,BOB
CCRT00006,BOKU
CCRT00007,BONES
CCRT00008,Boichi
CCRT00009,B・B
CCRT00010,CLAMP
CCRT00011,DarrenShan
CCRT00012,GOSSAGE
CCRT00013,HI-AX
CCRT00014,KAITO
CCRT00015,KANB
CCRT00016,K・元美津
CCRT00017,LIKEAROLLINGSTONE
CCRT00018,M.A.T
CCRT00019,MIR
CCRT00020,MITA
CCRT00021,Mr.オモキ
CCRT00022,ONE
CCRT00023,Production-Q
CCRT00024,Q-PRODUCTION
CCRT00025,R.CPRODUCTION
CCRT00026,RAN
CCRT00027,REALCOMICPRODUCTION
CCRT00028,S.Kitagawa
CCRT00029,SHOUWA
CCRT00030,SP☆なかてま
CCRT00031,STUDIONONKY
CCRT00032,STUDI♂JiZ♂U
CCRT00033,S・M(看護士)
CCRT00034,S松江名君
CCRT00035,THESEIJI
CCRT00036,UMA
CCRT00037,WILDTHING
CCRT00038,YUI
CCRT00039,YUKITO
CCRT00040,Y♀K♀
CCRT00041,ZEN
CCRT00042,biki
CCRT00043,hounori
CCRT00044,tatta
CCRT00045,©タツノコプロ
CCRT00046,あおきてつお
CCRT00047,あおさきなみ
CCRT00048,あおやぎ孝夫
CCRT00049,あおやま英雄
CCRT00050,あかねこか
CCRT00051,あかほりさとる
CCRT00052,あさだ圭
CCRT00053,あさの
CCRT00054,あさの一人
CCRT00055,あさみ章太郎
CCRT00056,あすなひろし
CCRT00057,あずまけいしん
CCRT00058,あそひろ志
CCRT00059,あだちつとむ
CCRT00060,あだちとか
CCRT00061,あだち充
CCRT00062,あびる義明
CCRT00063,あびわ
CCRT00064,あぶハチロー
CCRT00065,あやみのる
CCRT00066,あや秀夫
CCRT00067,あらいきよこ
CCRT00068,ありま猛
CCRT00069,あろひろし
CCRT00070,あわ箱
CCRT00071,あんど慶周
CCRT00072,いいおたかし
