miid,miname,mcid,mcname,date,price
M616363,週刊少年ジャンプ 1970年 表示号数31,C119459,週刊少年ジャンプ,1970-07-27,80.0
M558279,週刊少年チャンピオン 1970年 表示号数14,C120282,週刊少年チャンピオン,1970-07-27,80.0
M579286,週刊少年サンデー 1970年 表示号数32,C117607,週刊少年サンデー,1970-08-02,80.0
M537473,週刊少年マガジン 1970年 表示号数32,C119033,週刊少年マガジン,1970-08-02,80.0
M544796,週刊少年ジャンプ 1970年 表示号数32,C119459,週刊少年ジャンプ,1970-08-03,80.0
M558278,週刊少年チャンピオン 1970年 表示号数15,C120282,週刊少年チャンピオン,1970-08-03,80.0
M579285,週刊少年サンデー 1970年 表示号数33,C117607,週刊少年サンデー,1970-08-09,90.0
M537472,週刊少年マガジン 1970年 表示号数33,C119033,週刊少年マガジン,1970-08-09,80.0
M544795,週刊少年ジャンプ 1970年 表示号数33,C119459,週刊少年ジャンプ,1970-08-10,80.0
M558277,週刊少年チャンピオン 1970年 表示号数16,C120282,週刊少年チャンピオン,1970-08-10,80.0
M579284,週刊少年サンデー 1970年 表示号数34,C117607,週刊少年サンデー,1970-08-16,90.0
M537471,週刊少年マガジン 1970年 表示号数34,C119033,週刊少年マガジン,1970-08-16,90.0
M544794,週刊少年ジャンプ 1970年 表示号数34,C119459,週刊少年ジャンプ,1970-08-17,80.0
M558276,週刊少年チャンピオン 1970年 表示号数17,C120282,週刊少年チャンピオン,1970-08-17,80.0
M579283,週刊少年サンデー 1970年 表示号数35,C117607,週刊少年サンデー,1970-08-23,90.0
M537470,週刊少年マガジン 1970年 表示号数35,C119033,週刊少年マガジン,1970-08-23,90.0
M544793,週刊少年ジャンプ 1970年 表示号数35,C119459,週刊少年ジャンプ,1970-08-24,90.0
M558275,週刊少年チャンピオン 1970年 表示号数18,C120282,週刊少年チャンピオン,1970-08-24,80.0
M579282,週刊少年サンデー 1970年 表示号数36,C117607,週刊少年サンデー,1970-08-30,90.0
M537469,週刊少年マガジン 1970年 表示号数36,C119033,週刊少年マガジン,1970-08-30,90.0
M544792,週刊少年ジャンプ 1970年 表示号数36,C119459,週刊少年ジャンプ,1970-08-31,90.0
M558274,週刊少年チャンピオン 1970年 表示号数19,C120282,週刊少年チャンピオン,1970-08-31,80.0
M579281,週刊少年サンデー 1970年 表示号数37,C117607,週刊少年サンデー,1970-09-06,90.0
M537468,週刊少年マガジン 1970年 表示号数37,C119033,週刊少年マガジン,1970-09-06,90.0
M544791,週刊少年ジャンプ 1970年 表示号数37,C119459,週刊少年ジャンプ,1970-09-07,80.0
M558273,週刊少年チャンピオン 1970年 表示号数20,C120282,週刊少年チャンピオン,1970-09-07,90.0
M579280,週刊少年サンデー 1970年 表示号数38,C117607,週刊少年サンデー,1970-09-13,80.0
M537467,週刊少年マガジン 1970年 表示号数38,C119033,週刊少年マガジン,1970-09-13,90.0
M544790,週刊少年ジャンプ 1970年 表示号数38,C119459,週刊少年ジャンプ,1970-09-14,80.0
M558272,週刊少年チャンピオン 1970年 表示号数21,C120282,週刊少年チャンピオン,1970-09-14,80.0
M579279,週刊少年サンデー 1970年 表示号数39,C117607,週刊少年サンデー,1970-09-20,80.0
M537466,週刊少年マガジン 1970年 表示号数39,C119033,週刊少年マガジン,1970-09-20,80.0
M616364,週刊少年ジャンプ 1970年 表示号数39,C119459,週刊少年ジャンプ,1970-09-21,80.0
M558271,週刊少年チャンピオン 1970年 表示号数22,C120282,週刊少年チャンピオン,1970-09-21,80.0
M579278,週刊少年サンデー 1970年 表示号数40,C117607,週刊少年サンデー,1970-09-27,80.0
M537465,週刊少年マガジン 1970年 表示号数40,C119033,週刊少年マガジン,1970-09-27,80.0
