マンガ雑誌名,マンガ作品名,掲載年,合計話数
週刊少年サンデー,ダメおやじ,1970,9
週刊少年サンデー,ダメおやじ,1971,51
週刊少年サンデー,ダメおやじ,1972,51
週刊少年サンデー,ダメおやじ,1973,50
週刊少年サンデー,ダメおやじ,1974,50
週刊少年サンデー,ダメおやじ,1975,51
週刊少年サンデー,ダメおやじ,1976,50
週刊少年サンデー,ダメおやじ,1977,50
週刊少年サンデー,ダメおやじ,1978,48
週刊少年サンデー,ダメおやじ,1979,50
週刊少年サンデー,ダメおやじ,1980,46
週刊少年サンデー,ダメおやじ,1981,51
週刊少年サンデー,ダメおやじ,1982,28
0,ダメおやじ,1983,0
0,ダメおやじ,1984,0
0,ダメおやじ,1985,0
0,ダメおやじ,1986,0
0,ダメおやじ,1987,0
0,ダメおやじ,1988,0
0,ダメおやじ,1989,0
0,ダメおやじ,1990,0
0,ダメおやじ,1991,0
0,ダメおやじ,1992,0
0,ダメおやじ,1993,0
0,ダメおやじ,1994,0
0,ダメおやじ,1995,0
0,ダメおやじ,1996,0
0,ダメおやじ,1997,0
0,ダメおやじ,1998,0
0,ダメおやじ,1999,0
0,ダメおやじ,2000,0
0,ダメおやじ,2001,0
0,ダメおやじ,2002,0
0,ダメおやじ,2003,0
0,ダメおやじ,2004,0
0,ダメおやじ,2005,0
0,ダメおやじ,2006,0
0,ダメおやじ,2007,0
0,ダメおやじ,2008,0
0,ダメおやじ,2009,0
0,ダメおやじ,2010,0
0,ダメおやじ,2011,0
0,ダメおやじ,2012,0
0,ダメおやじ,2013,0
0,ダメおやじ,2014,0
0,ダメおやじ,2015,0
0,ダメおやじ,2016,0
0,ダメおやじ,2017,0
0,ドカベン,1970,0
0,ドカベン,1971,0
週刊少年チャンピオン,ドカベン,1972,34
週刊少年チャンピオン,ドカベン,1973,49
週刊少年チャンピオン,ドカベン,1974,49
週刊少年チャンピオン,ドカベン,1975,50
週刊少年チャンピオン,ドカベン,1976,49
週刊少年チャンピオン,ドカベン,1977,49
週刊少年チャンピオン,ドカベン,1978,52
週刊少年チャンピオン,ドカベン,1979,48
週刊少年チャンピオン,ドカベン,1980,51
週刊少年チャンピオン,ドカベン,1981,14
0,ドカベン,1982,0
0,ドカベン,1983,0
0,ドカベン,1984,0
0,ドカベン,1985,0
0,ドカベン,1986,0
0,ドカベン,1987,0
0,ドカベン,1988,0
0,ドカベン,1989,0
0,ドカベン,1990,0
週刊少年チャンピオン,ドカベン,1991,1
0,ドカベン,1992,0
0,ドカベン,1993,0
0,ドカベン,1994,0
週刊少年チャンピオン,ドカベン,1995,37
週刊少年チャンピオン,ドカベン,1996,48
週刊少年チャンピオン,ドカベン,1997,48
週刊少年チャンピオン,ドカベン,1998,49
週刊少年チャンピオン,ドカベン,1999,4
0,ドカベン,2000,0
0,ドカベン,2001,0
週刊少年チャンピオン,ドカベン,2002,1
0,ドカベン,2003,0
0,ドカベン,2004,0
0,ドカベン,2005,0
0,ドカベン,2006,0
