掲載日,掲載位置,作品名,各話名,カラー有無,掲載形態
1976-07-19,0.7060702875399361,こちら葛飾区亀有公園前派出所,,False,カラー各話+モノクロ各話
1976-07-26,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-08-02,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-08-09,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-08-16,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-08-23,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-08-30,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-09-06,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-09-13,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-09-20,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-09-27,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-10-04,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-10-11,,こちら葛飾区亀有公園前派出所,,,カラー各話+モノクロ各話
1976-10-18,0.4983922829581994,こちら葛飾区亀有公園前派出所,●下町の青年警察官の巻,False,カラー各話+モノクロ各話
1976-10-25,0.7252396166134185,こちら葛飾区亀有公園前派出所,●祭りとフータローの巻,False,カラー各話+モノクロ各話
1976-11-01,0.3429487179487179,こちら葛飾区亀有公園前派出所,●亀有の少年の巻,True,カラー各話+モノクロ各話
1976-11-08,0.5271565495207667,こちら葛飾区亀有公園前派出所,気のあうふたり!?の巻,False,カラー各話+モノクロ各話
1976-11-15,0.2715654952076677,こちら葛飾区亀有公園前派出所,❤派出所でお茶を…の巻,False,カラー各話+モノクロ各話
1976-11-22,0.0095846645367412,こちら葛飾区亀有公園前派出所,■早うち両さん!?の巻,True,カラー各話+モノクロ各話
1976-11-29,0.232,こちら葛飾区亀有公園前派出所,わたしは殺人犯・・・の巻,False,カラー各話+モノクロ各話
1976-12-13,0.0095846645367412,こちら葛飾区亀有公園前派出所,敵もさるもの!!の巻,True,カラー各話+モノクロ各話
1976-12-20,0.2204472843450479,こちら葛飾区亀有公園前派出所,●にくいヤツ!?の巻,False,カラー各話+モノクロ各話
1976-12-27,0.1373801916932907,こちら葛飾区亀有公園前派出所,●12月24日雪・・・の巻,False,カラー各話+モノクロ各話
1977-01-03,0.1373801916932907,こちら葛飾区亀有公園前派出所,❤タバコ屋の洋子ちゃん・・・の巻,False,カラー各話+モノクロ各話
1977-01-10,0.2907348242811501,こちら葛飾区亀有公園前派出所,●ナゾの男・・・・の巻,True,カラー各話+モノクロ各話
1977-01-17,0.2396166134185303,こちら葛飾区亀有公園前派出所,交剣知愛・・・の巻,False,カラー各話+モノクロ各話
1977-01-24,0.2838196286472148,こちら葛飾区亀有公園前派出所,★撃ちぞめの巻,True,カラー各話+モノクロ各話
1977-01-31,0.0079575596816976,こちら葛飾区亀有公園前派出所,伊勢神宮参拝の巻,True,カラー各話+モノクロ各話
1977-02-14,0.1373801916932907,こちら葛飾区亀有公園前派出所,●消えた派出所!?の巻,False,カラー各話+モノクロ各話
1977-02-21,0.1373801916932907,こちら葛飾区亀有公園前派出所,なめるなよ!!の巻,False,カラー各話+モノクロ各話
1977-02-28,0.1373801916932907,こちら葛飾区亀有公園前派出所,しつこさ一番!!の巻,False,カラー各話+モノクロ各話
1977-03-07,0.5015974440894568,こちら葛飾区亀有公園前派出所,●再建の日!!の巻,False,カラー各話+モノクロ各話
1977-03-14,0.3706070287539936,こちら葛飾区亀有公園前派出所,執念の人たち!の巻,False,カラー各話+モノクロ各話
1977-03-21,0.2907348242811501,こちら葛飾区亀有公園前派出所,■この世を華とするために・・・の巻,True,カラー各話+モノクロ各話
1977-03-28,0.3706070287539936,こちら葛飾区亀有公園前派出所,❤射殺命令!?の巻,False,カラー各話+モノクロ各話
1977-04-04,0.5015974440894568,こちら葛飾区亀有公園前派出所,❤治安の戦士!?の巻,False,カラー各話+モノクロ各話
1977-04-11,0.4372990353697749,こちら葛飾区亀有公園前派出所,❤ゴキブリと両津の巻,False,カラー各話+モノクロ各話
1977-04-18,0.2907348242811501,こちら葛飾区亀有公園前派出所,●派出所自慢の巻,True,カラー各話+モノクロ各話
1977-04-25,0.3428571428571428,こちら葛飾区亀有公園前派出所,❤部長の悪いクセ・・・・・・・・・の巻,False,カラー各話+モノクロ各話
1977-05-02,0.6063492063492063,こちら葛飾区亀有公園前派出所,快盗・鶴の007号 の巻,False,カラー各話+モノクロ各話
1977-05-09,0.6063492063492063,こちら葛飾区亀有公園前派出所,●タレント志願の巻,False,カラー各話+モノクロ各話
1977-05-16,0.1428571428571428,こちら葛飾区亀有公園前派出所,●お犬様の巻,False,カラー各話+モノクロ各話
1977-05-23,0.6571428571428571,こちら葛飾区亀有公園前派出所,❤あつい一日・・・の巻,False,カラー各話+モノクロ各話
1977-05-30,0.6571428571428571,こちら葛飾区亀有公園前派出所,亀有大合唱!?の巻,False,カラー各話+モノクロ各話
1977-06-06,0.4952380952380952,こちら葛飾区亀有公園前派出所,○ガンマン両津!?の巻,False,カラー各話+モノクロ各話
1977-06-13,0.746031746031746,こちら葛飾区亀有公園前派出所,みあい狂騒曲の巻,False,カラー各話+モノクロ各話
