マンガ雑誌名,ccid,マンガ作品名,平均掲載位置,平均ページ数,カラー獲得率,合計各話数
週刊少年サンデー,C93126,ちくちくウニウニ,0.010180241843114725,15.0,0.0,16
週刊少年サンデー,C93096,ズウ,0.1412708930021801,25.25,0.0,145
週刊少年サンデー,C93687,はっぴぃ直前,0.14144702731880998,23.25,0.0,58
週刊少年サンデー,C93452,六三四の剣,0.14265060014329395,23.25,0.0,223
週刊少年サンデー,C93837,プロレススーパースター列伝,0.1459537572254335,21.375,0.0,155
週刊少年サンデー,C93833,プロゴルファー猿,0.16517734636034773,29.75,0.0,190
週刊少年サンデー,C92832,ただいま授業中!,0.16818181818181815,20.0,0.0,114
週刊少年サンデー,C93473,まことちゃん,0.17599559429258393,17.25,0.0,297
週刊少年サンデー,C92714,スペオペ宙学,0.17731615066523154,27.375,0.0,36
週刊少年サンデー,C91648,LOVe,0.18981910984303418,22.75,0.0,266
週刊少年サンデー,C92892,ごろんぼ松,0.19200379905239667,25.75,0.0,23
週刊少年サンデー,C93145,ちょっとヨロシク!,0.19452656385374348,22.375,0.0,104
週刊少年サンデー,C93662,陽気なカモメ,0.20498207202358387,19.375,0.0,94
週刊少年サンデー,C92717,スマイルfor美衣,0.20601469867187383,23.5,0.0,112
週刊少年サンデー,C92268,スプリンター,0.20979023639107994,25.0,0.0,121
週刊少年サンデー,C93812,ぶっちぎり,0.21267432814421983,25.375,0.0,125
週刊少年サンデー,C93760,火の玉ボーイ,0.21709784510161736,20.0,0.0,134
週刊少年サンデー,C92721,星雲児,0.22300917946391213,19.75,0.0,57
週刊少年サンデー,C92066,B・B,0.23196920438444327,25.625,0.0,286
週刊少年サンデー,C93216,東京番長,0.23382977260214396,23.5,0.0,112
週刊少年サンデー,C92875,こっとん鉄丸,0.24168212318925283,24.0,0.0,41
週刊少年サンデー,C91782,ＺＩＮＧＹ,0.25112272393239154,18.875,0.0,30
週刊少年サンデー,C93498,燃えるV,0.25119209389910396,20.0,0.0,47
