マンガ作品名,掲載位置,ceid,date
ドカベン,0.213768115942029,CE113217,1976-07-19
ドカベン,0.1413043478260869,CE112518,1977-07-11
ドカベン,0.0974729241877256,CE112532,1977-07-04
ドカベン,0.1413043478260869,CE112548,1977-06-27
ドカベン,0.0108303249097472,CE112561,1977-06-20
ドカベン,0.0971223021582733,CE112577,1977-06-13
ドカベン,0.1402877697841726,CE112593,1977-06-06
ドカベン,0.0974729241877256,CE112607,1977-05-30
ドカベン,0.0145454545454545,CE112621,1977-05-23
ドカベン,0.1407942238267148,CE112637,1977-05-16
ドカベン,0.1326164874551971,CE112650,1977-05-09
ドカベン,0.1407942238267148,CE112665,1977-05-02
ドカベン,0.0108303249097472,CE112677,1977-04-25
ドカベン,0.1397849462365591,CE112693,1977-04-18
ドカベン,0.0967741935483871,CE112706,1977-04-11
ドカベン,0.0967741935483871,CE112721,1977-04-04
ドカベン,0.0144927536231884,CE112734,1977-03-28
ドカベン,0.0974729241877256,CE112749,1977-03-21
ドカベン,0.1552346570397112,CE112764,1977-03-14
ドカベン,0.1326164874551971,CE112778,1977-03-07
ドカベン,0.0108303249097472,CE112502,1977-07-18
ドカベン,0.1413043478260869,CE112490,1977-07-25
ドカベン,0.0145985401459854,CE112473,1977-08-01
ドカベン,0.1413043478260869,CE112461,1977-08-08
ドカベン,0.0177304964539007,CE112142,1978-01-09
ドカベン,0.0964285714285714,CE112157,1978-01-02
ドカベン,0.0108303249097472,CE112170,1978-01-01
ドカベン,0.1402877697841726,CE112186,1977-12-19
ドカベン,0.1397849462365591,CE112200,1977-12-12
ドカベン,0.0107142857142857,CE112212,1977-12-05
ドカベン,0.0964285714285714,CE112228,1977-11-28
ドカベン,0.1407942238267148,CE112244,1977-11-21
ドカベン,0.0964285714285714,CE112258,1977-11-14
ドカベン,0.0108303249097472,CE112790,1977-02-28
ドカベン,0.0107913669064748,CE112272,1977-11-07
ドカベン,0.0107142857142857,CE112328,1977-10-10
ドカベン,0.0971223021582733,CE112343,1977-10-03
ドカベン,0.0974729241877256,CE112357,1977-09-26
ドカベン,0.1258064516129032,CE112372,1977-09-19
ドカベン,0.0097087378640776,CE112385,1977-09-12
ドカベン,0.0870967741935483,CE112401,1977-09-05
ドカベン,0.1254019292604501,CE112417,1977-08-29
ドカベン,0.0870967741935483,CE112431,1977-08-22
ドカベン,0.010752688172043,CE112445,1977-08-15
ドカベン,0.1402877697841726,CE112316,1977-10-17
ドカベン,0.1028368794326241,CE112129,1978-01-16
ドカベン,0.1335740072202166,CE112806,1977-02-21
ドカベン,0.0787172011661807,CE112833,1977-02-07
ドカベン,0.1927272727272727,CE113231,1976-07-12
ドカベン,0.1546762589928057,CE113245,1976-07-05
ドカベン,0.1938775510204081,CE113260,1976-06-28
ドカベン,0.0144404332129963,CE113272,1976-06-21
ドカベン,0.1913357400722021,CE113288,1976-06-14
ドカベン,0.1563636363636363,CE113302,1976-06-07
ドカベン,0.1985559566787003,CE113316,1976-05-31
ドカベン,0.0144404332129963,CE113327,1976-05-24
ドカベン,0.1552346570397112,CE113342,1976-05-17
ドカベン,0.1563636363636363,CE113355,1976-05-10
ドカベン,0.2057761732851985,CE113367,1976-05-03
ドカベン,0.0145985401459854,CE113377,1976-04-26
ドカベン,0.1552346570397112,CE113391,1976-04-19
ドカベン,0.1552346570397112,CE113404,1976-04-12
ドカベン,0.1552346570397112,CE113417,1976-04-05
ドカベン,0.0144404332129963,CE113428,1976-03-29
ドカベン,0.2436363636363636,CE113443,1976-03-22
ドカベン,0.1557971014492753,CE113455,1976-03-15
ドカベン,0.2346570397111913,CE113468,1976-03-08
ドカベン,0.2072727272727272,CE113204,1976-07-26
ドカベン,0.0144404332129963,CE113187,1976-08-02
ドカベン,0.1552346570397112,CE113176,1976-08-09
ドカベン,0.1942446043165467,CE113162,1976-08-16
ドカベン,0.0088235294117647,CE112848,1977-01-24
ドカベン,0.0971223021582733,CE112865,1977-01-17
ドカベン,0.1541218637992831,CE112881,1977-01-10
ドカベン,0.0967741935483871,CE112894,1977-01-03
ドカベン,0.010752688172043,CE112907,1977-01-01
ドカベン,0.0967741935483871,CE112922,1976-12-20
