掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.0152905198776758,CE71082,C109295,週刊少年ジャンプ,1980-08-18,第1群（合計話数：8-16話）,1
0.1987767584097859,CE71068,C109295,週刊少年ジャンプ,1980-08-25,第1群（合計話数：8-16話）,2
0.2660550458715596,CE71051,C109295,週刊少年ジャンプ,1980-09-01,第1群（合計話数：8-16話）,3
0.3944954128440367,CE71038,C109295,週刊少年ジャンプ,1980-09-08,第1群（合計話数：8-16話）,4
0.2660550458715596,CE71019,C109295,週刊少年ジャンプ,1980-09-15,第1群（合計話数：8-16話）,5
0.1367781155015197,CE71000,C109295,週刊少年ジャンプ,1980-09-22,第1群（合計話数：8-16話）,6
0.3730886850152905,CE70988,C109295,週刊少年ジャンプ,1980-09-29,第1群（合計話数：8-16話）,7
0.4311926605504587,CE70971,C109295,週刊少年ジャンプ,1980-10-06,第1群（合計話数：8-16話）,8
0.3317422434367542,CE64325,C109296,週刊少年ジャンプ,1988-10-03,第2群（合計話数：17-31話）,1
0.3563218390804598,CE64021,C109296,週刊少年ジャンプ,1989-01-22,第2群（合計話数：17-31話）,2
0.0316301703163017,CE63663,C109296,週刊少年ジャンプ,1989-05-29,第2群（合計話数：17-31話）,3
0.2182254196642686,CE63646,C109296,週刊少年ジャンプ,1989-06-05,第2群（合計話数：17-31話）,4
0.3860911270983213,CE62231,C109296,週刊少年ジャンプ,1989-06-12,第2群（合計話数：17-31話）,5
0.0909090909090909,CE63609,C109296,週刊少年ジャンプ,1989-06-19,第2群（合計話数：17-31話）,6
0.7128953771289538,CE63602,C109296,週刊少年ジャンプ,1989-06-26,第2群（合計話数：17-31話）,7
0.4054054054054054,CE63576,C109296,週刊少年ジャンプ,1989-07-03,第2群（合計話数：17-31話）,8
0.006,CE177364,C110892,週刊少年ジャンプ,2014-08-04,第1群（合計話数：8-16話）,1
0.180161943319838,CE177390,C110892,週刊少年ジャンプ,2014-08-11,第1群（合計話数：8-16話）,2
0.3313008130081301,CE177415,C110892,週刊少年ジャンプ,2014-08-18,第1群（合計話数：8-16話）,3
0.234,CE177435,C110892,週刊少年ジャンプ,2014-09-01,第1群（合計話数：8-16話）,4
0.6964285714285714,CE177471,C110892,週刊少年ジャンプ,2014-09-08,第1群（合計話数：8-16話）,5
0.8061224489795918,CE177497,C110892,週刊少年ジャンプ,2014-09-15,第1群（合計話数：8-16話）,6
0.7326530612244898,CE177520,C110892,週刊少年ジャンプ,2014-09-22,第1群（合計話数：8-16話）,7
0.9377510040160644,CE177546,C110892,週刊少年ジャンプ,2014-09-29,第1群（合計話数：8-16話）,8
0.0286259541984732,CE176955,C110897,週刊少年マガジン,2014-08-27,第2群（合計話数：17-31話）,1
0.1488888888888888,CE176989,C110897,週刊少年マガジン,2014-09-03,第2群（合計話数：17-31話）,2
0.1711111111111111,CE177013,C110897,週刊少年マガジン,2014-09-10,第2群（合計話数：17-31話）,3
0.3683035714285714,CE177044,C110897,週刊少年マガジン,2014-09-17,第2群（合計話数：17-31話）,4
0.1941964285714285,CE177067,C110897,週刊少年マガジン,2014-09-24,第2群（合計話数：17-31話）,5
0.7209821428571429,CE177107,C110897,週刊少年マガジン,2014-10-01,第2群（合計話数：17-31話）,6
0.2155555555555555,CE177121,C110897,週刊少年マガジン,2014-10-08,第2群（合計話数：17-31話）,7
0.2422222222222222,CE177147,C110897,週刊少年マガジン,2014-10-15,第2群（合計話数：17-31話）,8
0.2080152671755725,CE176958,C110898,週刊少年マガジン,2014-08-27,第4群（合計話数：82-1956話）,1
0.5807174887892377,CE179362,C110898,週刊少年マガジン,2015-02-04,第4群（合計話数：82-1956話）,2
0.2476851851851851,CE179661,C110898,週刊少年マガジン,2015-04-29,第4群（合計話数：82-1956話）,3
0.261574074074074,CE179662,C110898,週刊少年マガジン,2015-04-29,第4群（合計話数：82-1956話）,4
0.1310483870967742,CE179683,C110898,週刊少年マガジン,2015-05-13,第4群（合計話数：82-1956話）,5
0.1431451612903226,CE179684,C110898,週刊少年マガジン,2015-05-13,第4群（合計話数：82-1956話）,6
0.6118421052631579,CE179724,C110898,週刊少年マガジン,2015-05-20,第4群（合計話数：82-1956話）,7
0.625,CE179725,C110898,週刊少年マガジン,2015-05-20,第4群（合計話数：82-1956話）,8
0.0328185328185328,CE176466,C110901,週刊少年サンデー,2014-08-06,第3群（合計話数：32-81話）,1
0.0714285714285714,CE176467,C110901,週刊少年サンデー,2014-08-06,第3群（合計話数：32-81話）,2
