掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.0152905198776758,CE71082,C109295,週刊少年ジャンプ,1980-08-18,第1群（合計話数：8-16話）,1
0.6293929712460063,CE74085,C89161,週刊少年ジャンプ,1976-08-16,第1群（合計話数：8-16話）,8
0.8083067092651757,CE74103,C89161,週刊少年ジャンプ,1976-08-09,第1群（合計話数：8-16話）,7
0.5654952076677316,CE74115,C89161,週刊少年ジャンプ,1976-08-02,第1群（合計話数：8-16話）,6
0.7198697068403909,CE74134,C89161,週刊少年ジャンプ,1976-07-26,第1群（合計話数：8-16話）,5
0.3929712460063898,CE74143,C89161,週刊少年ジャンプ,1976-07-19,第1群（合計話数：8-16話）,4
0.2907348242811501,CE74157,C89161,週刊少年ジャンプ,1976-07-12,第1群（合計話数：8-16話）,3
0.3418530351437699,CE74171,C89161,週刊少年ジャンプ,1976-07-05,第1群（合計話数：8-16話）,2
0.0096463022508038,CE74180,C89161,週刊少年ジャンプ,1976-06-28,第1群（合計話数：8-16話）,1
0.8226299694189603,CE70962,C89168,週刊少年ジャンプ,1980-10-13,第1群（合計話数：8-16話）,8
0.6666666666666666,CE70975,C89168,週刊少年ジャンプ,1980-10-06,第1群（合計話数：8-16話）,7
0.4311926605504587,CE70989,C89168,週刊少年ジャンプ,1980-09-29,第1群（合計話数：8-16話）,6
0.4954407294832826,CE71006,C89168,週刊少年ジャンプ,1980-09-22,第1群（合計話数：8-16話）,5
0.5596330275229358,CE71025,C89168,週刊少年ジャンプ,1980-09-15,第1群（合計話数：8-16話）,4
0.1987767584097859,CE71035,C89168,週刊少年ジャンプ,1980-09-08,第1群（合計話数：8-16話）,3
0.1987767584097859,CE71050,C89168,週刊少年ジャンプ,1980-09-01,第1群（合計話数：8-16話）,2
0.0152905198776758,CE71066,C89168,週刊少年ジャンプ,1980-08-25,第1群（合計話数：8-16話）,1
0.5718849840255591,CE74038,C89151,週刊少年ジャンプ,1976-09-06,第1群（合計話数：8-16話）,8
0.2175324675324675,CE74047,C89151,週刊少年ジャンプ,1976-08-30,第1群（合計話数：8-16話）,7
0.31629392971246,CE74064,C89151,週刊少年ジャンプ,1976-08-23,第1群（合計話数：8-16話）,6
0.5782747603833865,CE74084,C89151,週刊少年ジャンプ,1976-08-16,第1群（合計話数：8-16話）,5
0.5015974440894568,CE74098,C89151,週刊少年ジャンプ,1976-08-09,第1群（合計話数：8-16話）,4
0.3929712460063898,CE74112,C89151,週刊少年ジャンプ,1976-08-02,第1群（合計話数：8-16話）,3
0.2964169381107492,CE74126,C89151,週刊少年ジャンプ,1976-07-26,第1群（合計話数：8-16話）,2
0.0095846645367412,CE74138,C89151,週刊少年ジャンプ,1976-07-19,第1群（合計話数：8-16話）,1
0.3884711779448621,CE58506,C89237,週刊少年ジャンプ,1994-10-17,第1群（合計話数：8-16話）,4
0.3832199546485261,CE58524,C89237,週刊少年ジャンプ,1994-10-10,第1群（合計話数：8-16話）,3
0.6144578313253012,CE58549,C89237,週刊少年ジャンプ,1994-10-03,第1群（合計話数：8-16話）,2
0.0260047281323877,CE58558,C89237,週刊少年ジャンプ,1994-09-26,第1群（合計話数：8-16話）,1
0.7542168674698795,CE61106,C89227,週刊少年ジャンプ,1992-02-03,第1群（合計話数：8-16話）,8
0.7170263788968825,CE61125,C89227,週刊少年ジャンプ,1992-01-27,第1群（合計話数：8-16話）,7
0.4511930585683297,CE61145,C89227,週刊少年ジャンプ,1992-01-20,第1群（合計話数：8-16話）,6
0.3304157549234136,CE61164,C89227,週刊少年ジャンプ,1992-01-13,第1群（合計話数：8-16話）,5
0.1135857461024498,CE61180,C89227,週刊少年ジャンプ,1992-01-01,第1群（合計話数：8-16話）,4
