マンガ作品名,ccid,掲載年,各話数,count,mean,掲載形態
ドカベン,C95127,1972,22.0,34.0,0.6470588235294118,4色カラー
ドカベン,C95127,1972,12.0,34.0,0.3529411764705882,モノクロ
ドカベン,C95127,1973,21.0,49.0,0.42857142857142855,4色カラー
ドカベン,C95127,1973,28.0,49.0,0.5714285714285714,モノクロ
ドカベン,C95127,1974,19.0,49.0,0.3877551020408163,4色カラー
ドカベン,C95127,1974,30.0,49.0,0.6122448979591837,モノクロ
ドカベン,C95127,1975,14.0,50.0,0.28,4色カラー
ドカベン,C95127,1975,36.0,50.0,0.72,モノクロ
ドカベン,C95127,1976,12.0,49.0,0.24489795918367346,4色カラー
ドカベン,C95127,1976,37.0,49.0,0.7551020408163265,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1976,3.0,11.0,0.2727272727272727,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1976,8.0,11.0,0.7272727272727273,モノクロ
ドカベン,C95127,1977,14.0,49.0,0.2857142857142857,4色カラー
ドカベン,C95127,1977,35.0,49.0,0.7142857142857143,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1977,10.0,51.0,0.19607843137254902,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1977,41.0,51.0,0.803921568627451,モノクロ
ドカベン,C95127,1978,18.0,52.0,0.34615384615384615,4色カラー
ドカベン,C95127,1978,34.0,52.0,0.6538461538461539,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1978,4.0,49.0,0.08163265306122448,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1978,45.0,49.0,0.9183673469387755,モノクロ
ドカベン,C95127,1979,18.0,48.0,0.375,4色カラー
ドカベン,C95127,1979,30.0,48.0,0.625,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1979,4.0,49.0,0.08163265306122448,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1979,45.0,49.0,0.9183673469387755,モノクロ
ドカベン,C95127,1980,15.0,51.0,0.29411764705882354,4色カラー
ドカベン,C95127,1980,36.0,51.0,0.7058823529411764,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1980,3.0,50.0,0.06,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1980,47.0,50.0,0.94,モノクロ
ドカベン,C95127,1981,5.0,14.0,0.35714285714285715,4色カラー
ドカベン,C95127,1981,9.0,14.0,0.6428571428571428,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1981,2.0,51.0,0.0392156862745098,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1981,49.0,51.0,0.9607843137254902,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1982,5.0,50.0,0.1,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1982,45.0,50.0,0.9,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1983,1.0,50.0,0.02,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1983,49.0,50.0,0.98,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1984,3.0,50.0,0.06,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1984,47.0,50.0,0.94,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1985,3.0,50.0,0.06,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1985,47.0,50.0,0.94,モノクロ
こちら葛飾区亀有公園前派出所,C88675,1986,4.0,50.0,0.08,4色カラー
こちら葛飾区亀有公園前派出所,C88675,1986,46.0,50.0,0.92,モノクロ
