マンガ雑誌名,グループ名,8話目までの合計各話数,count,掲載形態,8話目までの平均話数,text
週刊少年サンデー,第1群（合計8-16話）,57,84,4色カラー,0.6785714285714286,約0.68話
週刊少年サンデー,第1群（合計8-16話）,615,84,モノクロ,7.321428571428571,約7.3話
週刊少年サンデー,第2群（合計17-31話）,98,100,4色カラー,0.98,約0.98話
週刊少年サンデー,第2群（合計17-31話）,702,100,モノクロ,7.02,約7.0話
週刊少年サンデー,第3群（合計32-81話）,241,177,4色カラー,1.3615819209039548,約1.4話
週刊少年サンデー,第3群（合計32-81話）,1175,177,モノクロ,6.638418079096045,約6.6話
週刊少年サンデー,第4群（合計82-1968話）,203,174,4色カラー,1.1666666666666667,約1.2話
週刊少年サンデー,第4群（合計82-1968話）,1189,174,モノクロ,6.833333333333333,約6.8話
週刊少年ジャンプ,第1群（合計8-16話）,291,225,4色カラー,1.2933333333333332,約1.3話
週刊少年ジャンプ,第1群（合計8-16話）,1509,225,モノクロ,6.706666666666667,約6.7話
週刊少年ジャンプ,第2群（合計17-31話）,296,166,4色カラー,1.783132530120482,約1.8話
週刊少年ジャンプ,第2群（合計17-31話）,1032,166,モノクロ,6.216867469879518,約6.2話
週刊少年ジャンプ,第3群（合計32-81話）,147,91,4色カラー,1.6153846153846154,約1.6話
週刊少年ジャンプ,第3群（合計32-81話）,581,91,モノクロ,6.384615384615385,約6.4話
週刊少年ジャンプ,第4群（合計82-1968話）,221,133,4色カラー,1.6616541353383458,約1.7話
週刊少年ジャンプ,第4群（合計82-1968話）,843,133,モノクロ,6.338345864661654,約6.3話
週刊少年チャンピオン,第1群（合計8-16話）,110,138,4色カラー,0.7971014492753623,約0.8話
週刊少年チャンピオン,第1群（合計8-16話）,994,138,モノクロ,7.202898550724638,約7.2話
週刊少年チャンピオン,第2群（合計17-31話）,209,181,4色カラー,1.1546961325966851,約1.2話
週刊少年チャンピオン,第2群（合計17-31話）,1239,181,モノクロ,6.845303867403315,約6.8話
週刊少年チャンピオン,第3群（合計32-81話）,275,208,4色カラー,1.3221153846153846,約1.3話
週刊少年チャンピオン,第3群（合計32-81話）,1389,208,モノクロ,6.677884615384615,約6.7話
週刊少年チャンピオン,第4群（合計82-1968話）,218,150,4色カラー,1.4533333333333334,約1.5話
週刊少年チャンピオン,第4群（合計82-1968話）,982,150,モノクロ,6.546666666666667,約6.5話
週刊少年マガジン,第1群（合計8-16話）,111,131,4色カラー,0.8473282442748091,約0.85話
週刊少年マガジン,第1群（合計8-16話）,937,131,モノクロ,7.152671755725191,約7.2話
週刊少年マガジン,第2群（合計17-31話）,139,147,4色カラー,0.9455782312925171,約0.95話
週刊少年マガジン,第2群（合計17-31話）,1037,147,モノクロ,7.054421768707483,約7.1話
週刊少年マガジン,第3群（合計32-81話）,151,141,4色カラー,1.070921985815603,約1.1話
週刊少年マガジン,第3群（合計32-81話）,977,141,モノクロ,6.929078014184397,約6.9話
週刊少年マガジン,第4群（合計82-1968話）,188,149,4色カラー,1.261744966442953,約1.3話
週刊少年マガジン,第4群（合計82-1968話）,1004,149,モノクロ,6.738255033557047,約6.7話
