mcname,ccname,cename,four_colored
週刊少年マガジン,ダイヤのA,第238話/この世代,True
週刊少年マガジン,我間乱 ～GAMARAN～,第94話,True
週刊少年マガジン,ファイ・ブレイン 最期のパズル,第1話 クラシック同好会,True
週刊少年マガジン,かってに改蔵,特別番外編 「損して得とれない」,True
週刊少年マガジン,FAIRY TAIL,第231話 終わらせる者,True
週刊少年マガジン,エリアの騎士,#223 高瀬の「武器」,True
週刊少年マガジン,金田一少年の事件簿,ゲームの館殺人事件 第,True
週刊少年マガジン,アゲイン!!,第1話 卒業、おめでとう,True
週刊少年マガジン,FAIRY TAIL,第228話 13の女は雨に濡れて,True
週刊少年マガジン,ダイヤのA,第232話 SHINE ON,True
週刊少年マガジン,この彼女はフィクションです。,第7話 久住風子の憂鬱,True
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,code:127 変わりゆく心,True
週刊少年マガジン,ゴッドハンド輝,第447話 知らされた真実,True
週刊少年マガジン,AKB49 ～恋愛禁止条例～,第29話 決戦前夜,True
週刊少年マガジン,エリアの騎士,#217 反撃の八千草,True
週刊少年マガジン,A-BOUT!,-BOUT 62- 涙,True
週刊少年マガジン,エデンの檻,第100話 excavation:発見,True
週刊少年マガジン,ヤンキー君とメガネちゃん,200限目 おまえはやればできる!!,True
週刊少年マガジン,この彼女はフィクションです。,第1話 非実在彼女,True
週刊少年マガジン,FAIRY TAIL,第220話 妖精姉妹,True
週刊少年マガジン,振り向くな君は,第8話 闘将。,True
週刊少年マガジン,エア・ギア,Trick:303,True
週刊少年マガジン,AKB49 ～恋愛禁止条例～,第20話 幽霊,True
週刊少年マガジン,だぶるじぇい,第68話 グ伝統・カブキ,True
週刊少年マガジン,GE ～グッドエンディング～,第65話 バーサス,True
週刊少年マガジン,君のいる町,#118,True
週刊少年マガジン,ダイヤのA,第221話/Progress,True
週刊少年マガジン,花形  新約「巨人の星」,第192話 「巨人の星」,True
週刊少年マガジン,あひるの空,第310話 風待ち,True
週刊少年マガジン,振り向くな君は,第1話 龍の子,True
週刊少年マガジン,エデンの檻,第90話 Pitfall:落とし穴,True
週刊少年マガジン,A-BOUT!,-BOUT 49- バカサバイバー,True
週刊少年マガジン,GTO,SHONAN 14DAYS LESSON.46 Game of Death,True
週刊少年マガジン,FAIRY TAIL,第207話 メスト,True
週刊少年マガジン,FAIRY TAIL,第208話 死の捕食,True
週刊少年マガジン,ゴッドハンド輝,第430話 抜け出せぬ悩み,True
週刊少年マガジン,エリアの騎士,#202 攻めろ、江ノ高!,True
週刊少年マガジン,ヤンキー君とメガネちゃん,185限目 上から目線だよー。,True
週刊少年マガジン,BUN BUN BEE,#1 これがバイク,True
週刊少年マガジン,我間乱 ～GAMARAN～,第68話,True
週刊少年マガジン,エリアの騎士,#199 勝利と壁,True
週刊少年マガジン,あひるの空,第300話 エッジコントロール 3,True
週刊少年マガジン,Baby Steps ベイビーステップ,#136 緒戦の想定,True
週刊少年マガジン,エア・ギア,Trick:288,True
週刊少年マガジン,A-BOUT!,-BOUT 40- LSD、襲来,True
週刊少年マガジン,FAIRY TAIL,第200話 生命を消す者,True
週刊少年マガジン,エア・ギア,Trick:287,True
週刊少年マガジン,ヤンキー君とメガネちゃん,179限目 ホテルおじや,True
週刊少年マガジン,ラブひな,300回記念特別企画 総天然色 ラブひな,True
週刊少年マガジン,AKB49 ～恋愛禁止条例～,第1話 神様の推しメン,True
週刊少年マガジン,生徒会役員共,#101　／　くるおしいほどに　／　あついバトル　／　汗の海　／　意味はググってね　／　敏感な音　／　私はねこ　／　結果発表,True
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,code:99 真実の決別,True
週刊少年マガジン,GE ～グッドエンディング～,第47話 リップル,True
週刊少年マガジン,君のいる町,#100 ねがい,True
週刊少年マガジン,ゼロセン,最終話 北北西に針路を取れ!!,True
週刊少年マガジン,FAIRY TAIL,第194話 オレはここに立っている,True
週刊少年マガジン,花形  新約「巨人の星」,第174話 四強,True
週刊少年マガジン,BLOODY MONDAY,Season 2 -絶望ノ匣(パンドラノハコ)- 特別File ・ミッションインセプション,True
週刊少年マガジン,BLOODY MONDAY,Season 2 -絶望ノ匣(パンドラノハコ)- File 35 束の間の別れ…,True
週刊少年マガジン,ダイヤのA,第200語/快進撃,True
週刊少年マガジン,GTO,SHONAN 14DAYS LESSON.35-2 Sweet Revenge 2,True
週刊少年マガジン,波打際のむろみさん,351 流通とむろみさん,True
週刊少年マガジン,はじめの一歩,Round 900 密かな挑戦,True
週刊少年マガジン,A-BOUT!,-BOUT 30- 幻の討ち合い,True
週刊少年マガジン,我間乱 ～GAMARAN～,第55話,True
週刊少年マガジン,エリアの騎士,#187 オンナノコ,True
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,code:92 未知なる世界,True
週刊少年マガジン,BLACK OUT,#12 The Promise Of A New Day,True
週刊少年マガジン,君のいる町,#90 もしかしたら、まだ,True
週刊少年マガジン,BLOODY MONDAY,Season 2 -絶望ノ匣(パンドラノハコ)- File 27 鍵を握るハッカー,True
週刊少年マガジン,我間乱 ～GAMARAN～,第48話,True
週刊少年マガジン,ヤンキー君とメガネちゃん,161限目 バチは当たらねーよ。,True
週刊少年マガジン,スマッシュ!,#ラスト ラブオールプレー,True
週刊少年マガジン,君のいる町,#85 一枚の望み,True
週刊少年マガジン,GE ～グッドエンディング～,第29話 ブレーク,True
週刊少年マガジン,BLOODY MONDAY,Season 2 -絶望ノ匣(パンドラノハコ)- File 20 命懸けの心理戦,True
週刊少年マガジン,エリアの騎士,#174 兄弟をつなぐモノ,True
週刊少年マガジン,GTO,SHONAN 14DAYS LESSON.25 Our House,True
週刊少年マガジン,BLACK OUT,#1 Johnny Get Angry,True
週刊少年マガジン,ゴッドハンド輝,第400話 未来のために,True
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,code:７７　パンドラ狂詩曲,True
週刊少年マガジン,君のいる町,特別回想編 #78.5 ウチがきた町,True
週刊少年マガジン,ヤンキー君とメガネちゃん,151限目 線香置く台なんだがな。,True
週刊少年マガジン,FAIRY TAIL,第168話 アースランド,True
週刊少年マガジン,FAIRY TAIL,第169話 エドラス,True
週刊少年マガジン,BLOODY MONDAY,Season 2 -絶望ノ匣(パンドラノハコ)- File 12 運命の一発,True
週刊少年マガジン,A-BOUT!,-BOUT 7- ジャンバラヤと青い意志,True
週刊少年マガジン,花形  新約「巨人の星」,第150話 「continue」,True
週刊少年マガジン,エデンの檻,第50話 A long shot:大いなる賭け,True
週刊少年マガジン,GTO,SHONAN 14DAYS LESSON.20 Without You,True
週刊少年マガジン,あひるの空,第265話 DEEP IMPACT 8,True
週刊少年マガジン,BLOODY MONDAY,Season 2 -絶望ノ匣(パンドラノハコ)- File 9 鍵を握る男,True
週刊少年マガジン,はじめの一歩,Round 877 コーナーこそが活路,True
週刊少年マガジン,Baby Steps ベイビーステップ,#99 ネクストステージ,True
週刊少年マガジン,我間乱 ～GAMARAN～,第28話,True
週刊少年マガジン,A-BOUT!,-BOUT 1- 転校生作戦第一号,True
週刊少年マガジン,ダイヤのA,第170話/好機到来,True
週刊少年マガジン,ゼロセン,第50話 マイライフ・アズ・ア・ドッグ,True
週刊少年マガジン,FAIRY TAIL,第159話 咎の炎,True
週刊少年マガジン,スマッシュ!,#150 宿命の男,True
週刊少年マガジン,さよなら絶望先生,第200話 「長い長いさっしん」,True
週刊少年マガジン,エア・ギア,Trick:257,True
週刊少年マガジン,我間乱 ～GAMARAN～,第22話,True
週刊少年マガジン,BLOODY MONDAY,Season 2 -絶望ノ匣(パンドラノハコ)- File 1 地上の鷹,True
週刊少年マガジン,GTO,SHONAN 14DAYS SHONAN 14DAYS LESSON.14 All That I Can Say,True
週刊少年マガジン,[シバトラ],最終話:高円寺署生活安全課少年係 柴田竹虎,True
週刊少年マガジン,FAIRY TAIL,第154話 君の言葉こそ…,True
週刊少年マガジン,ティジクン!,第9撃 ストリート最強の柔道!,True
週刊少年マガジン,GE ～グッドエンディング～,第7話 リハーサル,True
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,code:60 その者、取扱注意,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.232 始まりの世界,True
週刊少年マガジン,はじめの一歩,Round 868 見たかった姿,True
週刊少年マガジン,エリアの騎士,#151 予感,True
週刊少年マガジン,FAIRY TAIL,第149話 超空中戦!!ナツvs.コブラ,True
週刊少年マガジン,あひるの空,第252話 HAPPY NEW DAY,True
週刊少年マガジン,GE ～グッドエンディング～,第1話 スターターピストル,True
週刊少年マガジン,エデンの檻,第33話 Loss brain 7: 体を張れ!ヤツを止めろ!!,True
週刊少年マガジン,課長令嬢,1話目 どうしたの綾瀬さん?　／　お帰りなさいませ　／　ごきげんよう　／　結論と共に…,True
週刊少年マガジン,ティジクン!,第1撃 ティジクン大捜査線,True
週刊少年マガジン,FAIRY TAIL,第146話 君は自由だ,True
週刊少年マガジン,GTO,SHONAN 14DAYS LESSON.7 孤独のRunaway,True
週刊少年マガジン,だぶるじぇい,,True
週刊少年マガジン,ヤンキー君とメガネちゃん,126限目 バンクじゃねえな。,True
週刊少年マガジン,波打際のむろみさん,#1 瀬戸際のむろみさん,True
週刊少年マガジン,FAIRY TAIL,第141話 ヒカリ,True
週刊少年マガジン,我間乱 ～GAMARAN～,第8話,True
週刊少年マガジン,ダイヤのA,第150話/機動力,True
週刊少年マガジン,花形  新約「巨人の星」,第126話 「アカシア」,True
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,code:47 「捜シ者」が求めしモノ,True
週刊少年マガジン,GTO,SHONAN 14DAYS LESSON.1 SUMMER TOUR,True
週刊少年マガジン,FAIRY TAIL,第138話 計算外,True
週刊少年マガジン,エリアの騎士,#139 全員攻撃全員守備,True
週刊少年マガジン,君のいる町,#48 史上最大の確認,True
週刊少年マガジン,第九征空騎兵師團,#5 危険な目,True
週刊少年マガジン,マッシュGO!!,第11話 父として,True
週刊少年マガジン,エデンの檻,第22話 Iron Maiden:冷酷な乙女,True
週刊少年マガジン,魔法先生 ネギま! MAGISTER NEGI MAGI,251時間目 運命との再会,True
週刊少年マガジン,我間乱 ～GAMARAN～,,True
週刊少年マガジン,暴走系吹奏楽列伝 ブラボー!,第10曲:明日に向かって,True
週刊少年マガジン,Baby Steps ベイビーステップ,#72 別世界,True
週刊少年マガジン,[シバトラ],File.110 届かない思い,True
週刊少年マガジン,Baby Steps ベイビーステップ,#73 In Florida,True
週刊少年マガジン,金田一少年の事件簿,剣持警部の殺人 第1話,True
週刊少年マガジン,第九征空騎兵師團,#0 ダークスカイ,True
週刊少年マガジン,ゴッドハンド輝,第362話 迷いと決意,True
週刊少年マガジン,GE ～グッドエンディング～,,True
週刊少年マガジン,FAIRY TAIL,第129話 それでもあたしが…,True
週刊少年マガジン,FAIRY TAIL,第128話 幻想曲,True
週刊少年マガジン,マッシュGO!!,第1話 約束の仔,True
週刊少年マガジン,暴走系吹奏楽列伝 ブラボー!,序曲 「春の猟犬」?,True
週刊少年マガジン,ダイヤのA,第135話/夢物語,True
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,code:33 叛旗の逆十字,True
週刊少年マガジン,弑逆契約者 ファウスツ,18th Corruption 潔白or深紅,True
週刊少年マガジン,エリアの騎士,#126 栄冠は君に輝く,True
週刊少年マガジン,Baby Steps ベイビーステップ,#62 選択肢,True
週刊少年マガジン,君のいる町,#34 懍、再臨。,True
週刊少年マガジン,[シバトラ],File 98. 竹虎がキレた日,True
週刊少年マガジン,BLOODY MONDAY,File 86 凶弾,True
週刊少年マガジン,スマッシュ!,#115 写真,True
週刊少年マガジン,ゼロセン,第21話 悪の起源!,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.211 焼き付いた笑顔,True
週刊少年マガジン,あひるの空,第225話 ガンファイト,True
週刊少年マガジン,弑逆契約者 ファウスツ,12th Corruption ファウスツ,True
週刊少年マガジン,ゴッドハンド輝,第350話 新しい朝,True
週刊少年マガジン,ヤンキー君とメガネちゃん,102限目 おれの方が強いけどな。,True
週刊少年マガジン,CODE:BREAKER コード:ブレイカー,code:26 藤原家の人々,True
週刊少年マガジン,おれはキャプテン,出張版 「先輩達がやってきた」の巻,True
週刊少年マガジン,ダイヤのA,第125話 堅実,True
週刊少年マガジン,ハンマーセッション!,last session. さよなら、蜂須賀先生の巻,True
週刊少年マガジン,ゼロセン,第16話 ツッパレ土俵際!!,True
週刊少年マガジン,エデンの檻,第1話 素晴らしきこの世界,True
週刊少年マガジン,FAIRY TAIL,第112話 弾幕剣舞,True
