マンガ作者名,掲載年,初掲載年,合計話数
ちばてつや,1970,1970,13
手塚治虫,1970,1970,18
梶原一騎,1970,1970,83
水島新司,1970,1970,22
ちばてつや,1971,1970,44
手塚治虫,1971,1970,39
梶原一騎,1971,1970,164
水島新司,1971,1970,48
ちばてつや,1972,1970,53
手塚治虫,1972,1970,44
梶原一騎,1972,1970,153
水島新司,1972,1970,50
ちばてつや,1973,1970,36
手塚治虫,1973,1970,36
梶原一騎,1973,1970,144
水島新司,1973,1970,62
ちばてつや,1974,1970,46
手塚治虫,1974,1970,57
梶原一騎,1974,1970,134
水島新司,1974,1970,72
ちばてつや,1975,1970,48
手塚治虫,1975,1970,98
梶原一騎,1975,1970,118
水島新司,1975,1970,93
ちばてつや,1976,1970,47
手塚治虫,1976,1970,98
梶原一騎,1976,1970,138
水島新司,1976,1970,143
ちばてつや,1977,1970,47
手塚治虫,1977,1970,87
梶原一騎,1977,1970,172
水島新司,1977,1970,119
ちばてつや,1978,1970,47
手塚治虫,1978,1970,80
梶原一騎,1978,1970,137
水島新司,1978,1970,52
ちばてつや,1979,1970,46
手塚治虫,1979,1970,38
梶原一騎,1979,1970,107
水島新司,1979,1970,50
ちばてつや,1980,1970,29
手塚治虫,1980,1970,3
梶原一騎,1980,1970,102
水島新司,1980,1970,51
ちばてつや,1981,1970,48
手塚治虫,1981,1970,40
梶原一騎,1981,1970,83
水島新司,1981,1970,53
ちばてつや,1982,1970,47
手塚治虫,1982,1970,51
梶原一騎,1982,1970,99
水島新司,1982,1970,99
ちばてつや,1983,1970,47
手塚治虫,1983,1970,24
梶原一騎,1983,1970,47
水島新司,1983,1970,101
ちばてつや,1984,1970,45
手塚治虫,1984,1970,3
梶原一騎,1984,1970,0
水島新司,1984,1970,94
ちばてつや,1985,1970,47
手塚治虫,1985,1970,29
梶原一騎,1985,1970,0
水島新司,1985,1970,101
ちばてつや,1986,1970,42
手塚治虫,1986,1970,43
梶原一騎,1986,1970,0
水島新司,1986,1970,102
ちばてつや,1987,1970,46
手塚治虫,1987,1970,34
梶原一騎,1987,1970,0
水島新司,1987,1970,49
ちばてつや,1988,1970,49
手塚治虫,1988,1970,0
梶原一騎,1988,1970,0
水島新司,1988,1970,51
ちばてつや,1989,1970,47
手塚治虫,1989,1970,2
梶原一騎,1989,1970,0
水島新司,1989,1970,46
