マンガ作者名,年代,合計話数
水島新司,1970,711
水島新司,1980,747
水島新司,1990,481
水島新司,2000,486
水島新司,2010,373
秋本治,1970,161
秋本治,1980,507
秋本治,1990,483
秋本治,2000,494
秋本治,2010,334
梶原一騎,1970,1350
梶原一騎,1980,331
梶原一騎,1990,0
梶原一騎,2000,145
梶原一騎,2010,47
高橋留美子,1970,20
高橋留美子,1980,459
高橋留美子,1990,462
高橋留美子,2000,444
高橋留美子,2010,351
浜岡賢次,1970,0
浜岡賢次,1980,23
浜岡賢次,1990,495
浜岡賢次,2000,493
浜岡賢次,2010,373
青山剛昌,1970,0
青山剛昌,1980,72
青山剛昌,1990,472
青山剛昌,2000,445
青山剛昌,2010,299
あだち充,1970,64
あだち充,1980,377
あだち充,1990,449
あだち充,2000,373
あだち充,2010,6
森川ジョージ,1970,0
森川ジョージ,1980,45
森川ジョージ,1990,451
森川ジョージ,2000,414
森川ジョージ,2010,316
