マンガ雑誌名,年,マンガ作者数,years_total,マンガ作者数のシェア,text
週刊少年サンデー,1970,13,65,0.2, 0.2
週刊少年サンデー,1971,28,98,0.2857142857142857, 0.29
週刊少年サンデー,1972,19,101,0.18811881188118812, 0.19
週刊少年サンデー,1973,21,88,0.23863636363636365, 0.24
週刊少年サンデー,1974,10,49,0.20408163265306123, 0.2
週刊少年サンデー,1975,12,56,0.21428571428571427, 0.21
週刊少年サンデー,1976,14,69,0.2028985507246377, 0.2
週刊少年サンデー,1977,9,72,0.125, 0.12
週刊少年サンデー,1978,10,84,0.11904761904761904, 0.12
週刊少年サンデー,1979,17,99,0.1717171717171717, 0.17
週刊少年サンデー,1980,21,131,0.16030534351145037, 0.16
週刊少年サンデー,1981,24,127,0.1889763779527559, 0.19
週刊少年サンデー,1982,19,132,0.14393939393939395, 0.14
週刊少年サンデー,1983,27,124,0.21774193548387097, 0.22
週刊少年サンデー,1984,26,98,0.2653061224489796, 0.27
週刊少年サンデー,1985,27,112,0.24107142857142858, 0.24
週刊少年サンデー,1986,31,125,0.248, 0.25
週刊少年サンデー,1987,44,146,0.3013698630136986, 0.3
週刊少年サンデー,1988,52,176,0.29545454545454547, 0.3
週刊少年サンデー,1989,47,176,0.26704545454545453, 0.27
週刊少年サンデー,1990,40,174,0.22988505747126436, 0.23
週刊少年サンデー,1991,45,167,0.2694610778443114, 0.27
週刊少年サンデー,1992,39,162,0.24074074074074073, 0.24
週刊少年サンデー,1993,44,156,0.28205128205128205, 0.28
週刊少年サンデー,1994,46,176,0.26136363636363635, 0.26
週刊少年サンデー,1995,38,167,0.2275449101796407, 0.23
週刊少年サンデー,1996,36,164,0.21951219512195122, 0.22
週刊少年サンデー,1997,31,158,0.1962025316455696, 0.2
週刊少年サンデー,1998,31,160,0.19375, 0.19
週刊少年サンデー,1999,40,169,0.23668639053254437, 0.24
週刊少年サンデー,2000,37,177,0.20903954802259886, 0.21
週刊少年サンデー,2001,31,185,0.16756756756756758, 0.17
週刊少年サンデー,2002,44,195,0.22564102564102564, 0.23
週刊少年サンデー,2003,37,197,0.18781725888324874, 0.19
週刊少年サンデー,2004,58,236,0.2457627118644068, 0.25
週刊少年サンデー,2005,43,220,0.19545454545454546, 0.2
週刊少年サンデー,2006,42,212,0.19811320754716982, 0.2
週刊少年サンデー,2007,55,216,0.25462962962962965, 0.25
週刊少年サンデー,2008,55,220,0.25, 0.25
週刊少年サンデー,2009,54,236,0.2288135593220339, 0.23
週刊少年サンデー,2010,64,245,0.2612244897959184, 0.26
週刊少年サンデー,2011,56,241,0.23236514522821577, 0.23
週刊少年サンデー,2012,60,245,0.24489795918367346, 0.24
週刊少年サンデー,2013,61,277,0.22021660649819494, 0.22
週刊少年サンデー,2014,59,304,0.19407894736842105, 0.19
週刊少年サンデー,2015,61,296,0.20608108108108109, 0.21
週刊少年サンデー,2016,50,256,0.1953125, 0.2
週刊少年サンデー,2017,50,241,0.2074688796680498, 0.21
週刊少年ジャンプ,1970,24,65,0.36923076923076925, 0.37
週刊少年ジャンプ,1971,34,98,0.3469387755102041, 0.35
週刊少年ジャンプ,1972,44,101,0.43564356435643564, 0.44
週刊少年ジャンプ,1973,39,88,0.4431818181818182, 0.44
週刊少年ジャンプ,1974,26,49,0.5306122448979592, 0.53
週刊少年ジャンプ,1975,31,56,0.5535714285714286, 0.55
週刊少年ジャンプ,1976,34,69,0.4927536231884058, 0.49
週刊少年ジャンプ,1977,39,72,0.5416666666666666, 0.54
