マンガ雑誌名,年代,マンガ作者数,years_total,マンガ作者数のシェア,text
週刊少年サンデー,1970,95,493,0.1926977687626775, 0.19
週刊少年サンデー,1980,157,682,0.23020527859237536, 0.23
週刊少年サンデー,1990,147,650,0.22615384615384615, 0.23
週刊少年サンデー,2000,162,787,0.20584498094027953, 0.21
週刊少年サンデー,2010,179,881,0.20317820658342792, 0.2
週刊少年ジャンプ,1970,207,493,0.4198782961460446, 0.42
週刊少年ジャンプ,1980,168,682,0.24633431085043989, 0.25
週刊少年ジャンプ,1990,190,650,0.2923076923076923, 0.29
週刊少年ジャンプ,2000,213,787,0.27064803049555275, 0.27
週刊少年ジャンプ,2010,254,881,0.2883087400681044, 0.29
週刊少年チャンピオン,1970,87,493,0.17647058823529413, 0.18
週刊少年チャンピオン,1980,175,682,0.2565982404692082, 0.26
週刊少年チャンピオン,1990,172,650,0.26461538461538464, 0.26
週刊少年チャンピオン,2000,228,787,0.289707750952986, 0.29
週刊少年チャンピオン,2010,235,881,0.2667423382519864, 0.27
週刊少年マガジン,1970,104,493,0.21095334685598377, 0.21
週刊少年マガジン,1980,182,682,0.2668621700879765, 0.27
週刊少年マガジン,1990,141,650,0.2169230769230769, 0.22
週刊少年マガジン,2000,184,787,0.2337992376111817, 0.23
週刊少年マガジン,2010,213,881,0.24177071509648126, 0.24
