マンガ雑誌名,年代,マンガ作者数,years_total,マンガ作者数のシェア,text
週刊少年サンデー,1970,197,866,0.22748267898383373, 0.23
週刊少年サンデー,1980,208,886,0.23476297968397292, 0.23
週刊少年サンデー,1990,182,768,0.23697916666666666, 0.24
週刊少年サンデー,2000,181,879,0.20591581342434584, 0.21
週刊少年サンデー,2010,191,946,0.20190274841437633, 0.2
週刊少年ジャンプ,1970,291,866,0.33602771362586603, 0.34
週刊少年ジャンプ,1980,196,886,0.22121896162528218, 0.22
週刊少年ジャンプ,1990,213,768,0.27734375, 0.28
週刊少年ジャンプ,2000,222,879,0.2525597269624573, 0.25
週刊少年ジャンプ,2010,263,946,0.27801268498942916, 0.28
週刊少年チャンピオン,1970,182,866,0.21016166281755197, 0.21
週刊少年チャンピオン,1980,239,886,0.2697516930022573, 0.27
週刊少年チャンピオン,1990,208,768,0.2708333333333333, 0.27
週刊少年チャンピオン,2000,265,879,0.3014789533560865, 0.3
週刊少年チャンピオン,2010,256,946,0.27061310782241016, 0.27
週刊少年マガジン,1970,196,866,0.22632794457274827, 0.23
週刊少年マガジン,1980,243,886,0.2742663656884876, 0.27
週刊少年マガジン,1990,165,768,0.21484375, 0.21
週刊少年マガジン,2000,211,879,0.24004550625711035, 0.24
週刊少年マガジン,2010,236,946,0.24947145877378435, 0.25
