マンガ作品名,マンガ雑誌名,初出年代,制作形態,マンガ雑誌名ID
QBジョーのタッチダウン,週刊少年サンデー,1970,共同制作,0
青い目のバンチョウ,週刊少年サンデー,1970,共同制作,0
明日にむかって走れ!,週刊少年サンデー,1970,共同制作,0
当たり屋,週刊少年サンデー,1970,共同制作,0
あばれフブキ,週刊少年サンデー,1970,共同制作,0
アラジンの息子,週刊少年サンデー,1970,共同制作,0
いけにえの時,週刊少年サンデー,1970,共同制作,0
一発狼,週刊少年サンデー,1970,共同制作,0
命にぎり,週刊少年サンデー,1970,共同制作,0
牙走り,週刊少年サンデー,1970,共同制作,0
牙戦,週刊少年サンデー,1970,共同制作,0
銀輪ジャガー,週刊少年サンデー,1970,共同制作,0
銀輪魂,週刊少年サンデー,1970,共同制作,0
くたばれ!!涙くん,週刊少年サンデー,1970,共同制作,0
高校さすらい派,週刊少年サンデー,1970,共同制作,0
月光仮面,週刊少年サンデー,1970,共同制作,0
ゲッター・ロボ,週刊少年サンデー,1970,共同制作,0
血闘者,週刊少年サンデー,1970,共同制作,0
ケンカの聖書,週刊少年サンデー,1970,共同制作,0
ゲンゴローの恋,週刊少年サンデー,1970,共同制作,0
英雄失格,週刊少年サンデー,1970,共同制作,0
江川投手（作新学院）とおれ（水島新司）,週刊少年サンデー,1970,共同制作,0
天使の朝,週刊少年サンデー,1970,共同制作,0
おっ母ァやくざ,週刊少年サンデー,1970,共同制作,0
男組,週刊少年サンデー,1970,共同制作,0
男どアホウ甲子園,週刊少年サンデー,1970,共同制作,0
おとこ道,週刊少年サンデー,1970,共同制作,0
おやこ刑事,週刊少年サンデー,1970,共同制作,0
おれの彼女は左まき,週刊少年サンデー,1970,共同制作,0
おれの彼女は悪魔の使い,週刊少年サンデー,1970,共同制作,0
がむしゃら,週刊少年サンデー,1970,共同制作,0
スパルタッコ,週刊少年サンデー,1970,共同制作,0
世界最初の列車強盗,週刊少年サンデー,1970,共同制作,0
青春賭博,週刊少年サンデー,1970,共同制作,0
ダイヤモンド・アイ,週刊少年サンデー,1970,共同制作,0
ゴッド・アーム,週刊少年サンデー,1970,共同制作,0
ごろんぼ松,週刊少年サンデー,1970,共同制作,0
コンドールマン,週刊少年サンデー,1970,共同制作,0
サイボーグエース,週刊少年サンデー,1970,共同制作,0
サイレント・ブルー,週刊少年サンデー,1970,共同制作,0
サスカッチ,週刊少年サンデー,1970,共同制作,0
殺人無宿!ビリー・ザ・キッド,週刊少年サンデー,1970,共同制作,0
死に神をせおった男,週刊少年サンデー,1970,共同制作,0
軍鶏,週刊少年サンデー,1970,共同制作,0
柔道讃歌,週刊少年サンデー,1970,共同制作,0
女王陛下のユリシーズ号,週刊少年サンデー,1970,共同制作,0
白バラ軍団,週刊少年サンデー,1970,共同制作,0
じんじんの仁,週刊少年サンデー,1970,共同制作,0
ズウ,週刊少年サンデー,1970,共同制作,0
スーパーD・B,週刊少年サンデー,1970,共同制作,0
旋風児,週刊少年サンデー,1970,共同制作,0
チャレンジD,週刊少年サンデー,1970,共同制作,0
突き屋,週刊少年サンデー,1970,共同制作,0
ツンツンサワサワ春を待つ,週刊少年サンデー,1970,共同制作,0
天下一大物伝,週刊少年サンデー,1970,共同制作,0
ドクター・ジュン,週刊少年サンデー,1970,共同制作,0
