マンガ雑誌名,マンガ作者名,マンガ作品名,マンガ各話数
週刊少年ジャンプ,山止たつひこ,交通安全'76,1
週刊少年ジャンプ,柳田東一郎,好敵手 室伏広治物語,1
週刊少年ジャンプ,門脇正法,好敵手 室伏広治物語,1
週刊少年ジャンプ,富沢順,鋼鉄の殺人者,1
週刊少年ジャンプ,本宮ひろ志,硬派山崎銀次郎,1
週刊少年ジャンプ,山本いさむ,コウモリくん,1
週刊少年ジャンプ,山川惣治,荒野の少年イサム,112
週刊少年ジャンプ,川崎のぼるとカワサキプロ,荒野の少年イサム,112
週刊少年ジャンプ,星野之宣,荒野の脱出,1
週刊少年ジャンプ,夏木信夫,豪腕江川投手,2
週刊少年ジャンプ,手無功,豪腕江川投手,2
週刊少年ジャンプ,相原成年,豪腕サイボーグツトム,1
週刊少年ジャンプ,ゴーギャン,ゴーイングマイウェイ進,1
週刊少年ジャンプ,おだ辰夫,どきゅめんたりぃ足！！,1
週刊少年ジャンプ,次原隆二,特別交通機動隊 SUPER PATROL,16
週刊少年ジャンプ,庄司もりたか,どくろ大旋風,1
週刊少年ジャンプ,吉沢やすみ,ど根性ガエル,296
週刊少年ジャンプ,高橋よしひろ,土佐王,1
週刊少年ジャンプ,柴山実,年寄への道,1
週刊少年ジャンプ,吉沢やすみ,どすこい鬼が島,1
週刊少年ジャンプ,黒田いずま,ドッグ＆ボーイの巻,1
週刊少年ジャンプ,斉藤博,ドッグマン旋風,3
週刊少年ジャンプ,大竹ひろあき,突撃!アッ4,1
週刊少年ジャンプ,斉藤ヒロシ,突進!ファミリー,1
週刊少年ジャンプ,あろひろし,とっても少年探検隊,8
週刊少年ジャンプ,ガモウひろし,とってもラッキーマン,191
週刊少年ジャンプ,山止たつひこ,となりの金ちゃん,1
週刊少年ジャンプ,宮崎周平,隣の席の珍子ちゃん,2
週刊少年ジャンプ,黒瀬尚人,となりのマサミちゃん,1
週刊少年ジャンプ,いのうえ仁,となりはだあれ!?,1
週刊少年ジャンプ,ジョージ秋山,どはずれ天下一,25
週刊少年ジャンプ,樹崎聖,とびっきり!,32
週刊少年ジャンプ,ひらまつつとむ,飛ぶ教室,15
週刊少年ジャンプ,竜崎遼児,どぶナイン,1
週刊少年ジャンプ,小島茂之,ド真面目!サラリーマン教師,1
週刊少年ジャンプ,池田俊一,ともだち,1
週刊少年ジャンプ,とりいかずよし,ともだち,1
週刊少年ジャンプ,石川サブロウ,友だち学園,5
週刊少年ジャンプ,大林薫,トラがやってくる,1
週刊少年ジャンプ,宮本和也,ドラキュラ君と天使さん,1
週刊少年ジャンプ,三上陸,ドラクエ外伝!,5
週刊少年ジャンプ,稲田浩司,ドラクエ外伝!,5
週刊少年ジャンプ,鴨川つばめ,ドラゴン危機一髪,1
週刊少年ジャンプ,村上もとこ,虎のレーサー,14
週刊少年ジャンプ,ガモウひろし,トラブル昆虫記,1
週刊少年ジャンプ,北風とんぼ,とらぶる・ラブ,1
週刊少年ジャンプ,いとうみきお,トランジスター,1
週刊少年ジャンプ,中本繁,ドリーム仮面,34
週刊少年ジャンプ,葦原大介,トリガーキーパー,2
週刊少年ジャンプ,島袋光年,トリコ,408
週刊少年ジャンプ,堀井秀人,ドルヒラ,14
週刊少年ジャンプ,天野いわと,トレビアンナイト,1
週刊少年ジャンプ,サンプラザ中野,トロ太郎列伝,1
週刊少年ジャンプ,吉沢やすみ,どろぼう源さん,1
週刊少年ジャンプ,福田三郎,トンキー物語,1
週刊少年ジャンプ,飯森広一,トンキー物語,1
週刊少年ジャンプ,宇都宮克彦,とんち発明大福くん,2
週刊少年ジャンプ,かぶと虫太郎,とんとんとん丸,1
週刊少年ジャンプ,鳥山明,トンプー大冒険,1
週刊少年ジャンプ,次原隆二,ドン・ボルカン -聖なる男の伝説-,11
週刊少年ジャンプ,夏目恵二,ドンマイ主将,2
週刊少年ジャンプ,三上龍哉,ドンマイ!!地球防衛軍,2
週刊少年ジャンプ,伊藤直晃,ナイスガイ転校生よしお,1
週刊少年ジャンプ,わじまさとし,流しそうめん職人,1
週刊少年ジャンプ,夏木信夫,長嶋茂雄物語,1
週刊少年ジャンプ,村上もとか,長嶋茂雄物語,1
週刊少年ジャンプ,おかだしげる,なかよくあそぼう!,1
週刊少年ジャンプ,高橋よしひろ,流れ拳士,1
週刊少年ジャンプ,福田達雄,泣くな大将,1
週刊少年ジャンプ,西沢周平,なげきの剣士,1
週刊少年ジャンプ,ほそかわ春,嘆きのボービーマン,1
週刊少年ジャンプ,高橋ゆたか,茄子くん,1
週刊少年ジャンプ,五島拓也,謎の悪夢仮面,1
週刊少年ジャンプ,いとうみきお,謎の村雨くん,23
週刊少年ジャンプ,村瀬克俊,ナックモエ,1
週刊少年ジャンプ,金重高志,夏の朝にキャッチボールを,1
週刊少年ジャンプ,白樺啓,夏のジャンプマルチワールド日記,1
週刊少年ジャンプ,高岡正夫,なつまん先生,2
週刊少年ジャンプ,冨樫義博,夏休み,1
週刊少年ジャンプ,中沢啓治,何かが起きる!,1
週刊少年ジャンプ,三晃たける,並木恵美子物語,1
週刊少年ジャンプ,藤あきら,並木恵美子物語,1
週刊少年ジャンプ,榎伸晃,006,1
週刊少年ジャンプ,南一平,0からの甲子園,1
週刊少年ジャンプ,蕪木一生,0からの甲子園,1
週刊少年ジャンプ,架空まさる,0点魔神,1
週刊少年ジャンプ,次原隆二,0の宇宙  ブラックホールの誕生を予言した男,1
週刊少年ジャンプ,高橋陽一,100Mジャンパー,1
週刊少年ジャンプ,秋本治,110秒の戦士たち,1
週刊少年ジャンプ,コンタロウ,1・2のアッホ!!,129
週刊少年ジャンプ,さわさかえ,1970たぎり,5
週刊少年ジャンプ,南波健二,1970たぎり,5
週刊少年ジャンプ,しがしずお,1990年学童大革命,1
週刊少年ジャンプ,弓一人,2130へ翔べ!,1
週刊少年ジャンプ,蕪木一生,2130へ翔べ!,1
週刊少年ジャンプ,三国恒平,２３年後,1
週刊少年ジャンプ,さとうだいすけ,25M,1
週刊少年ジャンプ,平方昌宏,31HEROES,1
週刊少年ジャンプ,米倉宏晃,3年B組ゴキブリ軍団VS自殺志願少女,1
週刊少年ジャンプ,新沢基栄,3年奇面組,78
週刊少年ジャンプ,関根直子,40の顔を持つ男,1
週刊少年ジャンプ,竹若元博(バッファロー吾郎),4コママンガ,1
週刊少年ジャンプ,バロン吉元,4タロウ1ヒメ,15
週刊少年ジャンプ,田中善之助,80億円強奪作戦,2
週刊少年ジャンプ,江口寿史,８時半の決闘,1
週刊少年ジャンプ,北原康行,8ミリロック,1
週刊少年ジャンプ,武石正道,8ミリロック,1
週刊少年ジャンプ,天野洋一,AKABOSHI-異聞水滸伝-,24
週刊少年ジャンプ,鳥山明,ALIEN X PEKE 宇宙人ペケ,2
週刊少年ジャンプ,二橋進吾,American Dream,1
週刊少年ジャンプ,北条司,American Dream,1
週刊少年ジャンプ,普津澤画乃,ANAAKI'S,1
週刊少年ジャンプ,道元宗紀,A・O・M,10
週刊少年ジャンプ,古味直志,APPLE,1
週刊少年ジャンプ,のむら剛,AT Lady！,11
週刊少年ジャンプ,イワタヒロノブ,AX 戦斧王伝説,1
週刊少年ジャンプ,風間克弥,BABY DEVIL エピルくん,1
週刊少年ジャンプ,井上雄彦,BABY FACE,1
週刊少年ジャンプ,森田まさのり,BACHI-ATARI ROCK,1
週刊少年ジャンプ,久保宣章,BAD SHIELD UNITED,1
週刊少年ジャンプ,宮下あきら,BAKUDAN,17
週刊少年ジャンプ,にわのまこと,Base Boys,18
週刊少年ジャンプ,萩原一至,BASTARD!! 暗黒の破壊神,94
週刊少年ジャンプ,高橋陽一,BASUKE,2
週刊少年ジャンプ,吉川雅之,BE A HERO!!,1
週刊少年ジャンプ,鶴岡伸寿,BEAT SWEET,1
週刊少年ジャンプ,宮田栄治,Be Happy 夏とバレーと男と女,1
週刊少年ジャンプ,野口賢,BE TAKUTO! ～野蛮なれ～,20
週刊少年ジャンプ,ビッグ錠,Beyooooond! 200％,1
週刊少年ジャンプ,鈴木雅俊,BIG1,20
週刊少年ジャンプ,本宮ひろ志,BIG GUN ビッグガン,1
週刊少年ジャンプ,寺沢武一,BLACK KNIGHT バット,10
週刊少年ジャンプ,矢吹健太朗,BLACK CAT,187
週刊少年ジャンプ,久保帯人,BLEACH,715
週刊少年ジャンプ,久保帯人,BLEACH×カラブリ!,1
週刊少年ジャンプ,小畑健,BLUE DRAGON ラルΩグラド,29
週刊少年ジャンプ,鷹野常雄,BLUE DRAGON ラルΩグラド,29
週刊少年ジャンプ,村田雄介,BLUST!,1
週刊少年ジャンプ,にわのまこと,BOMBER GIRL,11
週刊少年ジャンプ,梅澤春人,BOY-ボーイ-HARELUYAⅡ,297
週刊少年ジャンプ,樋口大輔,BREAK FREE,1
週刊少年ジャンプ,田坂亮,BULLET TIME!!,1
週刊少年ジャンプ,夏生尚,BULLET CATCHERS,1
週刊少年ジャンプ,ひすわし,CAN・えぶりでい,12
週刊少年ジャンプ,双刃美,Cave Of Shine,1
週刊少年ジャンプ,高橋陽一,CHIBI -チビー,54
週刊少年ジャンプ,あずまけいしん,CHILDRAGON,14
週刊少年ジャンプ,鳥山明,CHOBIT,1
週刊少年ジャンプ,武井宏文,CHOPPERMAN,1
週刊少年ジャンプ,山根和俊,CHOPPERS!!,1
週刊少年ジャンプ,北条司,CITY HUNTER シティ・ハンター,337
週刊少年ジャンプ,八木教広,CLAYMORE,4
週刊少年ジャンプ,濱田浩輔,CLUTCH,1
週刊少年ジャンプ,岩泉舞,COM COP,1
週刊少年ジャンプ,岩泉舞,COM COP 2,1
週刊少年ジャンプ,岩泉舞,COM COP～夢みる佳人～,1
週刊少年ジャンプ,村山由佳,COM COP～夢みる佳人～,1
週刊少年ジャンプ,星野桂,Continue,1
週刊少年ジャンプ,許斐剛,COOL～RENTAL BODYGUARD～,19
週刊少年ジャンプ,池本幹雄,COSMOS,2
週刊少年ジャンプ,ガモウひろし,COUNT DOWN ヒーロー21世紀マン,1
週刊少年ジャンプ,鳥山明,COWA!,14
週刊少年ジャンプ,松雪ヨウ,CRIMSON KING,1
週刊少年ジャンプ,小林ツトム,CROWN!,1
週刊少年ジャンプ,稲吉慶,CROWN!,1
週刊少年ジャンプ,天野洋一,CROSS BEAT,1
週刊少年ジャンプ,尾田栄一郎,CROSS EPOCH  DRAGON BALL×ONE PIECE,1
週刊少年ジャンプ,鳥山明,CROSS EPOCH  DRAGON BALL×ONE PIECE,1
週刊少年ジャンプ,BOB,CYBERブルー,31
週刊少年ジャンプ,三井隆一,CYBERブルー,31
週刊少年ジャンプ,原哲夫,CYBERブルー,31
週刊少年ジャンプ,土方茂,CYBORGじいちゃんG,32
週刊少年ジャンプ,鈴木新,DAI-TEN-GU,1
週刊少年ジャンプ,あんど慶周,DANDY JONES,1
週刊少年ジャンプ,椎橋寛,DARK PAWN -闇の質屋-,1
週刊少年ジャンプ,大場つぐみ,DEATH NOTE,111
週刊少年ジャンプ,小畑健,DEATH NOTE,111
