マンガ雑誌巻号名,マンガ作品数,マンガ作者数,合計ページ数,発売日,価格,マンガ雑誌名,マンガ作品数（ジッタリング後）,マンガ作者数（ジッタリング後）,発売年
週刊少年サンデー 1970年 表示号数32,12,14,284.0,1970-08-02,80.0,週刊少年サンデー,12.441013086491916,14.40608634091581,1970
週刊少年サンデー 1970年 表示号数33,12,16,307.0,1970-08-09,90.0,週刊少年サンデー,12.100039302091806,15.84706089658748,1970
週刊少年サンデー 1970年 表示号数34,13,17,314.0,1970-08-16,90.0,週刊少年サンデー,13.244684496026435,16.867957061934135,1970
週刊少年サンデー 1970年 表示号数35,13,17,305.0,1970-08-23,90.0,週刊少年サンデー,13.560223299800365,16.731757844460958,1970
週刊少年サンデー 1970年 表示号数36,13,17,305.0,1970-08-30,90.0,週刊少年サンデー,13.466889497537492,17.21635190733117,1970
週刊少年サンデー 1970年 表示号数37,13,17,303.0,1970-09-06,90.0,週刊少年サンデー,12.755680530030897,16.42461532577993,1970
週刊少年サンデー 1970年 表示号数38,12,16,282.0,1970-09-13,80.0,週刊少年サンデー,12.237522104381398,16.43620294105412,1970
週刊少年サンデー 1970年 表示号数39,12,17,277.0,1970-09-20,80.0,週刊少年サンデー,11.962160697925576,16.809698274776224,1970
週刊少年サンデー 1970年 表示号数40,12,17,270.0,1970-09-27,80.0,週刊少年サンデー,11.97419528705161,17.079759774014274,1970
週刊少年サンデー 1970年 表示号数41,12,17,270.0,1970-10-04,80.0,週刊少年サンデー,12.102649625484593,16.937657406130647,1970
週刊少年サンデー 1970年 表示号数42,11,16,270.0,1970-10-11,80.0,週刊少年サンデー,11.03601089279022,16.365526984261244,1970
週刊少年サンデー 1970年 表示号数43,13,17,276.0,1970-10-18,80.0,週刊少年サンデー,13.363568376740744,16.484964822625585,1970
週刊少年サンデー 1970年 表示号数44,12,16,270.0,1970-10-25,80.0,週刊少年サンデー,12.190259431286748,15.919395698996624,1970
週刊少年サンデー 1970年 表示号数45,12,16,277.0,1970-11-01,80.0,週刊少年サンデー,12.030418754123207,15.903986411332896,1970
週刊少年サンデー 1970年 表示号数46,12,15,274.0,1970-11-08,80.0,週刊少年サンデー,12.110965808186357,15.283442360583859,1970
週刊少年サンデー 1970年 表示号数47,11,15,292.0,1970-11-15,90.0,週刊少年サンデー,11.083418581843567,14.725027183171493,1970
週刊少年サンデー 1970年 表示号数48,12,16,275.0,1970-11-22,90.0,週刊少年サンデー,12.373519768289402,15.95689294811239,1970
週刊少年サンデー 1970年 表示号数49,13,16,275.0,1970-12-01,90.0,週刊少年サンデー,12.94871043405855,15.780535395519657,1970
週刊少年サンデー 1970年 表示号数50,14,18,276.0,1970-12-06,80.0,週刊少年サンデー,14.078266925412725,18.010553436678897,1970
週刊少年サンデー 1970年 表示号数51,13,18,296.0,1970-12-13,90.0,週刊少年サンデー,12.786476065174568,18.145703803428955,1970
週刊少年サンデー 1970年 表示号数52,12,17,270.0,1970-12-20,80.0,週刊少年サンデー,11.36175254604148,16.72484520569677,1970
週刊少年サンデー 1971年 表示号数1,11,16,258.0,1971-01-03,80.0,週刊少年サンデー,11.16340464886009,16.286180927459903,1971
週刊少年サンデー 1971年 表示号数10,14,17,273.0,1971-03-07,80.0,週刊少年サンデー,14.216109049714877,17.2253976801482,1971
週刊少年サンデー 1971年 表示号数11,12,16,265.0,1971-03-14,80.0,週刊少年サンデー,11.81445874489839,16.125623584725467,1971
週刊少年サンデー 1971年 表示号数12,13,17,285.0,1971-03-21,90.0,週刊少年サンデー,13.567438655996902,17.225213987316103,1971
週刊少年サンデー 1971年 表示号数13,12,17,271.0,1971-03-28,80.0,週刊少年サンデー,11.63640858135031,16.829068035206415,1971
週刊少年サンデー 1971年 表示号数14,12,15,273.0,1971-04-04,80.0,週刊少年サンデー,12.011439629325361,14.969277443620339,1971
週刊少年サンデー 1971年 表示号数16,11,15,271.0,1971-04-11,80.0,週刊少年サンデー,10.953204037493542,14.766057641435232,1971
週刊少年サンデー 1971年 表示号数17,11,15,289.0,1971-04-18,80.0,週刊少年サンデー,11.383194803589614,14.933027980093495,1971
週刊少年サンデー 1971年 表示号数18,11,16,274.0,1971-04-25,80.0,週刊少年サンデー,11.36733969247507,16.132588866684547,1971
週刊少年サンデー 1971年 表示号数19,11,16,274.0,1971-05-02,80.0,週刊少年サンデー,11.03873685642423,15.827084812068673,1971
週刊少年サンデー 1971年 表示号数2,12,16,282.0,1971-01-10,90.0,週刊少年サンデー,12.094540629900543,15.900811618286006,1971
週刊少年サンデー 1971年 表示号数20,11,15,279.0,1971-05-09,80.0,週刊少年サンデー,10.778053563092472,14.828206824970101,1971
週刊少年サンデー 1971年 表示号数21,11,16,276.0,1971-05-16,80.0,週刊少年サンデー,10.504800882944018,15.78869858962532,1971
週刊少年サンデー 1971年 表示号数22,12,16,291.0,1971-05-23,90.0,週刊少年サンデー,11.913021962668461,15.832188467290795,1971
週刊少年サンデー 1971年 表示号数23,11,15,266.0,1971-05-30,80.0,週刊少年サンデー,11.039087242275995,14.996833850270274,1971
週刊少年サンデー 1971年 表示号数24,12,16,274.0,1971-06-06,80.0,週刊少年サンデー,12.30757267018193,15.72067241284118,1971
週刊少年サンデー 1971年 表示号数25,12,15,264.0,1971-06-13,80.0,週刊少年サンデー,12.300594962196103,15.058603924454273,1971
週刊少年サンデー 1971年 表示号数26,11,14,286.0,1971-06-20,90.0,週刊少年サンデー,10.903168295648012,14.414950544277467,1971
週刊少年サンデー 1971年 表示号数27,12,15,270.0,1971-06-27,80.0,週刊少年サンデー,11.924424312356166,15.185511040144334,1971
週刊少年サンデー 1971年 表示号数28,11,14,272.0,1971-07-04,80.0,週刊少年サンデー,10.737861758733226,13.952041111909596,1971
週刊少年サンデー 1971年 表示号数29,11,14,268.0,1971-07-11,80.0,週刊少年サンデー,10.644995515705256,13.77809275897879,1971
