マンガ雑誌名,発売年,マンガ作品数,マンガ作者数,合計ページ数
週刊少年サンデー,1970,12.333333333333334,16.428571428571427,284.1904761904762
週刊少年サンデー,1971,12.411764705882353,16.49019607843137,281.6666666666667
週刊少年サンデー,1972,12.647058823529411,15.803921568627452,291.8627450980392
週刊少年サンデー,1973,13.098039215686274,16.098039215686274,302.54901960784315
週刊少年サンデー,1974,11.02,15.86,248.28
週刊少年サンデー,1975,11.627450980392156,16.235294117647058,253.11764705882354
週刊少年サンデー,1976,13.58,17.14,283.82
週刊少年サンデー,1977,13.04,15.64,302.4
週刊少年サンデー,1978,12.94,15.9,304.06
週刊少年サンデー,1979,14.24,18.22,325.6
週刊少年サンデー,1980,15.14,19.96,339.18
週刊少年サンデー,1981,15.372549019607844,19.725490196078432,329.52941176470586
週刊少年サンデー,1982,17.12,21.56,329.34
週刊少年サンデー,1983,17.44,21.26,324.96
週刊少年サンデー,1984,16.16,19.08,331.14
週刊少年サンデー,1985,15.04,16.94,328.9
週刊少年サンデー,1986,15.44,17.46,329.52
週刊少年サンデー,1987,16.32,18.52,344.02
週刊少年サンデー,1988,19.15686274509804,23.92156862745098,376.6078431372549
週刊少年サンデー,1989,20.7,24.82,403.4
週刊少年サンデー,1990,21.22,23.4,409.44
週刊少年サンデー,1991,22.333333333333332,24.833333333333332,412.2916666666667
週刊少年サンデー,1992,21.416666666666668,23.729166666666668,404.125
週刊少年サンデー,1993,21.270833333333332,23.4375,405.5416666666667
週刊少年サンデー,1994,22.895833333333332,26.479166666666668,407.9166666666667
週刊少年サンデー,1995,22.5,25.791666666666668,423.8333333333333
週刊少年サンデー,1996,22.854166666666668,27.291666666666668,443.0208333333333
週刊少年サンデー,1997,23.770833333333332,26.854166666666668,446.875
週刊少年サンデー,1998,23.875,28.0625,446.875
週刊少年サンデー,1999,24.083333333333332,27.791666666666668,450.375
週刊少年サンデー,2000,23.571428571428573,25.571428571428573,444.7551020408163
週刊少年サンデー,2001,23.875,25.916666666666668,448.4166666666667
週刊少年サンデー,2002,23.19148936170213,24.27659574468085,442.1276595744681
週刊少年サンデー,2003,22.479166666666668,23.875,435.3333333333333
週刊少年サンデー,2004,22.583333333333332,23.5,448.125
週刊少年サンデー,2005,22.645833333333332,22.625,448.75
週刊少年サンデー,2006,23.9375,25.770833333333332,465.75
週刊少年サンデー,2007,23.893617021276597,27.02127659574468,472.8085106382979
週刊少年サンデー,2008,25.104166666666668,29.416666666666668,489.9583333333333
週刊少年サンデー,2009,25.0,28.06,468.76
週刊少年サンデー,2010,24.291666666666668,27.145833333333332,459.8958333333333
週刊少年サンデー,2011,23.510204081632654,28.20408163265306,468.16326530612247
週刊少年サンデー,2012,24.208333333333332,31.25,470.6875
週刊少年サンデー,2013,25.3125,30.0625,474.5416666666667
週刊少年サンデー,2014,25.166666666666668,28.75,478.2708333333333
週刊少年サンデー,2015,27.102040816326532,28.93877551020408,481.48979591836735
週刊少年サンデー,2016,25.020833333333332,25.0625,457.2291666666667
週刊少年サンデー,2017,24.653846153846153,24.653846153846153,454.6923076923077
週刊少年ジャンプ,1970,14.863636363636363,17.363636363636363,286.59090909090907
週刊少年ジャンプ,1971,13.96078431372549,16.470588235294116,290.88235294117646
週刊少年ジャンプ,1972,14.607843137254902,17.80392156862745,288.96078431372547
週刊少年ジャンプ,1973,16.03921568627451,20.019607843137255,306.5882352941176
週刊少年ジャンプ,1974,14.24,17.2,248.7
週刊少年ジャンプ,1975,13.68,17.42,259.4
週刊少年ジャンプ,1976,14.918367346938776,18.714285714285715,313.265306122449
週刊少年ジャンプ,1977,14.549019607843137,17.686274509803923,317.6078431372549
週刊少年ジャンプ,1978,14.6,17.9,314.88
週刊少年ジャンプ,1979,15.346938775510203,19.0,331.6734693877551
週刊少年ジャンプ,1980,15.76,18.82,332.0
週刊少年ジャンプ,1981,16.254901960784313,18.666666666666668,340.1764705882353
週刊少年ジャンプ,1982,16.54,17.98,348.1
週刊少年ジャンプ,1983,16.42,17.22,347.52
週刊少年ジャンプ,1984,16.22,17.98,348.56
週刊少年ジャンプ,1985,15.96,17.8,347.44
週刊少年ジャンプ,1986,16.16,18.12,349.24
週刊少年ジャンプ,1987,17.3,19.14,367.36
