発売年,マンガ雑誌名,平均マンガ作品数,平均ページ数,平均価格
1970,週刊少年サンデー,12.333333333333334,284.1904761904762,84.28571428571429
1970,週刊少年ジャンプ,14.863636363636363,286.59090909090907,82.72727272727273
1970,週刊少年チャンピオン,17.59090909090909,285.27272727272725,82.72727272727273
1970,週刊少年マガジン,10.857142857142858,273.9047619047619,82.38095238095238
1971,週刊少年サンデー,12.411764705882353,281.6666666666667,86.27450980392157
1971,週刊少年ジャンプ,13.96078431372549,290.88235294117646,86.4
1971,週刊少年チャンピオン,15.607843137254902,291.05882352941177,90.0
1971,週刊少年マガジン,11.627450980392156,268.5098039215686,86.66666666666667
1972,週刊少年サンデー,12.647058823529411,291.8627450980392,95.09803921568627
1972,週刊少年ジャンプ,14.607843137254902,288.96078431372547,93.52941176470588
1972,週刊少年チャンピオン,14.27450980392157,294.80392156862746,95.88235294117646
1972,週刊少年マガジン,11.764705882352942,268.2156862745098,97.05882352941177
1973,週刊少年サンデー,13.098039215686274,302.54901960784315,102.74509803921569
1973,週刊少年ジャンプ,16.03921568627451,306.5882352941176,98.62745098039215
1973,週刊少年チャンピオン,14.098039215686274,303.1372549019608,102.3529411764706
1973,週刊少年マガジン,12.03921568627451,269.03921568627453,103.92156862745098
1974,週刊少年サンデー,11.02,248.28,128.4
1974,週刊少年ジャンプ,14.24,248.7,128.0
1974,週刊少年チャンピオン,12.38,242.06,128.0
1974,週刊少年マガジン,10.183673469387756,214.91836734693877,130.0
1975,週刊少年サンデー,11.627450980392156,253.11764705882354,133.33333333333334
1975,週刊少年ジャンプ,13.68,259.4,132.4
1975,週刊少年チャンピオン,12.215686274509803,233.94117647058823,131.5686274509804
1975,週刊少年マガジン,11.3,247.6,141.6
1976,週刊少年サンデー,13.58,283.82,148.0
1976,週刊少年ジャンプ,14.918367346938776,313.265306122449,150.0
1976,週刊少年チャンピオン,13.372549019607844,272.72549019607845,148.0392156862745
1976,週刊少年マガジン,13.42,278.18,150.4
1977,週刊少年サンデー,13.04,302.4,152.4
1977,週刊少年ジャンプ,14.549019607843137,317.6078431372549,151.1764705882353
1977,週刊少年チャンピオン,14.450980392156863,283.45098039215685,152.7450980392157
1977,週刊少年マガジン,14.1,312.8,169.2
1978,週刊少年サンデー,12.94,304.06,152.4
1978,週刊少年ジャンプ,14.6,314.88,152.4
1978,週刊少年チャンピオン,14.153846153846153,285.0192307692308,152.30769230769232
1978,週刊少年マガジン,14.58,327.36,170.0
1979,週刊少年サンデー,14.24,325.6,154.8
1979,週刊少年ジャンプ,15.346938775510203,331.6734693877551,154.89795918367346
1979,週刊少年チャンピオン,14.568627450980392,297.6470588235294,152.35294117647058
1979,週刊少年マガジン,15.98,339.7,170.0
1980,週刊少年サンデー,15.14,339.18,167.2
1980,週刊少年ジャンプ,15.76,332.0,162.0
1980,週刊少年チャンピオン,15.745098039215685,322.3333333333333,168.4313725490196
1980,週刊少年マガジン,15.46938775510204,329.0204081632653,171.22448979591837
1981,週刊少年サンデー,15.372549019607844,329.52941176470586,170.98039215686273
1981,週刊少年ジャンプ,16.254901960784313,340.1764705882353,170.7843137254902
1981,週刊少年チャンピオン,15.51923076923077,316.7307692307692,171.34615384615384
1981,週刊少年マガジン,15.333333333333334,324.11764705882354,179.01960784313727
1982,週刊少年サンデー,17.12,329.34,173.6
1982,週刊少年ジャンプ,16.54,348.1,171.2
1982,週刊少年チャンピオン,15.72549019607843,327.72549019607845,172.7450980392157
1982,週刊少年マガジン,14.78,327.9,180.4
1983,週刊少年サンデー,17.44,324.96,176.0
1983,週刊少年ジャンプ,16.42,347.52,171.8
1983,週刊少年チャンピオン,16.019607843137255,328.2156862745098,174.50980392156862
1983,週刊少年マガジン,15.3,330.0,180.4
1984,週刊少年サンデー,16.16,331.14,180.6
1984,週刊少年ジャンプ,16.22,348.56,171.8
1984,週刊少年チャンピオン,16.666666666666668,347.0980392156863,180.7843137254902
1984,週刊少年マガジン,15.88,327.34,180.6
1985,週刊少年サンデー,15.04,328.9,180.6
1985,週刊少年ジャンプ,15.96,347.44,171.4
1985,週刊少年チャンピオン,16.58823529411765,337.88235294117646,180.3921568627451
1985,週刊少年マガジン,15.88,325.78,180.4
1986,週刊少年サンデー,15.44,329.52,180.4
1986,週刊少年ジャンプ,16.16,349.24,172.0
1986,週刊少年チャンピオン,16.08,338.32,180.8
1986,週刊少年マガジン,15.26,331.8,180.4
1987,週刊少年サンデー,16.32,344.02,180.4
1987,週刊少年ジャンプ,17.3,367.36,172.0
1987,週刊少年チャンピオン,18.92,360.26,180.8
1987,週刊少年マガジン,17.040816326530614,362.14285714285717,180.40816326530611
1988,週刊少年サンデー,19.15686274509804,376.6078431372549,180.58823529411765
1988,週刊少年ジャンプ,18.568627450980394,384.47058823529414,172.54901960784315
1988,週刊少年チャンピオン,19.06,368.66,180.4
1988,週刊少年マガジン,18.627450980392158,384.2549019607843,180.3921568627451
1989,週刊少年サンデー,20.7,403.4,188.2
1989,週刊少年ジャンプ,19.93877551020408,410.265306122449,178.9795918367347
1989,週刊少年チャンピオン,18.918367346938776,397.2857142857143,187.75510204081633
1989,週刊少年マガジン,20.7,405.46,187.6
1990,週刊少年サンデー,21.22,409.44,195.0
1990,週刊少年ジャンプ,19.92,417.64,186.4
1990,週刊少年チャンピオン,19.244897959183675,404.61224489795916,194.69387755102042
1990,週刊少年マガジン,20.2,408.4,194.8
1991,週刊少年サンデー,22.333333333333332,412.2916666666667,200.83333333333334
1991,週刊少年ジャンプ,19.23404255319149,415.1063829787234,192.3404255319149
1991,週刊少年チャンピオン,19.979591836734695,402.48979591836735,200.81632653061226
1991,週刊少年マガジン,20.125,409.3125,201.04166666666666
1992,週刊少年サンデー,21.416666666666668,404.125,201.25
1992,週刊少年ジャンプ,19.229166666666668,417.2916666666667,192.91666666666666
1992,週刊少年チャンピオン,19.306122448979593,403.734693877551,201.42857142857142
1992,週刊少年マガジン,19.083333333333332,409.0416666666667,201.25
1993,週刊少年サンデー,21.270833333333332,405.5416666666667,202.29166666666666
1993,週刊少年ジャンプ,19.770833333333332,423.9583333333333,193.75
1993,週刊少年チャンピオン,18.520833333333332,403.8541666666667,202.5
1993,週刊少年マガジン,19.541666666666668,412.6666666666667,202.29166666666666
1994,週刊少年サンデー,22.895833333333332,407.9166666666667,202.70833333333334
1994,週刊少年ジャンプ,20.25,427.8125,195.20833333333334
1994,週刊少年チャンピオン,19.333333333333332,403.2083333333333,202.08333333333334
1994,週刊少年マガジン,20.291666666666668,427.7916666666667,207.08333333333334
1995,週刊少年サンデー,22.5,423.8333333333333,203.95833333333334
1995,週刊少年ジャンプ,20.375,439.5833333333333,197.70833333333334
1995,週刊少年チャンピオン,20.6875,404.1875,202.9787234042553
1995,週刊少年マガジン,20.979166666666668,427.25,211.04166666666666
1996,週刊少年サンデー,22.854166666666668,443.0208333333333,209.58333333333334
1996,週刊少年ジャンプ,19.854166666666668,444.75,204.375
1996,週刊少年チャンピオン,20.125,404.6041666666667,204.16666666666666
1996,週刊少年マガジン,21.270833333333332,431.7708333333333,212.08333333333334
1997,週刊少年サンデー,23.770833333333332,446.875,216.25
1997,週刊少年ジャンプ,19.479166666666668,447.5833333333333,207.5
1997,週刊少年チャンピオン,21.8125,418.3333333333333,211.875
1997,週刊少年マガジン,22.208333333333332,442.4375,215.41666666666666
1998,週刊少年サンデー,23.875,446.875,222.91666666666666
1998,週刊少年ジャンプ,19.166666666666668,445.5833333333333,219.375
1998,週刊少年チャンピオン,22.75,435.3333333333333,223.75
1998,週刊少年マガジン,21.479166666666668,465.0833333333333,226.875
1999,週刊少年サンデー,24.083333333333332,450.375,223.125
1999,週刊少年ジャンプ,19.645833333333332,450.1458333333333,223.125
1999,週刊少年チャンピオン,23.458333333333332,438.2083333333333,225.0
1999,週刊少年マガジン,22.208333333333332,479.1458333333333,231.25
2000,週刊少年サンデー,23.571428571428573,444.7551020408163,222.85714285714286
2000,週刊少年ジャンプ,19.541666666666668,451.4583333333333,223.54166666666666
2000,週刊少年チャンピオン,23.708333333333332,437.8333333333333,225.41666666666666
2000,週刊少年マガジン,22.375,471.6458333333333,230.625
2001,週刊少年サンデー,23.875,448.4166666666667,215.02083333333334
2001,週刊少年ジャンプ,20.666666666666668,456.2291666666667,213.875
2001,週刊少年チャンピオン,24.145833333333332,439.0833333333333,215.875
2001,週刊少年マガジン,22.166666666666668,475.4583333333333,220.72916666666666
2002,週刊少年サンデー,23.19148936170213,442.1276595744681,214.40425531914894
2002,週刊少年ジャンプ,20.4375,457.1666666666667,211.875
2002,週刊少年チャンピオン,24.0,439.9583333333333,218.375
2002,週刊少年マガジン,21.877551020408163,467.1224489795918,220.22448979591837
2003,週刊少年サンデー,22.479166666666668,435.3333333333333,214.35416666666666
2003,週刊少年ジャンプ,20.166666666666668,458.8125,212.8125
2003,週刊少年チャンピオン,23.3125,439.6458333333333,223.3125
2003,週刊少年マガジン,21.708333333333332,470.8958333333333,220.27083333333334
2004,週刊少年サンデー,22.583333333333332,448.125,220.45833333333334
2004,週刊少年ジャンプ,19.306122448979593,462.48979591836735,218.53061224489795
2004,週刊少年チャンピオン,23.895833333333332,453.8958333333333,228.16666666666666
2004,週刊少年マガジン,23.638297872340427,506.6595744680851,223.93617021276594
2005,週刊少年サンデー,22.645833333333332,448.75,227.91666666666666
2005,週刊少年ジャンプ,20.166666666666668,470.5208333333333,222.14583333333334
2005,週刊少年チャンピオン,21.854166666666668,444.9583333333333,233.125
