雑誌巻号名,作品数,作者数,合計ページ数,発売日,価格,雑誌名,発売年
週刊少年サンデー 1970年 表示号数32,12,14,284.0,1970-08-02,80.0,週刊少年サンデー,1970-08-02
週刊少年サンデー 1970年 表示号数33,12,16,307.0,1970-08-09,90.0,週刊少年サンデー,1970-08-09
週刊少年サンデー 1970年 表示号数34,13,17,314.0,1970-08-16,90.0,週刊少年サンデー,1970-08-16
週刊少年サンデー 1970年 表示号数35,13,17,305.0,1970-08-23,90.0,週刊少年サンデー,1970-08-23
週刊少年サンデー 1970年 表示号数36,13,17,305.0,1970-08-30,90.0,週刊少年サンデー,1970-08-30
週刊少年サンデー 1970年 表示号数37,13,17,303.0,1970-09-06,90.0,週刊少年サンデー,1970-09-06
週刊少年サンデー 1970年 表示号数38,12,16,282.0,1970-09-13,80.0,週刊少年サンデー,1970-09-13
週刊少年サンデー 1970年 表示号数39,12,17,277.0,1970-09-20,80.0,週刊少年サンデー,1970-09-20
週刊少年サンデー 1970年 表示号数40,12,17,270.0,1970-09-27,80.0,週刊少年サンデー,1970-09-27
週刊少年サンデー 1970年 表示号数41,12,17,270.0,1970-10-04,80.0,週刊少年サンデー,1970-10-04
週刊少年サンデー 1970年 表示号数42,11,16,270.0,1970-10-11,80.0,週刊少年サンデー,1970-10-11
週刊少年サンデー 1970年 表示号数43,13,17,276.0,1970-10-18,80.0,週刊少年サンデー,1970-10-18
週刊少年サンデー 1970年 表示号数44,12,16,270.0,1970-10-25,80.0,週刊少年サンデー,1970-10-25
週刊少年サンデー 1970年 表示号数45,12,16,277.0,1970-11-01,80.0,週刊少年サンデー,1970-11-01
週刊少年サンデー 1970年 表示号数46,12,15,274.0,1970-11-08,80.0,週刊少年サンデー,1970-11-08
週刊少年サンデー 1970年 表示号数47,11,15,292.0,1970-11-15,90.0,週刊少年サンデー,1970-11-15
週刊少年サンデー 1970年 表示号数48,12,16,275.0,1970-11-22,90.0,週刊少年サンデー,1970-11-22
週刊少年サンデー 1970年 表示号数49,13,16,275.0,1970-12-01,90.0,週刊少年サンデー,1970-12-01
週刊少年サンデー 1970年 表示号数50,14,18,276.0,1970-12-06,80.0,週刊少年サンデー,1970-12-06
週刊少年サンデー 1970年 表示号数51,13,18,296.0,1970-12-13,90.0,週刊少年サンデー,1970-12-13
週刊少年サンデー 1970年 表示号数52,12,17,270.0,1970-12-20,80.0,週刊少年サンデー,1970-12-20
週刊少年サンデー 1971年 表示号数1,11,16,258.0,1971-01-03,80.0,週刊少年サンデー,1971-01-03
週刊少年サンデー 1971年 表示号数10,14,17,273.0,1971-03-07,80.0,週刊少年サンデー,1971-03-07
週刊少年サンデー 1971年 表示号数11,12,16,265.0,1971-03-14,80.0,週刊少年サンデー,1971-03-14
週刊少年サンデー 1971年 表示号数12,13,17,285.0,1971-03-21,90.0,週刊少年サンデー,1971-03-21
週刊少年サンデー 1971年 表示号数13,12,17,271.0,1971-03-28,80.0,週刊少年サンデー,1971-03-28
週刊少年サンデー 1971年 表示号数14,12,15,273.0,1971-04-04,80.0,週刊少年サンデー,1971-04-04
週刊少年サンデー 1971年 表示号数16,11,15,271.0,1971-04-11,80.0,週刊少年サンデー,1971-04-11
週刊少年サンデー 1971年 表示号数17,11,15,289.0,1971-04-18,80.0,週刊少年サンデー,1971-04-18
週刊少年サンデー 1971年 表示号数18,11,16,274.0,1971-04-25,80.0,週刊少年サンデー,1971-04-25
週刊少年サンデー 1971年 表示号数19,11,16,274.0,1971-05-02,80.0,週刊少年サンデー,1971-05-02
週刊少年サンデー 1971年 表示号数2,12,16,282.0,1971-01-10,90.0,週刊少年サンデー,1971-01-10
週刊少年サンデー 1971年 表示号数20,11,15,279.0,1971-05-09,80.0,週刊少年サンデー,1971-05-09
週刊少年サンデー 1971年 表示号数21,11,16,276.0,1971-05-16,80.0,週刊少年サンデー,1971-05-16
週刊少年サンデー 1971年 表示号数22,12,16,291.0,1971-05-23,90.0,週刊少年サンデー,1971-05-23
週刊少年サンデー 1971年 表示号数23,11,15,266.0,1971-05-30,80.0,週刊少年サンデー,1971-05-30
週刊少年サンデー 1971年 表示号数24,12,16,274.0,1971-06-06,80.0,週刊少年サンデー,1971-06-06
週刊少年サンデー 1971年 表示号数25,12,15,264.0,1971-06-13,80.0,週刊少年サンデー,1971-06-13
週刊少年サンデー 1971年 表示号数26,11,14,286.0,1971-06-20,90.0,週刊少年サンデー,1971-06-20
週刊少年サンデー 1971年 表示号数27,12,15,270.0,1971-06-27,80.0,週刊少年サンデー,1971-06-27
週刊少年サンデー 1971年 表示号数28,11,14,272.0,1971-07-04,80.0,週刊少年サンデー,1971-07-04
週刊少年サンデー 1971年 表示号数29,11,14,268.0,1971-07-11,80.0,週刊少年サンデー,1971-07-11
週刊少年サンデー 1971年 表示号数3,13,17,296.0,1971-01-17,100.0,週刊少年サンデー,1971-01-17
週刊少年サンデー 1971年 表示号数30,12,15,282.0,1971-07-18,90.0,週刊少年サンデー,1971-07-18
週刊少年サンデー 1971年 表示号数31,12,15,271.0,1971-07-25,80.0,週刊少年サンデー,1971-07-25
週刊少年サンデー 1971年 表示号数32,13,16,271.0,1971-08-01,80.0,週刊少年サンデー,1971-08-01
週刊少年サンデー 1971年 表示号数33,14,18,296.0,1971-08-08,90.0,週刊少年サンデー,1971-08-08
週刊少年サンデー 1971年 表示号数34,14,18,297.0,1971-08-15,90.0,週刊少年サンデー,1971-08-15
週刊少年サンデー 1971年 表示号数35,13,17,299.0,1971-08-22,90.0,週刊少年サンデー,1971-08-22
週刊少年サンデー 1971年 表示号数36,12,15,321.0,1971-08-29,100.0,週刊少年サンデー,1971-08-29
週刊少年サンデー 1971年 表示号数37,14,16,298.0,1971-09-05,90.0,週刊少年サンデー,1971-09-05
週刊少年サンデー 1971年 表示号数38,14,18,296.0,1971-09-12,90.0,週刊少年サンデー,1971-09-12
週刊少年サンデー 1971年 表示号数39,13,16,296.0,1971-09-19,90.0,週刊少年サンデー,1971-09-19
週刊少年サンデー 1971年 表示号数4,13,18,294.0,1971-01-24,100.0,週刊少年サンデー,1971-01-24
週刊少年サンデー 1971年 表示号数40,13,16,290.0,1971-09-26,90.0,週刊少年サンデー,1971-09-26
週刊少年サンデー 1971年 表示号数41,13,17,288.0,1971-10-03,90.0,週刊少年サンデー,1971-10-03
週刊少年サンデー 1971年 表示号数42,14,17,286.0,1971-10-10,90.0,週刊少年サンデー,1971-10-10
週刊少年サンデー 1971年 表示号数43,13,17,286.0,1971-10-17,90.0,週刊少年サンデー,1971-10-17
週刊少年サンデー 1971年 表示号数44,12,17,286.0,1971-10-24,90.0,週刊少年サンデー,1971-10-24
週刊少年サンデー 1971年 表示号数45,13,18,286.0,1971-10-31,90.0,週刊少年サンデー,1971-10-31
週刊少年サンデー 1971年 表示号数46,13,18,285.0,1971-11-07,90.0,週刊少年サンデー,1971-11-07
週刊少年サンデー 1971年 表示号数47,14,18,285.0,1971-11-14,90.0,週刊少年サンデー,1971-11-14
週刊少年サンデー 1971年 表示号数48,13,18,283.0,1971-11-21,90.0,週刊少年サンデー,1971-11-21
週刊少年サンデー 1971年 表示号数49,13,18,276.0,1971-11-28,90.0,週刊少年サンデー,1971-11-28
週刊少年サンデー 1971年 表示号数50,13,18,281.0,1971-12-05,90.0,週刊少年サンデー,1971-12-05
週刊少年サンデー 1971年 表示号数51,12,16,280.0,1971-12-12,90.0,週刊少年サンデー,1971-12-12
週刊少年サンデー 1971年 表示号数52,13,18,280.0,1971-12-19,90.0,週刊少年サンデー,1971-12-19
週刊少年サンデー 1971年 表示号数53,13,18,283.0,1971-12-26,90.0,週刊少年サンデー,1971-12-26
週刊少年サンデー 1971年 表示号数6,12,16,272.0,1971-02-07,80.0,週刊少年サンデー,1971-02-07
週刊少年サンデー 1971年 表示号数7,13,22,279.0,1971-02-14,80.0,週刊少年サンデー,1971-02-14
週刊少年サンデー 1971年 表示号数8,12,16,287.0,1971-02-21,90.0,週刊少年サンデー,1971-02-21
週刊少年サンデー 1971年 表示号数9,13,18,274.0,1971-02-28,80.0,週刊少年サンデー,1971-02-28
週刊少年サンデー 1972年 表示号数1,10,13,280.0,1972-01-01,90.0,週刊少年サンデー,1972-01-01
週刊少年サンデー 1972年 表示号数10,12,16,280.0,1972-02-27,90.0,週刊少年サンデー,1972-02-27
週刊少年サンデー 1972年 表示号数11,12,17,277.0,1972-03-05,90.0,週刊少年サンデー,1972-03-05
週刊少年サンデー 1972年 表示号数12,12,17,281.0,1972-03-12,90.0,週刊少年サンデー,1972-03-12
週刊少年サンデー 1972年 表示号数13,12,17,280.0,1972-03-19,90.0,週刊少年サンデー,1972-03-19
週刊少年サンデー 1972年 表示号数14,12,16,280.0,1972-03-26,90.0,週刊少年サンデー,1972-03-26
週刊少年サンデー 1972年 表示号数15,11,14,284.0,1972-04-02,90.0,週刊少年サンデー,1972-04-02
週刊少年サンデー 1972年 表示号数16,12,15,284.0,1972-04-09,90.0,週刊少年サンデー,1972-04-09
週刊少年サンデー 1972年 表示号数17,11,14,312.0,1972-04-16,100.0,週刊少年サンデー,1972-04-16
週刊少年サンデー 1972年 表示号数18,12,14,282.0,1972-04-23,90.0,週刊少年サンデー,1972-04-23
週刊少年サンデー 1972年 表示号数19,13,14,280.0,1972-04-30,90.0,週刊少年サンデー,1972-04-30
週刊少年サンデー 1972年 表示号数2,11,14,285.0,1972-01-09,90.0,週刊少年サンデー,1972-01-09
週刊少年サンデー 1972年 表示号数20,13,14,283.0,1972-05-07,90.0,週刊少年サンデー,1972-05-07
週刊少年サンデー 1972年 表示号数21,13,15,312.0,1972-05-14,100.0,週刊少年サンデー,1972-05-14
週刊少年サンデー 1972年 表示号数22,12,14,282.0,1972-05-21,90.0,週刊少年サンデー,1972-05-21
週刊少年サンデー 1972年 表示号数23,13,15,282.0,1972-05-28,90.0,週刊少年サンデー,1972-05-28
週刊少年サンデー 1972年 表示号数24,13,15,280.0,1972-06-04,90.0,週刊少年サンデー,1972-06-04
週刊少年サンデー 1972年 表示号数25,12,14,310.0,1972-06-11,100.0,週刊少年サンデー,1972-06-11
週刊少年サンデー 1972年 表示号数26,14,17,275.0,1972-06-18,90.0,週刊少年サンデー,1972-06-18
週刊少年サンデー 1972年 表示号数27,14,16,278.0,1972-06-25,90.0,週刊少年サンデー,1972-06-25
週刊少年サンデー 1972年 表示号数28,13,15,278.0,1972-07-02,90.0,週刊少年サンデー,1972-07-02
週刊少年サンデー 1972年 表示号数29,13,15,277.0,1972-07-09,90.0,週刊少年サンデー,1972-07-09
週刊少年サンデー 1972年 表示号数3,13,17,314.0,1972-01-16,100.0,週刊少年サンデー,1972-01-16
週刊少年サンデー 1972年 表示号数30,14,16,309.0,1972-07-16,100.0,週刊少年サンデー,1972-07-16
週刊少年サンデー 1972年 表示号数31,13,15,274.0,1972-07-23,90.0,週刊少年サンデー,1972-07-23
週刊少年サンデー 1972年 表示号数32,13,15,279.0,1972-07-30,90.0,週刊少年サンデー,1972-07-30
週刊少年サンデー 1972年 表示号数33,14,16,304.0,1972-08-06,100.0,週刊少年サンデー,1972-08-06
週刊少年サンデー 1972年 表示号数34,13,16,295.0,1972-08-13,100.0,週刊少年サンデー,1972-08-13
週刊少年サンデー 1972年 表示号数35,14,18,297.0,1972-08-20,100.0,週刊少年サンデー,1972-08-20
週刊少年サンデー 1972年 表示号数36,13,16,307.0,1972-08-27,100.0,週刊少年サンデー,1972-08-27
週刊少年サンデー 1972年 表示号数37,13,16,304.0,1972-09-03,100.0,週刊少年サンデー,1972-09-03
週刊少年サンデー 1972年 表示号数39,12,15,302.0,1972-09-10,100.0,週刊少年サンデー,1972-09-10
週刊少年サンデー 1972年 表示号数40,13,18,306.0,1972-09-17,100.0,週刊少年サンデー,1972-09-17
週刊少年サンデー 1972年 表示号数41,13,17,301.0,1972-09-24,100.0,週刊少年サンデー,1972-09-24
週刊少年サンデー 1972年 表示号数42,13,17,301.0,1972-10-01,100.0,週刊少年サンデー,1972-10-01
週刊少年サンデー 1972年 表示号数43,14,18,301.0,1972-10-08,100.0,週刊少年サンデー,1972-10-08
週刊少年サンデー 1972年 表示号数44,14,18,303.0,1972-10-15,100.0,週刊少年サンデー,1972-10-15
週刊少年サンデー 1972年 表示号数45,13,16,296.0,1972-10-22,100.0,週刊少年サンデー,1972-10-22
週刊少年サンデー 1972年 表示号数46,12,15,290.0,1972-10-29,100.0,週刊少年サンデー,1972-10-29
週刊少年サンデー 1972年 表示号数47,12,15,296.0,1972-11-05,100.0,週刊少年サンデー,1972-11-05
週刊少年サンデー 1972年 表示号数48,13,16,298.0,1972-11-12,100.0,週刊少年サンデー,1972-11-12
週刊少年サンデー 1972年 表示号数49,13,16,296.0,1972-11-19,100.0,週刊少年サンデー,1972-11-19
週刊少年サンデー 1972年 表示号数5,12,17,312.0,1972-01-23,100.0,週刊少年サンデー,1972-01-23
週刊少年サンデー 1972年 表示号数50,13,16,305.0,1972-11-26,100.0,週刊少年サンデー,1972-11-26
週刊少年サンデー 1972年 表示号数51,13,16,304.0,1972-12-03,100.0,週刊少年サンデー,1972-12-03
週刊少年サンデー 1972年 表示号数52,14,17,296.0,1972-12-10,100.0,週刊少年サンデー,1972-12-10
週刊少年サンデー 1972年 表示号数53,13,15,298.0,1972-12-17,100.0,週刊少年サンデー,1972-12-17
週刊少年サンデー 1972年 表示号数6,12,17,280.0,1972-01-30,90.0,週刊少年サンデー,1972-01-30
週刊少年サンデー 1972年 表示号数7,12,17,290.0,1972-02-06,90.0,週刊少年サンデー,1972-02-06
週刊少年サンデー 1972年 表示号数8,12,17,283.0,1972-02-13,90.0,週刊少年サンデー,1972-02-13
週刊少年サンデー 1972年 表示号数9,12,17,282.0,1972-02-20,90.0,週刊少年サンデー,1972-02-20
週刊少年サンデー 1973年 表示号数1,13,15,308.0,1973-01-01,100.0,週刊少年サンデー,1973-01-01
週刊少年サンデー 1973年 表示号数10,13,15,296.0,1973-02-25,100.0,週刊少年サンデー,1973-02-25
週刊少年サンデー 1973年 表示号数11,14,17,290.0,1973-03-04,100.0,週刊少年サンデー,1973-03-04
週刊少年サンデー 1973年 表示号数12,13,16,296.0,1973-03-11,100.0,週刊少年サンデー,1973-03-11
週刊少年サンデー 1973年 表示号数13,13,16,298.0,1973-03-18,100.0,週刊少年サンデー,1973-03-18
週刊少年サンデー 1973年 表示号数14,12,16,304.0,1973-03-25,100.0,週刊少年サンデー,1973-03-25
週刊少年サンデー 1973年 表示号数15,13,17,306.0,1973-04-01,100.0,週刊少年サンデー,1973-04-01
週刊少年サンデー 1973年 表示号数16,13,16,306.0,1973-04-08,100.0,週刊少年サンデー,1973-04-08
週刊少年サンデー 1973年 表示号数17,14,18,374.0,1973-04-15,120.0,週刊少年サンデー,1973-04-15
週刊少年サンデー 1973年 表示号数18,14,18,300.0,1973-04-22,100.0,週刊少年サンデー,1973-04-22
週刊少年サンデー 1973年 表示号数19,13,17,306.0,1973-04-29,100.0,週刊少年サンデー,1973-04-29
週刊少年サンデー 1973年 表示号数2,13,15,298.0,1973-01-07,100.0,週刊少年サンデー,1973-01-07
週刊少年サンデー 1973年 表示号数20,13,17,290.0,1973-05-06,100.0,週刊少年サンデー,1973-05-06
週刊少年サンデー 1973年 表示号数21,13,18,290.0,1973-05-13,100.0,週刊少年サンデー,1973-05-13
週刊少年サンデー 1973年 表示号数22,13,17,301.0,1973-05-20,100.0,週刊少年サンデー,1973-05-20
週刊少年サンデー 1973年 表示号数23,13,17,290.0,1973-05-27,100.0,週刊少年サンデー,1973-05-27
週刊少年サンデー 1973年 表示号数24,13,17,290.0,1973-06-03,100.0,週刊少年サンデー,1973-06-03
週刊少年サンデー 1973年 表示号数25,13,17,303.0,1973-06-10,100.0,週刊少年サンデー,1973-06-10
週刊少年サンデー 1973年 表示号数26,13,17,290.0,1973-06-17,100.0,週刊少年サンデー,1973-06-17
週刊少年サンデー 1973年 表示号数27,13,17,292.0,1973-06-24,100.0,週刊少年サンデー,1973-06-24
週刊少年サンデー 1973年 表示号数28,14,19,301.0,1973-07-01,100.0,週刊少年サンデー,1973-07-01
週刊少年サンデー 1973年 表示号数29,13,18,304.0,1973-07-08,100.0,週刊少年サンデー,1973-07-08
週刊少年サンデー 1973年 表示号数3,12,14,359.0,1973-01-14,120.0,週刊少年サンデー,1973-01-14
週刊少年サンデー 1973年 表示号数30,13,17,301.0,1973-07-15,100.0,週刊少年サンデー,1973-07-15
週刊少年サンデー 1973年 表示号数31,13,18,301.0,1973-07-22,100.0,週刊少年サンデー,1973-07-22
週刊少年サンデー 1973年 表示号数32,13,18,288.0,1973-07-29,100.0,週刊少年サンデー,1973-07-29
週刊少年サンデー 1973年 表示号数33,12,16,289.0,1973-08-05,100.0,週刊少年サンデー,1973-08-05
週刊少年サンデー 1973年 表示号数34,13,16,295.0,1973-08-12,100.0,週刊少年サンデー,1973-08-12
週刊少年サンデー 1973年 表示号数35,12,15,344.0,1973-08-19,120.0,週刊少年サンデー,1973-08-19
週刊少年サンデー 1973年 表示号数36,12,15,294.0,1973-08-26,100.0,週刊少年サンデー,1973-08-26
週刊少年サンデー 1973年 表示号数37,13,16,296.0,1973-09-02,100.0,週刊少年サンデー,1973-09-02
週刊少年サンデー 1973年 表示号数38,14,16,345.0,1973-09-09,120.0,週刊少年サンデー,1973-09-09
週刊少年サンデー 1973年 表示号数39,13,14,297.0,1973-09-16,100.0,週刊少年サンデー,1973-09-16
週刊少年サンデー 1973年 表示号数40,13,15,296.0,1973-09-23,100.0,週刊少年サンデー,1973-09-23
週刊少年サンデー 1973年 表示号数41,13,14,297.0,1973-09-30,100.0,週刊少年サンデー,1973-09-30
週刊少年サンデー 1973年 表示号数42,13,14,297.0,1973-10-07,100.0,週刊少年サンデー,1973-10-07
週刊少年サンデー 1973年 表示号数43,14,16,294.0,1973-10-14,100.0,週刊少年サンデー,1973-10-14
週刊少年サンデー 1973年 表示号数44,13,16,330.0,1973-10-21,120.0,週刊少年サンデー,1973-10-21
週刊少年サンデー 1973年 表示号数45,14,16,294.0,1973-10-28,100.0,週刊少年サンデー,1973-10-28
週刊少年サンデー 1973年 表示号数46,14,16,292.0,1973-11-04,100.0,週刊少年サンデー,1973-11-04
