pfid,pfname
PF00000,3DO
PF00001,64DD
PF00002,ClassicMacOS
PF00003,MSX
PF00004,MSX2
PF00005,MicrosoftWindows
PF00006,NINTENDO64
PF00007,NintendoSwitch
PF00008,PC-8801
PF00009,PC-9801
PF00010,PC-FX
PF00011,PCエンジン
PF00012,SC-3000
PF00013,SEGAマーク3
PF00014,SG-1000
PF00015,Wii
PF00016,WiiU
PF00017,X1
PF00018,X68000
PF00019,Xbox
PF00020,Xbox360
PF00021,XboxOne
PF00022,macOS
PF00023,ゲームアーカイブス
PF00024,ゲームギア
PF00025,ゲームボーイ
PF00026,ゲームボーイアドバンス
PF00027,スーパーファミコン
PF00028,セガサターン
PF00029,セガ・マスターシステム
PF00030,ドリームキャスト
PF00031,ニンテンドー3DS
PF00032,ニンテンドーDS
PF00033,ニンテンドーゲームキューブ
PF00034,ネオジオ
PF00035,ネオジオCD
PF00036,ネオジオポケット
PF00037,バーチャルボーイ
PF00038,ファミリーコンピュータ
PF00039,プレイステーション
PF00040,プレイステーション2
PF00041,プレイステーション3
PF00042,プレイステーション4
PF00043,プレイステーションVita
PF00044,プレイステーション・ポータブル
PF00045,メガドライブ
PF00046,ワンダースワン
