pkgid,pkgname,publisher,date,price
M735723,精彩グラフィック・マージャン カセット・サービス,株式会社コムパック,1982-04-25,3500.0
M735295,MP-82用ハード・コピールーチン,株式会社コムパック,1982-05-25,3500.0
M735396,グラフィック・カーソル,株式会社コムパック,1982-06-25,3500.0
M735265,ALL CAST STAR TREK,株式会社コムパック,1982-07-25,3500.0
M735791,夜空のシンフォニー「星系編」（夏の星座）,㈱マイクロ・テクノロジー研究所,1982-08-01,6500.0
M735792,夜空のシンフォニー「星系編」（秋の星座）,㈱マイクロ・テクノロジー研究所,1982-08-01,6500.0
M735559,マイコン独歩 BASIC入門編5巻,㈱マイクロ・テクノロジー研究所,1982-08-01,16500.0
M735558,マイコン独歩 BASIC高級編5巻,㈱マイクロ・テクノロジー研究所,1982-08-01,16500.0
M735557,マイコン独歩 BASIC基礎編5巻,㈱マイクロ・テクノロジー研究所,1982-08-01,16500.0
M735556,マイコン独歩 BASIC応用編5巻,㈱マイクロ・テクノロジー研究所,1982-08-01,16500.0
M735790,夜空のシンフォニー「銀河編」,㈱マイクロ・テクノロジー研究所,1982-09-01,6500.0
M735793,夜空のシンフォニー「惑星編」,㈱マイクロ・テクノロジー研究所,1982-10-01,6500.0
M727874,ドンキーコングJr.,任天堂株式会社,1983-07-15,4500.0
M727875,ドンキーコング,任天堂株式会社,1983-07-15,4500.0
M735415,ゴルゴ13 モレッティー 一族惨殺事件,株式会社ポニー・キャニオン販売,1983-08-05,2800.0
M735720,人生ゲームハイ＆ロー,㈱タカラ,1983-08-20,3000.0
M735700,原田知世の時をかける少女,㈱タカラ,1983-08-20,3800.0
M727873,麻雀,任天堂株式会社,1983-08-27,2500.0
M727872,五目ならべ 連珠,任天堂株式会社,1983-08-27,4500.0
M727871,マリオブラザーズ,任天堂株式会社,1983-09-09,4500.0
M735246,機動戦士ガンダム PART-1 ガンダム大地に立つ,ラポート株式会社,1983-09-20,3900.0
M727870,ベースボール,任天堂株式会社,1983-12-07,4500.0
M727869,ドンキーコングJr.の算数遊び,任天堂株式会社,1983-12-12,4500.0
M727854,テニス,任天堂株式会社,1984-01-14,4500.0
M727853,ダックハント,任天堂,1984-04-21,4500.0
M736153,エー・イー,株式会社小西六エニックス,1984-04-28,6800.0
M736339,バグ・アタック,株式会社小西六エニックス,1984-04-28,6800.0
M736410,マイナー2049,株式会社小西六エニックス,1984-04-28,6800.0
M736532,深度40,株式会社小西六エニックス,1984-04-28,6000.0
M727852,ゴルフ,任天堂株式会社,1984-05-01,4500.0
M736208,コスモ・ミューター 5FD版,株式会社ティーアンドイーソフト,1984-05-23,6800.0
M735402,コスモ・ミューター テープ版,株式会社ティーアンドイーソフト,1984-05-23,4000.0
M734154,スターアーサー伝説2  暗黒星雲,株式会社ティーアンドイーソフト,1984-06-15,6800.0
M727851,ロードランナー,ハドソン,1984-07-31,4500.0
M735597,ヴォルガード,デービーソフト株式会社,1984-08-10,4500.0
M735375,カラクリ忍法,株式会社小西六エニックス,1984-08-30,3600.0
M727850,ギャラクシアン,ナムコ,1984-09-07,4500.0
M736563,超人ロック 魔女のミレニアム,株式会社ポニー・キャニオン販売,1984-10-05,5800.0
M727849,デビルワールド,任天堂株式会社,1984-10-05,4500.0
M735416,ゴルゴ13 狼の巣 カセットテープ版,株式会社ポニー・キャニオン販売,1984-10-05,3500.0
M736224,ゴルゴ13 狼の巣,株式会社ポニー・キャニオン販売,1984-10-05,4800.0
M735307,SPACE DIAMOND カセットテープ版,ボーステック株式会社,1984-10-18,3800.0
M736050,SPACE DIAMOND フロッピーディスク版,ボーステック株式会社,1984-10-18,5800.0
M727855,F1レース,任天堂株式会社,1984-11-02,4500.0
M727847,XEVIOUS,ナムコ,1984-11-08,4900.0
M727845,エキサイトバイク,任天堂株式会社,1984-11-30,5500.0
M727844,チャンピオン ボクシング,セガ・エンタープライゼス,1984-12-01,4300.0
M735462,セーバーパート2,株式会社ポニー・キャニオン販売,1984-12-05,3500.0
M736033,PEEPING SCANDAL,ボーステック株式会社,1984-12-15,6500.0
M727842,ドラゴンスレイヤー X1版 ディスク版,日本ファルコム,1984-12-20,7200.0
M736272,スパルタンX フロッピーディスク版,株式会社ポニー・キャニオン販売,1984-12-21,4800.0
M735926,北海道連鎖殺人 オホーツクに消ゆ,株式会社アスキー,1984-12-21,6800.0
M735452,スパルタンX カセットテープ版,株式会社ポニー・キャニオン販売,1984-12-21,3500.0
M727810,バルーンファイト,任天堂株式会社,1985-01-22,4500.0
M727809,バンゲリングベイ,ハドソン,1985-02-22,4900.0
M735913,新竹取物語,ビクター音楽産業株式会社; 日本エイ・ブイ・シー株式会社,1985-03-21,9800.0
