pkgid,pfid
M718871,PF00026
M718876,PF00028
M718877,PF00028
M718878,PF00028
M718879,PF00000
M718880,PF00000
M718881,PF00000
M718882,PF00000
M718883,PF00000
M718884,PF00000
M718885,PF00000
M718886,PF00000
M718887,PF00000
M718888,PF00000
M718889,PF00000
M718890,PF00000
M718891,PF00000
M718892,PF00000
M718893,PF00000
M718894,PF00000
M718895,PF00000
M718896,PF00000
M718897,PF00000
M718898,PF00000
M718899,PF00000
M718900,PF00000
M718901,PF00000
M718902,PF00000
M718903,PF00000
M718904,PF00000
M718905,PF00000
M718906,PF00000
M718907,PF00000
M718908,PF00000
M718909,PF00000
M718910,PF00000
M718911,PF00000
M718912,PF00000
M718913,PF00000
M718914,PF00000
M718915,PF00000
M718916,PF00000
M718917,PF00000
M718918,PF00000
M718922,PF00005
M718923,PF00005
M718924,PF00005
M718925,PF00005
M718926,PF00005
M718927,PF00005
M718928,PF00005
M718929,PF00005
M718931,PF00005
M718950,PF00005
M719004,PF00005
M719005,PF00005
M719006,PF00005
M719007,PF00028
M719008,PF00028
M719009,PF00028
M719012,PF00028
M719013,PF00028
M719021,PF00028
M719024,PF00028
M719027,PF00028
M719028,PF00028
M719029,PF00028
M719030,PF00028
M719031,PF00028
M719032,PF00028
M719033,PF00028
M719036,PF00005
M719037,PF00005
M719041,PF00011
M719042,PF00028
M719043,PF00028
M719045,PF00030
M719046,PF00030
M719047,PF00030
M719048,PF00030
M719049,PF00030
M719050,PF00030
M719051,PF00030
M719052,PF00030
M719053,PF00030
M719054,PF00030
M719055,PF00030
M719056,PF00030
M719057,PF00030
M719058,PF00030
M719059,PF00030
M719060,PF00030
M719061,PF00030
M719062,PF00030
M719063,PF00030
M719065,PF00030
M719066,PF00030
M719067,PF00030
M719068,PF00030
M719069,PF00030
M719070,PF00030
M719071,PF00030
M719072,PF00030
M719073,PF00030
M719074,PF00030
M719075,PF00030
M719076,PF00030
M719077,PF00030
M719078,PF00030
M719079,PF00030
M719080,PF00030
M719081,PF00030
M719082,PF00030
M719083,PF00030
M719084,PF00030
M719085,PF00030
M719086,PF00030
