プラットフォーム名,発売年,初発売日,合計パッケージ数
メガドライブ,1988,1988-10-29,4
メガドライブ,1989,1988-10-29,21
メガドライブ,1990,1988-10-29,52
メガドライブ,1991,1988-10-29,67
メガドライブ,1992,1988-10-29,76
メガドライブ,1993,1988-10-29,92
メガドライブ,1994,1988-10-29,76
メガドライブ,1995,1988-10-29,29
メガドライブ,1996,1988-10-29,2
メガドライブ,1997,1988-10-29,0
メガドライブ,1998,1988-10-29,0
メガドライブ,1999,1988-10-29,0
メガドライブ,2000,1988-10-29,0
メガドライブ,2001,1988-10-29,0
メガドライブ,2002,1988-10-29,0
メガドライブ,2003,1988-10-29,0
メガドライブ,2004,1988-10-29,0
メガドライブ,2005,1988-10-29,0
メガドライブ,2006,1988-10-29,0
メガドライブ,2007,1988-10-29,0
メガドライブ,2008,1988-10-29,0
メガドライブ,2009,1988-10-29,0
メガドライブ,2010,1988-10-29,0
メガドライブ,2011,1988-10-29,0
メガドライブ,2012,1988-10-29,0
メガドライブ,2013,1988-10-29,0
メガドライブ,2014,1988-10-29,0
メガドライブ,2015,1988-10-29,0
メガドライブ,2016,1988-10-29,0
メガドライブ,2017,1988-10-29,0
メガドライブ,2018,1988-10-29,0
メガドライブ,2019,1988-10-29,0
ゲームボーイ,1988,1989-04-21,0
ゲームボーイ,1989,1989-04-21,17
ゲームボーイ,1990,1989-04-21,88
ゲームボーイ,1991,1989-04-21,69
ゲームボーイ,1992,1989-04-21,76
ゲームボーイ,1993,1989-04-21,49
ゲームボーイ,1994,1989-04-21,65
ゲームボーイ,1995,1989-04-21,45
ゲームボーイ,1996,1989-04-21,34
ゲームボーイ,1997,1989-04-21,60
ゲームボーイ,1998,1989-04-21,79
ゲームボーイ,1999,1989-04-21,130
ゲームボーイ,2000,1989-04-21,134
ゲームボーイ,2001,1989-04-21,80
ゲームボーイ,2002,1989-04-21,10
ゲームボーイ,2003,1989-04-21,1
ゲームボーイ,2004,1989-04-21,0
ゲームボーイ,2005,1989-04-21,0
ゲームボーイ,2006,1989-04-21,0
ゲームボーイ,2007,1989-04-21,0
ゲームボーイ,2008,1989-04-21,0
ゲームボーイ,2009,1989-04-21,0
ゲームボーイ,2010,1989-04-21,0
ゲームボーイ,2011,1989-04-21,0
ゲームボーイ,2012,1989-04-21,0
ゲームボーイ,2013,1989-04-21,0
ゲームボーイ,2014,1989-04-21,0
ゲームボーイ,2015,1989-04-21,0
ゲームボーイ,2016,1989-04-21,0
ゲームボーイ,2017,1989-04-21,0
ゲームボーイ,2018,1989-04-21,0
ゲームボーイ,2019,1989-04-21,0
スーパーファミコン,1988,1990-11-21,0
スーパーファミコン,1989,1990-11-21,0
スーパーファミコン,1990,1990-11-21,8
スーパーファミコン,1991,1990-11-21,43
スーパーファミコン,1992,1990-11-21,143
スーパーファミコン,1993,1990-11-21,212
スーパーファミコン,1994,1990-11-21,271
スーパーファミコン,1995,1990-11-21,268
スーパーファミコン,1996,1990-11-21,130
スーパーファミコン,1997,1990-11-21,24
スーパーファミコン,1998,1990-11-21,18
スーパーファミコン,1999,1990-11-21,15
スーパーファミコン,2000,1990-11-21,5
スーパーファミコン,2001,1990-11-21,0
スーパーファミコン,2002,1990-11-21,0
スーパーファミコン,2003,1990-11-21,0
スーパーファミコン,2004,1990-11-21,0
スーパーファミコン,2005,1990-11-21,0
スーパーファミコン,2006,1990-11-21,0
スーパーファミコン,2007,1990-11-21,0
スーパーファミコン,2008,1990-11-21,0
スーパーファミコン,2009,1990-11-21,0
スーパーファミコン,2010,1990-11-21,0
スーパーファミコン,2011,1990-11-21,0
スーパーファミコン,2012,1990-11-21,0
スーパーファミコン,2013,1990-11-21,0
スーパーファミコン,2014,1990-11-21,0
スーパーファミコン,2015,1990-11-21,0
スーパーファミコン,2016,1990-11-21,0
スーパーファミコン,2017,1990-11-21,0
スーパーファミコン,2018,1990-11-21,0
スーパーファミコン,2019,1990-11-21,0
セガサターン,1988,1994-11-22,0
セガサターン,1989,1994-11-22,0
セガサターン,1990,1994-11-22,0
セガサターン,1991,1994-11-22,0
セガサターン,1992,1994-11-22,0
セガサターン,1993,1994-11-22,0
セガサターン,1994,1994-11-22,8
セガサターン,1995,1994-11-22,119
セガサターン,1996,1994-11-22,235
セガサターン,1997,1994-11-22,277
セガサターン,1998,1994-11-22,208
セガサターン,1999,1994-11-22,23
セガサターン,2000,1994-11-22,4
セガサターン,2001,1994-11-22,0
セガサターン,2002,1994-11-22,0
セガサターン,2003,1994-11-22,0
セガサターン,2004,1994-11-22,0
セガサターン,2005,1994-11-22,0
セガサターン,2006,1994-11-22,0
セガサターン,2007,1994-11-22,0
セガサターン,2008,1994-11-22,0
セガサターン,2009,1994-11-22,0
セガサターン,2010,1994-11-22,0
セガサターン,2011,1994-11-22,0
セガサターン,2012,1994-11-22,0
セガサターン,2013,1994-11-22,0
セガサターン,2014,1994-11-22,0
セガサターン,2015,1994-11-22,0
セガサターン,2016,1994-11-22,0
セガサターン,2017,1994-11-22,0
セガサターン,2018,1994-11-22,0
セガサターン,2019,1994-11-22,0
プレイステーション,1988,1994-12-03,0
プレイステーション,1989,1994-12-03,0
プレイステーション,1990,1994-12-03,0
プレイステーション,1991,1994-12-03,0
プレイステーション,1992,1994-12-03,0
プレイステーション,1993,1994-12-03,0
プレイステーション,1994,1994-12-03,14
プレイステーション,1995,1994-12-03,119
プレイステーション,1996,1994-12-03,368
プレイステーション,1997,1994-12-03,434
プレイステーション,1998,1994-12-03,584
プレイステーション,1999,1994-12-03,714
プレイステーション,2000,1994-12-03,668
プレイステーション,2001,1994-12-03,428
プレイステーション,2002,1994-12-03,310
プレイステーション,2003,1994-12-03,96
プレイステーション,2004,1994-12-03,13
プレイステーション,2005,1994-12-03,0
プレイステーション,2006,1994-12-03,1
プレイステーション,2007,1994-12-03,0
プレイステーション,2008,1994-12-03,0
プレイステーション,2009,1994-12-03,0
プレイステーション,2010,1994-12-03,1
プレイステーション,2011,1994-12-03,0
プレイステーション,2012,1994-12-03,0
プレイステーション,2013,1994-12-03,0
プレイステーション,2014,1994-12-03,0
プレイステーション,2015,1994-12-03,0
プレイステーション,2016,1994-12-03,0
プレイステーション,2017,1994-12-03,0
プレイステーション,2018,1994-12-03,0
プレイステーション,2019,1994-12-03,0
MicrosoftWindows,1988,1995-07-15,0
MicrosoftWindows,1989,1995-07-15,0
MicrosoftWindows,1990,1995-07-15,0
MicrosoftWindows,1991,1995-07-15,0
MicrosoftWindows,1992,1995-07-15,0
MicrosoftWindows,1993,1995-07-15,0
MicrosoftWindows,1994,1995-07-15,0
MicrosoftWindows,1995,1995-07-15,1
MicrosoftWindows,1996,1995-07-15,1
MicrosoftWindows,1997,1995-07-15,12
MicrosoftWindows,1998,1995-07-15,14
MicrosoftWindows,1999,1995-07-15,22
MicrosoftWindows,2000,1995-07-15,41
MicrosoftWindows,2001,1995-07-15,40
MicrosoftWindows,2002,1995-07-15,51
MicrosoftWindows,2003,1995-07-15,83
MicrosoftWindows,2004,1995-07-15,61
MicrosoftWindows,2005,1995-07-15,57
MicrosoftWindows,2006,1995-07-15,27
MicrosoftWindows,2007,1995-07-15,28
MicrosoftWindows,2008,1995-07-15,36
MicrosoftWindows,2009,1995-07-15,18
MicrosoftWindows,2010,1995-07-15,18
MicrosoftWindows,2011,1995-07-15,9
MicrosoftWindows,2012,1995-07-15,14
MicrosoftWindows,2013,1995-07-15,18
MicrosoftWindows,2014,1995-07-15,12
MicrosoftWindows,2015,1995-07-15,11
MicrosoftWindows,2016,1995-07-15,2
MicrosoftWindows,2017,1995-07-15,6
MicrosoftWindows,2018,1995-07-15,0
MicrosoftWindows,2019,1995-07-15,0
ドリームキャスト,1988,1998-11-27,0
ドリームキャスト,1989,1998-11-27,0
ドリームキャスト,1990,1998-11-27,0
ドリームキャスト,1991,1998-11-27,0
ドリームキャスト,1992,1998-11-27,0
ドリームキャスト,1993,1998-11-27,0
ドリームキャスト,1994,1998-11-27,0
ドリームキャスト,1995,1998-11-27,0
ドリームキャスト,1996,1998-11-27,0
ドリームキャスト,1997,1998-11-27,0
ドリームキャスト,1998,1998-11-27,9
ドリームキャスト,1999,1998-11-27,115
ドリームキャスト,2000,1998-11-27,174
ドリームキャスト,2001,1998-11-27,124
ドリームキャスト,2002,1998-11-27,74
ドリームキャスト,2003,1998-11-27,55
ドリームキャスト,2004,1998-11-27,25
ドリームキャスト,2005,1998-11-27,2
ドリームキャスト,2006,1998-11-27,2
ドリームキャスト,2007,1998-11-27,1
ドリームキャスト,2008,1998-11-27,0
ドリームキャスト,2009,1998-11-27,0
ドリームキャスト,2010,1998-11-27,0
ドリームキャスト,2011,1998-11-27,0
ドリームキャスト,2012,1998-11-27,0
ドリームキャスト,2013,1998-11-27,0
ドリームキャスト,2014,1998-11-27,0
ドリームキャスト,2015,1998-11-27,0
ドリームキャスト,2016,1998-11-27,0
ドリームキャスト,2017,1998-11-27,0
ドリームキャスト,2018,1998-11-27,0
ドリームキャスト,2019,1998-11-27,0
プレイステーション2,1988,2000-01-31,0
プレイステーション2,1989,2000-01-31,0
プレイステーション2,1990,2000-01-31,0
プレイステーション2,1991,2000-01-31,0
プレイステーション2,1992,2000-01-31,0
プレイステーション2,1993,2000-01-31,0
プレイステーション2,1994,2000-01-31,0
プレイステーション2,1995,2000-01-31,0
プレイステーション2,1996,2000-01-31,0
プレイステーション2,1997,2000-01-31,0
プレイステーション2,1998,2000-01-31,0
プレイステーション2,1999,2000-01-31,0
プレイステーション2,2000,2000-01-31,117
プレイステーション2,2001,2000-01-31,241
プレイステーション2,2002,2000-01-31,423
プレイステーション2,2003,2000-01-31,547
プレイステーション2,2004,2000-01-31,634
プレイステーション2,2005,2000-01-31,667
プレイステーション2,2006,2000-01-31,557
プレイステーション2,2007,2000-01-31,425
プレイステーション2,2008,2000-01-31,312
プレイステーション2,2009,2000-01-31,182
プレイステーション2,2010,2000-01-31,92
プレイステーション2,2011,2000-01-31,18
プレイステーション2,2012,2000-01-31,0
プレイステーション2,2013,2000-01-31,1
プレイステーション2,2014,2000-01-31,0
プレイステーション2,2015,2000-01-31,0
プレイステーション2,2016,2000-01-31,0
プレイステーション2,2017,2000-01-31,0
プレイステーション2,2018,2000-01-31,0
プレイステーション2,2019,2000-01-31,0
ゲームボーイアドバンス,1988,2001-03-21,0
ゲームボーイアドバンス,1989,2001-03-21,0
ゲームボーイアドバンス,1990,2001-03-21,0
ゲームボーイアドバンス,1991,2001-03-21,0
ゲームボーイアドバンス,1992,2001-03-21,0
ゲームボーイアドバンス,1993,2001-03-21,0
ゲームボーイアドバンス,1994,2001-03-21,0
ゲームボーイアドバンス,1995,2001-03-21,0
ゲームボーイアドバンス,1996,2001-03-21,0
ゲームボーイアドバンス,1997,2001-03-21,0
ゲームボーイアドバンス,1998,2001-03-21,0
ゲームボーイアドバンス,1999,2001-03-21,0
ゲームボーイアドバンス,2000,2001-03-21,0
ゲームボーイアドバンス,2001,2001-03-21,94
ゲームボーイアドバンス,2002,2001-03-21,162
ゲームボーイアドバンス,2003,2001-03-21,131
ゲームボーイアドバンス,2004,2001-03-21,170
ゲームボーイアドバンス,2005,2001-03-21,83
ゲームボーイアドバンス,2006,2001-03-21,46
ゲームボーイアドバンス,2007,2001-03-21,0
ゲームボーイアドバンス,2008,2001-03-21,0
ゲームボーイアドバンス,2009,2001-03-21,0
ゲームボーイアドバンス,2010,2001-03-21,0
ゲームボーイアドバンス,2011,2001-03-21,0
ゲームボーイアドバンス,2012,2001-03-21,0
ゲームボーイアドバンス,2013,2001-03-21,0
ゲームボーイアドバンス,2014,2001-03-21,0
ゲームボーイアドバンス,2015,2001-03-21,0
ゲームボーイアドバンス,2016,2001-03-21,0
ゲームボーイアドバンス,2017,2001-03-21,0
ゲームボーイアドバンス,2018,2001-03-21,0
ゲームボーイアドバンス,2019,2001-03-21,0
ニンテンドーDS,1988,2004-12-02,0
ニンテンドーDS,1989,2004-12-02,0
ニンテンドーDS,1990,2004-12-02,0
ニンテンドーDS,1991,2004-12-02,0
ニンテンドーDS,1992,2004-12-02,0
ニンテンドーDS,1993,2004-12-02,0
ニンテンドーDS,1994,2004-12-02,0
ニンテンドーDS,1995,2004-12-02,0
ニンテンドーDS,1996,2004-12-02,0
ニンテンドーDS,1997,2004-12-02,0
ニンテンドーDS,1998,2004-12-02,0
ニンテンドーDS,1999,2004-12-02,0
ニンテンドーDS,2000,2004-12-02,0
ニンテンドーDS,2001,2004-12-02,0
ニンテンドーDS,2002,2004-12-02,0
ニンテンドーDS,2003,2004-12-02,0
ニンテンドーDS,2004,2004-12-02,10
ニンテンドーDS,2005,2004-12-02,85
ニンテンドーDS,2006,2004-12-02,203
ニンテンドーDS,2007,2004-12-02,377
ニンテンドーDS,2008,2004-12-02,448
ニンテンドーDS,2009,2004-12-02,464
ニンテンドーDS,2010,2004-12-02,377
ニンテンドーDS,2011,2004-12-02,151
ニンテンドーDS,2012,2004-12-02,76
ニンテンドーDS,2013,2004-12-02,15
ニンテンドーDS,2014,2004-12-02,7
ニンテンドーDS,2015,2004-12-02,0
ニンテンドーDS,2016,2004-12-02,0
ニンテンドーDS,2017,2004-12-02,0
ニンテンドーDS,2018,2004-12-02,0
ニンテンドーDS,2019,2004-12-02,0
プレイステーション・ポータブル,1988,2004-12-12,0
プレイステーション・ポータブル,1989,2004-12-12,0
プレイステーション・ポータブル,1990,2004-12-12,0
プレイステーション・ポータブル,1991,2004-12-12,0
プレイステーション・ポータブル,1992,2004-12-12,0
プレイステーション・ポータブル,1993,2004-12-12,0
プレイステーション・ポータブル,1994,2004-12-12,0
プレイステーション・ポータブル,1995,2004-12-12,0
プレイステーション・ポータブル,1996,2004-12-12,0
プレイステーション・ポータブル,1997,2004-12-12,0
プレイステーション・ポータブル,1998,2004-12-12,0
プレイステーション・ポータブル,1999,2004-12-12,0
プレイステーション・ポータブル,2000,2004-12-12,0
プレイステーション・ポータブル,2001,2004-12-12,0
プレイステーション・ポータブル,2002,2004-12-12,0
プレイステーション・ポータブル,2003,2004-12-12,0
プレイステーション・ポータブル,2004,2004-12-12,16
プレイステーション・ポータブル,2005,2004-12-12,103
プレイステーション・ポータブル,2006,2004-12-12,225
プレイステーション・ポータブル,2007,2004-12-12,160
プレイステーション・ポータブル,2008,2004-12-12,155
プレイステーション・ポータブル,2009,2004-12-12,488
プレイステーション・ポータブル,2010,2004-12-12,637
プレイステーション・ポータブル,2011,2004-12-12,505
プレイステーション・ポータブル,2012,2004-12-12,535
プレイステーション・ポータブル,2013,2004-12-12,378
プレイステーション・ポータブル,2014,2004-12-12,176
プレイステーション・ポータブル,2015,2004-12-12,33
プレイステーション・ポータブル,2016,2004-12-12,5
プレイステーション・ポータブル,2017,2004-12-12,0
プレイステーション・ポータブル,2018,2004-12-12,0
プレイステーション・ポータブル,2019,2004-12-12,1
Xbox360,1988,2005-12-10,0
Xbox360,1989,2005-12-10,0
Xbox360,1990,2005-12-10,0
Xbox360,1991,2005-12-10,0
Xbox360,1992,2005-12-10,0
Xbox360,1993,2005-12-10,0
Xbox360,1994,2005-12-10,0
Xbox360,1995,2005-12-10,0
Xbox360,1996,2005-12-10,0
Xbox360,1997,2005-12-10,0
Xbox360,1998,2005-12-10,0
Xbox360,1999,2005-12-10,0
Xbox360,2000,2005-12-10,0
Xbox360,2001,2005-12-10,0
Xbox360,2002,2005-12-10,0
Xbox360,2003,2005-12-10,0
Xbox360,2004,2005-12-10,0
Xbox360,2005,2005-12-10,22
Xbox360,2006,2005-12-10,66
Xbox360,2007,2005-12-10,134
Xbox360,2008,2005-12-10,147
Xbox360,2009,2005-12-10,220
Xbox360,2010,2005-12-10,225
Xbox360,2011,2005-12-10,162
Xbox360,2012,2005-12-10,132
Xbox360,2013,2005-12-10,145
Xbox360,2014,2005-12-10,93
Xbox360,2015,2005-12-10,30
Xbox360,2016,2005-12-10,6
Xbox360,2017,2005-12-10,2
Xbox360,2018,2005-12-10,1
Xbox360,2019,2005-12-10,0
プレイステーション3,1988,2006-11-11,0
プレイステーション3,1989,2006-11-11,0
プレイステーション3,1990,2006-11-11,0
プレイステーション3,1991,2006-11-11,0
プレイステーション3,1992,2006-11-11,0
プレイステーション3,1993,2006-11-11,0
プレイステーション3,1994,2006-11-11,0
プレイステーション3,1995,2006-11-11,0
プレイステーション3,1996,2006-11-11,0
プレイステーション3,1997,2006-11-11,0
プレイステーション3,1998,2006-11-11,0
プレイステーション3,1999,2006-11-11,0
プレイステーション3,2000,2006-11-11,0
プレイステーション3,2001,2006-11-11,0
プレイステーション3,2002,2006-11-11,0
プレイステーション3,2003,2006-11-11,0
プレイステーション3,2004,2006-11-11,0
プレイステーション3,2005,2006-11-11,0
プレイステーション3,2006,2006-11-11,21
プレイステーション3,2007,2006-11-11,79
プレイステーション3,2008,2006-11-11,146
プレイステーション3,2009,2006-11-11,152
プレイステーション3,2010,2006-11-11,214
プレイステーション3,2011,2006-11-11,291
プレイステーション3,2012,2006-11-11,334
プレイステーション3,2013,2006-11-11,473
プレイステーション3,2014,2006-11-11,398
プレイステーション3,2015,2006-11-11,244
プレイステーション3,2016,2006-11-11,116
プレイステーション3,2017,2006-11-11,33
プレイステーション3,2018,2006-11-11,0
プレイステーション3,2019,2006-11-11,0
ゲームアーカイブス,1988,2006-11-22,0
ゲームアーカイブス,1989,2006-11-22,0
ゲームアーカイブス,1990,2006-11-22,0
ゲームアーカイブス,1991,2006-11-22,0
ゲームアーカイブス,1992,2006-11-22,0
ゲームアーカイブス,1993,2006-11-22,0
ゲームアーカイブス,1994,2006-11-22,0
ゲームアーカイブス,1995,2006-11-22,0
ゲームアーカイブス,1996,2006-11-22,0
ゲームアーカイブス,1997,2006-11-22,0
ゲームアーカイブス,1998,2006-11-22,0
ゲームアーカイブス,1999,2006-11-22,0
ゲームアーカイブス,2000,2006-11-22,0
ゲームアーカイブス,2001,2006-11-22,0
ゲームアーカイブス,2002,2006-11-22,0
ゲームアーカイブス,2003,2006-11-22,0
ゲームアーカイブス,2004,2006-11-22,0
ゲームアーカイブス,2005,2006-11-22,0
ゲームアーカイブス,2006,2006-11-22,18
ゲームアーカイブス,2007,2006-11-22,136
ゲームアーカイブス,2008,2006-11-22,111
ゲームアーカイブス,2009,2006-11-22,97
ゲームアーカイブス,2010,2006-11-22,204
ゲームアーカイブス,2011,2006-11-22,123
ゲームアーカイブス,2012,2006-11-22,59
ゲームアーカイブス,2013,2006-11-22,46
ゲームアーカイブス,2014,2006-11-22,58
ゲームアーカイブス,2015,2006-11-22,59
ゲームアーカイブス,2016,2006-11-22,22
ゲームアーカイブス,2017,2006-11-22,17
ゲームアーカイブス,2018,2006-11-22,0
ゲームアーカイブス,2019,2006-11-22,0
Wii,1988,2006-12-02,0
