プラットフォーム名,発売年,初発売日,合計パッケージ数
プレイステーション,1988,1994-12-03,0
プレイステーション,1989,1994-12-03,0
プレイステーション,1990,1994-12-03,0
プレイステーション,1991,1994-12-03,0
プレイステーション,1992,1994-12-03,0
プレイステーション,1993,1994-12-03,0
プレイステーション,1994,1994-12-03,14
プレイステーション,1995,1994-12-03,119
プレイステーション,1996,1994-12-03,368
プレイステーション,1997,1994-12-03,434
プレイステーション,1998,1994-12-03,584
プレイステーション,1999,1994-12-03,714
プレイステーション,2000,1994-12-03,668
プレイステーション,2001,1994-12-03,428
プレイステーション,2002,1994-12-03,310
プレイステーション,2003,1994-12-03,96
プレイステーション,2004,1994-12-03,13
プレイステーション,2005,1994-12-03,0
プレイステーション,2006,1994-12-03,1
プレイステーション,2007,1994-12-03,0
プレイステーション,2008,1994-12-03,0
プレイステーション,2009,1994-12-03,0
プレイステーション,2010,1994-12-03,1
プレイステーション,2011,1994-12-03,0
プレイステーション,2012,1994-12-03,0
プレイステーション,2013,1994-12-03,0
プレイステーション,2014,1994-12-03,0
プレイステーション,2015,1994-12-03,0
プレイステーション,2016,1994-12-03,0
プレイステーション,2017,1994-12-03,0
プレイステーション,2018,1994-12-03,0
プレイステーション,2019,1994-12-03,0
プレイステーション2,1988,2000-01-31,0
プレイステーション2,1989,2000-01-31,0
プレイステーション2,1990,2000-01-31,0
プレイステーション2,1991,2000-01-31,0
プレイステーション2,1992,2000-01-31,0
プレイステーション2,1993,2000-01-31,0
プレイステーション2,1994,2000-01-31,0
プレイステーション2,1995,2000-01-31,0
プレイステーション2,1996,2000-01-31,0
プレイステーション2,1997,2000-01-31,0
プレイステーション2,1998,2000-01-31,0
プレイステーション2,1999,2000-01-31,0
プレイステーション2,2000,2000-01-31,117
プレイステーション2,2001,2000-01-31,241
プレイステーション2,2002,2000-01-31,423
プレイステーション2,2003,2000-01-31,547
プレイステーション2,2004,2000-01-31,634
プレイステーション2,2005,2000-01-31,667
プレイステーション2,2006,2000-01-31,557
プレイステーション2,2007,2000-01-31,425
プレイステーション2,2008,2000-01-31,312
プレイステーション2,2009,2000-01-31,182
プレイステーション2,2010,2000-01-31,92
プレイステーション2,2011,2000-01-31,18
プレイステーション2,2012,2000-01-31,0
プレイステーション2,2013,2000-01-31,1
プレイステーション2,2014,2000-01-31,0
プレイステーション2,2015,2000-01-31,0
プレイステーション2,2016,2000-01-31,0
プレイステーション2,2017,2000-01-31,0
プレイステーション2,2018,2000-01-31,0
プレイステーション2,2019,2000-01-31,0
プレイステーション・ポータブル,1988,2004-12-12,0
プレイステーション・ポータブル,1989,2004-12-12,0
プレイステーション・ポータブル,1990,2004-12-12,0
プレイステーション・ポータブル,1991,2004-12-12,0
プレイステーション・ポータブル,1992,2004-12-12,0
プレイステーション・ポータブル,1993,2004-12-12,0
プレイステーション・ポータブル,1994,2004-12-12,0
プレイステーション・ポータブル,1995,2004-12-12,0
プレイステーション・ポータブル,1996,2004-12-12,0
プレイステーション・ポータブル,1997,2004-12-12,0
プレイステーション・ポータブル,1998,2004-12-12,0
プレイステーション・ポータブル,1999,2004-12-12,0
プレイステーション・ポータブル,2000,2004-12-12,0
プレイステーション・ポータブル,2001,2004-12-12,0
プレイステーション・ポータブル,2002,2004-12-12,0
プレイステーション・ポータブル,2003,2004-12-12,0
プレイステーション・ポータブル,2004,2004-12-12,16
プレイステーション・ポータブル,2005,2004-12-12,103
プレイステーション・ポータブル,2006,2004-12-12,225
プレイステーション・ポータブル,2007,2004-12-12,160
プレイステーション・ポータブル,2008,2004-12-12,155
プレイステーション・ポータブル,2009,2004-12-12,488
プレイステーション・ポータブル,2010,2004-12-12,637
プレイステーション・ポータブル,2011,2004-12-12,505
プレイステーション・ポータブル,2012,2004-12-12,535
プレイステーション・ポータブル,2013,2004-12-12,378
プレイステーション・ポータブル,2014,2004-12-12,176
プレイステーション・ポータブル,2015,2004-12-12,33
プレイステーション・ポータブル,2016,2004-12-12,5
プレイステーション・ポータブル,2017,2004-12-12,0
プレイステーション・ポータブル,2018,2004-12-12,0
プレイステーション・ポータブル,2019,2004-12-12,1
プレイステーション3,1988,2006-11-11,0
プレイステーション3,1989,2006-11-11,0
プレイステーション3,1990,2006-11-11,0
プレイステーション3,1991,2006-11-11,0
プレイステーション3,1992,2006-11-11,0
プレイステーション3,1993,2006-11-11,0
プレイステーション3,1994,2006-11-11,0
プレイステーション3,1995,2006-11-11,0
プレイステーション3,1996,2006-11-11,0
プレイステーション3,1997,2006-11-11,0
プレイステーション3,1998,2006-11-11,0
プレイステーション3,1999,2006-11-11,0
プレイステーション3,2000,2006-11-11,0
プレイステーション3,2001,2006-11-11,0
プレイステーション3,2002,2006-11-11,0
プレイステーション3,2003,2006-11-11,0
プレイステーション3,2004,2006-11-11,0
プレイステーション3,2005,2006-11-11,0
プレイステーション3,2006,2006-11-11,21
プレイステーション3,2007,2006-11-11,79
プレイステーション3,2008,2006-11-11,146
プレイステーション3,2009,2006-11-11,152
プレイステーション3,2010,2006-11-11,214
プレイステーション3,2011,2006-11-11,291
プレイステーション3,2012,2006-11-11,334
プレイステーション3,2013,2006-11-11,473
プレイステーション3,2014,2006-11-11,398
プレイステーション3,2015,2006-11-11,244
プレイステーション3,2016,2006-11-11,116
プレイステーション3,2017,2006-11-11,33
プレイステーション3,2018,2006-11-11,0
プレイステーション3,2019,2006-11-11,0
プレイステーションVita,1988,2011-12-17,0
プレイステーションVita,1989,2011-12-17,0
プレイステーションVita,1990,2011-12-17,0
プレイステーションVita,1991,2011-12-17,0
プレイステーションVita,1992,2011-12-17,0
プレイステーションVita,1993,2011-12-17,0
プレイステーションVita,1994,2011-12-17,0
プレイステーションVita,1995,2011-12-17,0
プレイステーションVita,1996,2011-12-17,0
プレイステーションVita,1997,2011-12-17,0
プレイステーションVita,1998,2011-12-17,0
プレイステーションVita,1999,2011-12-17,0
プレイステーションVita,2000,2011-12-17,0
プレイステーションVita,2001,2011-12-17,0
プレイステーションVita,2002,2011-12-17,0
プレイステーションVita,2003,2011-12-17,0
プレイステーションVita,2004,2011-12-17,0
プレイステーションVita,2005,2011-12-17,0
プレイステーションVita,2006,2011-12-17,0
プレイステーションVita,2007,2011-12-17,0
プレイステーションVita,2008,2011-12-17,0
プレイステーションVita,2009,2011-12-17,0
プレイステーションVita,2010,2011-12-17,0
プレイステーションVita,2011,2011-12-17,43
プレイステーションVita,2012,2011-12-17,167
プレイステーションVita,2013,2011-12-17,305
プレイステーションVita,2014,2011-12-17,412
プレイステーションVita,2015,2011-12-17,529
プレイステーションVita,2016,2011-12-17,494
プレイステーションVita,2017,2011-12-17,398
プレイステーションVita,2018,2011-12-17,0
プレイステーションVita,2019,2011-12-17,0
プレイステーション4,1988,2014-02-22,0
プレイステーション4,1989,2014-02-22,0
プレイステーション4,1990,2014-02-22,0
プレイステーション4,1991,2014-02-22,0
プレイステーション4,1992,2014-02-22,0
プレイステーション4,1993,2014-02-22,0
プレイステーション4,1994,2014-02-22,0
プレイステーション4,1995,2014-02-22,0
プレイステーション4,1996,2014-02-22,0
プレイステーション4,1997,2014-02-22,0
プレイステーション4,1998,2014-02-22,0
プレイステーション4,1999,2014-02-22,0
プレイステーション4,2000,2014-02-22,0
プレイステーション4,2001,2014-02-22,0
プレイステーション4,2002,2014-02-22,0
プレイステーション4,2003,2014-02-22,0
プレイステーション4,2004,2014-02-22,0
プレイステーション4,2005,2014-02-22,0
プレイステーション4,2006,2014-02-22,0
プレイステーション4,2007,2014-02-22,0
プレイステーション4,2008,2014-02-22,0
プレイステーション4,2009,2014-02-22,0
プレイステーション4,2010,2014-02-22,0
プレイステーション4,2011,2014-02-22,0
プレイステーション4,2012,2014-02-22,0
プレイステーション4,2013,2014-02-22,0
プレイステーション4,2014,2014-02-22,208
