プラットフォーム名,年代,合計パッケージ数
プレイステーション2,1990,0
プレイステーション2,2000,4105
プレイステーション2,2010,111
プレイステーション,1990,2233
プレイステーション,2000,1516
プレイステーション,2010,1
プレイステーション・ポータブル,1990,0
プレイステーション・ポータブル,2000,1147
プレイステーション・ポータブル,2010,2270
プレイステーション3,1990,0
プレイステーション3,2000,398
プレイステーション3,2010,2103
プレイステーションVita,1990,0
プレイステーションVita,2000,0
プレイステーションVita,2010,2348
ニンテンドー3DS,1990,0
ニンテンドー3DS,2000,0
ニンテンドー3DS,2010,2263
ニンテンドーDS,1990,0
ニンテンドーDS,2000,1587
ニンテンドーDS,2010,626
プレイステーション4,1990,0
プレイステーション4,2000,0
プレイステーション4,2010,1874
Xbox360,1990,0
Xbox360,2000,589
Xbox360,2010,796
Wii,1990,0
Wii,2000,1041
Wii,2010,315
