プラットフォーム名,パッケージ名,ゲームパッケージの価格,年代
ファミリーコンピュータ,SDガンダムワールド ガチャポン戦士2 カプセル戦記,6800.0,1985
ファミリーコンピュータ,ラサール石井のチャイルズクエスト,5500.0,1985
SC-3000,倉庫番,4300.0,1985
ファミリーコンピュータ,未来戦史ライオス,6300.0,1985
ファミリーコンピュータ,じゃじゃ丸 忍法帳,5800.0,1985
ファミリーコンピュータ,ファミリーテニス,3900.0,1985
PC-8801,リトル・コンピュータ・ピープル,6800.0,1985
ファミリーコンピュータ,独眼竜政宗,5500.0,1985
ファミリーコンピュータ,名探偵ホームズ Mからの挑戦状,6000.0,1985
メガドライブ,GOLDEN AXE,6000.0,1985
ファミリーコンピュータ,DRAGON BALL 神龍の謎,4500.0,1985
ファミリーコンピュータ,ブロック,4800.0,1985
ファミリーコンピュータ,熱血高校ドッジボール部,5800.0,1985
PCエンジン,エイリアンクラッシュ,5200.0,1985
ファミリーコンピュータ,かぐや姫伝説,5900.0,1985
ファミリーコンピュータ,トップガン,5300.0,1985
ファミリーコンピュータ,ポケットザウルス 十王剣の謎,5500.0,1985
ファミリーコンピュータ,DR.CHAOS 地獄の扉,2900.0,1985
PCエンジン,はにい いんざ すかい,5200.0,1985
ファミリーコンピュータ,殺意の階層 ソフトハウス連続殺人事件,5900.0,1985
ファミリーコンピュータ,CAPTAIN SILVER,5500.0,1985
ファミリーコンピュータ,Quinty,4900.0,1985
ファミリーコンピュータ,DAIVA ナーサティアの玉座,5500.0,1985
PC-8801,カレイド・スコープ Tape,7800.0,1985
ファミリーコンピュータ,早打ちスーパー囲碁,5900.0,1985
ファミリーコンピュータ,ゴルゴ13 第一章神々の黄昏,5700.0,1985
ファミリーコンピュータ,ふぁみこんむかし話 新・鬼ヶ島 前編,2600.0,1985
PCエンジン,プロ野球ワールドスタジアム,4900.0,1985
ファミリーコンピュータ,ファミリートレーナー エアロビスタジオ,5800.0,1985
ファミリーコンピュータ,ゲゲゲの鬼太郎2 妖怪軍団の挑戦,5500.0,1985
ファミリーコンピュータ,ファミコンウォーズ,5500.0,1985
