発売年,weekday,パッケージ数,発売曜日,合計パッケージ数,パッケージ数のシェア
1990,0,1,月,300,0.0033333333333333335
1990,1,17,火,300,0.056666666666666664
1990,2,16,水,300,0.05333333333333334
1990,3,15,木,300,0.05
1990,4,197,金,300,0.6566666666666666
1990,5,47,土,300,0.15666666666666668
1990,6,7,日,300,0.023333333333333334
1991,0,17,月,336,0.050595238095238096
1991,1,16,火,336,0.047619047619047616
1991,2,6,水,336,0.017857142857142856
1991,3,13,木,336,0.03869047619047619
1991,4,248,金,336,0.7380952380952381
1991,5,30,土,336,0.08928571428571429
1991,6,6,日,336,0.017857142857142856
1992,0,4,月,398,0.010050251256281407
1992,1,24,火,398,0.06030150753768844
1992,2,10,水,398,0.02512562814070352
1992,3,18,木,398,0.04522613065326633
1992,4,311,金,398,0.7814070351758794
1992,5,23,土,398,0.05778894472361809
1992,6,8,日,398,0.020100502512562814
1993,0,3,月,427,0.00702576112412178
1993,1,11,火,427,0.02576112412177986
1993,2,23,水,427,0.053864168618266976
1993,3,21,木,427,0.04918032786885246
1993,4,343,金,427,0.8032786885245902
1993,5,19,土,427,0.04449648711943794
1993,6,7,日,427,0.01639344262295082
1994,0,9,月,613,0.01468189233278956
1994,1,13,火,613,0.021207177814029365
1994,2,11,水,613,0.01794453507340946
1994,3,55,木,613,0.08972267536704731
1994,4,460,金,613,0.7504078303425775
1994,5,55,土,613,0.08972267536704731
1994,6,10,日,613,0.01631321370309951
1995,0,6,月,735,0.00816326530612245
1995,1,13,火,735,0.017687074829931974
1995,2,19,水,735,0.02585034013605442
1995,3,22,木,735,0.029931972789115645
1995,4,643,金,735,0.8748299319727891
1995,5,28,土,735,0.0380952380952381
1995,6,4,日,735,0.005442176870748299
1996,0,4,月,841,0.0047562425683709865
1996,1,10,火,841,0.011890606420927468
1996,2,3,水,841,0.0035671819262782403
1996,3,13,木,841,0.015457788347205707
1996,4,776,金,841,0.9227110582639715
1996,5,27,土,841,0.03210463733650416
1996,6,8,日,841,0.009512485136741973
1997,0,4,月,856,0.004672897196261682
1997,1,12,火,856,0.014018691588785047
1997,2,5,水,856,0.005841121495327103
1997,3,353,木,856,0.41238317757009346
1997,4,472,金,856,0.5514018691588785
1997,5,6,土,856,0.007009345794392523
1997,6,4,日,856,0.004672897196261682
1998,0,4,月,985,0.0040609137055837565
1998,1,3,火,985,0.003045685279187817
1998,2,89,水,985,0.09035532994923857
1998,3,746,木,985,0.7573604060913706
1998,4,118,金,985,0.11979695431472082
1998,5,18,土,985,0.018274111675126905
1998,6,7,日,985,0.007106598984771574
1999,0,23,月,1173,0.0196078431372549
1999,1,37,火,1173,0.03154305200341006
1999,2,93,水,1173,0.0792838874680307
1999,3,847,木,1173,0.722080136402387
1999,4,152,金,1173,0.12958226768968456
1999,5,15,土,1173,0.01278772378516624
1999,6,6,日,1173,0.005115089514066497
2000,0,10,月,1259,0.007942811755361398
2000,1,28,火,1259,0.022239872915011914
2000,2,46,水,1259,0.03653693407466243
2000,3,985,木,1259,0.7823669579030977
2000,4,142,金,1259,0.11278792692613185
2000,5,42,土,1259,0.03335980937251787
2000,6,6,日,1259,0.004765687053216839
2001,0,4,月,1070,0.003738317757009346
2001,1,3,火,1070,0.002803738317757009
2001,2,28,水,1070,0.026168224299065422
2001,3,856,木,1070,0.8
2001,4,165,金,1070,0.1542056074766355
2001,5,11,土,1070,0.010280373831775701
2001,6,3,日,1070,0.002803738317757009
2002,0,3,月,1156,0.0025951557093425604
2002,1,15,火,1156,0.012975778546712802
2002,2,34,水,1156,0.029411764705882353
2002,3,903,木,1156,0.7811418685121108
2002,4,182,金,1156,0.157439446366782
2002,5,18,土,1156,0.015570934256055362
2002,6,1,日,1156,0.0008650519031141869
2003,0,3,月,1065,0.0028169014084507044
2003,1,5,火,1065,0.004694835680751174
2003,2,16,水,1065,0.015023474178403756
2003,3,873,木,1065,0.819718309859155
2003,4,158,金,1065,0.14835680751173708
2003,5,9,土,1065,0.008450704225352112
2003,6,1,日,1065,0.0009389671361502347
2004,0,3,月,1037,0.0028929604628736743
2004,1,24,火,1037,0.023143683702989394
2004,2,88,水,1037,0.08486017357762778
2004,3,811,木,1037,0.7820636451301832
2004,4,84,金,1037,0.08100289296046287
2004,5,20,土,1037,0.019286403085824494
2004,6,7,日,1037,0.006750241080038573
2005,0,3,月,1103,0.0027198549410698096
2005,1,7,火,1103,0.006346328195829556
2005,2,55,水,1103,0.04986400725294651
2005,3,961,木,1103,0.8712601994560291
2005,4,54,金,1103,0.04895738893925657
2005,5,23,土,1103,0.02085222121486854
2006,0,5,月,1244,0.0040192926045016075
2006,1,11,火,1244,0.008842443729903537
2006,2,49,水,1244,0.03938906752411576
2006,3,1084,木,1244,0.8713826366559485
2006,4,28,金,1244,0.022508038585209004
2006,5,65,土,1244,0.0522508038585209
2006,6,2,日,1244,0.001607717041800643
2007,0,4,月,1641,0.002437538086532602
2007,1,203,火,1641,0.12370505789152955
2007,2,99,水,1641,0.0603290676416819
2007,3,1294,木,1641,0.7885435709932967
2007,4,30,金,1641,0.018281535648994516
2007,5,2,土,1641,0.001218769043266301
2007,6,9,日,1641,0.005484460694698354
2008,0,8,月,1681,0.004759071980963712
2008,1,180,火,1681,0.10707911957168352
2008,2,219,水,1681,0.13027959547888163
2008,3,1233,木,1681,0.7334919690660321
2008,4,31,金,1681,0.018441403926234383
2008,5,8,土,1681,0.004759071980963712
2008,6,2,日,1681,0.001189767995240928
2009,0,23,月,1968,0.011686991869918699
2009,1,252,火,1968,0.12804878048780488
2009,2,347,水,1968,0.17632113821138212
2009,3,1277,木,1968,0.6488821138211383
2009,4,27,金,1968,0.013719512195121951
2009,5,14,土,1968,0.007113821138211382
2009,6,28,日,1968,0.014227642276422764
2010,0,9,月,1930,0.00466321243523316
2010,1,139,火,1930,0.07202072538860103
2010,2,540,水,1930,0.27979274611398963
2010,3,1193,木,1930,0.6181347150259068
2010,4,33,金,1930,0.01709844559585492
2010,5,15,土,1930,0.007772020725388601
2010,6,1,日,1930,0.0005181347150259067
2011,0,4,月,1575,0.0025396825396825397
2011,1,97,火,1575,0.061587301587301586
2011,2,355,水,1575,0.2253968253968254
2011,3,1042,木,1575,0.6615873015873016
2011,4,10,金,1575,0.006349206349206349
2011,5,67,土,1575,0.04253968253968254
2012,0,16,月,1700,0.009411764705882352
2012,1,81,火,1700,0.04764705882352941
2012,2,273,水,1700,0.16058823529411764
2012,3,1284,木,1700,0.7552941176470588
2012,4,12,金,1700,0.007058823529411765
2012,5,32,土,1700,0.018823529411764704
2012,6,2,日,1700,0.001176470588235294
2013,0,3,月,2033,0.0014756517461878996
2013,1,67,火,2033,0.03295622233152976
2013,2,442,水,2033,0.21741269060501722
2013,3,1466,木,2033,0.721101819970487
2013,4,17,金,2033,0.008362026561731432
2013,5,37,土,2033,0.01819970486965076
2013,6,1,日,2033,0.0004918839153959665
2014,0,5,月,2106,0.0023741690408357074
2014,1,41,火,2106,0.0194681861348528
2014,2,504,水,2106,0.23931623931623933
2014,3,1468,木,2106,0.6970560303893637
2014,4,20,金,2106,0.00949667616334283
2014,5,66,土,2106,0.03133903133903134
2014,6,2,日,2106,0.000949667616334283
2015,0,8,月,1964,0.004073319755600814
2015,1,65,火,1964,0.03309572301425662
2015,2,448,水,1964,0.22810590631364563
2015,3,1343,木,1964,0.6838085539714868
2015,4,80,金,1964,0.04073319755600815
2015,5,15,土,1964,0.007637474541751527
2015,6,5,日,1964,0.0025458248472505093
2016,0,49,月,1852,0.026457883369330453
2016,1,132,火,1852,0.07127429805615551
2016,2,402,水,1852,0.21706263498920086
2016,3,1147,木,1852,0.6193304535637149
2016,4,106,金,1852,0.05723542116630669
2016,5,16,土,1852,0.008639308855291577
2017,0,24,月,2074,0.011571841851494697
2017,1,130,火,2074,0.0626808100289296
2017,2,245,水,2074,0.11812921890067503
2017,3,1453,木,2074,0.7005785920925748
2017,4,206,金,2074,0.09932497589199614
2017,5,15,土,2074,0.007232401157184185
2017,6,1,日,2074,0.00048216007714561236
