発売年代,weekday,パッケージ数,発売曜日,合計パッケージ数,パッケージ数のシェア,text
1990,0,34,月,2074,0.01639344262295082,0.016
1990,1,81,火,2074,0.0390549662487946,0.039
1990,2,66,水,2074,0.03182256509161042,0.032
1990,3,122,木,2074,0.058823529411764705,0.059
1990,4,1559,金,2074,0.7516875602700096,0.75
1990,5,174,土,2074,0.08389585342333655,0.084
1990,6,38,日,2074,0.01832208293153327,0.018
1995,0,41,月,4590,0.008932461873638345,0.0089
1995,1,75,火,4590,0.016339869281045753,0.016
1995,2,209,水,4590,0.04553376906318083,0.046
1995,3,1981,木,4590,0.4315904139433551,0.43
1995,4,2161,金,4590,0.4708061002178649,0.47
1995,5,94,土,4590,0.020479302832244008,0.02
1995,6,29,日,4590,0.006318082788671024,0.0063
2000,0,23,月,5587,0.004116699480937892,0.0041
2000,1,75,火,5587,0.013424020046536603,0.013
2000,2,212,水,5587,0.03794522999821013,0.038
2000,3,4428,木,5587,0.7925541435475211,0.79
2000,4,731,金,5587,0.13083944872024342,0.13
2000,5,100,土,5587,0.017898693395382137,0.018
2000,6,18,日,5587,0.0032217648111687847,0.0032
2005,0,43,月,7637,0.005630483174021213,0.0056
2005,1,653,火,7637,0.08550477936362445,0.086
2005,2,769,水,7637,0.10069398978656541,0.1
2005,3,5849,木,7637,0.7658766531360481,0.77
2005,4,170,金,7637,0.022260049757758284,0.022
2005,5,112,土,7637,0.01466544454628781,0.015
2005,6,41,日,7637,0.005368600235694645,0.0054
2010,0,37,月,9344,0.003959760273972603,0.004
2010,1,425,火,9344,0.04548373287671233,0.045
2010,2,2114,水,9344,0.2262414383561644,0.23
2010,3,6453,木,9344,0.690603595890411,0.69
2010,4,92,金,9344,0.009845890410958904,0.0098
2010,5,217,土,9344,0.023223458904109588,0.023
2010,6,6,日,9344,0.0006421232876712328,0.00064
2015,0,81,月,5900,0.013728813559322034,0.014
2015,1,329,火,5900,0.05576271186440678,0.056
2015,2,1095,水,5900,0.18559322033898304,0.19
2015,3,3948,木,5900,0.6691525423728814,0.67
2015,4,394,金,5900,0.06677966101694915,0.067
2015,5,47,土,5900,0.007966101694915254,0.008
2015,6,6,日,5900,0.001016949152542373,0.001
