パッケージID,発売年代,メーカー名,プラットフォーム名,発売曜日,発売曜日ID,発売年代ID
M719593,1990,セガ,セガサターン,月,0,0
M760877,1990,セガ,セガサターン,月,0,0
M753265,2000,セガ,ドリームキャスト,月,0,1
M719176,2000,セガ,ドリームキャスト,月,0,1
M727306,1990,セガ,メガドライブ,火,1,0
M727282,1990,セガ,メガドライブ,火,1,0
M727221,1990,セガ,メガドライブ,火,1,0
M761779,1990,セガ,ゲームギア,火,1,0
M752002,1990,セガ,メガドライブ,火,1,0
M753997,1990,セガ,ゲームギア,火,1,0
M727079,1990,セガ,メガドライブ,火,1,0
M727016,1990,セガ,ゲームギア,火,1,0
M726980,1990,セガ,メガドライブ,火,1,0
M758980,1990,セガ,メガドライブ,火,1,0
M738961,1990,セガ,メガドライブ,火,1,0
M726867,1990,セガ,メガドライブ,火,1,0
M749605,1990,セガ,メガドライブ,火,1,0
M726852,1990,セガ,メガドライブ,火,1,0
M726731,1990,セガ,メガドライブ,火,1,0
M745005,1990,セガ,メガドライブ,火,1,0
M734167,1990,セガ,メガドライブ,火,1,0
M763523,1990,セガ,メガドライブ,火,1,0
M750622,1990,セガ,メガドライブ,火,1,0
M719649,1990,セガ,セガサターン,火,1,0
M719650,1990,セガ,セガサターン,火,1,0
M719651,1990,セガ,セガサターン,火,1,0
M719652,1990,セガ,セガサターン,火,1,0
M740899,1990,セガ,セガサターン,火,1,0
M734242,1990,セガ,メガドライブ,火,1,0
M719502,1990,セガ,セガサターン,火,1,0
M748526,1990,セガ,セガサターン,火,1,0
M748530,1990,セガ,セガサターン,火,1,0
M764716,1990,セガ,セガサターン,火,1,0
M764717,1990,セガ,セガサターン,火,1,0
M719499,1990,セガ,セガサターン,火,1,0
M719416,1990,セガ,セガサターン,火,1,0
M719417,1990,セガ,セガサターン,火,1,0
M743367,1990,セガ,セガサターン,火,1,0
M755606,1990,セガ,セガサターン,火,1,0
M758416,1990,セガ,セガサターン,火,1,0
M724215,1990,セガ,ドリームキャスト,火,1,0
M754667,2000,セガ,ドリームキャスト,火,1,1
M719206,2000,セガ,ドリームキャスト,火,1,1
M744909,2000,セガ,ドリームキャスト,火,1,1
M719192,2000,セガ,ドリームキャスト,火,1,1
M722314,2000,セガ,ドリームキャスト,火,1,1
M727155,1990,セガ,メガドライブ,水,2,0
M727139,1990,セガ,メガドライブ,水,2,0
M746588,1990,セガ,メガドライブ,水,2,0
M734724,1990,セガ,メガドライブ,水,2,0
M764002,1990,セガ,メガドライブ,水,2,0
M762425,1990,セガ,メガドライブ,水,2,0
M755518,1990,セガ,メガドライブ,水,2,0
M744141,1990,セガ,セガサターン,水,2,0
M747237,1990,セガ,セガサターン,水,2,0
M754065,1990,セガ,セガサターン,水,2,0
M765231,1990,セガ,セガサターン,水,2,0
M719407,1990,セガ,セガサターン,水,2,0
M719408,1990,セガ,セガサターン,水,2,0
M734502,1990,セガ,セガサターン,水,2,0
M737042,1990,セガ,セガサターン,水,2,0
M739202,1990,セガ,セガサターン,水,2,0
M742120,1990,セガ,セガサターン,水,2,0
M747301,1990,セガ,セガサターン,水,2,0
M751847,1990,セガ,セガサターン,水,2,0
M719387,1990,セガ,セガサターン,水,2,0
M719388,1990,セガ,セガサターン,水,2,0
M758627,1990,セガ,セガサターン,水,2,0
M719361,1990,セガ,セガサターン,水,2,0
M719362,1990,セガ,セガサターン,水,2,0
M719363,1990,セガ,セガサターン,水,2,0
M749996,1990,セガ,セガサターン,水,2,0
M751704,1990,セガ,セガサターン,水,2,0
M719339,1990,セガ,ドリームキャスト,水,2,0
M719340,1990,セガ,セガサターン,水,2,0
M719341,1990,セガ,ドリームキャスト,水,2,0
M719342,1990,セガ,ドリームキャスト,水,2,0
M737116,1990,セガ,セガサターン,水,2,0
M758378,1990,セガ,セガサターン,水,2,0
M719298,1990,セガ,ドリームキャスト,水,2,0
M763802,1990,セガ,ドリームキャスト,水,2,0
M724020,1990,セガ,ドリームキャスト,水,2,0
M741455,1990,セガ,ドリームキャスト,水,2,0
M719269,1990,セガ,ドリームキャスト,水,2,0
M719270,1990,セガ,ドリームキャスト,水,2,0
M723750,2000,セガ,ドリームキャスト,水,2,1
M719216,2000,セガ,ドリームキャスト,水,2,1
M738481,2000,セガ,ドリームキャスト,水,2,1
M719213,2000,セガ,ドリームキャスト,水,2,1
M740622,2000,セガ,ドリームキャスト,水,2,1
M746121,2000,セガ,ドリームキャスト,水,2,1
M746122,2000,セガ,ドリームキャスト,水,2,1
M746123,2000,セガ,ドリームキャスト,水,2,1
M737982,2000,セガ,ドリームキャスト,水,2,1
M737984,2000,セガ,ドリームキャスト,水,2,1
M727203,1990,セガ,メガドライブ,木,3,0
M757443,1990,セガ,メガドライブ,木,3,0
M727120,1990,セガ,メガドライブ,木,3,0
M727121,1990,セガ,メガドライブ,木,3,0
M727107,1990,セガ,ゲームギア,木,3,0
M727103,1990,セガ,メガドライブ,木,3,0
M757237,1990,セガ,ゲームギア,木,3,0
M726920,1990,セガ,メガドライブ,木,3,0
M762501,1990,セガ,メガドライブ,木,3,0
M726882,1990,セガ,メガドライブ,木,3,0
M745970,1990,セガ,ゲームギア,木,3,0
M726782,1990,セガ,メガドライブ,木,3,0
M726768,1990,セガ,メガドライブ,木,3,0
M764511,1990,セガ,メガドライブ,木,3,0
M726593,1990,セガ,メガドライブ,木,3,0
M763785,1990,セガ,メガドライブ,木,3,0
M752353,1990,セガ,ゲームギア,木,3,0
M755919,1990,セガ,ゲームギア,木,3,0
M756723,1990,セガ,メガドライブ,木,3,0
M757899,1990,セガ,メガドライブ,木,3,0
M726160,1990,セガ,メガドライブ,木,3,0
M749902,1990,セガ,メガドライブ,木,3,0
M750543,1990,セガ,メガドライブ,木,3,0
M752301,1990,セガ,メガドライブ,木,3,0
M719617,1990,セガ,セガサターン,木,3,0
M725869,1990,セガ,ゲームギア,木,3,0
M719609,1990,セガ,セガサターン,木,3,0
M748525,1990,セガ,セガサターン,木,3,0
M755798,1990,セガ,セガサターン,木,3,0
M765882,1990,セガ,セガサターン,木,3,0
M719481,1990,セガ,セガサターン,木,3,0
M725333,1990,セガ,セガサターン,木,3,0
M749993,1990,セガ,セガサターン,木,3,0
M749994,1990,セガ,セガサターン,木,3,0
M725247,1990,セガ,セガサターン,木,3,0
M719455,1990,セガ,セガサターン,木,3,0
M729509,1990,セガ,セガサターン,木,3,0
M755635,1990,セガ,セガサターン,木,3,0
M755413,1990,セガ,セガサターン,木,3,0
M719452,1990,セガ,セガサターン,木,3,0
M734620,1990,セガ,セガサターン,木,3,0
M744844,1990,セガ,セガサターン,木,3,0
M762407,1990,セガ,セガサターン,木,3,0
M719448,1990,セガ,セガサターン,木,3,0
M719449,1990,セガ,セガサターン,木,3,0
M719450,1990,セガ,セガサターン,木,3,0
M719451,1990,セガ,セガサターン,木,3,0
M747000,1990,セガ,セガサターン,木,3,0
M749728,1990,セガ,セガサターン,木,3,0
M750913,1990,セガ,セガサターン,木,3,0
M758622,1990,セガ,セガサターン,木,3,0
M759666,1990,セガ,セガサターン,木,3,0
M760557,1990,セガ,セガサターン,木,3,0
M763856,1990,セガ,セガサターン,木,3,0
M747269,1990,セガ,セガサターン,木,3,0
M748871,1990,セガ,セガサターン,木,3,0
M748872,1990,セガ,セガサターン,木,3,0
M766356,1990,セガ,セガサターン,木,3,0
M719444,1990,セガ,セガサターン,木,3,0
M719446,1990,セガ,セガサターン,木,3,0
M747872,1990,セガ,セガサターン,木,3,0
M751683,1990,セガ,セガサターン,木,3,0
M751778,1990,セガ,セガサターン,木,3,0
M750951,1990,セガ,セガサターン,木,3,0
M719441,1990,セガ,セガサターン,木,3,0
M719442,1990,セガ,セガサターン,木,3,0
M719443,1990,セガ,セガサターン,木,3,0
M719438,1990,セガ,セガサターン,木,3,0
M719439,1990,セガ,セガサターン,木,3,0
M719440,1990,セガ,セガサターン,木,3,0
M739882,1990,セガ,セガサターン,木,3,0
M757307,1990,セガ,セガサターン,木,3,0
M763801,1990,セガ,セガサターン,木,3,0
M719437,1990,セガ,セガサターン,木,3,0
M751177,1990,セガ,セガサターン,木,3,0
M719432,1990,セガ,セガサターン,木,3,0
M719433,1990,セガ,セガサターン,木,3,0
M719434,1990,セガ,セガサターン,木,3,0
M734639,1990,セガ,セガサターン,木,3,0
M734733,1990,セガ,セガサターン,木,3,0
M734764,1990,セガ,セガサターン,木,3,0
M734792,1990,セガ,セガサターン,木,3,0
M745219,1990,セガ,セガサターン,木,3,0
M752646,1990,セガ,セガサターン,木,3,0
M753212,1990,セガ,セガサターン,木,3,0
M753213,1990,セガ,セガサターン,木,3,0
M755018,1990,セガ,セガサターン,木,3,0
M755895,1990,セガ,セガサターン,木,3,0
M756850,1990,セガ,セガサターン,木,3,0
M760560,1990,セガ,セガサターン,木,3,0
M761729,1990,セガ,セガサターン,木,3,0
M761734,1990,セガ,セガサターン,木,3,0
M763113,1990,セガ,セガサターン,木,3,0
M719428,1990,セガ,セガサターン,木,3,0
M719429,1990,セガ,セガサターン,木,3,0
M719431,1990,セガ,セガサターン,木,3,0
M725079,1990,セガ,セガサターン,木,3,0
M744145,1990,セガ,セガサターン,木,3,0
M747654,1990,セガ,セガサターン,木,3,0
M755719,1990,セガ,セガサターン,木,3,0
M757687,1990,セガ,セガサターン,木,3,0
M758554,1990,セガ,セガサターン,木,3,0
M764498,1990,セガ,セガサターン,木,3,0
M719424,1990,セガ,セガサターン,木,3,0
M719425,1990,セガ,セガサターン,木,3,0
