年代,weekday,パッケージ数,発売曜日
1990,0,34,月
1990,1,81,火
1990,2,66,水
1990,3,122,木
1990,4,1559,金
1990,5,174,土
1990,6,38,日
1995,0,41,月
1995,1,75,火
1995,2,209,水
1995,3,1981,木
1995,4,2161,金
1995,5,94,土
1995,6,29,日
2000,0,23,月
2000,1,75,火
2000,2,212,水
2000,3,4428,木
2000,4,731,金
2000,5,100,土
2000,6,18,日
2005,0,43,月
2005,1,653,火
2005,2,769,水
2005,3,5849,木
2005,4,170,金
2005,5,112,土
2005,6,41,日
2010,0,37,月
2010,1,425,火
2010,2,2114,水
2010,3,6453,木
2010,4,92,金
2010,5,217,土
2010,6,6,日
2015,0,81,月
2015,1,329,火
2015,2,1095,水
2015,3,3948,木
2015,4,394,金
2015,5,47,土
2015,6,6,日
