プラットフォーム名,weekday,パブリッシャー名,パッケージ数,曜日
3DO,0,株式会社ワープ,2,月
3DO,2,株式会社マイクロキャビン,1,水
3DO,2,株式会社マイクロネット,2,水
3DO,2,株式会社リバーヒルソフト,1,水
3DO,3,イマジニア株式会社,1,木
3DO,3,エレクトロニック・アーツ・ビクター株式会社,1,木
3DO,3,ジャレコ,1,木
3DO,3,マイクロキャビン,1,木
3DO,3,株式会社タイトー,1,木
3DO,3,株式会社ワープ,1,木
3DO,3,株式会社光栄,1,木
3DO,4,BMGビクター株式会社,1,金
3DO,4,BMGビクター株式会社 [発売],1,金
3DO,4,The 3DO Company,1,金
3DO,4,アミューズ,1,金
3DO,4,イマジニア株式会社,1,金
3DO,4,イマ・カンパニー,1,金
3DO,4,エレクトロニック・アーツ・ビクター株式会社,6,金
3DO,4,"クリスタルダイナミックスInc.,BMGビクター株式会社",1,金
3DO,4,コナミ,1,金
3DO,4,コピアシステム,1,金
3DO,4,サン電子株式会社,1,金
3DO,4,セタ,1,金
3DO,4,タイトー,1,金
3DO,4,ティーアンドイーソフト,2,金
3DO,4,"ティーアンドイーソフト,松下電器産業株式会社",1,金
3DO,4,テクモ株式会社,1,金
3DO,4,ナツメ株式会社,1,金
3DO,4,ナムコ,1,金
3DO,4,バイス,1,金
3DO,4,バンタンインターナショナル電脳工場,1,金
3DO,4,バンダイ,1,金
3DO,4,バンダイビジュアル株式会社,1,金
3DO,4,"パック・イン・ビデオ,松下電器産業株式会社",1,金
3DO,4,ヒューマン株式会社,1,金
3DO,4,ビクターエンタテインメント株式会社,1,金
3DO,4,フジテレビジョン,1,金
3DO,4,フューチャー・パイレーツ株式会社,2,金
3DO,4,"マイクロキャビン,松下電器産業株式会社",1,金
3DO,4,マルチソフト株式会社,1,金
3DO,4,"ユニバーサル インタラクティブ スタジオ,松下電器産業株式会社",1,金
3DO,4,"リバーヒルソフト,松下電器産業株式会社",1,金
3DO,4,ワープ,1,金
3DO,4,光栄,3,金
3DO,4,加賀テック株式会社,5,金
3DO,4,博報堂 マルチメディアソフト事業室,1,金
3DO,4,"博報堂,松下電器産業株式会社",1,金
3DO,4,徳間書店,1,金
3DO,4,"日本データワークス株式会社,松下電器産業株式会社",1,金
3DO,4,株式会社アスキー,1,金
3DO,4,株式会社カプコン,2,金
3DO,4,株式会社ココナッツジャパンエンターテイメント,1,金
3DO,4,株式会社セタ,1,金
3DO,4,株式会社ティーアンドイーソフト,2,金
3DO,4,株式会社テレビ朝日,1,金
3DO,4,株式会社トミー,1,金
3DO,4,株式会社バンダイ,1,金
3DO,4,株式会社パック・イン・ビデオ,2,金
3DO,4,株式会社フジテレビジョン,1,金
3DO,4,株式会社ポニーキャニオン,1,金
3DO,4,株式会社メディアエンターテイメント,1,金
3DO,4,株式会社ワープ,1,金
3DO,4,株式会社光栄,2,金
3DO,4,株式会社小学館,1,金
3DO,5,"M・A・C ハミングバードソフト,松下電器産業株式会社",1,土
3DO,5,アスキー,1,土
3DO,5,アスク講談社,1,土
3DO,5,エレクトロニック・アーツ・ビクター株式会社,2,土
3DO,5,オフィスクリエイト,1,土
3DO,5,シナジー幾何学,1,土
3DO,5,"シンキングラビット,松下電器産業株式会社",1,土
3DO,5,ティーアンドイーソフト,1,土
3DO,5,バイス,3,土
3DO,5,"パック・イン・ビデオ,松下電器産業株式会社",1,土
3DO,5,ビクターエンタテインメント株式会社,1,土
3DO,5,ポニーキャニオン,1,土
3DO,5,メディアヴィジョン,1,土
3DO,5,三栄書房,2,土
3DO,5,株式会社ティーアンドイーソフト,4,土
3DO,5,株式会社マイクロキャビン,3,土
3DO,5,株式会社マイクロネット,1,土
3DO,6,"ティーアンドイーソフト,松下電器産業株式会社",1,日
3DO,6,フューチャー・パイレーツ株式会社,1,日
3DO,6,"マイクロキャビン,松下電器産業株式会社",1,日
3DO,6,"日本データワークス株式会社,松下電器産業株式会社",1,日
3DO,6,株式会社バンダイ,1,日
3DO,6,株式会社パック・イン・ビデオ,1,日
64DD,1,任天堂株式会社,1,火
64DD,4,任天堂株式会社,1,金
ClassicMacOS,0,SME・インターメディア,1,月
ClassicMacOS,2,ソニー・ミュージックエンタテインメント,2,水
ClassicMacOS,3,SME・インターメディア,1,木
ClassicMacOS,3,ソニー・ミュージックエンタテインメント,1,木
ClassicMacOS,4,SME・インターメディア,4,金
ClassicMacOS,4,"エヌ・アイ・シー株式会社,メディアカイト",1,金
ClassicMacOS,5,ソニー・ミュージックエンタテインメント,2,土
ClassicMacOS,6,SME・インターメディア,1,日
MSX,4,アスキー,1,金
MSX2,2,アスキー,1,水
MSX2,3,マイクロキャビン,1,木
MSX2,5,ウェンディマガジン,1,土
MSX2,6,光栄,1,日
MicrosoftWindows,0,SME・インターメディア,1,月
MicrosoftWindows,0,TWOFIVE,1,月
MicrosoftWindows,0,キッド,1,月
MicrosoftWindows,0,コーエー,1,月
MicrosoftWindows,0,サクセス,1,月
MicrosoftWindows,0,"サクセス,オーツー",2,月
MicrosoftWindows,0,スクウェア・エニックス,1,月
MicrosoftWindows,0,美蕾,1,月
MicrosoftWindows,1,アクアハウス,2,火
MicrosoftWindows,1,コーエー,2,火
MicrosoftWindows,1,コーエーテクモゲームス,5,火
MicrosoftWindows,1,セガ,1,火
MicrosoftWindows,1,マグノリア,1,火
MicrosoftWindows,1,マッグガーデン,1,火
MicrosoftWindows,2,Tennenouji,1,水
MicrosoftWindows,2,うさぎ倶楽部,1,水
MicrosoftWindows,2,"アートムーヴ,アートムーヴ",1,水
MicrosoftWindows,2,インナーブレイン株式会社,1,水
MicrosoftWindows,2,エクスペリエンス,1,水
MicrosoftWindows,2,エフアンドシー株式会社,1,水
MicrosoftWindows,2,エレクトロニック・アーツ株式会社,3,水
MicrosoftWindows,2,エレクトロニック・アーツ株式会社; スクウェア,1,水
MicrosoftWindows,2,エンターブレイン,1,水
MicrosoftWindows,2,"エンターブレイン,デジキューブ",1,水
MicrosoftWindows,2,カプコン,4,水
MicrosoftWindows,2,コーエー,10,水
MicrosoftWindows,2,コーエーテクモゲームス,3,水
MicrosoftWindows,2,スクウェア・エニックス,3,水
MicrosoftWindows,2,セガ・エンタープライゼス,1,水
MicrosoftWindows,2,ソニー・ミュージックエンタテインメント,5,水
MicrosoftWindows,2,ソニー・ミュージックディストリビューション,17,水
MicrosoftWindows,2,テクノブレイン,1,水
MicrosoftWindows,2,ホビボックス株式会社,1,水
MicrosoftWindows,2,ポニーキャニオン,3,水
MicrosoftWindows,2,メディアカイト,1,水
MicrosoftWindows,2,ヴィアール・ワン,1,水
MicrosoftWindows,2,光栄,1,水
MicrosoftWindows,2,日本クリエイト株式会社,1,水
MicrosoftWindows,3,"Airtight Games,スクウェア・エニックス",1,木
MicrosoftWindows,3,"Black Isle Studios,セガ",1,木
MicrosoftWindows,3,"El Dia,RED FLAGSHIP",1,木
MicrosoftWindows,3,"Megafolly Entertainment Inc,メディアカイト",1,木
MicrosoftWindows,3,NECインターチャネル株式会社,2,木
MicrosoftWindows,3,SME・インターメディア,1,木
MicrosoftWindows,3,SME・ビジュアルワークス; ソニー・ミュージックディストリビューション,1,木
MicrosoftWindows,3,Ubisoft株式会社,1,木
MicrosoftWindows,3,あんく,1,木
MicrosoftWindows,3,アイドス・インタラクティブ株式会社,2,木
MicrosoftWindows,3,"アクアシステム,ツクダシナジー株式会社",1,木
MicrosoftWindows,3,"アクアシステム,メディアカイト",1,木
MicrosoftWindows,3,アクアシステム; メディアカイト,1,木
MicrosoftWindows,3,アクティマインド; コナミ,2,木
MicrosoftWindows,3,アリスソフト,1,木
MicrosoftWindows,3,アンバランス,2,木
MicrosoftWindows,3,ウィル,1,木
MicrosoftWindows,3,エフアンドシー株式会社,1,木
MicrosoftWindows,3,エレクトロニクス・アーツ・スクウェア株式会社,5,木
MicrosoftWindows,3,エレクトロニック・アーツ・スクウェア株式会社,3,木
MicrosoftWindows,3,エレクトロニック・アーツ株式会社,26,木
MicrosoftWindows,3,エレクトロニック・アーツ株式会社; スクウェア,8,木
MicrosoftWindows,3,オメガビジョン,1,木
MicrosoftWindows,3,オルセン,1,木
MicrosoftWindows,3,カプコン,12,木
MicrosoftWindows,3,キッド,1,木
MicrosoftWindows,3,"クロムシックス,エレクトロニック・アーツ株式会社",1,木
MicrosoftWindows,3,コナミ株式会社,1,木
MicrosoftWindows,3,コーエー,7,木
MicrosoftWindows,3,コーエーテクモゲームス,6,木
MicrosoftWindows,3,"コーエーテクモゲームス,ソースネクスト株式会社",1,木
MicrosoftWindows,3,サイバーフロント,1,木
MicrosoftWindows,3,システムソフト・アルファー株式会社,2,木
MicrosoftWindows,3,"システムソフト・アルファー株式会社,エレクトロニック・アーツ株式会社",2,木
MicrosoftWindows,3,スクウェア・エニックス,7,木
MicrosoftWindows,3,スタジオ・エゴ,1,木
MicrosoftWindows,3,セガ,4,木
MicrosoftWindows,3,セガゲームス,2,木
MicrosoftWindows,3,ソニー・ミュージックエンタテインメント,3,木
MicrosoftWindows,3,ソフパル,4,木
MicrosoftWindows,3,"ダブ,シンフォレスト",1,木
MicrosoftWindows,3,ディースリー・パブリッシャー,1,木
MicrosoftWindows,3,ニトロプラス,1,木
MicrosoftWindows,3,バンダイナムコゲームス,1,木
MicrosoftWindows,3,フロム・ソフトウェア,1,木
MicrosoftWindows,3,フロントウィング,1,木
MicrosoftWindows,3,フロントウイング,1,木
MicrosoftWindows,3,"ボーステック株式会社,エレクトロニックアーツ・スクウェア株式会社",1,木
MicrosoftWindows,3,メビウス,3,木
MicrosoftWindows,3,ユービーアイソフト,1,木
MicrosoftWindows,3,リジェット株式会社,3,木
MicrosoftWindows,3,"日本クリエイト株式会社,メディアカイト",1,木
MicrosoftWindows,3,日本ファルコム株式会社,5,木
MicrosoftWindows,3,月下氷人,1,木
MicrosoftWindows,3,講談社,2,木
MicrosoftWindows,4,"ACE Team,W-Russell",1,金
MicrosoftWindows,4,AIC,1,金
MicrosoftWindows,4,"BATTLEFRONT.COM,ドライブ",1,金
MicrosoftWindows,4,"BLACK SEA,ライブドア",1,金
MicrosoftWindows,4,"BlueMoon,アスガルド",1,金
MicrosoftWindows,4,D・ファクトリー,2,金
MicrosoftWindows,4,Etoiles,2,金
MicrosoftWindows,4,"FROZENBYTE,W-Russell",1,金
MicrosoftWindows,4,"Fire Grow Games,イーフロンティア",1,金
MicrosoftWindows,4,Holicworks 株式会社,1,金
MicrosoftWindows,4,INTERHEART,1,金
MicrosoftWindows,4,JADE,2,金
MicrosoftWindows,4,JANIS,4,金
MicrosoftWindows,4,"KEY,ビジュアルアーツ",1,金
MicrosoftWindows,4,"Key,ビジュアルアーツ",1,金
MicrosoftWindows,4,Le.Chocolat,1,金
MicrosoftWindows,4,LucasArts Entertainment Company LCC; エレクトロニック・アーツ・スクウェア株式会社,1,金
MicrosoftWindows,4,"MSD-JAPAN,Inc.; SALVA Corporation",2,金
MicrosoftWindows,4,Meta-Doll,1,金
MicrosoftWindows,4,N.I.C.; メディアカイト,1,金
MicrosoftWindows,4,"N.I.C.株式会社,メディアカイト",1,金
MicrosoftWindows,4,N.I.C.株式会社; メディアカイト,1,金
MicrosoftWindows,4,NECインターチャネル株式会社,7,金
MicrosoftWindows,4,Navel,1,金
MicrosoftWindows,4,"NiVAL INTERACTIVE,フロンティアグルーヴ株式会社",1,金
MicrosoftWindows,4,Petit Forest,2,金
MicrosoftWindows,4,SME・インターメディア,4,金
MicrosoftWindows,4,"SPHINX INTERNATIONAL,メディアカイト",1,金
MicrosoftWindows,4,"SPHINX INTERNATIONAL.,メディアカイト",1,金
MicrosoftWindows,4,STACK Software,1,金
MicrosoftWindows,4,Ubisoft株式会社; イーフロンティア,1,金
MicrosoftWindows,4,"VALVE,サイバーフロント",1,金
MicrosoftWindows,4,"VividColor,オデッサプロジェクト",1,金
MicrosoftWindows,4,VividColor; オデッサプロジェクト,1,金
