プラットフォーム名,weekday,パブリッシャー名,パッケージ数,曜日,メーカー名
NINTENDO64,0,任天堂株式会社,2,月,任天堂
NINTENDO64,1,任天堂株式会社,2,火,任天堂
NINTENDO64,1,株式会社メディアファクトリー,1,火,任天堂
NINTENDO64,2,コナミ株式会社,2,水,任天堂
NINTENDO64,2,任天堂株式会社,4,水,任天堂
NINTENDO64,2,東京エレクトロンデバイス株式会社,1,水,任天堂
NINTENDO64,2,株式会社カプコン,1,水,任天堂
NINTENDO64,2,株式会社ランドネットDD,1,水,任天堂
NINTENDO64,3,カルチャーブレーン,1,木,任天堂
NINTENDO64,3,ゲームバンク株式会社,1,木,任天堂
NINTENDO64,3,コナミ株式会社,15,木,任天堂
NINTENDO64,3,ハドソン,1,木,任天堂
NINTENDO64,3,ビデオシステム株式会社,1,木,任天堂
NINTENDO64,3,任天堂株式会社,3,木,任天堂
NINTENDO64,3,株式会社コーエー,1,木,任天堂
NINTENDO64,3,株式会社スパイク,1,木,任天堂
NINTENDO64,3,株式会社タイトー,1,木,任天堂
NINTENDO64,3,株式会社ハドソン,1,木,任天堂
NINTENDO64,4,GAMEBANK,1,金,任天堂
NINTENDO64,4,アスミック・エース エンタテインメント株式会社,2,金,任天堂
NINTENDO64,4,アテナ,1,金,任天堂
NINTENDO64,4,イマジニア株式会社,10,金,任天堂
NINTENDO64,4,エニックス,1,金,任天堂
NINTENDO64,4,エレクトロニック・アーツ・スクウェア株式会社,1,金,任天堂
NINTENDO64,4,エレクトロニック・アーツ・ビクター株式会社,1,金,任天堂
NINTENDO64,4,エレクトロニック・アーツ株式会社,1,金,任天堂
NINTENDO64,4,コナミ株式会社,2,金,任天堂
NINTENDO64,4,ハドソン,3,金,任天堂
NINTENDO64,4,バンプレスト,1,金,任天堂
NINTENDO64,4,ヒューマン株式会社,1,金,任天堂
NINTENDO64,4,ビクターインタラクティブソフトウェア,1,金,任天堂
NINTENDO64,4,ビデオシステム株式会社,1,金,任天堂
NINTENDO64,4,ボトムアップ,2,金,任天堂
NINTENDO64,4,ユービーアイソフト株式会社,1,金,任天堂
NINTENDO64,4,任天堂株式会社,12,金,任天堂
NINTENDO64,4,株式会社アクレイムジャパン,3,金,任天堂
NINTENDO64,4,株式会社アスキー,2,金,任天堂
NINTENDO64,4,株式会社アスキーサムシンググッド,1,金,任天堂
NINTENDO64,4,株式会社アスミック,1,金,任天堂
NINTENDO64,4,株式会社アテナ,2,金,任天堂
NINTENDO64,4,株式会社アルトロン,1,金,任天堂
NINTENDO64,4,株式会社エポック社,3,金,任天堂
NINTENDO64,4,株式会社カプコン,1,金,任天堂
NINTENDO64,4,株式会社カルチャーブレーン,4,金,任天堂
NINTENDO64,4,株式会社コトブキシステム,6,金,任天堂
NINTENDO64,4,株式会社コンパイル,1,金,任天堂
NINTENDO64,4,株式会社ショウエイシステム,1,金,任天堂
NINTENDO64,4,株式会社セタ,4,金,任天堂
NINTENDO64,4,株式会社タイトー,4,金,任天堂
NINTENDO64,4,株式会社タカラ,4,金,任天堂
NINTENDO64,4,株式会社ティーアンドイーソフト,1,金,任天堂
NINTENDO64,4,株式会社ハドソン,7,金,任天堂
NINTENDO64,4,株式会社バンダイ,3,金,任天堂
NINTENDO64,4,株式会社バンプレスト,1,金,任天堂
NINTENDO64,4,株式会社ビクターインタラクティブソフトウェア,2,金,任天堂
NINTENDO64,4,株式会社ビスコ,1,金,任天堂
NINTENDO64,4,株式会社ビック東海,1,金,任天堂
NINTENDO64,4,株式会社ボトムアップ,2,金,任天堂
NINTENDO64,4,株式会社光栄,1,金,任天堂
NINTENDO64,4,株式会社日本システムサプライ,2,金,任天堂
NINTENDO64,4,株式会社日本テレネット,1,金,任天堂
NINTENDO64,5,イマジニア株式会社,1,土,任天堂
NINTENDO64,5,ゲームバンク株式会社,1,土,任天堂
NINTENDO64,5,コナミ株式会社,2,土,任天堂
NINTENDO64,5,任天堂株式会社,7,土,任天堂
NINTENDO64,5,株式会社ハドソン,1,土,任天堂
NINTENDO64,6,SETA,1,日,任天堂
NINTENDO64,6,任天堂株式会社,4,日,任天堂
NINTENDO64,6,株式会社ハドソン,1,日,任天堂
NintendoSwitch,1,Angry Mob Games,1,火,任天堂
NintendoSwitch,1,DotEmu SAS.,1,火,任天堂
NintendoSwitch,1,Psyonix Inc.,1,火,任天堂
NintendoSwitch,1,Raw Fury,1,火,任天堂
NintendoSwitch,1,"Yacht Club Games, LLC",1,火,任天堂
NintendoSwitch,1,aeiowu LLC,1,火,任天堂
NintendoSwitch,1,カヤック,1,火,任天堂
NintendoSwitch,1,ハムスター,1,火,任天堂
NintendoSwitch,1,ユービーアイソフト株式会社,1,火,任天堂
NintendoSwitch,2,シティコネクション,1,水,任天堂
NintendoSwitch,2,セガゲームス,1,水,任天堂
NintendoSwitch,2,テイクツー・インタラクティブ・ジャパン合同会社,1,水,任天堂
NintendoSwitch,2,ハムスター,2,水,任天堂
NintendoSwitch,2,ワーナー ブラザース ジャパン合同会社,2,水,任天堂
NintendoSwitch,3,3goo,2,木,任天堂
NintendoSwitch,3,Adult Swim Games,1,木,任天堂
NintendoSwitch,3,Annapurna Interactive,1,木,任天堂
NintendoSwitch,3,Asteroid Base,1,木,任天堂
NintendoSwitch,3,Bulbware Sp. z o.o.,1,木,任天堂
NintendoSwitch,3,CIRCLE Ent.,1,木,任天堂
NintendoSwitch,3,Chorus Worldwide Games Limited,1,木,任天堂
NintendoSwitch,3,Collavier,2,木,任天堂
NintendoSwitch,3,Devolver Digital,1,木,任天堂
NintendoSwitch,3,Drool LLC,1,木,任天堂
NintendoSwitch,3,Dry Cactus,1,木,任天堂
NintendoSwitch,3,FDG Entertainment,1,木,任天堂
NintendoSwitch,3,Frozenbyte,1,木,任天堂
NintendoSwitch,3,GameTrust Games,1,木,任天堂
NintendoSwitch,3,Grey Box,1,木,任天堂
NintendoSwitch,3,Harmonix,1,木,任天堂
NintendoSwitch,3,Headup Games,2,木,任天堂
NintendoSwitch,3,Hypersect,1,木,任天堂
NintendoSwitch,3,INSIDE SYSTEM,1,木,任天堂
NintendoSwitch,3,Kitfox Games,1,木,任天堂
NintendoSwitch,3,MAGES.,1,木,任天堂
NintendoSwitch,3,MUTAN,1,木,任天堂
NintendoSwitch,3,OVER FENCE,1,木,任天堂
NintendoSwitch,3,Panic Button,1,木,任天堂
NintendoSwitch,3,Pikii合同会社,1,木,任天堂
NintendoSwitch,3,PlayEveryWare,1,木,任天堂
NintendoSwitch,3,Plug In Digital,2,木,任天堂
NintendoSwitch,3,QuantumAstroGuild,2,木,任天堂
NintendoSwitch,3,ROCKSTAR GAMES,1,木,任天堂
NintendoSwitch,3,Raw Fury,1,木,任天堂
NintendoSwitch,3,Raw Fury AB,1,木,任天堂
NintendoSwitch,3,Rising Star Games,3,木,任天堂
NintendoSwitch,3,Shin’en Multimedia,1,木,任天堂
NintendoSwitch,3,Team17,1,木,任天堂
NintendoSwitch,3,Thomas Happ Games LLC,1,木,任天堂
NintendoSwitch,3,UNTIES,2,木,任天堂
NintendoSwitch,3,Vertex Pop Inc.,1,木,任天堂
NintendoSwitch,3,Vivid Helix,1,木,任天堂
NintendoSwitch,3,Wired Productions,1,木,任天堂
